,feature,group
0,total_number_of_residues,dssp34
1,number_of_chains,dssp34
2,number_of_ss-bridges_total,dssp34
3,number_of_ss-bridges_intrachain,dssp34
4,number_of_ss-bridges_interchain,dssp34
5,accessible_surface_of_protein(angstrom**2),dssp34
6,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(J)],dssp34
7,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(J)]_same_number_per_100_residues,dssp34
8,total_number_of_hydrogen_bonds_in_parallel_bridges,dssp34
9,total_number_of_hydrogen_bonds_in_parallel_bridges_same_number_per_100_residues,dssp34
10,total_number_of_hydrogen_bonds_in_antiparallel_bridges,dssp34
11,total_number_of_hydrogen_bonds_in_antiparallel_bridges_same_number_per_100_residues,dssp34
12,total_number_of_hydrogen_bonds_of_type[O(I)-→H-N(I-5)],dssp34
13,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I-5)]_same_number_per_100_residues,dssp34
14,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I-4)],dssp34
15,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I-4)]_same_number_per_100_residues,dssp34
16, total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I-3)],dssp34
17,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I-3)]_same_number_per_100_residues,dssp34
18,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I-2)],dssp34
19,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I-2)]_same_number_per_100_residues,dssp34
20,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I-1)],dssp34
21,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I-1)]_same_number_per_100_residues,dssp34
22,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+0)],dssp34
23,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+0)]_same_number_per_100_residues,dssp34
24,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+1)],dssp34
25,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+1)]_same_number_per_100_residues,dssp34
26,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+2)],dssp34
27,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+2)]_same_number_per_100_residues,dssp34
28,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+3)],dssp34
29,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+3)]_same_number_per_100_residues,dssp34
30,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+4)],dssp34
31,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+4)]_same_number_per_100_residues,dssp34
32,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+5)],dssp34
33,total_number_of_hydrogen_bonds_of_type_[O(I)-->H-N(I+5)]_same_number_per_100_residues,dssp34
