pdb,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,logKa
1nvq,9.2109253683,-23.2691780808,-0.016584208899999998,3.5,36.0,3.5,16.0,0.002860611,-3.4016698985000002,4.0,-58.7668593899,18.0359,32.6199,56.4561,36.457,69.6353,250.6777,266.5902,209.0104,0.0,939.4825,8.25
1z95,7.566250080900001,-15.2061352229,-0.1477102162,6.5,29.0,6.5,14.0,-0.0344520253,-2.9896025514,10.0,-70.1068128322,3.1628,0.0,70.1723,14.5294,115.6544,314.0894,162.7313,210.24599999999998,33.6937,924.2793,7.12
1z6e,7.8455043937,-37.562800399400004,-0.2085238721,7.5,38.0,7.5,12.0,-0.0502293952,-3.1492833244,10.0,-123.072499812,2.5314,10.0168,28.7384,30.9147,150.2584,401.8398,74.7236,117.9272,72.5928,889.5431,9.72
3f3e,4.501083389700001,-12.7295502473,-0.6337426949,3.5,9.0,3.5,4.0,-0.1422383808,-5.2602455397000005,4.0,-61.4022156109,36.9048,58.8614,0.0,0.0,0.0,0.0,141.9711,22.945999999999998,0.0,260.6833,7.7
2p4y,7.950664855,-22.8830469401,-0.3059826884,9.0,40.0,9.0,19.0,-0.0463052237,-1.4219950583,10.0,-59.2305717679,13.257,19.3398,46.0874,9.7437,80.6179,408.8925,316.2681,243.6662,56.0261,1193.8987,9.0
4w9h,5.851079069600001,-13.3519971962,-0.2485870959,7.5,33.0,6.5,13.0,-0.0541609016,-3.0586166255,8.0,-68.0765345169,2.6211,0.0,62.1352,18.815,111.09299999999999,263.4259,212.8427,100.2942,0.0,771.2271,6.73
3zsx,5.4208065007,-22.4010193168,-0.3081904933,10.0,34.0,9.0,18.0,-0.0805225322,-4.625637326600001,8.0,-48.6091671343,0.0646,27.5276,23.5866,46.5505,57.7231,245.9515,194.4432,159.3838,0.0,755.2309,3.28
1eby,8.603881709400001,-34.2237925516,-0.7823771085,15.0,48.0,13.0,26.0,-0.2022378628,-7.5720079774,10.0,-98.1749005823,53.2697,52.7412,76.1599,34.8981,126.4422,481.9928,356.1545,210.2187,0.0,1391.8771,9.7
2zda,6.9393581825999995,-19.2009858193,-0.5046264502000001,8.0,29.0,8.0,15.0,-0.11899408269999999,-5.743644789299999,10.0,-67.5199989794,52.9831,9.1022,71.5771,24.9046,83.8251,251.4916,183.7569,138.674,0.0,816.3146,8.4
2j78,4.1875164147,-20.5092825927,-1.085051757,3.5,13.0,3.5,0.0,-0.27263089809999996,-9.757265394800001,4.0,-87.156509156,0.0,41.7407,125.9884,14.6665,27.1761,56.0183,1.9041,112.03200000000001,0.0,379.5261,6.42
