index2,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,delta_rf,nro_protein,protein,nro_decoy,decoy_name
0,3.049337977,-21.1359177695,-0.8947771161,4.5,10.0,4.5,2.0,-0.1756048409,-2.7973474875,6.0,-30.9218919629,38.4497,117.8571,6.0838,9.1947,16.2904,19.0129,113.664,43.3871,0.0,363.9397,2.96,153,2zlz,27,ligand_decoy_400
1,2.5293229066,-17.7709003663,-0.8104624406000001,4.5,10.0,4.5,2.0,-0.1403826511,-1.6238881808,6.0,-33.4166088113,42.262,76.2591,6.9017,11.3401,12.5626,12.6497,99.2996,56.1163,0.0,317.3911,2.57,153,2zlz,54,ligand_decoy_430
2,2.2976207505,-20.323460236099997,-0.7427759834000001,4.5,10.0,4.5,2.0,-0.1206371003,-1.4610020565,6.0,-35.4000537901,51.8316,100.1688,1.9984,10.542,12.3526,12.6138,84.9254,57.3696,0.0,331.8022,2.32,153,2zlz,376,ligand_decoy_162
3,2.1331942972,-19.5605572871,-0.832731197,4.5,10.0,4.5,2.0,-0.17512807239999995,-5.159713400299999,6.0,-50.0329005639,49.4834,95.828,16.1988,6.5874,10.7826,14.1015,76.2689,36.2618,0.0,305.5124,2.35,153,2zlz,142,ligand_decoy_45
4,1.9518022202,-13.809467574300001,-0.4677539079,4.5,10.0,4.5,2.0,-0.0951776624,-2.8513910307,6.0,-31.1491638394,62.4315,60.0973,0.0,5.6502,7.2879,0.0,90.8831,46.7486,0.0,273.0986,2.01,153,2zlz,42,ligand_decoy_13
5,1.8447420198,-16.719647828499998,-0.7101430133,4.5,10.0,4.5,2.0,-0.1756855248,-1.4641340588,6.0,-25.836745156,33.6817,87.2177,16.2474,4.465,4.4617,11.9777,100.8394,40.428,0.0,299.3186,1.87,153,2zlz,314,ligand_decoy_408
6,1.7214936951,-12.896265189400001,-0.2994692972,4.5,10.0,4.5,2.0,-0.0757328425,-1.7258506257,6.0,-16.933782899100002,58.0563,53.3996,11.7222,3.4054,3.1894,1.4255,81.5764,28.7071,0.0,241.4819,1.72,153,2zlz,252,ligand_decoy_238
7,1.588886038,-11.0854617519,-0.5800365571,4.5,10.0,4.5,2.0,-0.0994392393,-2.4811912928,6.0,-23.621436653299998,49.1139,62.3404,0.0,2.0617,0.0,0.0,23.1298,35.1638,0.0,171.8096,1.61,153,2zlz,103,ligand_decoy_67
8,1.4135379186,-20.1486695691,-0.9582900152,4.5,10.0,4.5,2.0,-0.1896585093,-3.8235073324,6.0,-37.7109360398,33.0758,100.6288,18.0928,2.2111,10.7826,11.1593,90.1526,30.1174,0.0,296.2204,1.48,153,2zlz,308,ligand_decoy_257
9,1.1603665102,-14.1845816952,-0.7110965503,4.5,10.0,4.5,2.0,-0.1354169238,-0.5202791268,6.0,-29.017671239000002,7.4104,75.453,0.0,0.2821,17.372,18.4732,48.9481,64.6932,0.0,232.632,1.16,153,2zlz,95,ligand_decoy_406
10,0.4111504846,-19.1732305577,-0.9530528966,4.5,10.0,4.5,2.0,-0.2118172422,-4.893500539700001,6.0,-39.6640145326,39.017,103.9712,22.2225,1.3307,10.0731,19.8564,82.0136,25.9867,0.0,304.4712,0.48,153,2zlz,183,ligand_decoy_128
