,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,delta_rf,pKd,set,nro_protein,protein
0,5.0887775824,-19.0038017026,-0.7453798729000001,1.5,17.0,1.5,7.0,-0.204276965,-6.5737941015,2.0,-64.0283005183,0.0,41.3922,82.6497,42.413999999999994,44.4511,307.8204,16.6583,28.6568,0.0,564.0425,5.67,6.19,set1,1,2p98
0,6.203895094500001,-7.7894877624,-0.0380461263,5.0,30.0,5.0,13.0,-0.0093813371,-0.898965344,4.0,-18.462823487999998,0.0,0.0,18.3319,24.6063,66.6899,308.7675,163.1851,195.0218,0.0,776.6025,7.28,7.92,set1,2,2ovv
0,5.0823888845,-18.3562987353,-0.0904686566,7.0,28.0,7.0,6.0,-0.0113397554,-0.8350416905,10.0,-84.5025002843,0.0,92.9054,21.4912,36.5727,190.8407,158.2034,164.5622,276.5097,52.1766,993.2619,6.87,6.81,set1,3,2uwp
0,5.7463953768,-28.8305799447,-0.6608451504,13.0,36.0,13.0,18.0,-0.16758046029999998,-6.887683812100001,14.0,-55.849622961899996,57.6006,73.9738,74.0842,17.1757,45.9571,181.5894,301.5625,186.4154,32.6742,971.0329,6.92,7.87,set1,4,3ccw
0,2.5793322547999997,-1.1434962402,-0.1477615605,0.5,7.0,0.5,5.0,-0.0484323447,-1.7096331618,1.0,-11.808675557,0.0,1.9872,36.7908,22.1693,1.381,178.9514,54.4031,2.6308,0.0,298.3136,3.5,3.87,set1,5,2pzv
0,5.9415330564,-13.593168708199999,-0.2399025743,3.0,22.0,3.0,13.0,-0.0640410119,-2.0434591306,4.0,-43.0546747462,14.331,10.5991,63.6692,17.4206,56.3056,167.4046,230.8158,94.0103,0.0,654.5562,7.21,5.55,set1,6,3ekr
0,4.3393561796,2.1391429011,-0.23421069190000002,5.0,10.0,4.0,7.0,-0.0582831154,-1.4903563263,4.0,-16.4070857348,3.4271,11.0917,22.2177,44.4144,49.1979,117.7739,315.5873,28.4092,0.0,592.1192,3.67,3.1,set1,7,2cjp
0,8.7322791339,-27.6035538633,-0.2734597418,15.0,50.0,12.0,27.0,-0.0690140741,-6.2349217215,10.0,-87.0950720336,17.7219,34.1863,42.4695,44.966,143.5501,410.499,453.5565,169.7755,0.0,1316.7248,8.4,7.92,set1,8,2cem
0,4.0562070349,-6.7330934597,-0.1910081309,4.5,16.0,4.5,7.0,-0.0429605093,-3.137356777,6.0,-42.770168645,0.0,0.0,52.9656,24.2696,114.9462,221.4631,99.3088,49.4564,0.0,562.4097,5.53,5.57,set1,9,2nmx
0,8.524327384,-27.8330262098,-0.27476535399999996,15.0,50.0,12.0,27.0,-0.0674297357,-5.8657855440999995,10.0,-87.293011645,29.1498,33.9842,42.3821,41.531000000000006,145.1657,394.4846,466.79699999999997,159.1881,0.0,1312.6825,8.49,8.3,set1,10,2cen
0,5.9000982063,-40.007625258000004,-0.7256563268,5.5,23.0,5.5,0.0,-0.1679472053,-10.9982277862,6.0,-85.4693574627,49.6507,89.7461,96.1543,5.626,56.43600000000001,121.1525,88.3728,93.8199,0.0,600.9583,5.19,4.61,set1,11,2v8q
0,2.4456096928999997,-5.2821475511000004,-0.1576783453,1.0,6.0,1.0,3.0,-0.029339599999999997,-0.0,1.0,-8.8426767138,0.0,20.6153,0.0,1.6543,22.7216,41.7498,150.0747,36.7096,0.0,273.5253,2.82,2.54,set1,12,1iup
0,4.3704341508999995,-11.0921071713,-0.41445852450000004,1.0,9.0,1.0,6.0,-0.09341728640000001,-2.4683332131,1.0,-19.0643366323,0.0,44.5496,17.1698,11.8338,6.3182,187.236,77.9929,38.0787,0.0,383.17900000000003,3.57,3.19,set1,13,1ukb
0,5.9072717385,-2.8599215194,-0.19626725420000002,4.0,24.0,4.0,14.0,-0.0551071037,-2.9033808019,4.0,-44.3055759271,4.8747,8.3811,55.0348,1.0315,22.9426,236.4533,247.9712,172.3684,0.0,749.0576,8.15,9.55,set1,14,2jj3
0,5.2798590623,-41.228240636799995,-2.5426137453999997,6.0,15.0,6.0,2.0,-0.5822883714,-8.8415031298,8.0,-92.50871967190001,0.0,141.5302,0.0,0.0,22.1334,0.0,56.733999999999995,112.7237,0.0,333.1213,6.48,7.39,set1,15,2hzy
0,4.2613788577,-18.3498586931,-0.4659348527,3.0,11.0,3.0,0.0,-0.1289035326,-7.4461630980999995,4.0,-65.7365327142,25.5376,48.8994,104.7085,16.7818,12.3414,44.2581,39.8579,150.6575,0.0,443.0422,5.13,4.23,set1,16,2jke
0,5.7283001785000005,-42.3282189153,-1.9731981235,7.5,20.0,7.5,0.0,-0.42672247729999996,-12.6283726367,6.0,-110.93147260100001,74.3674,163.9355,93.1753,25.1111,29.3002,19.4886,24.1357,153.4021,0.0,582.9159,6.28,6.44,set1,17,2qvu
