pdb,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,pKd
3rxj,4.1408077715,-24.3231958759,-0.3375814376,2.0,13.0,2.0,5.0,-0.0934906354,-7.0586603311000005,2.0,-96.7854578102,92.3107,46.7832,16.4773,5.7498,66.0178,111.65,10.6489,89.5085,0.0,439.1462,3.0589857562944305
2xix,1.8231774137999999,-10.3390036487,0.0981189573,1.0,7.0,1.0,0.0,0.0096453935,-1.1743468296,2.0,-7.048428145599999,0.0,0.0,86.44,20.0072,41.5915,38.009,89.6699,2.5638,0.0,278.2814,2.3010299956639813
4tsx,6.6022241739,-10.2620752175,-0.4636243592,5.0,30.0,4.0,18.0,-0.1078890441,-3.4970089287,6.0,-52.3571616712,8.757,45.0104,59.1486,16.8652,122.9701,153.55200000000002,327.6593,101.4038,0.0,835.3664,4.987162775294828
1npa,8.3740206132,-22.205881637199997,-0.7001455445999999,13.5,46.0,12.5,25.0,-0.1698689491,-5.5118032701,12.0,-114.32532349600001,22.9918,35.3228,31.2195,43.7966,218.4999,379.3577,383.9341,222.3117,0.0,1337.4341,8.698970004336019
5doh,3.1703564921,-11.1150800781,-0.3042736567,7.0,27.0,7.0,11.0,-0.07105317629999999,-3.511436677,8.0,-73.98390894399999,0.0,0.0,83.9831,38.1002,81.2388,317.1417,103.6127,128.8011,16.5865,769.4641,7.494850021680094
3bf1,3.3687215277,-38.8847400868,-1.5141800815000002,7.0,27.0,7.0,0.0,-0.2894791634,-5.7767912024,10.0,-104.94957559,21.6571,138.9878,38.4308,16.730999999999998,81.2401,110.2918,40.6223,126.7197,0.0,574.6806,2.5228787452803374
4eok,5.6728630043,-19.318806318,-0.0678038156,6.5,28.0,6.5,10.0,-0.0322222157,-2.7487317702999996,8.0,-45.6812364221,31.2458,34.7139,16.3608,47.5138,112.8259,192.0906,340.2205,107.9891,0.0,882.9604,5.0655015487564325
1yt9,5.648195735599999,-23.549635317199996,-0.47816946590000003,17.0,48.0,14.0,19.0,-0.12356372539999999,-4.55790686,14.0,-106.834769583,31.6114,52.7695,50.5852,34.0591,146.4169,210.6219,538.2125,205.1647,0.0,1269.4412,8.301029995663981
3avk,4.3418427107,-27.2876250505,-0.9596029623000001,19.0,64.0,19.0,16.0,-0.1976462154,-7.0041766939,10.0,-73.6622955837,20.7449,71.1943,27.3767,65.8786,167.1367,13.2164,427.2731,119.0183,0.0,911.8389999999999,3.3010299956639813
4lpf,0.5321103205,-4.8499018941,0.0714639307,0.5,6.0,0.5,0.0,0.011288411100000001,-2.7937167119999997,1.0,-34.758066667600005,0.0,0.0,22.5247,16.276,86.9365,48.7984,0.2032,9.7911,0.0,184.5299,3.508638306165728
5h0e,7.7828496779,-12.190215050299999,0.0212858798,9.5,38.0,8.5,20.0,0.0018043854,-2.5409340533,10.0,-50.2760158244,8.1539,32.7636,43.2668,35.5211,133.9509,311.986,333.981,132.1336,0.0,1031.7569,6.6777807052660805
3vw9,7.0199760685,3.9341249593,-0.09691603369999999,5.5,28.0,5.5,14.0,-0.023200288700000002,-3.1942095869,10.0,-50.3588121756,0.0,0.0,35.3848,0.0,134.8317,432.1769,120.5813,164.9026,0.0,887.8773,7.9586073148417755
4rj7,5.8255609525,-14.199376188499999,0.0565007347,7.5,30.0,7.5,11.0,0.0071955369,-1.4444838616999998,12.0,-46.8921257235,10.4942,2.7983,19.7226,7.7274,116.4134,238.0581,224.268,89.09,105.5144,814.0864,7.657577319177793
5he1,8.553520286,-25.037387754,-0.3920137305,6.0,41.0,6.0,19.0,-0.07510937599999999,-2.962932855,8.0,-73.1115472823,10.2539,43.5708,10.1995,81.7567,111.8629,389.6208,252.8984,121.5614,33.6608,1055.3852,6.552841968657781
3hec,8.407775823,-19.4578980267,0.1201163224,5.0,37.0,5.0,15.0,0.0113324205,-2.8239585047,6.0,-67.6031474058,4.801,32.7385,18.6271,19.4158,124.0874,392.9248,360.7408,224.6194,0.0,1177.9548,4.4685210829577455
1j07,4.1621083211,-3.0481203836,-0.07105317629999999,13.0,36.0,13.0,23.0,-0.0113984346,-0.73349,22.0,-17.1615315441,0.0,1.7618,67.9698,9.1671,151.1637,254.3396,168.1372,75.2307,0.0,727.7699,7.67778070526608
3t6y,4.7834330302999994,-14.3633625478,-0.008229757800000001,6.5,29.0,5.5,8.0,-0.008303106800000001,-2.7770298145,6.0,-42.7142400325,4.5995,0.0,36.4858,25.426,125.6647,226.4425,109.8668,126.1712,0.0,654.6565,5.522878745280337
4nmo,4.5678163099,-13.9735346175,-0.38977658600000004,28.0,66.0,23.0,20.0,-0.0950236295,-12.4461663858,20.0,-151.843036265,36.7112,53.3851,93.68,51.6976,453.2858,127.354,387.6091,146.0105,0.0,1349.7333,4.826813731587727
2uw5,6.393164854099999,-8.1163089017,0.0381708196,4.5,21.0,3.5,14.0,0.007995041,-2.8342640392000003,4.0,-46.093025043000004,42.9491,16.4452,2.0598,35.3016,108.1974,280.8095,102.7795,95.4936,61.5251,745.5608,7.508638306165728
4o28,7.891985655,-20.844993630799998,-0.055459178899999996,5.0,30.0,5.0,13.0,-0.0147651537,-1.3165852104,6.0,-72.6711965608,13.6815,6.9869,11.8011,9.1423,145.8176,451.8584,129.28799999999998,74.6938,0.0,843.2696,7.5376020021010435
4cnh,5.3800097869000005,-11.671652290099999,-0.1300111025,5.5,25.0,5.5,8.0,-0.023515689399999998,-1.392237369,8.0,-43.831514005200006,0.0,0.5481,42.6499,9.2517,147.1616,201.0054,271.8733,126.1925,0.0,798.6825,8.397940008672037
1c50,6.904187337100001,-14.1499096229,-0.059999482,5.5,31.0,4.5,15.0,-0.0156673464,-2.513890277,4.0,-68.6231532696,226.4918,1.682,24.2821,24.1659,160.2189,280.8343,186.358,119.4568,92.1259,1115.6157,6.4762535331884346
5hx8,7.2390768664,-12.4394622872,-0.122126085,3.5,24.0,3.5,10.0,-0.0189093722,-2.6882115104000004,6.0,-48.9081376583,45.2228,0.9876,2.2998,7.9945,144.6496,144.939,255.8779,140.9232,0.0,742.8944,10.0
4awm,4.5956302507,-15.5884888901,-0.5749314667000001,8.0,33.0,8.0,10.0,-0.11524594880000001,-10.4892077309,8.0,-97.3525189292,51.7029,6.0732,187.8311,1.9729,111.4297,270.7584,110.9024,35.5769,0.0,776.2475,5.721246399047171
1jii,2.5916402169999997,-33.324137727,-0.7726950404999999,9.0,29.0,8.0,6.0,-0.16999364239999998,-7.6583470853,10.0,-108.60756356899999,41.3352,58.898999999999994,124.83,43.0324,72.9351,148.5034,119.7121,196.0969,0.0,805.3441,9.0
