,pKd,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,delta
4his,,5.3845354202,,,,,,,,,,,,,,,,,,,,,
4uit,,5.3502594325,,,,,,,,,,,,,,,,,,,,,
6fnx,,5.3791736083,,,,,,,,,,,,,,,,,,,,,
4yyl,,3.0697583386000002,,,,,,,,,,,,,,,,,,,,,
6h7b,,3.8884358672,,,,,,,,,,,,,,,,,,,,,
5t6j,,2.4120891999,,,,,,,,,,,,,,,,,,,,,
4hy5,,5.8276587339,,,,,,,,,,,,,,,,,,,,,
6a6w,,2.3596813394,,,,,,,,,,,,,,,,,,,,,
6fii,,3.8493775247000004,,,,,,,,,,,,,,,,,,,,,
6cki,,5.5178839022,,,,,,,,,,,,,,,,,,,,,
3vzv,,6.050881745599999,,,,,,,,,,,,,,,,,,,,,
6c7d,,7.90775569,,,,,,,,,,,,,,,,,,,,,
2ojf,,5.8842914967999995,,,,,,,,,,,,,,,,,,,,,
3ws8,,6.7173600992,,,,,,,,,,,,,,,,,,,,,
5uga,,6.287168214199999,,,,,,,,,,,,,,,,,,,,,
3c6t,,7.1643415703,,,,,,,,,,,,,,,,,,,,,
3pjg,,7.470287584199999,,,,,,,,,,,,,,,,,,,,,
1kz8,,4.0564930960000005,,,,,,,,,,,,,,,,,,,,,
2vxa,,5.625699597300001,,,,,,,,,,,,,,,,,,,,,
3zmh,,1.5965656783000002,,,,,,,,,,,,,,,,,,,,,
4n6y,,6.6166445873000015,,,,,,,,,,,,,,,,,,,,,
1iau,,1.5582041512999998,,,,,,,,,,,,,,,,,,,,,
5nhv,,6.6950913428,,,,,,,,,,,,,,,,,,,,,
4wmy,,2.2016509189,,,,,,,,,,,,,,,,,,,,,
4a4h,,2.2518142999999995,,,,,,,,,,,,,,,,,,,,,
3gol,,6.6081874476,,,,,,,,,,,,,,,,,,,,,
5t8j,,6.2541978387000015,,,,,,,,,,,,,,,,,,,,,
6f8r,,7.117808964699999,,,,,,,,,,,,,,,,,,,,,
1vru,,7.9519411276,,,,,,,,,,,,,,,,,,,,,
4z7f,,4.212799815,,,,,,,,,,,,,,,,,,,,,
4x7q,,6.446350214000001,,,,,,,,,,,,,,,,,,,,,
2pgj,,7.260905528799999,,,,,,,,,,,,,,,,,,,,,
5u5t,,7.6124232763999995,,,,,,,,,,,,,,,,,,,,,
5jsm,,10.6772452273,,,,,,,,,,,,,,,,,,,,,
1epp,,5.8537196336,,,,,,,,,,,,,,,,,,,,,
4ufe,,7.2573554372,,,,,,,,,,,,,,,,,,,,,
3w2r,,9.0526822357,,,,,,,,,,,,,,,,,,,,,
5mxk,,6.4845943826,,,,,,,,,,,,,,,,,,,,,
4l7h,,5.5773185969000005,,,,,,,,,,,,,,,,,,,,,
5f2k,,7.8454530494,,,,,,,,,,,,,,,,,,,,,
1q6k,,1.9093624888,,,,,,,,,,,,,,,,,,,,,
3ud9,,2.1757440521,,,,,,,,,,,,,,,,,,,,,
4hpy,,5.306858829199999,,,,,,,,,,,,,,,,,,,,,
4dr9,,4.6438865578,,,,,,,,,,,,,,,,,,,,,
4akn,,6.133802790099999,,,,,,,,,,,,,,,,,,,,,
1q9m,,5.9450391386,,,,,,,,,,,,,,,,,,,,,
1c8k,,7.1620604164,,,,,,,,,,,,,,,,,,,,,
2cnh,,5.8439568817,,,,,,,,,,,,,,,,,,,,,
