,pKd,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,delta
2q89,,5.557690404500001,,,,,,,,,,,,,,,,,,,,,
5vc3,,6.5639946751,,,,,,,,,,,,,,,,,,,,,
1t7d,,5.7001928417,,,,,,,,,,,,,,,,,,,,,
1lgt,,5.672576943199999,,,,,,,,,,,,,,,,,,,,,
4iif,,4.6979447708,,,,,,,,,,,,,,,,,,,,,
4efk,,1.4338702613999998,,,,,,,,,,,,,,,,,,,,,
4yk0,,4.5450927897,,,,,,,,,,,,,,,,,,,,,
1a1e,,4.042512776600001,,,,,,,,,,,,,,,,,,,,,
4cfl,,6.713487271999999,,,,,,,,,,,,,,,,,,,,,
3gm0,,5.7406448152,,,,,,,,,,,,,,,,,,,,,
3k4q,,3.9843030101999997,,,,,,,,,,,,,,,,,,,,,
4xoe,,4.8518676473,,,,,,,,,,,,,,,,,,,,,
3ip6,,3.6610246276,,,,,,,,,,,,,,,,,,,,,
1zge,,3.5060601952999995,,,,,,,,,,,,,,,,,,,,,
2pk5,,9.347185805599999,,,,,,,,,,,,,,,,,,,,,
5ny1,,5.0837825155,,,,,,,,,,,,,,,,,,,,,
1zhy,,7.862910111400001,,,,,,,,,,,,,,,,,,,,,
5kqy,,7.097058532599998,,,,,,,,,,,,,,,,,,,,,
1ai5,,4.1928855615,,,,,,,,,,,,,,,,,,,,,
3s0e,,4.2489168626,,,,,,,,,,,,,,,,,,,,,
5t8p,,5.5064194535,,,,,,,,,,,,,,,,,,,,,
5c5t,,2.2424476327000002,,,,,,,,,,,,,,,,,,,,,
1g1d,,3.6518193281,,,,,,,,,,,,,,,,,,,,,
2qg0,,6.9334169136,,,,,,,,,,,,,,,,,,,,,
2vpo,,5.2824116074999985,,,,,,,,,,,,,,,,,,,,,
1q8w,,5.7408942018,,,,,,,,,,,,,,,,,,,,,
2xyf,,6.4527755864,,,,,,,,,,,,,,,,,,,,,
2h4g,,4.2636160022,,,,,,,,,,,,,,,,,,,,,
4ury,,5.2147691597,,,,,,,,,,,,,,,,,,,,,
1d4k,,8.3676245804,,,,,,,,,,,,,,,,,,,,,
4i8w,,4.8366477298,,,,,,,,,,,,,,,,,,,,,
5ork,,5.696070627899999,,,,,,,,,,,,,,,,,,,,,
4mo4,,3.8665118511000003,,,,,,,,,,,,,,,,,,,,,
5a7b,,5.6771319161000005,,,,,,,,,,,,,,,,,,,,,
2p4y,,8.0621993444,,,,,,,,,,,,,,,,,,,,,
1b40,,6.5132518369,,,,,,,,,,,,,,,,,,,,,
5ny3,,4.5958282929999985,,,,,,,,,,,,,,,,,,,,,
1eoc,,3.2286176027999995,,,,,,,,,,,,,,,,,,,,,
1ghy,,5.5339840077,,,,,,,,,,,,,,,,,,,,,
2br1,,6.501310619700002,,,,,,,,,,,,,,,,,,,,,
3ao4,,4.6953408813,,,,,,,,,,,,,,,,,,,,,
3tif,,6.6401602767,,,,,,,,,,,,,,,,,,,,,
2ha2,,2.6953410332,,,,,,,,,,,,,,,,,,,,,
4gih,,6.390920374699999,,,,,,,,,,,,,,,,,,,,,
3dcc,,4.8951362224,,,,,,,,,,,,,,,,,,,,,
1ejn,,7.558900511099999,,,,,,,,,,,,,,,,,,,,,
