index,protein,decoy_name
1mq6_4jsz_ligand_396,1mq6,4jsz_ligand_396
1mq6_4jsz_ligand_292,1mq6,4jsz_ligand_292
1mq6_4jsz_ligand_108,1mq6,4jsz_ligand_108
1mq6_4jsz_ligand_373,1mq6,4jsz_ligand_373
1mq6_4jsz_ligand_394,1mq6,4jsz_ligand_394
1mq6_4jsz_ligand_259,1mq6,4jsz_ligand_259
1mq6_4jsz_ligand_209,1mq6,4jsz_ligand_209
1mq6_4jsz_ligand_111,1mq6,4jsz_ligand_111
1mq6_4jsz_ligand_335,1mq6,4jsz_ligand_335
1mq6_4jsz_ligand_267,1mq6,4jsz_ligand_267
1mq6_4jsz_ligand_196,1mq6,4jsz_ligand_196
1mq6_4jsz_ligand_244,1mq6,4jsz_ligand_244
1mq6_4jsz_ligand_249,1mq6,4jsz_ligand_249
1mq6_4jsz_ligand_378,1mq6,4jsz_ligand_378
1mq6_4jsz_ligand_164,1mq6,4jsz_ligand_164
1mq6_4jsz_ligand_261,1mq6,4jsz_ligand_261
1mq6_4jsz_ligand_295,1mq6,4jsz_ligand_295
1mq6_4jsz_ligand_191,1mq6,4jsz_ligand_191
1mq6_4jsz_ligand_348,1mq6,4jsz_ligand_348
1mq6_4jsz_ligand_304,1mq6,4jsz_ligand_304
1mq6_4jsz_ligand_330,1mq6,4jsz_ligand_330
1mq6_4jsz_ligand_498,1mq6,4jsz_ligand_498
1mq6_4jsz_ligand_332,1mq6,4jsz_ligand_332
1mq6_4jsz_ligand_229,1mq6,4jsz_ligand_229
1mq6_4jsz_ligand_308,1mq6,4jsz_ligand_308
1mq6_4jsz_ligand_273,1mq6,4jsz_ligand_273
1mq6_4jsz_ligand_100,1mq6,4jsz_ligand_100
1mq6_4jsz_ligand_230,1mq6,4jsz_ligand_230
1mq6_4jsz_ligand_151,1mq6,4jsz_ligand_151
1mq6_4jsz_ligand_374,1mq6,4jsz_ligand_374
1mq6_4jsz_ligand_484,1mq6,4jsz_ligand_484
1mq6_4jsz_ligand_283,1mq6,4jsz_ligand_283
1mq6_4jsz_ligand_62,1mq6,4jsz_ligand_62
1mq6_4jsz_ligand_170,1mq6,4jsz_ligand_170
1mq6_4jsz_ligand_235,1mq6,4jsz_ligand_235
1mq6_4jsz_ligand_254,1mq6,4jsz_ligand_254
1mq6_4jsz_ligand_372,1mq6,4jsz_ligand_372
1mq6_4jsz_ligand_105,1mq6,4jsz_ligand_105
1mq6_4jsz_ligand_288,1mq6,4jsz_ligand_288
1mq6_4jsz_ligand_384,1mq6,4jsz_ligand_384
1mq6_4jsz_ligand_251,1mq6,4jsz_ligand_251
1mq6_4jsz_ligand_269,1mq6,4jsz_ligand_269
1mq6_4jsz_ligand_218,1mq6,4jsz_ligand_218
1mq6_4jsz_ligand_253,1mq6,4jsz_ligand_253
1mq6_4jsz_ligand_139,1mq6,4jsz_ligand_139
1mq6_4jsz_ligand_232,1mq6,4jsz_ligand_232
1mq6_4jsz_ligand_231,1mq6,4jsz_ligand_231
1mq6_4jsz_ligand_401,1mq6,4jsz_ligand_401
1mq6_4jsz_ligand_270,1mq6,4jsz_ligand_270
1mq6_4jsz_ligand_328,1mq6,4jsz_ligand_328
1mq6_4jsz_ligand_243,1mq6,4jsz_ligand_243
1mq6_4jsz_ligand_175,1mq6,4jsz_ligand_175
1mq6_4jsz_ligand_246,1mq6,4jsz_ligand_246
1mq6_4jsz_ligand_399,1mq6,4jsz_ligand_399
1mq6_4jsz_ligand_217,1mq6,4jsz_ligand_217
1mq6_4jsz_ligand_349,1mq6,4jsz_ligand_349
1mq6_4jsz_ligand_381,1mq6,4jsz_ligand_381
1mq6_4jsz_ligand_354,1mq6,4jsz_ligand_354
1mq6_4jsz_ligand_195,1mq6,4jsz_ligand_195
1mq6_4jsz_ligand_63,1mq6,4jsz_ligand_63
1mq6_4jsz_ligand_213,1mq6,4jsz_ligand_213
1mq6_4jsz_ligand_241,1mq6,4jsz_ligand_241
1mq6_4jsz_ligand_309,1mq6,4jsz_ligand_309
1mq6_4jsz_ligand_286,1mq6,4jsz_ligand_286
1mq6_4jsz_ligand_303,1mq6,4jsz_ligand_303
1mq6_4jsz_ligand_214,1mq6,4jsz_ligand_214
1mq6_4jsz_ligand_299,1mq6,4jsz_ligand_299
1mq6_4jsz_ligand_338,1mq6,4jsz_ligand_338
1mq6_4jsz_ligand_155,1mq6,4jsz_ligand_155
1mq6_4jsz_ligand_216,1mq6,4jsz_ligand_216
1mq6_4jsz_ligand_203,1mq6,4jsz_ligand_203
1mq6_4jsz_ligand_194,1mq6,4jsz_ligand_194
1mq6_4jsz_ligand_364,1mq6,4jsz_ligand_364
1mq6_4jsz_ligand_197,1mq6,4jsz_ligand_197
1mq6_4jsz_ligand_322,1mq6,4jsz_ligand_322
1mq6_4jsz_ligand_284,1mq6,4jsz_ligand_284
1mq6_4jsz_ligand_298,1mq6,4jsz_ligand_298
1mq6_4jsz_ligand_377,1mq6,4jsz_ligand_377
1mq6_4jsz_ligand_210,1mq6,4jsz_ligand_210
1mq6_4jsz_ligand_122,1mq6,4jsz_ligand_122
1mq6_4jsz_ligand_391,1mq6,4jsz_ligand_391
1mq6_4jsz_ligand_294,1mq6,4jsz_ligand_294
1mq6_4jsz_ligand_268,1mq6,4jsz_ligand_268
1mq6_4jsz_ligand_331,1mq6,4jsz_ligand_331
1mq6_4jsz_ligand_226,1mq6,4jsz_ligand_226
1mq6_4jsz_ligand_30,1mq6,4jsz_ligand_30
1mq6_4jsz_ligand_340,1mq6,4jsz_ligand_340
1mq6_4jsz_ligand_274,1mq6,4jsz_ligand_274
1mq6_4jsz_ligand_115,1mq6,4jsz_ligand_115
1mq6_4jsz_ligand_159,1mq6,4jsz_ligand_159
1mq6_4jsz_ligand_440,1mq6,4jsz_ligand_440
1mq6_4jsz_ligand_380,1mq6,4jsz_ligand_380
1mq6_4jsz_ligand_275,1mq6,4jsz_ligand_275
1mq6_4jsz_ligand_234,1mq6,4jsz_ligand_234
1mq6_4jsz_ligand_395,1mq6,4jsz_ligand_395
1mq6_4jsz_ligand_168,1mq6,4jsz_ligand_168
1mq6_4jsz_ligand_362,1mq6,4jsz_ligand_362
1mq6_4jsz_ligand_187,1mq6,4jsz_ligand_187
1mq6_4jsz_ligand_369,1mq6,4jsz_ligand_369
1mq6_4jsz_ligand_237,1mq6,4jsz_ligand_237
1mq6_3n86_ligand_19,1mq6,3n86_ligand_19
1mq6_3n86_ligand_118,1mq6,3n86_ligand_118
1mq6_3n86_ligand_104,1mq6,3n86_ligand_104
1mq6_3n86_ligand_49,1mq6,3n86_ligand_49
1mq6_3n86_ligand_354,1mq6,3n86_ligand_354
1mq6_3n86_ligand_6,1mq6,3n86_ligand_6
1mq6_3n86_ligand_55,1mq6,3n86_ligand_55
1mq6_3n86_ligand_38,1mq6,3n86_ligand_38
1mq6_3n86_ligand_302,1mq6,3n86_ligand_302
1mq6_3n86_ligand_260,1mq6,3n86_ligand_260
1mq6_3n86_ligand_381,1mq6,3n86_ligand_381
1mq6_3n86_ligand_420,1mq6,3n86_ligand_420
1mq6_3n86_ligand_91,1mq6,3n86_ligand_91
1mq6_3n86_ligand_61,1mq6,3n86_ligand_61
1mq6_3n86_ligand_320,1mq6,3n86_ligand_320
1mq6_3n86_ligand_155,1mq6,3n86_ligand_155
1mq6_3n86_ligand_313,1mq6,3n86_ligand_313
1mq6_3n86_ligand_386,1mq6,3n86_ligand_386
1mq6_3n86_ligand_62,1mq6,3n86_ligand_62
1mq6_3n86_ligand_57,1mq6,3n86_ligand_57
1mq6_3n86_ligand_165,1mq6,3n86_ligand_165
1mq6_3n86_ligand_294,1mq6,3n86_ligand_294
1mq6_3n86_ligand_368,1mq6,3n86_ligand_368
1mq6_3n86_ligand_135,1mq6,3n86_ligand_135
1mq6_3n86_ligand_309,1mq6,3n86_ligand_309
1mq6_3n86_ligand_201,1mq6,3n86_ligand_201
1mq6_3n86_ligand_34,1mq6,3n86_ligand_34
1mq6_3n86_ligand_70,1mq6,3n86_ligand_70
1mq6_3n86_ligand_25,1mq6,3n86_ligand_25
1mq6_3n86_ligand_399,1mq6,3n86_ligand_399
1mq6_3n86_ligand_337,1mq6,3n86_ligand_337
1mq6_3n86_ligand_223,1mq6,3n86_ligand_223
1mq6_3n86_ligand_290,1mq6,3n86_ligand_290
1mq6_3n86_ligand_153,1mq6,3n86_ligand_153
1mq6_3n86_ligand_159,1mq6,3n86_ligand_159
1mq6_3n86_ligand_117,1mq6,3n86_ligand_117
1mq6_3n86_ligand_276,1mq6,3n86_ligand_276
1mq6_3n86_ligand_330,1mq6,3n86_ligand_330
1mq6_3n86_ligand_221,1mq6,3n86_ligand_221
1mq6_3n86_ligand_426,1mq6,3n86_ligand_426
1mq6_3n86_ligand_208,1mq6,3n86_ligand_208
1mq6_3n86_ligand_435,1mq6,3n86_ligand_435
1mq6_3n86_ligand_243,1mq6,3n86_ligand_243
1mq6_3n86_ligand_298,1mq6,3n86_ligand_298
1mq6_3n86_ligand_171,1mq6,3n86_ligand_171
1mq6_3n86_ligand_341,1mq6,3n86_ligand_341
1mq6_3n86_ligand_169,1mq6,3n86_ligand_169
1mq6_3n86_ligand_215,1mq6,3n86_ligand_215
1mq6_3n86_ligand_237,1mq6,3n86_ligand_237
1mq6_3n86_ligand_130,1mq6,3n86_ligand_130
1mq6_3n86_ligand_393,1mq6,3n86_ligand_393
1mq6_3n86_ligand_371,1mq6,3n86_ligand_371
1mq6_3n86_ligand_296,1mq6,3n86_ligand_296
1mq6_3n86_ligand_56,1mq6,3n86_ligand_56
1mq6_3n86_ligand_314,1mq6,3n86_ligand_314
1mq6_3n86_ligand_249,1mq6,3n86_ligand_249
1mq6_3n86_ligand_178,1mq6,3n86_ligand_178
1mq6_3n86_ligand_363,1mq6,3n86_ligand_363
1mq6_3n86_ligand_80,1mq6,3n86_ligand_80
1mq6_3n86_ligand_202,1mq6,3n86_ligand_202
