index,protein,decoy_name
1nvq_4jsz_ligand_292,1nvq,4jsz_ligand_292
1nvq_4jsz_ligand_215,1nvq,4jsz_ligand_215
1nvq_4jsz_ligand_202,1nvq,4jsz_ligand_202
1nvq_4jsz_ligand_317,1nvq,4jsz_ligand_317
1nvq_4jsz_ligand_277,1nvq,4jsz_ligand_277
1nvq_4jsz_ligand_394,1nvq,4jsz_ligand_394
1nvq_4jsz_ligand_388,1nvq,4jsz_ligand_388
1nvq_4jsz_ligand_209,1nvq,4jsz_ligand_209
1nvq_4jsz_ligand_148,1nvq,4jsz_ligand_148
1nvq_4jsz_ligand_341,1nvq,4jsz_ligand_341
1nvq_4jsz_ligand_435,1nvq,4jsz_ligand_435
1nvq_4jsz_ligand_111,1nvq,4jsz_ligand_111
1nvq_4jsz_ligand_301,1nvq,4jsz_ligand_301
1nvq_4jsz_ligand_335,1nvq,4jsz_ligand_335
1nvq_4jsz_ligand_85,1nvq,4jsz_ligand_85
1nvq_4jsz_ligand_267,1nvq,4jsz_ligand_267
1nvq_4jsz_ligand_196,1nvq,4jsz_ligand_196
1nvq_4jsz_ligand_67,1nvq,4jsz_ligand_67
1nvq_4jsz_ligand_244,1nvq,4jsz_ligand_244
1nvq_4jsz_ligand_485,1nvq,4jsz_ligand_485
1nvq_4jsz_ligand_295,1nvq,4jsz_ligand_295
1nvq_4jsz_ligand_400,1nvq,4jsz_ligand_400
1nvq_4jsz_ligand_325,1nvq,4jsz_ligand_325
1nvq_4jsz_ligand_199,1nvq,4jsz_ligand_199
1nvq_4jsz_ligand_363,1nvq,4jsz_ligand_363
1nvq_4jsz_ligand_320,1nvq,4jsz_ligand_320
1nvq_4jsz_ligand_171,1nvq,4jsz_ligand_171
1nvq_4jsz_ligand_323,1nvq,4jsz_ligand_323
1nvq_4jsz_ligand_72,1nvq,4jsz_ligand_72
1nvq_4jsz_ligand_332,1nvq,4jsz_ligand_332
1nvq_4jsz_ligand_70,1nvq,4jsz_ligand_70
1nvq_4jsz_ligand_375,1nvq,4jsz_ligand_375
1nvq_4jsz_ligand_308,1nvq,4jsz_ligand_308
1nvq_4jsz_ligand_281,1nvq,4jsz_ligand_281
1nvq_4jsz_ligand_337,1nvq,4jsz_ligand_337
1nvq_4jsz_ligand_454,1nvq,4jsz_ligand_454
1nvq_4jsz_ligand_205,1nvq,4jsz_ligand_205
1nvq_4jsz_ligand_496,1nvq,4jsz_ligand_496
1nvq_4jsz_ligand_193,1nvq,4jsz_ligand_193
1nvq_4jsz_ligand_221,1nvq,4jsz_ligand_221
1nvq_4jsz_ligand_283,1nvq,4jsz_ligand_283
1nvq_4jsz_ligand_222,1nvq,4jsz_ligand_222
1nvq_4jsz_ligand_163,1nvq,4jsz_ligand_163
1nvq_4jsz_ligand_383,1nvq,4jsz_ligand_383
1nvq_4jsz_ligand_404,1nvq,4jsz_ligand_404
1nvq_4jsz_ligand_170,1nvq,4jsz_ligand_170
1nvq_4jsz_ligand_200,1nvq,4jsz_ligand_200
1nvq_4jsz_ligand_290,1nvq,4jsz_ligand_290
1nvq_4jsz_ligand_398,1nvq,4jsz_ligand_398
1nvq_4jsz_ligand_321,1nvq,4jsz_ligand_321
1nvq_4jsz_ligand_198,1nvq,4jsz_ligand_198
1nvq_4jsz_ligand_166,1nvq,4jsz_ligand_166
1nvq_4jsz_ligand_89,1nvq,4jsz_ligand_89
1nvq_4jsz_ligand_347,1nvq,4jsz_ligand_347
1nvq_4jsz_ligand_177,1nvq,4jsz_ligand_177
1nvq_4jsz_ligand_356,1nvq,4jsz_ligand_356
1nvq_4jsz_ligand_269,1nvq,4jsz_ligand_269
1nvq_4jsz_ligand_318,1nvq,4jsz_ligand_318
1nvq_4jsz_ligand_139,1nvq,4jsz_ligand_139
1nvq_4jsz_ligand_393,1nvq,4jsz_ligand_393
1nvq_4jsz_ligand_232,1nvq,4jsz_ligand_232
1nvq_4jsz_ligand_239,1nvq,4jsz_ligand_239
1nvq_4jsz_ligand_328,1nvq,4jsz_ligand_328
1nvq_4jsz_ligand_314,1nvq,4jsz_ligand_314
1nvq_4jsz_ligand_189,1nvq,4jsz_ligand_189
1nvq_4jsz_ligand_399,1nvq,4jsz_ligand_399
1nvq_4jsz_ligand_365,1nvq,4jsz_ligand_365
1nvq_4jsz_ligand_217,1nvq,4jsz_ligand_217
1nvq_4jsz_ligand_285,1nvq,4jsz_ligand_285
1nvq_4jsz_ligand_349,1nvq,4jsz_ligand_349
1nvq_4jsz_ligand_53,1nvq,4jsz_ligand_53
1nvq_4jsz_ligand_173,1nvq,4jsz_ligand_173
1nvq_4jsz_ligand_241,1nvq,4jsz_ligand_241
1nvq_4jsz_ligand_93,1nvq,4jsz_ligand_93
1nvq_4jsz_ligand_190,1nvq,4jsz_ligand_190
1nvq_4jsz_ligand_286,1nvq,4jsz_ligand_286
1nvq_4jsz_ligand_334,1nvq,4jsz_ligand_334
1nvq_4jsz_ligand_214,1nvq,4jsz_ligand_214
1nvq_4jsz_ligand_299,1nvq,4jsz_ligand_299
1nvq_4jsz_ligand_227,1nvq,4jsz_ligand_227
1nvq_4jsz_ligand_338,1nvq,4jsz_ligand_338
1nvq_4jsz_ligand_203,1nvq,4jsz_ligand_203
1nvq_4jsz_ligand_194,1nvq,4jsz_ligand_194
1nvq_4jsz_ligand_197,1nvq,4jsz_ligand_197
1nvq_4jsz_ligand_240,1nvq,4jsz_ligand_240
1nvq_4jsz_ligand_410,1nvq,4jsz_ligand_410
1nvq_4jsz_ligand_450,1nvq,4jsz_ligand_450
1nvq_4jsz_ligand_376,1nvq,4jsz_ligand_376
1nvq_4jsz_ligand_152,1nvq,4jsz_ligand_152
1nvq_4jsz_ligand_165,1nvq,4jsz_ligand_165
1nvq_4jsz_ligand_313,1nvq,4jsz_ligand_313
1nvq_4jsz_ligand_327,1nvq,4jsz_ligand_327
1nvq_4jsz_ligand_169,1nvq,4jsz_ligand_169
1nvq_4jsz_ligand_98,1nvq,4jsz_ligand_98
1nvq_4jsz_ligand_178,1nvq,4jsz_ligand_178
1nvq_4jsz_ligand_305,1nvq,4jsz_ligand_305
1nvq_4jsz_ligand_234,1nvq,4jsz_ligand_234
1nvq_4jsz_ligand_50,1nvq,4jsz_ligand_50
1nvq_4jsz_ligand_76,1nvq,4jsz_ligand_76
1nvq_4jsz_ligand_237,1nvq,4jsz_ligand_237
1nvq_3n86_ligand_104,1nvq,3n86_ligand_104
1nvq_3n86_ligand_464,1nvq,3n86_ligand_464
1nvq_3n86_ligand_162,1nvq,3n86_ligand_162
1nvq_3n86_ligand_211,1nvq,3n86_ligand_211
1nvq_3n86_ligand_184,1nvq,3n86_ligand_184
1nvq_3n86_ligand_83,1nvq,3n86_ligand_83
1nvq_3n86_ligand_181,1nvq,3n86_ligand_181
1nvq_3n86_ligand_254,1nvq,3n86_ligand_254
1nvq_3n86_ligand_216,1nvq,3n86_ligand_216
1nvq_3n86_ligand_312,1nvq,3n86_ligand_312
1nvq_3n86_ligand_88,1nvq,3n86_ligand_88
1nvq_3n86_ligand_192,1nvq,3n86_ligand_192
1nvq_3n86_ligand_72,1nvq,3n86_ligand_72
1nvq_3n86_ligand_326,1nvq,3n86_ligand_326
1nvq_3n86_ligand_302,1nvq,3n86_ligand_302
1nvq_3n86_ligand_478,1nvq,3n86_ligand_478
1nvq_3n86_ligand_351,1nvq,3n86_ligand_351
1nvq_3n86_ligand_334,1nvq,3n86_ligand_334
1nvq_3n86_ligand_345,1nvq,3n86_ligand_345
1nvq_3n86_ligand_495,1nvq,3n86_ligand_495
1nvq_3n86_ligand_386,1nvq,3n86_ligand_386
1nvq_3n86_ligand_333,1nvq,3n86_ligand_333
1nvq_3n86_ligand_470,1nvq,3n86_ligand_470
1nvq_3n86_ligand_201,1nvq,3n86_ligand_201
1nvq_3n86_ligand_349,1nvq,3n86_ligand_349
1nvq_3n86_ligand_125,1nvq,3n86_ligand_125
1nvq_3n86_ligand_227,1nvq,3n86_ligand_227
1nvq_3n86_ligand_172,1nvq,3n86_ligand_172
1nvq_3n86_ligand_329,1nvq,3n86_ligand_329
1nvq_3n86_ligand_219,1nvq,3n86_ligand_219
1nvq_3n86_ligand_279,1nvq,3n86_ligand_279
1nvq_3n86_ligand_295,1nvq,3n86_ligand_295
1nvq_3n86_ligand_304,1nvq,3n86_ligand_304
1nvq_3n86_ligand_346,1nvq,3n86_ligand_346
1nvq_3n86_ligand_335,1nvq,3n86_ligand_335
1nvq_3n86_ligand_290,1nvq,3n86_ligand_290
1nvq_3n86_ligand_159,1nvq,3n86_ligand_159
1nvq_3n86_ligand_73,1nvq,3n86_ligand_73
1nvq_3n86_ligand_330,1nvq,3n86_ligand_330
1nvq_3n86_ligand_359,1nvq,3n86_ligand_359
1nvq_3n86_ligand_339,1nvq,3n86_ligand_339
1nvq_3n86_ligand_292,1nvq,3n86_ligand_292
1nvq_3n86_ligand_52,1nvq,3n86_ligand_52
1nvq_3n86_ligand_375,1nvq,3n86_ligand_375
1nvq_3n86_ligand_229,1nvq,3n86_ligand_229
1nvq_3n86_ligand_243,1nvq,3n86_ligand_243
1nvq_3n86_ligand_277,1nvq,3n86_ligand_277
1nvq_3n86_ligand_341,1nvq,3n86_ligand_341
1nvq_3n86_ligand_197,1nvq,3n86_ligand_197
1nvq_3n86_ligand_189,1nvq,3n86_ligand_189
1nvq_3n86_ligand_228,1nvq,3n86_ligand_228
1nvq_3n86_ligand_16,1nvq,3n86_ligand_16
1nvq_3n86_ligand_130,1nvq,3n86_ligand_130
1nvq_3n86_ligand_393,1nvq,3n86_ligand_393
1nvq_3n86_ligand_296,1nvq,3n86_ligand_296
1nvq_3n86_ligand_441,1nvq,3n86_ligand_441
1nvq_3n86_ligand_183,1nvq,3n86_ligand_183
1nvq_3n86_ligand_164,1nvq,3n86_ligand_164
1nvq_3n86_ligand_319,1nvq,3n86_ligand_319
1nvq_3n86_ligand_249,1nvq,3n86_ligand_249
1nvq_3n86_ligand_212,1nvq,3n86_ligand_212
1nvq_3n86_ligand_400,1nvq,3n86_ligand_400
1nvq_3n86_ligand_109,1nvq,3n86_ligand_109
1nvq_3n86_ligand_401,1nvq,3n86_ligand_401
1nvq_3n86_ligand_299,1nvq,3n86_ligand_299
1nvq_3n86_ligand_32,1nvq,3n86_ligand_32
1nvq_3n86_ligand_264,1nvq,3n86_ligand_264
1nvq_3n86_ligand_388,1nvq,3n86_ligand_388
1nvq_3n86_ligand_324,1nvq,3n86_ligand_324
1nvq_3n86_ligand_168,1nvq,3n86_ligand_168
1nvq_3n86_ligand_200,1nvq,3n86_ligand_200
1nvq_3n86_ligand_185,1nvq,3n86_ligand_185
1nvq_3n86_ligand_348,1nvq,3n86_ligand_348
1nvq_3n86_ligand_239,1nvq,3n86_ligand_239
1nvq_3n86_ligand_336,1nvq,3n86_ligand_336
1nvq_3n86_ligand_233,1nvq,3n86_ligand_233
1nvq_3n86_ligand_26,1nvq,3n86_ligand_26
1nvq_3n86_ligand_244,1nvq,3n86_ligand_244
1nvq_3n86_ligand_139,1nvq,3n86_ligand_139
1nvq_3n86_ligand_119,1nvq,3n86_ligand_119
1nvq_3n86_ligand_234,1nvq,3n86_ligand_234
1nvq_3n86_ligand_380,1nvq,3n86_ligand_380
1nvq_3n86_ligand_286,1nvq,3n86_ligand_286
1nvq_3n86_ligand_439,1nvq,3n86_ligand_439
1nvq_3n86_ligand_5,1nvq,3n86_ligand_5
1nvq_3n86_ligand_246,1nvq,3n86_ligand_246
1nvq_3n86_ligand_222,1nvq,3n86_ligand_222
1nvq_3n86_ligand_245,1nvq,3n86_ligand_245
1nvq_3n86_ligand_257,1nvq,3n86_ligand_257
1nvq_3n86_ligand_231,1nvq,3n86_ligand_231
1nvq_3n86_ligand_179,1nvq,3n86_ligand_179
