index,protein,decoy_name
1o3f_4jsz_ligand_202,1o3f,4jsz_ligand_202
1o3f_4jsz_ligand_344,1o3f,4jsz_ligand_344
1o3f_4jsz_ligand_373,1o3f,4jsz_ligand_373
1o3f_4jsz_ligand_394,1o3f,4jsz_ligand_394
1o3f_4jsz_ligand_367,1o3f,4jsz_ligand_367
1o3f_4jsz_ligand_180,1o3f,4jsz_ligand_180
1o3f_4jsz_ligand_494,1o3f,4jsz_ligand_494
1o3f_4jsz_ligand_262,1o3f,4jsz_ligand_262
1o3f_4jsz_ligand_64,1o3f,4jsz_ligand_64
1o3f_4jsz_ligand_41,1o3f,4jsz_ligand_41
1o3f_4jsz_ligand_85,1o3f,4jsz_ligand_85
1o3f_4jsz_ligand_196,1o3f,4jsz_ligand_196
1o3f_4jsz_ligand_31,1o3f,4jsz_ligand_31
1o3f_4jsz_ligand_67,1o3f,4jsz_ligand_67
1o3f_4jsz_ligand_249,1o3f,4jsz_ligand_249
1o3f_4jsz_ligand_103,1o3f,4jsz_ligand_103
1o3f_4jsz_ligand_32,1o3f,4jsz_ligand_32
1o3f_4jsz_ligand_261,1o3f,4jsz_ligand_261
1o3f_4jsz_ligand_295,1o3f,4jsz_ligand_295
1o3f_4jsz_ligand_25,1o3f,4jsz_ligand_25
1o3f_4jsz_ligand_323,1o3f,4jsz_ligand_323
1o3f_4jsz_ligand_72,1o3f,4jsz_ligand_72
1o3f_4jsz_ligand_70,1o3f,4jsz_ligand_70
1o3f_4jsz_ligand_375,1o3f,4jsz_ligand_375
1o3f_4jsz_ligand_229,1o3f,4jsz_ligand_229
1o3f_4jsz_ligand_4,1o3f,4jsz_ligand_4
1o3f_4jsz_ligand_94,1o3f,4jsz_ligand_94
1o3f_4jsz_ligand_337,1o3f,4jsz_ligand_337
1o3f_4jsz_ligand_205,1o3f,4jsz_ligand_205
1o3f_4jsz_ligand_221,1o3f,4jsz_ligand_221
1o3f_4jsz_ligand_374,1o3f,4jsz_ligand_374
