index,protein,decoy_name
1sqa_4jsz_ligand_18,1sqa,4jsz_ligand_18
1sqa_4jsz_ligand_396,1sqa,4jsz_ligand_396
1sqa_4jsz_ligand_292,1sqa,4jsz_ligand_292
1sqa_4jsz_ligand_465,1sqa,4jsz_ligand_465
1sqa_4jsz_ligand_352,1sqa,4jsz_ligand_352
1sqa_4jsz_ligand_202,1sqa,4jsz_ligand_202
1sqa_4jsz_ligand_366,1sqa,4jsz_ligand_366
1sqa_4jsz_ligand_54,1sqa,4jsz_ligand_54
1sqa_4jsz_ligand_344,1sqa,4jsz_ligand_344
1sqa_4jsz_ligand_394,1sqa,4jsz_ligand_394
1sqa_4jsz_ligand_259,1sqa,4jsz_ligand_259
1sqa_4jsz_ligand_209,1sqa,4jsz_ligand_209
1sqa_4jsz_ligand_280,1sqa,4jsz_ligand_280
1sqa_4jsz_ligand_262,1sqa,4jsz_ligand_262
1sqa_4jsz_ligand_212,1sqa,4jsz_ligand_212
1sqa_4jsz_ligand_341,1sqa,4jsz_ligand_341
1sqa_4jsz_ligand_359,1sqa,4jsz_ligand_359
1sqa_4jsz_ligand_44,1sqa,4jsz_ligand_44
1sqa_4jsz_ligand_306,1sqa,4jsz_ligand_306
1sqa_4jsz_ligand_182,1sqa,4jsz_ligand_182
1sqa_4jsz_ligand_25,1sqa,4jsz_ligand_25
1sqa_4jsz_ligand_346,1sqa,4jsz_ligand_346
1sqa_4jsz_ligand_236,1sqa,4jsz_ligand_236
1sqa_4jsz_ligand_225,1sqa,4jsz_ligand_225
1sqa_4jsz_ligand_72,1sqa,4jsz_ligand_72
1sqa_4jsz_ligand_329,1sqa,4jsz_ligand_329
1sqa_4jsz_ligand_375,1sqa,4jsz_ligand_375
1sqa_4jsz_ligand_125,1sqa,4jsz_ligand_125
1sqa_4jsz_ligand_229,1sqa,4jsz_ligand_229
1sqa_4jsz_ligand_273,1sqa,4jsz_ligand_273
1sqa_4jsz_ligand_281,1sqa,4jsz_ligand_281
1sqa_4jsz_ligand_91,1sqa,4jsz_ligand_91
1sqa_4jsz_ligand_205,1sqa,4jsz_ligand_205
1sqa_4jsz_ligand_230,1sqa,4jsz_ligand_230
1sqa_4jsz_ligand_151,1sqa,4jsz_ligand_151
1sqa_4jsz_ligand_374,1sqa,4jsz_ligand_374
1sqa_4jsz_ligand_283,1sqa,4jsz_ligand_283
1sqa_4jsz_ligand_222,1sqa,4jsz_ligand_222
1sqa_4jsz_ligand_204,1sqa,4jsz_ligand_204
1sqa_4jsz_ligand_235,1sqa,4jsz_ligand_235
1sqa_4jsz_ligand_200,1sqa,4jsz_ligand_200
1sqa_4jsz_ligand_307,1sqa,4jsz_ligand_307
1sqa_4jsz_ligand_398,1sqa,4jsz_ligand_398
1sqa_4jsz_ligand_372,1sqa,4jsz_ligand_372
1sqa_4jsz_ligand_413,1sqa,4jsz_ligand_413
1sqa_4jsz_ligand_250,1sqa,4jsz_ligand_250
1sqa_4jsz_ligand_269,1sqa,4jsz_ligand_269
1sqa_4jsz_ligand_247,1sqa,4jsz_ligand_247
