index,protein,decoy_name
1u1b_4jsz_ligand_292,1u1b,4jsz_ligand_292
1u1b_4jsz_ligand_465,1u1b,4jsz_ligand_465
1u1b_4jsz_ligand_352,1u1b,4jsz_ligand_352
1u1b_4jsz_ligand_317,1u1b,4jsz_ligand_317
1u1b_4jsz_ligand_277,1u1b,4jsz_ligand_277
1u1b_4jsz_ligand_385,1u1b,4jsz_ligand_385
1u1b_4jsz_ligand_500,1u1b,4jsz_ligand_500
1u1b_4jsz_ligand_394,1u1b,4jsz_ligand_394
1u1b_4jsz_ligand_180,1u1b,4jsz_ligand_180
1u1b_4jsz_ligand_341,1u1b,4jsz_ligand_341
1u1b_4jsz_ligand_301,1u1b,4jsz_ligand_301
1u1b_4jsz_ligand_267,1u1b,4jsz_ligand_267
1u1b_4jsz_ligand_306,1u1b,4jsz_ligand_306
1u1b_4jsz_ligand_249,1u1b,4jsz_ligand_249
1u1b_4jsz_ligand_295,1u1b,4jsz_ligand_295
1u1b_4jsz_ligand_400,1u1b,4jsz_ligand_400
1u1b_4jsz_ligand_26,1u1b,4jsz_ligand_26
1u1b_4jsz_ligand_304,1u1b,4jsz_ligand_304
1u1b_4jsz_ligand_330,1u1b,4jsz_ligand_330
1u1b_4jsz_ligand_320,1u1b,4jsz_ligand_320
1u1b_4jsz_ligand_225,1u1b,4jsz_ligand_225
1u1b_4jsz_ligand_323,1u1b,4jsz_ligand_323
1u1b_4jsz_ligand_72,1u1b,4jsz_ligand_72
1u1b_4jsz_ligand_329,1u1b,4jsz_ligand_329
1u1b_4jsz_ligand_154,1u1b,4jsz_ligand_154
1u1b_4jsz_ligand_296,1u1b,4jsz_ligand_296
1u1b_4jsz_ligand_429,1u1b,4jsz_ligand_429
1u1b_4jsz_ligand_308,1u1b,4jsz_ligand_308
1u1b_4jsz_ligand_23,1u1b,4jsz_ligand_23
1u1b_4jsz_ligand_205,1u1b,4jsz_ligand_205
1u1b_4jsz_ligand_230,1u1b,4jsz_ligand_230
1u1b_4jsz_ligand_151,1u1b,4jsz_ligand_151
1u1b_4jsz_ligand_374,1u1b,4jsz_ligand_374
1u1b_4jsz_ligand_11,1u1b,4jsz_ligand_11
1u1b_4jsz_ligand_124,1u1b,4jsz_ligand_124
1u1b_4jsz_ligand_441,1u1b,4jsz_ligand_441
1u1b_4jsz_ligand_283,1u1b,4jsz_ligand_283
1u1b_4jsz_ligand_372,1u1b,4jsz_ligand_372
1u1b_4jsz_ligand_288,1u1b,4jsz_ligand_288
1u1b_4jsz_ligand_379,1u1b,4jsz_ligand_379
1u1b_4jsz_ligand_89,1u1b,4jsz_ligand_89
1u1b_4jsz_ligand_347,1u1b,4jsz_ligand_347
1u1b_4jsz_ligand_250,1u1b,4jsz_ligand_250
1u1b_4jsz_ligand_35,1u1b,4jsz_ligand_35
1u1b_4jsz_ligand_269,1u1b,4jsz_ligand_269
1u1b_4jsz_ligand_75,1u1b,4jsz_ligand_75
1u1b_4jsz_ligand_228,1u1b,4jsz_ligand_228
1u1b_4jsz_ligand_201,1u1b,4jsz_ligand_201
1u1b_4jsz_ligand_256,1u1b,4jsz_ligand_256
1u1b_4jsz_ligand_181,1u1b,4jsz_ligand_181
1u1b_4jsz_ligand_310,1u1b,4jsz_ligand_310
1u1b_4jsz_ligand_260,1u1b,4jsz_ligand_260
1u1b_4jsz_ligand_386,1u1b,4jsz_ligand_386
1u1b_4jsz_ligand_231,1u1b,4jsz_ligand_231
1u1b_4jsz_ligand_316,1u1b,4jsz_ligand_316
1u1b_4jsz_ligand_264,1u1b,4jsz_ligand_264
1u1b_4jsz_ligand_239,1u1b,4jsz_ligand_239
1u1b_4jsz_ligand_442,1u1b,4jsz_ligand_442
1u1b_4jsz_ligand_300,1u1b,4jsz_ligand_300
1u1b_4jsz_ligand_206,1u1b,4jsz_ligand_206
1u1b_4jsz_ligand_192,1u1b,4jsz_ligand_192
1u1b_4jsz_ligand_175,1u1b,4jsz_ligand_175
1u1b_4jsz_ligand_246,1u1b,4jsz_ligand_246
1u1b_4jsz_ligand_399,1u1b,4jsz_ligand_399
1u1b_4jsz_ligand_217,1u1b,4jsz_ligand_217
1u1b_4jsz_ligand_466,1u1b,4jsz_ligand_466
1u1b_4jsz_ligand_351,1u1b,4jsz_ligand_351
1u1b_4jsz_ligand_349,1u1b,4jsz_ligand_349
1u1b_4jsz_ligand_195,1u1b,4jsz_ligand_195
1u1b_4jsz_ligand_319,1u1b,4jsz_ligand_319
1u1b_4jsz_ligand_389,1u1b,4jsz_ligand_389
1u1b_4jsz_ligand_93,1u1b,4jsz_ligand_93
1u1b_4jsz_ligand_190,1u1b,4jsz_ligand_190
1u1b_4jsz_ligand_286,1u1b,4jsz_ligand_286
1u1b_4jsz_ligand_214,1u1b,4jsz_ligand_214
1u1b_4jsz_ligand_144,1u1b,4jsz_ligand_144
1u1b_4jsz_ligand_397,1u1b,4jsz_ligand_397
1u1b_4jsz_ligand_240,1u1b,4jsz_ligand_240
1u1b_4jsz_ligand_322,1u1b,4jsz_ligand_322
1u1b_4jsz_ligand_152,1u1b,4jsz_ligand_152
1u1b_4jsz_ligand_298,1u1b,4jsz_ligand_298
1u1b_4jsz_ligand_377,1u1b,4jsz_ligand_377
1u1b_4jsz_ligand_183,1u1b,4jsz_ligand_183
1u1b_4jsz_ligand_48,1u1b,4jsz_ligand_48
