index,protein,decoy_name
2al5_4jsz_ligand_292,2al5,4jsz_ligand_292
2al5_4jsz_ligand_282,2al5,4jsz_ligand_282
2al5_4jsz_ligand_202,2al5,4jsz_ligand_202
2al5_4jsz_ligand_108,2al5,4jsz_ligand_108
2al5_4jsz_ligand_350,2al5,4jsz_ligand_350
2al5_4jsz_ligand_277,2al5,4jsz_ligand_277
2al5_4jsz_ligand_394,2al5,4jsz_ligand_394
2al5_4jsz_ligand_259,2al5,4jsz_ligand_259
2al5_4jsz_ligand_180,2al5,4jsz_ligand_180
2al5_4jsz_ligand_212,2al5,4jsz_ligand_212
2al5_4jsz_ligand_435,2al5,4jsz_ligand_435
2al5_4jsz_ligand_335,2al5,4jsz_ligand_335
2al5_4jsz_ligand_85,2al5,4jsz_ligand_85
2al5_4jsz_ligand_267,2al5,4jsz_ligand_267
2al5_4jsz_ligand_196,2al5,4jsz_ligand_196
2al5_4jsz_ligand_306,2al5,4jsz_ligand_306
2al5_4jsz_ligand_244,2al5,4jsz_ligand_244
2al5_4jsz_ligand_378,2al5,4jsz_ligand_378
2al5_4jsz_ligand_261,2al5,4jsz_ligand_261
2al5_4jsz_ligand_400,2al5,4jsz_ligand_400
2al5_4jsz_ligand_191,2al5,4jsz_ligand_191
2al5_4jsz_ligand_325,2al5,4jsz_ligand_325
2al5_4jsz_ligand_182,2al5,4jsz_ligand_182
2al5_4jsz_ligand_320,2al5,4jsz_ligand_320
2al5_4jsz_ligand_346,2al5,4jsz_ligand_346
2al5_4jsz_ligand_171,2al5,4jsz_ligand_171
2al5_4jsz_ligand_225,2al5,4jsz_ligand_225
2al5_4jsz_ligand_332,2al5,4jsz_ligand_332
2al5_4jsz_ligand_329,2al5,4jsz_ligand_329
2al5_4jsz_ligand_229,2al5,4jsz_ligand_229
2al5_4jsz_ligand_273,2al5,4jsz_ligand_273
2al5_4jsz_ligand_167,2al5,4jsz_ligand_167
2al5_4jsz_ligand_221,2al5,4jsz_ligand_221
2al5_4jsz_ligand_441,2al5,4jsz_ligand_441
2al5_4jsz_ligand_283,2al5,4jsz_ligand_283
2al5_4jsz_ligand_133,2al5,4jsz_ligand_133
2al5_4jsz_ligand_204,2al5,4jsz_ligand_204
2al5_4jsz_ligand_163,2al5,4jsz_ligand_163
2al5_4jsz_ligand_235,2al5,4jsz_ligand_235
2al5_4jsz_ligand_324,2al5,4jsz_ligand_324
2al5_4jsz_ligand_200,2al5,4jsz_ligand_200
2al5_4jsz_ligand_321,2al5,4jsz_ligand_321
2al5_4jsz_ligand_311,2al5,4jsz_ligand_311
2al5_4jsz_ligand_116,2al5,4jsz_ligand_116
2al5_4jsz_ligand_166,2al5,4jsz_ligand_166
2al5_4jsz_ligand_251,2al5,4jsz_ligand_251
2al5_4jsz_ligand_90,2al5,4jsz_ligand_90
2al5_4jsz_ligand_218,2al5,4jsz_ligand_218
2al5_4jsz_ligand_291,2al5,4jsz_ligand_291
2al5_4jsz_ligand_318,2al5,4jsz_ligand_318
2al5_4jsz_ligand_201,2al5,4jsz_ligand_201
2al5_4jsz_ligand_256,2al5,4jsz_ligand_256
2al5_4jsz_ligand_456,2al5,4jsz_ligand_456
2al5_4jsz_ligand_208,2al5,4jsz_ligand_208
2al5_4jsz_ligand_223,2al5,4jsz_ligand_223
2al5_4jsz_ligand_231,2al5,4jsz_ligand_231
2al5_4jsz_ligand_316,2al5,4jsz_ligand_316
2al5_4jsz_ligand_264,2al5,4jsz_ligand_264
2al5_4jsz_ligand_263,2al5,4jsz_ligand_263
2al5_4jsz_ligand_270,2al5,4jsz_ligand_270
2al5_4jsz_ligand_300,2al5,4jsz_ligand_300
2al5_4jsz_ligand_314,2al5,4jsz_ligand_314
2al5_4jsz_ligand_399,2al5,4jsz_ligand_399
2al5_4jsz_ligand_16,2al5,4jsz_ligand_16
2al5_4jsz_ligand_233,2al5,4jsz_ligand_233
2al5_4jsz_ligand_13,2al5,4jsz_ligand_13
2al5_4jsz_ligand_349,2al5,4jsz_ligand_349
2al5_4jsz_ligand_101,2al5,4jsz_ligand_101
2al5_4jsz_ligand_173,2al5,4jsz_ligand_173
