index,protein,decoy_name
2cet_4jsz_ligand_292,2cet,4jsz_ligand_292
2cet_4jsz_ligand_186,2cet,4jsz_ligand_186
2cet_4jsz_ligand_282,2cet,4jsz_ligand_282
2cet_4jsz_ligand_34,2cet,4jsz_ligand_34
2cet_4jsz_ligand_215,2cet,4jsz_ligand_215
2cet_4jsz_ligand_350,2cet,4jsz_ligand_350
2cet_4jsz_ligand_368,2cet,4jsz_ligand_368
2cet_4jsz_ligand_180,2cet,4jsz_ligand_180
2cet_4jsz_ligand_209,2cet,4jsz_ligand_209
2cet_4jsz_ligand_280,2cet,4jsz_ligand_280
2cet_4jsz_ligand_212,2cet,4jsz_ligand_212
2cet_4jsz_ligand_162,2cet,4jsz_ligand_162
2cet_4jsz_ligand_335,2cet,4jsz_ligand_335
2cet_4jsz_ligand_267,2cet,4jsz_ligand_267
2cet_4jsz_ligand_196,2cet,4jsz_ligand_196
2cet_4jsz_ligand_297,2cet,4jsz_ligand_297
2cet_4jsz_ligand_244,2cet,4jsz_ligand_244
2cet_4jsz_ligand_249,2cet,4jsz_ligand_249
2cet_4jsz_ligand_95,2cet,4jsz_ligand_95
2cet_4jsz_ligand_295,2cet,4jsz_ligand_295
2cet_4jsz_ligand_348,2cet,4jsz_ligand_348
2cet_4jsz_ligand_199,2cet,4jsz_ligand_199
2cet_4jsz_ligand_304,2cet,4jsz_ligand_304
2cet_4jsz_ligand_330,2cet,4jsz_ligand_330
2cet_4jsz_ligand_225,2cet,4jsz_ligand_225
2cet_4jsz_ligand_72,2cet,4jsz_ligand_72
2cet_4jsz_ligand_332,2cet,4jsz_ligand_332
2cet_4jsz_ligand_329,2cet,4jsz_ligand_329
2cet_4jsz_ligand_154,2cet,4jsz_ligand_154
2cet_4jsz_ligand_229,2cet,4jsz_ligand_229
2cet_4jsz_ligand_273,2cet,4jsz_ligand_273
2cet_4jsz_ligand_337,2cet,4jsz_ligand_337
2cet_4jsz_ligand_205,2cet,4jsz_ligand_205
2cet_4jsz_ligand_124,2cet,4jsz_ligand_124
2cet_4jsz_ligand_137,2cet,4jsz_ligand_137
2cet_4jsz_ligand_200,2cet,4jsz_ligand_200
2cet_4jsz_ligand_307,2cet,4jsz_ligand_307
2cet_4jsz_ligand_121,2cet,4jsz_ligand_121
2cet_4jsz_ligand_398,2cet,4jsz_ligand_398
2cet_4jsz_ligand_473,2cet,4jsz_ligand_473
2cet_4jsz_ligand_198,2cet,4jsz_ligand_198
2cet_4jsz_ligand_127,2cet,4jsz_ligand_127
2cet_4jsz_ligand_288,2cet,4jsz_ligand_288
2cet_4jsz_ligand_160,2cet,4jsz_ligand_160
2cet_4jsz_ligand_272,2cet,4jsz_ligand_272
2cet_4jsz_ligand_7,2cet,4jsz_ligand_7
2cet_4jsz_ligand_250,2cet,4jsz_ligand_250
2cet_4jsz_ligand_251,2cet,4jsz_ligand_251
2cet_4jsz_ligand_247,2cet,4jsz_ligand_247
2cet_4jsz_ligand_99,2cet,4jsz_ligand_99
2cet_4jsz_ligand_291,2cet,4jsz_ligand_291
2cet_4jsz_ligand_139,2cet,4jsz_ligand_139
2cet_4jsz_ligand_208,2cet,4jsz_ligand_208
2cet_4jsz_ligand_260,2cet,4jsz_ligand_260
2cet_4jsz_ligand_316,2cet,4jsz_ligand_316
2cet_4jsz_ligand_80,2cet,4jsz_ligand_80
2cet_4jsz_ligand_263,2cet,4jsz_ligand_263
2cet_4jsz_ligand_270,2cet,4jsz_ligand_270
2cet_4jsz_ligand_300,2cet,4jsz_ligand_300
2cet_4jsz_ligand_328,2cet,4jsz_ligand_328
2cet_4jsz_ligand_243,2cet,4jsz_ligand_243
2cet_4jsz_ligand_192,2cet,4jsz_ligand_192
2cet_4jsz_ligand_175,2cet,4jsz_ligand_175
2cet_4jsz_ligand_246,2cet,4jsz_ligand_246
2cet_4jsz_ligand_399,2cet,4jsz_ligand_399
2cet_4jsz_ligand_233,2cet,4jsz_ligand_233
2cet_4jsz_ligand_53,2cet,4jsz_ligand_53
2cet_4jsz_ligand_195,2cet,4jsz_ligand_195
2cet_4jsz_ligand_40,2cet,4jsz_ligand_40
2cet_4jsz_ligand_39,2cet,4jsz_ligand_39
2cet_4jsz_ligand_1,2cet,4jsz_ligand_1
2cet_4jsz_ligand_286,2cet,4jsz_ligand_286
2cet_4jsz_ligand_334,2cet,4jsz_ligand_334
2cet_4jsz_ligand_303,2cet,4jsz_ligand_303
2cet_4jsz_ligand_214,2cet,4jsz_ligand_214
2cet_4jsz_ligand_174,2cet,4jsz_ligand_174
2cet_4jsz_ligand_216,2cet,4jsz_ligand_216
2cet_4jsz_ligand_240,2cet,4jsz_ligand_240
2cet_4jsz_ligand_147,2cet,4jsz_ligand_147
2cet_4jsz_ligand_298,2cet,4jsz_ligand_298
2cet_4jsz_ligand_165,2cet,4jsz_ligand_165
2cet_4jsz_ligand_387,2cet,4jsz_ligand_387
2cet_4jsz_ligand_391,2cet,4jsz_ligand_391
2cet_4jsz_ligand_248,2cet,4jsz_ligand_248
2cet_4jsz_ligand_313,2cet,4jsz_ligand_313
2cet_4jsz_ligand_211,2cet,4jsz_ligand_211
2cet_4jsz_ligand_294,2cet,4jsz_ligand_294
2cet_4jsz_ligand_43,2cet,4jsz_ligand_43
2cet_4jsz_ligand_331,2cet,4jsz_ligand_331
2cet_4jsz_ligand_327,2cet,4jsz_ligand_327
2cet_4jsz_ligand_271,2cet,4jsz_ligand_271
2cet_4jsz_ligand_265,2cet,4jsz_ligand_265
2cet_4jsz_ligand_302,2cet,4jsz_ligand_302
2cet_4jsz_ligand_143,2cet,4jsz_ligand_143
2cet_4jsz_ligand_287,2cet,4jsz_ligand_287
2cet_4jsz_ligand_345,2cet,4jsz_ligand_345
2cet_4jsz_ligand_178,2cet,4jsz_ligand_178
2cet_4jsz_ligand_380,2cet,4jsz_ligand_380
2cet_4jsz_ligand_275,2cet,4jsz_ligand_275
2cet_4jsz_ligand_234,2cet,4jsz_ligand_234
2cet_3n86_ligand_285,2cet,3n86_ligand_285
2cet_3n86_ligand_104,2cet,3n86_ligand_104
2cet_3n86_ligand_78,2cet,3n86_ligand_78
2cet_3n86_ligand_199,2cet,3n86_ligand_199
2cet_3n86_ligand_403,2cet,3n86_ligand_403
2cet_3n86_ligand_211,2cet,3n86_ligand_211
2cet_3n86_ligand_315,2cet,3n86_ligand_315
2cet_3n86_ligand_184,2cet,3n86_ligand_184
2cet_3n86_ligand_97,2cet,3n86_ligand_97
2cet_3n86_ligand_88,2cet,3n86_ligand_88
2cet_3n86_ligand_453,2cet,3n86_ligand_453
2cet_3n86_ligand_192,2cet,3n86_ligand_192
2cet_3n86_ligand_218,2cet,3n86_ligand_218
2cet_3n86_ligand_253,2cet,3n86_ligand_253
2cet_3n86_ligand_344,2cet,3n86_ligand_344
2cet_3n86_ligand_404,2cet,3n86_ligand_404
2cet_3n86_ligand_362,2cet,3n86_ligand_362
2cet_3n86_ligand_274,2cet,3n86_ligand_274
2cet_3n86_ligand_492,2cet,3n86_ligand_492
2cet_3n86_ligand_210,2cet,3n86_ligand_210
2cet_3n86_ligand_420,2cet,3n86_ligand_420
2cet_3n86_ligand_58,2cet,3n86_ligand_58
2cet_3n86_ligand_481,2cet,3n86_ligand_481
2cet_3n86_ligand_390,2cet,3n86_ligand_390
2cet_3n86_ligand_165,2cet,3n86_ligand_165
2cet_3n86_ligand_499,2cet,3n86_ligand_499
2cet_3n86_ligand_294,2cet,3n86_ligand_294
2cet_3n86_ligand_68,2cet,3n86_ligand_68
2cet_3n86_ligand_418,2cet,3n86_ligand_418
2cet_3n86_ligand_124,2cet,3n86_ligand_124
2cet_3n86_ligand_449,2cet,3n86_ligand_449
2cet_3n86_ligand_34,2cet,3n86_ligand_34
2cet_3n86_ligand_125,2cet,3n86_ligand_125
2cet_3n86_ligand_282,2cet,3n86_ligand_282
2cet_3n86_ligand_172,2cet,3n86_ligand_172
2cet_3n86_ligand_329,2cet,3n86_ligand_329
2cet_3n86_ligand_219,2cet,3n86_ligand_219
2cet_3n86_ligand_494,2cet,3n86_ligand_494
2cet_3n86_ligand_346,2cet,3n86_ligand_346
2cet_3n86_ligand_284,2cet,3n86_ligand_284
2cet_3n86_ligand_288,2cet,3n86_ligand_288
2cet_3n86_ligand_317,2cet,3n86_ligand_317
2cet_3n86_ligand_339,2cet,3n86_ligand_339
2cet_3n86_ligand_175,2cet,3n86_ligand_175
2cet_3n86_ligand_414,2cet,3n86_ligand_414
2cet_3n86_ligand_229,2cet,3n86_ligand_229
2cet_3n86_ligand_208,2cet,3n86_ligand_208
2cet_3n86_ligand_243,2cet,3n86_ligand_243
2cet_3n86_ligand_277,2cet,3n86_ligand_277
2cet_3n86_ligand_242,2cet,3n86_ligand_242
2cet_3n86_ligand_101,2cet,3n86_ligand_101
2cet_3n86_ligand_263,2cet,3n86_ligand_263
2cet_3n86_ligand_224,2cet,3n86_ligand_224
2cet_3n86_ligand_215,2cet,3n86_ligand_215
2cet_3n86_ligand_237,2cet,3n86_ligand_237
2cet_3n86_ligand_267,2cet,3n86_ligand_267
2cet_3n86_ligand_393,2cet,3n86_ligand_393
2cet_3n86_ligand_51,2cet,3n86_ligand_51
2cet_3n86_ligand_249,2cet,3n86_ligand_249
2cet_3n86_ligand_255,2cet,3n86_ligand_255
