index,protein,decoy_name
2fvd_4jsz_ligand_292,2fvd,4jsz_ligand_292
2fvd_4jsz_ligand_186,2fvd,4jsz_ligand_186
2fvd_4jsz_ligand_282,2fvd,4jsz_ligand_282
2fvd_4jsz_ligand_34,2fvd,4jsz_ligand_34
2fvd_4jsz_ligand_215,2fvd,4jsz_ligand_215
2fvd_4jsz_ligand_350,2fvd,4jsz_ligand_350
2fvd_4jsz_ligand_343,2fvd,4jsz_ligand_343
2fvd_4jsz_ligand_262,2fvd,4jsz_ligand_262
2fvd_4jsz_ligand_301,2fvd,4jsz_ligand_301
2fvd_4jsz_ligand_392,2fvd,4jsz_ligand_392
2fvd_4jsz_ligand_249,2fvd,4jsz_ligand_249
2fvd_4jsz_ligand_433,2fvd,4jsz_ligand_433
2fvd_4jsz_ligand_485,2fvd,4jsz_ligand_485
2fvd_4jsz_ligand_378,2fvd,4jsz_ligand_378
2fvd_4jsz_ligand_164,2fvd,4jsz_ligand_164
2fvd_4jsz_ligand_261,2fvd,4jsz_ligand_261
2fvd_4jsz_ligand_182,2fvd,4jsz_ligand_182
2fvd_4jsz_ligand_330,2fvd,4jsz_ligand_330
2fvd_4jsz_ligand_157,2fvd,4jsz_ligand_157
2fvd_4jsz_ligand_320,2fvd,4jsz_ligand_320
2fvd_4jsz_ligand_346,2fvd,4jsz_ligand_346
2fvd_4jsz_ligand_225,2fvd,4jsz_ligand_225
2fvd_4jsz_ligand_448,2fvd,4jsz_ligand_448
2fvd_4jsz_ligand_329,2fvd,4jsz_ligand_329
2fvd_4jsz_ligand_308,2fvd,4jsz_ligand_308
2fvd_4jsz_ligand_4,2fvd,4jsz_ligand_4
2fvd_4jsz_ligand_273,2fvd,4jsz_ligand_273
2fvd_4jsz_ligand_141,2fvd,4jsz_ligand_141
2fvd_4jsz_ligand_337,2fvd,4jsz_ligand_337
2fvd_4jsz_ligand_390,2fvd,4jsz_ligand_390
2fvd_4jsz_ligand_230,2fvd,4jsz_ligand_230
2fvd_4jsz_ligand_441,2fvd,4jsz_ligand_441
2fvd_4jsz_ligand_283,2fvd,4jsz_ligand_283
2fvd_4jsz_ligand_204,2fvd,4jsz_ligand_204
2fvd_4jsz_ligand_163,2fvd,4jsz_ligand_163
2fvd_4jsz_ligand_235,2fvd,4jsz_ligand_235
2fvd_4jsz_ligand_219,2fvd,4jsz_ligand_219
2fvd_4jsz_ligand_307,2fvd,4jsz_ligand_307
2fvd_4jsz_ligand_382,2fvd,4jsz_ligand_382
2fvd_4jsz_ligand_321,2fvd,4jsz_ligand_321
2fvd_4jsz_ligand_105,2fvd,4jsz_ligand_105
2fvd_4jsz_ligand_311,2fvd,4jsz_ligand_311
2fvd_4jsz_ligand_288,2fvd,4jsz_ligand_288
2fvd_4jsz_ligand_379,2fvd,4jsz_ligand_379
2fvd_4jsz_ligand_272,2fvd,4jsz_ligand_272
2fvd_4jsz_ligand_250,2fvd,4jsz_ligand_250
2fvd_4jsz_ligand_35,2fvd,4jsz_ligand_35
2fvd_4jsz_ligand_251,2fvd,4jsz_ligand_251
2fvd_4jsz_ligand_339,2fvd,4jsz_ligand_339
2fvd_4jsz_ligand_269,2fvd,4jsz_ligand_269
2fvd_4jsz_ligand_276,2fvd,4jsz_ligand_276
2fvd_4jsz_ligand_27,2fvd,4jsz_ligand_27
2fvd_4jsz_ligand_228,2fvd,4jsz_ligand_228
2fvd_4jsz_ligand_393,2fvd,4jsz_ligand_393
2fvd_4jsz_ligand_407,2fvd,4jsz_ligand_407
2fvd_4jsz_ligand_135,2fvd,4jsz_ligand_135
2fvd_4jsz_ligand_231,2fvd,4jsz_ligand_231
2fvd_4jsz_ligand_92,2fvd,4jsz_ligand_92
2fvd_4jsz_ligand_316,2fvd,4jsz_ligand_316
2fvd_4jsz_ligand_442,2fvd,4jsz_ligand_442
2fvd_4jsz_ligand_270,2fvd,4jsz_ligand_270
2fvd_4jsz_ligand_300,2fvd,4jsz_ligand_300
2fvd_4jsz_ligand_206,2fvd,4jsz_ligand_206
2fvd_4jsz_ligand_243,2fvd,4jsz_ligand_243
2fvd_4jsz_ligand_314,2fvd,4jsz_ligand_314
2fvd_4jsz_ligand_399,2fvd,4jsz_ligand_399
2fvd_4jsz_ligand_16,2fvd,4jsz_ligand_16
2fvd_4jsz_ligand_140,2fvd,4jsz_ligand_140
2fvd_4jsz_ligand_13,2fvd,4jsz_ligand_13
2fvd_4jsz_ligand_285,2fvd,4jsz_ligand_285
2fvd_4jsz_ligand_93,2fvd,4jsz_ligand_93
2fvd_4jsz_ligand_190,2fvd,4jsz_ligand_190
2fvd_4jsz_ligand_286,2fvd,4jsz_ligand_286
2fvd_4jsz_ligand_227,2fvd,4jsz_ligand_227
2fvd_4jsz_ligand_338,2fvd,4jsz_ligand_338
2fvd_4jsz_ligand_155,2fvd,4jsz_ligand_155
2fvd_4jsz_ligand_475,2fvd,4jsz_ligand_475
2fvd_4jsz_ligand_118,2fvd,4jsz_ligand_118
2fvd_4jsz_ligand_293,2fvd,4jsz_ligand_293
2fvd_4jsz_ligand_197,2fvd,4jsz_ligand_197
2fvd_4jsz_ligand_397,2fvd,4jsz_ligand_397
2fvd_4jsz_ligand_252,2fvd,4jsz_ligand_252
2fvd_4jsz_ligand_238,2fvd,4jsz_ligand_238
2fvd_4jsz_ligand_298,2fvd,4jsz_ligand_298
2fvd_4jsz_ligand_342,2fvd,4jsz_ligand_342
2fvd_4jsz_ligand_391,2fvd,4jsz_ligand_391
2fvd_4jsz_ligand_248,2fvd,4jsz_ligand_248
2fvd_4jsz_ligand_278,2fvd,4jsz_ligand_278
2fvd_4jsz_ligand_294,2fvd,4jsz_ligand_294
2fvd_4jsz_ligand_268,2fvd,4jsz_ligand_268
2fvd_4jsz_ligand_431,2fvd,4jsz_ligand_431
2fvd_4jsz_ligand_331,2fvd,4jsz_ligand_331
2fvd_4jsz_ligand_226,2fvd,4jsz_ligand_226
2fvd_4jsz_ligand_340,2fvd,4jsz_ligand_340
2fvd_4jsz_ligand_274,2fvd,4jsz_ligand_274
2fvd_4jsz_ligand_380,2fvd,4jsz_ligand_380
2fvd_4jsz_ligand_355,2fvd,4jsz_ligand_355
2fvd_4jsz_ligand_242,2fvd,4jsz_ligand_242
2fvd_4jsz_ligand_187,2fvd,4jsz_ligand_187
2fvd_4jsz_ligand_237,2fvd,4jsz_ligand_237
2fvd_3n86_ligand_285,2fvd,3n86_ligand_285
2fvd_3n86_ligand_308,2fvd,3n86_ligand_308
2fvd_3n86_ligand_162,2fvd,3n86_ligand_162
2fvd_3n86_ligand_297,2fvd,3n86_ligand_297
2fvd_3n86_ligand_211,2fvd,3n86_ligand_211
2fvd_3n86_ligand_184,2fvd,3n86_ligand_184
2fvd_3n86_ligand_203,2fvd,3n86_ligand_203
2fvd_3n86_ligand_181,2fvd,3n86_ligand_181
2fvd_3n86_ligand_254,2fvd,3n86_ligand_254
2fvd_3n86_ligand_312,2fvd,3n86_ligand_312
2fvd_3n86_ligand_13,2fvd,3n86_ligand_13
2fvd_3n86_ligand_302,2fvd,3n86_ligand_302
2fvd_3n86_ligand_424,2fvd,3n86_ligand_424
2fvd_3n86_ligand_275,2fvd,3n86_ligand_275
2fvd_3n86_ligand_344,2fvd,3n86_ligand_344
2fvd_3n86_ligand_99,2fvd,3n86_ligand_99
2fvd_3n86_ligand_205,2fvd,3n86_ligand_205
2fvd_3n86_ligand_287,2fvd,3n86_ligand_287
2fvd_3n86_ligand_210,2fvd,3n86_ligand_210
2fvd_3n86_ligand_345,2fvd,3n86_ligand_345
2fvd_3n86_ligand_427,2fvd,3n86_ligand_427
2fvd_3n86_ligand_338,2fvd,3n86_ligand_338
