index,protein,decoy_name
2p15_4jsz_ligand_186,2p15,4jsz_ligand_186
2p15_4jsz_ligand_215,2p15,4jsz_ligand_215
2p15_4jsz_ligand_108,2p15,4jsz_ligand_108
2p15_4jsz_ligand_385,2p15,4jsz_ligand_385
2p15_4jsz_ligand_145,2p15,4jsz_ligand_145
2p15_4jsz_ligand_418,2p15,4jsz_ligand_418
2p15_4jsz_ligand_184,2p15,4jsz_ligand_184
2p15_4jsz_ligand_209,2p15,4jsz_ligand_209
2p15_4jsz_ligand_212,2p15,4jsz_ligand_212
2p15_4jsz_ligand_301,2p15,4jsz_ligand_301
2p15_4jsz_ligand_335,2p15,4jsz_ligand_335
2p15_4jsz_ligand_85,2p15,4jsz_ligand_85
2p15_4jsz_ligand_267,2p15,4jsz_ligand_267
2p15_4jsz_ligand_306,2p15,4jsz_ligand_306
2p15_4jsz_ligand_138,2p15,4jsz_ligand_138
2p15_4jsz_ligand_249,2p15,4jsz_ligand_249
2p15_4jsz_ligand_295,2p15,4jsz_ligand_295
2p15_4jsz_ligand_400,2p15,4jsz_ligand_400
2p15_4jsz_ligand_182,2p15,4jsz_ligand_182
2p15_4jsz_ligand_157,2p15,4jsz_ligand_157
2p15_4jsz_ligand_255,2p15,4jsz_ligand_255
2p15_4jsz_ligand_363,2p15,4jsz_ligand_363
2p15_4jsz_ligand_77,2p15,4jsz_ligand_77
2p15_4jsz_ligand_320,2p15,4jsz_ligand_320
2p15_4jsz_ligand_346,2p15,4jsz_ligand_346
2p15_4jsz_ligand_236,2p15,4jsz_ligand_236
2p15_4jsz_ligand_171,2p15,4jsz_ligand_171
2p15_4jsz_ligand_225,2p15,4jsz_ligand_225
2p15_4jsz_ligand_323,2p15,4jsz_ligand_323
2p15_4jsz_ligand_150,2p15,4jsz_ligand_150
2p15_4jsz_ligand_154,2p15,4jsz_ligand_154
2p15_4jsz_ligand_428,2p15,4jsz_ligand_428
2p15_4jsz_ligand_337,2p15,4jsz_ligand_337
2p15_4jsz_ligand_91,2p15,4jsz_ligand_91
2p15_4jsz_ligand_205,2p15,4jsz_ligand_205
2p15_4jsz_ligand_390,2p15,4jsz_ligand_390
2p15_4jsz_ligand_126,2p15,4jsz_ligand_126
2p15_4jsz_ligand_193,2p15,4jsz_ligand_193
2p15_4jsz_ligand_151,2p15,4jsz_ligand_151
2p15_4jsz_ligand_221,2p15,4jsz_ligand_221
2p15_4jsz_ligand_222,2p15,4jsz_ligand_222
2p15_4jsz_ligand_179,2p15,4jsz_ligand_179
2p15_4jsz_ligand_235,2p15,4jsz_ligand_235
2p15_4jsz_ligand_324,2p15,4jsz_ligand_324
2p15_4jsz_ligand_443,2p15,4jsz_ligand_443
2p15_4jsz_ligand_200,2p15,4jsz_ligand_200
2p15_4jsz_ligand_307,2p15,4jsz_ligand_307
2p15_4jsz_ligand_321,2p15,4jsz_ligand_321
2p15_4jsz_ligand_311,2p15,4jsz_ligand_311
2p15_4jsz_ligand_116,2p15,4jsz_ligand_116
2p15_4jsz_ligand_384,2p15,4jsz_ligand_384
2p15_4jsz_ligand_272,2p15,4jsz_ligand_272
2p15_4jsz_ligand_7,2p15,4jsz_ligand_7
2p15_4jsz_ligand_339,2p15,4jsz_ligand_339
2p15_4jsz_ligand_99,2p15,4jsz_ligand_99
2p15_4jsz_ligand_486,2p15,4jsz_ligand_486
2p15_4jsz_ligand_201,2p15,4jsz_ligand_201
2p15_4jsz_ligand_208,2p15,4jsz_ligand_208
2p15_4jsz_ligand_135,2p15,4jsz_ligand_135
2p15_4jsz_ligand_223,2p15,4jsz_ligand_223
2p15_4jsz_ligand_414,2p15,4jsz_ligand_414
2p15_4jsz_ligand_80,2p15,4jsz_ligand_80
2p15_4jsz_ligand_264,2p15,4jsz_ligand_264
2p15_4jsz_ligand_328,2p15,4jsz_ligand_328
2p15_4jsz_ligand_243,2p15,4jsz_ligand_243
2p15_4jsz_ligand_189,2p15,4jsz_ligand_189
2p15_4jsz_ligand_246,2p15,4jsz_ligand_246
2p15_4jsz_ligand_233,2p15,4jsz_ligand_233
2p15_4jsz_ligand_195,2p15,4jsz_ligand_195
2p15_4jsz_ligand_257,2p15,4jsz_ligand_257
2p15_4jsz_ligand_173,2p15,4jsz_ligand_173
2p15_4jsz_ligand_190,2p15,4jsz_ligand_190
2p15_4jsz_ligand_334,2p15,4jsz_ligand_334
2p15_4jsz_ligand_227,2p15,4jsz_ligand_227
2p15_4jsz_ligand_144,2p15,4jsz_ligand_144
2p15_4jsz_ligand_203,2p15,4jsz_ligand_203
2p15_4jsz_ligand_194,2p15,4jsz_ligand_194
2p15_4jsz_ligand_397,2p15,4jsz_ligand_397
2p15_4jsz_ligand_240,2p15,4jsz_ligand_240
2p15_4jsz_ligand_152,2p15,4jsz_ligand_152
2p15_4jsz_ligand_289,2p15,4jsz_ligand_289
2p15_4jsz_ligand_165,2p15,4jsz_ligand_165
2p15_4jsz_ligand_183,2p15,4jsz_ligand_183
2p15_4jsz_ligand_387,2p15,4jsz_ligand_387
2p15_4jsz_ligand_278,2p15,4jsz_ligand_278
2p15_4jsz_ligand_294,2p15,4jsz_ligand_294
2p15_4jsz_ligand_268,2p15,4jsz_ligand_268
2p15_4jsz_ligand_43,2p15,4jsz_ligand_43
2p15_4jsz_ligand_30,2p15,4jsz_ligand_30
2p15_4jsz_ligand_340,2p15,4jsz_ligand_340
2p15_4jsz_ligand_115,2p15,4jsz_ligand_115
2p15_4jsz_ligand_312,2p15,4jsz_ligand_312
2p15_4jsz_ligand_370,2p15,4jsz_ligand_370
2p15_4jsz_ligand_287,2p15,4jsz_ligand_287
2p15_4jsz_ligand_153,2p15,4jsz_ligand_153
2p15_4jsz_ligand_159,2p15,4jsz_ligand_159
2p15_4jsz_ligand_427,2p15,4jsz_ligand_427
2p15_4jsz_ligand_168,2p15,4jsz_ligand_168
2p15_4jsz_ligand_9,2p15,4jsz_ligand_9
2p15_4jsz_ligand_76,2p15,4jsz_ligand_76
2p15_3n86_ligand_19,2p15,3n86_ligand_19
2p15_3n86_ligand_464,2p15,3n86_ligand_464
2p15_3n86_ligand_297,2p15,3n86_ligand_297
2p15_3n86_ligand_199,2p15,3n86_ligand_199
2p15_3n86_ligand_315,2p15,3n86_ligand_315
2p15_3n86_ligand_216,2p15,3n86_ligand_216
2p15_3n86_ligand_326,2p15,3n86_ligand_326
2p15_3n86_ligand_302,2p15,3n86_ligand_302
2p15_3n86_ligand_275,2p15,3n86_ligand_275
2p15_3n86_ligand_344,2p15,3n86_ligand_344
2p15_3n86_ligand_283,2p15,3n86_ligand_283
2p15_3n86_ligand_205,2p15,3n86_ligand_205
2p15_3n86_ligand_287,2p15,3n86_ligand_287
2p15_3n86_ligand_71,2p15,3n86_ligand_71
2p15_3n86_ligand_274,2p15,3n86_ligand_274
2p15_3n86_ligand_301,2p15,3n86_ligand_301
2p15_3n86_ligand_271,2p15,3n86_ligand_271
2p15_3n86_ligand_210,2p15,3n86_ligand_210
2p15_3n86_ligand_438,2p15,3n86_ligand_438
2p15_3n86_ligand_262,2p15,3n86_ligand_262
2p15_3n86_ligand_91,2p15,3n86_ligand_91
2p15_3n86_ligand_21,2p15,3n86_ligand_21
2p15_3n86_ligand_176,2p15,3n86_ligand_176
2p15_3n86_ligand_180,2p15,3n86_ligand_180
2p15_3n86_ligand_333,2p15,3n86_ligand_333
2p15_3n86_ligand_449,2p15,3n86_ligand_449
2p15_3n86_ligand_311,2p15,3n86_ligand_311
2p15_3n86_ligand_125,2p15,3n86_ligand_125
2p15_3n86_ligand_227,2p15,3n86_ligand_227
2p15_3n86_ligand_127,2p15,3n86_ligand_127
2p15_3n86_ligand_265,2p15,3n86_ligand_265
2p15_3n86_ligand_219,2p15,3n86_ligand_219
2p15_3n86_ligand_279,2p15,3n86_ligand_279
2p15_3n86_ligand_295,2p15,3n86_ligand_295
2p15_3n86_ligand_248,2p15,3n86_ligand_248
2p15_3n86_ligand_259,2p15,3n86_ligand_259
2p15_3n86_ligand_290,2p15,3n86_ligand_290
2p15_3n86_ligand_317,2p15,3n86_ligand_317
2p15_3n86_ligand_327,2p15,3n86_ligand_327
2p15_3n86_ligand_330,2p15,3n86_ligand_330
2p15_3n86_ligand_359,2p15,3n86_ligand_359
2p15_3n86_ligand_292,2p15,3n86_ligand_292
2p15_3n86_ligand_175,2p15,3n86_ligand_175
2p15_3n86_ligand_325,2p15,3n86_ligand_325
2p15_3n86_ligand_52,2p15,3n86_ligand_52
2p15_3n86_ligand_229,2p15,3n86_ligand_229
2p15_3n86_ligand_243,2p15,3n86_ligand_243
2p15_3n86_ligand_306,2p15,3n86_ligand_306
2p15_3n86_ligand_171,2p15,3n86_ligand_171
2p15_3n86_ligand_277,2p15,3n86_ligand_277
2p15_3n86_ligand_173,2p15,3n86_ligand_173
2p15_3n86_ligand_197,2p15,3n86_ligand_197
2p15_3n86_ligand_189,2p15,3n86_ligand_189
2p15_3n86_ligand_263,2p15,3n86_ligand_263
