index,protein,decoy_name
2p4y_4jsz_ligand_292,2p4y,4jsz_ligand_292
2p4y_4jsz_ligand_34,2p4y,4jsz_ligand_34
2p4y_4jsz_ligand_350,2p4y,4jsz_ligand_350
2p4y_4jsz_ligand_385,2p4y,4jsz_ligand_385
2p4y_4jsz_ligand_184,2p4y,4jsz_ligand_184
2p4y_4jsz_ligand_343,2p4y,4jsz_ligand_343
2p4y_4jsz_ligand_336,2p4y,4jsz_ligand_336
2p4y_4jsz_ligand_15,2p4y,4jsz_ligand_15
2p4y_4jsz_ligand_435,2p4y,4jsz_ligand_435
2p4y_4jsz_ligand_301,2p4y,4jsz_ligand_301
2p4y_4jsz_ligand_267,2p4y,4jsz_ligand_267
2p4y_4jsz_ligand_196,2p4y,4jsz_ligand_196
2p4y_4jsz_ligand_297,2p4y,4jsz_ligand_297
2p4y_4jsz_ligand_261,2p4y,4jsz_ligand_261
2p4y_4jsz_ligand_26,2p4y,4jsz_ligand_26
2p4y_4jsz_ligand_330,2p4y,4jsz_ligand_330
2p4y_4jsz_ligand_320,2p4y,4jsz_ligand_320
2p4y_4jsz_ligand_346,2p4y,4jsz_ligand_346
2p4y_4jsz_ligand_128,2p4y,4jsz_ligand_128
2p4y_4jsz_ligand_72,2p4y,4jsz_ligand_72
2p4y_4jsz_ligand_172,2p4y,4jsz_ligand_172
2p4y_4jsz_ligand_117,2p4y,4jsz_ligand_117
2p4y_4jsz_ligand_308,2p4y,4jsz_ligand_308
2p4y_4jsz_ligand_205,2p4y,4jsz_ligand_205
2p4y_4jsz_ligand_60,2p4y,4jsz_ligand_60
2p4y_4jsz_ligand_126,2p4y,4jsz_ligand_126
2p4y_4jsz_ligand_193,2p4y,4jsz_ligand_193
2p4y_4jsz_ligand_230,2p4y,4jsz_ligand_230
2p4y_4jsz_ligand_484,2p4y,4jsz_ligand_484
2p4y_4jsz_ligand_441,2p4y,4jsz_ligand_441
2p4y_4jsz_ligand_204,2p4y,4jsz_ligand_204
2p4y_4jsz_ligand_163,2p4y,4jsz_ligand_163
2p4y_4jsz_ligand_254,2p4y,4jsz_ligand_254
2p4y_4jsz_ligand_307,2p4y,4jsz_ligand_307
2p4y_4jsz_ligand_290,2p4y,4jsz_ligand_290
2p4y_4jsz_ligand_321,2p4y,4jsz_ligand_321
2p4y_4jsz_ligand_413,2p4y,4jsz_ligand_413
2p4y_4jsz_ligand_311,2p4y,4jsz_ligand_311
2p4y_4jsz_ligand_127,2p4y,4jsz_ligand_127
2p4y_4jsz_ligand_116,2p4y,4jsz_ligand_116
2p4y_4jsz_ligand_160,2p4y,4jsz_ligand_160
2p4y_4jsz_ligand_384,2p4y,4jsz_ligand_384
2p4y_4jsz_ligand_347,2p4y,4jsz_ligand_347
2p4y_4jsz_ligand_251,2p4y,4jsz_ligand_251
2p4y_4jsz_ligand_57,2p4y,4jsz_ligand_57
2p4y_4jsz_ligand_291,2p4y,4jsz_ligand_291
2p4y_4jsz_ligand_393,2p4y,4jsz_ligand_393
2p4y_4jsz_ligand_158,2p4y,4jsz_ligand_158
2p4y_4jsz_ligand_316,2p4y,4jsz_ligand_316
2p4y_4jsz_ligand_239,2p4y,4jsz_ligand_239
2p4y_4jsz_ligand_206,2p4y,4jsz_ligand_206
2p4y_4jsz_ligand_328,2p4y,4jsz_ligand_328
2p4y_4jsz_ligand_314,2p4y,4jsz_ligand_314
2p4y_4jsz_ligand_189,2p4y,4jsz_ligand_189
2p4y_4jsz_ligand_246,2p4y,4jsz_ligand_246
2p4y_4jsz_ligand_233,2p4y,4jsz_ligand_233
2p4y_4jsz_ligand_349,2p4y,4jsz_ligand_349
2p4y_4jsz_ligand_86,2p4y,4jsz_ligand_86
2p4y_4jsz_ligand_195,2p4y,4jsz_ligand_195
2p4y_4jsz_ligand_173,2p4y,4jsz_ligand_173
2p4y_4jsz_ligand_81,2p4y,4jsz_ligand_81
2p4y_4jsz_ligand_389,2p4y,4jsz_ligand_389
2p4y_4jsz_ligand_309,2p4y,4jsz_ligand_309
2p4y_4jsz_ligand_190,2p4y,4jsz_ligand_190
2p4y_4jsz_ligand_334,2p4y,4jsz_ligand_334
2p4y_4jsz_ligand_303,2p4y,4jsz_ligand_303
2p4y_4jsz_ligand_174,2p4y,4jsz_ligand_174
2p4y_4jsz_ligand_155,2p4y,4jsz_ligand_155
2p4y_4jsz_ligand_216,2p4y,4jsz_ligand_216
2p4y_4jsz_ligand_118,2p4y,4jsz_ligand_118
2p4y_4jsz_ligand_14,2p4y,4jsz_ligand_14
2p4y_4jsz_ligand_194,2p4y,4jsz_ligand_194
2p4y_4jsz_ligand_197,2p4y,4jsz_ligand_197
2p4y_4jsz_ligand_49,2p4y,4jsz_ligand_49
2p4y_4jsz_ligand_240,2p4y,4jsz_ligand_240
2p4y_4jsz_ligand_422,2p4y,4jsz_ligand_422
2p4y_4jsz_ligand_147,2p4y,4jsz_ligand_147
2p4y_4jsz_ligand_238,2p4y,4jsz_ligand_238
2p4y_4jsz_ligand_298,2p4y,4jsz_ligand_298
2p4y_4jsz_ligand_183,2p4y,4jsz_ligand_183
2p4y_4jsz_ligand_210,2p4y,4jsz_ligand_210
2p4y_4jsz_ligand_294,2p4y,4jsz_ligand_294
2p4y_4jsz_ligand_268,2p4y,4jsz_ligand_268
2p4y_4jsz_ligand_331,2p4y,4jsz_ligand_331
2p4y_4jsz_ligand_327,2p4y,4jsz_ligand_327
2p4y_4jsz_ligand_226,2p4y,4jsz_ligand_226
2p4y_4jsz_ligand_185,2p4y,4jsz_ligand_185
2p4y_4jsz_ligand_302,2p4y,4jsz_ligand_302
2p4y_4jsz_ligand_287,2p4y,4jsz_ligand_287
2p4y_4jsz_ligand_360,2p4y,4jsz_ligand_360
2p4y_4jsz_ligand_207,2p4y,4jsz_ligand_207
2p4y_4jsz_ligand_345,2p4y,4jsz_ligand_345
2p4y_4jsz_ligand_20,2p4y,4jsz_ligand_20
2p4y_4jsz_ligand_234,2p4y,4jsz_ligand_234
2p4y_4jsz_ligand_168,2p4y,4jsz_ligand_168
2p4y_4jsz_ligand_355,2p4y,4jsz_ligand_355
2p4y_4jsz_ligand_76,2p4y,4jsz_ligand_76
2p4y_4jsz_ligand_51,2p4y,4jsz_ligand_51
2p4y_4jsz_ligand_237,2p4y,4jsz_ligand_237
2p4y_4jsz_ligand_69,2p4y,4jsz_ligand_69
2p4y_3n86_ligand_19,2p4y,3n86_ligand_19
2p4y_3n86_ligand_196,2p4y,3n86_ligand_196
2p4y_3n86_ligand_297,2p4y,3n86_ligand_297
2p4y_3n86_ligand_192,2p4y,3n86_ligand_192
2p4y_3n86_ligand_147,2p4y,3n86_ligand_147
2p4y_3n86_ligand_87,2p4y,3n86_ligand_87
2p4y_3n86_ligand_478,2p4y,3n86_ligand_478
2p4y_3n86_ligand_205,2p4y,3n86_ligand_205
2p4y_3n86_ligand_287,2p4y,3n86_ligand_287
2p4y_3n86_ligand_381,2p4y,3n86_ligand_381
2p4y_3n86_ligand_144,2p4y,3n86_ligand_144
2p4y_3n86_ligand_210,2p4y,3n86_ligand_210
2p4y_3n86_ligand_345,2p4y,3n86_ligand_345
2p4y_3n86_ligand_24,2p4y,3n86_ligand_24
2p4y_3n86_ligand_385,2p4y,3n86_ligand_385
2p4y_3n86_ligand_420,2p4y,3n86_ligand_420
2p4y_3n86_ligand_320,2p4y,3n86_ligand_320
2p4y_3n86_ligand_176,2p4y,3n86_ligand_176
2p4y_3n86_ligand_368,2p4y,3n86_ligand_368
2p4y_3n86_ligand_128,2p4y,3n86_ligand_128
2p4y_3n86_ligand_411,2p4y,3n86_ligand_411
2p4y_3n86_ligand_311,2p4y,3n86_ligand_311
2p4y_3n86_ligand_125,2p4y,3n86_ligand_125
2p4y_3n86_ligand_172,2p4y,3n86_ligand_172
2p4y_3n86_ligand_127,2p4y,3n86_ligand_127
2p4y_3n86_ligand_265,2p4y,3n86_ligand_265
2p4y_3n86_ligand_219,2p4y,3n86_ligand_219
2p4y_3n86_ligand_69,2p4y,3n86_ligand_69
2p4y_3n86_ligand_304,2p4y,3n86_ligand_304
2p4y_3n86_ligand_89,2p4y,3n86_ligand_89
2p4y_3n86_ligand_18,2p4y,3n86_ligand_18
2p4y_3n86_ligand_335,2p4y,3n86_ligand_335
2p4y_3n86_ligand_223,2p4y,3n86_ligand_223
2p4y_3n86_ligand_284,2p4y,3n86_ligand_284
2p4y_3n86_ligand_327,2p4y,3n86_ligand_327
2p4y_3n86_ligand_330,2p4y,3n86_ligand_330
2p4y_3n86_ligand_366,2p4y,3n86_ligand_366
2p4y_3n86_ligand_469,2p4y,3n86_ligand_469
2p4y_3n86_ligand_292,2p4y,3n86_ligand_292
2p4y_3n86_ligand_59,2p4y,3n86_ligand_59
2p4y_3n86_ligand_387,2p4y,3n86_ligand_387
2p4y_3n86_ligand_489,2p4y,3n86_ligand_489
2p4y_3n86_ligand_347,2p4y,3n86_ligand_347
2p4y_3n86_ligand_243,2p4y,3n86_ligand_243
2p4y_3n86_ligand_277,2p4y,3n86_ligand_277
2p4y_3n86_ligand_341,2p4y,3n86_ligand_341
2p4y_3n86_ligand_189,2p4y,3n86_ligand_189
2p4y_3n86_ligand_215,2p4y,3n86_ligand_215
2p4y_3n86_ligand_16,2p4y,3n86_ligand_16
2p4y_3n86_ligand_393,2p4y,3n86_ligand_393
2p4y_3n86_ligand_86,2p4y,3n86_ligand_86
2p4y_3n86_ligand_183,2p4y,3n86_ligand_183
2p4y_3n86_ligand_164,2p4y,3n86_ligand_164
2p4y_3n86_ligand_158,2p4y,3n86_ligand_158
2p4y_3n86_ligand_400,2p4y,3n86_ligand_400
2p4y_3n86_ligand_255,2p4y,3n86_ligand_255
2p4y_3n86_ligand_431,2p4y,3n86_ligand_431
2p4y_3n86_ligand_235,2p4y,3n86_ligand_235
2p4y_3n86_ligand_193,2p4y,3n86_ligand_193
2p4y_3n86_ligand_168,2p4y,3n86_ligand_168
2p4y_3n86_ligand_395,2p4y,3n86_ligand_395
2p4y_3n86_ligand_278,2p4y,3n86_ligand_278
2p4y_3n86_ligand_272,2p4y,3n86_ligand_272
2p4y_3n86_ligand_200,2p4y,3n86_ligand_200
2p4y_3n86_ligand_482,2p4y,3n86_ligand_482
2p4y_3n86_ligand_396,2p4y,3n86_ligand_396
2p4y_3n86_ligand_318,2p4y,3n86_ligand_318
2p4y_3n86_ligand_233,2p4y,3n86_ligand_233
2p4y_3n86_ligand_448,2p4y,3n86_ligand_448
2p4y_3n86_ligand_107,2p4y,3n86_ligand_107
2p4y_3n86_ligand_461,2p4y,3n86_ligand_461
2p4y_3n86_ligand_352,2p4y,3n86_ligand_352
2p4y_3n86_ligand_310,2p4y,3n86_ligand_310
2p4y_3n86_ligand_392,2p4y,3n86_ligand_392
2p4y_3n86_ligand_166,2p4y,3n86_ligand_166
2p4y_3n86_ligand_321,2p4y,3n86_ligand_321
2p4y_3n86_ligand_206,2p4y,3n86_ligand_206
2p4y_3n86_ligand_150,2p4y,3n86_ligand_150
2p4y_3n86_ligand_273,2p4y,3n86_ligand_273
2p4y_3n86_ligand_120,2p4y,3n86_ligand_120
2p4y_3n86_ligand_170,2p4y,3n86_ligand_170
2p4y_3n86_ligand_416,2p4y,3n86_ligand_416
2p4y_3n86_ligand_380,2p4y,3n86_ligand_380
2p4y_3n86_ligand_383,2p4y,3n86_ligand_383
2p4y_3n86_ligand_140,2p4y,3n86_ligand_140
2p4y_3n86_ligand_487,2p4y,3n86_ligand_487
2p4y_3n86_ligand_113,2p4y,3n86_ligand_113
2p4y_3n86_ligand_167,2p4y,3n86_ligand_167
2p4y_3n86_ligand_157,2p4y,3n86_ligand_157
2p4y_3n86_ligand_437,2p4y,3n86_ligand_437
2p4y_3n86_ligand_444,2p4y,3n86_ligand_444
2p4y_3n86_ligand_230,2p4y,3n86_ligand_230
2p4y_3n86_ligand_190,2p4y,3n86_ligand_190
2p4y_3n86_ligand_76,2p4y,3n86_ligand_76
2p4y_3n86_ligand_194,2p4y,3n86_ligand_194
2p4y_3n86_ligand_225,2p4y,3n86_ligand_225
2p4y_3n86_ligand_382,2p4y,3n86_ligand_382
2p4y_3n86_ligand_364,2p4y,3n86_ligand_364
2p4y_3n86_ligand_198,2p4y,3n86_ligand_198
2p4y_3n86_ligand_343,2p4y,3n86_ligand_343
2p4y_3gbb_ligand_203,2p4y,3gbb_ligand_203
2p4y_3gbb_ligand_108,2p4y,3gbb_ligand_108
2p4y_3gbb_ligand_168,2p4y,3gbb_ligand_168
2p4y_3gbb_ligand_430,2p4y,3gbb_ligand_430
2p4y_3gbb_ligand_319,2p4y,3gbb_ligand_319
2p4y_3gbb_ligand_66,2p4y,3gbb_ligand_66
2p4y_3gbb_ligand_220,2p4y,3gbb_ligand_220
2p4y_3gbb_ligand_263,2p4y,3gbb_ligand_263
2p4y_3gbb_ligand_9,2p4y,3gbb_ligand_9
2p4y_3gbb_ligand_126,2p4y,3gbb_ligand_126
2p4y_3gbb_ligand_172,2p4y,3gbb_ligand_172
2p4y_3gbb_ligand_494,2p4y,3gbb_ligand_494
2p4y_3gbb_ligand_344,2p4y,3gbb_ligand_344
2p4y_3gbb_ligand_159,2p4y,3gbb_ligand_159
2p4y_3gbb_ligand_259,2p4y,3gbb_ligand_259
2p4y_3gbb_ligand_132,2p4y,3gbb_ligand_132
2p4y_3gbb_ligand_447,2p4y,3gbb_ligand_447
2p4y_3gbb_ligand_293,2p4y,3gbb_ligand_293
2p4y_3gbb_ligand_221,2p4y,3gbb_ligand_221
2p4y_3gbb_ligand_226,2p4y,3gbb_ligand_226
2p4y_3gbb_ligand_218,2p4y,3gbb_ligand_218
2p4y_3gbb_ligand_439,2p4y,3gbb_ligand_439
2p4y_3gbb_ligand_500,2p4y,3gbb_ligand_500
2p4y_3gbb_ligand_260,2p4y,3gbb_ligand_260
2p4y_3gbb_ligand_288,2p4y,3gbb_ligand_288
2p4y_3gbb_ligand_136,2p4y,3gbb_ligand_136
2p4y_3gbb_ligand_396,2p4y,3gbb_ligand_396
2p4y_3gbb_ligand_282,2p4y,3gbb_ligand_282
2p4y_3gbb_ligand_361,2p4y,3gbb_ligand_361
2p4y_3gbb_ligand_399,2p4y,3gbb_ligand_399
2p4y_3gbb_ligand_179,2p4y,3gbb_ligand_179
2p4y_3gbb_ligand_297,2p4y,3gbb_ligand_297
2p4y_3gbb_ligand_153,2p4y,3gbb_ligand_153
2p4y_3gbb_ligand_234,2p4y,3gbb_ligand_234
2p4y_3gbb_ligand_241,2p4y,3gbb_ligand_241
2p4y_3gbb_ligand_118,2p4y,3gbb_ligand_118
2p4y_3gbb_ligand_274,2p4y,3gbb_ligand_274
2p4y_3gbb_ligand_122,2p4y,3gbb_ligand_122
2p4y_3gbb_ligand_261,2p4y,3gbb_ligand_261
2p4y_3gbb_ligand_307,2p4y,3gbb_ligand_307
2p4y_3gbb_ligand_79,2p4y,3gbb_ligand_79
2p4y_3gbb_ligand_389,2p4y,3gbb_ligand_389
2p4y_3gbb_ligand_198,2p4y,3gbb_ligand_198
2p4y_3gbb_ligand_199,2p4y,3gbb_ligand_199
2p4y_3gbb_ligand_382,2p4y,3gbb_ligand_382
2p4y_3gbb_ligand_12,2p4y,3gbb_ligand_12
2p4y_3gbb_ligand_134,2p4y,3gbb_ligand_134
2p4y_3gbb_ligand_450,2p4y,3gbb_ligand_450
2p4y_3gbb_ligand_82,2p4y,3gbb_ligand_82
2p4y_3gbb_ligand_94,2p4y,3gbb_ligand_94
2p4y_3gbb_ligand_318,2p4y,3gbb_ligand_318
2p4y_3gbb_ligand_113,2p4y,3gbb_ligand_113
2p4y_3gbb_ligand_21,2p4y,3gbb_ligand_21
2p4y_3gbb_ligand_497,2p4y,3gbb_ligand_497
2p4y_3gbb_ligand_202,2p4y,3gbb_ligand_202
2p4y_3gbb_ligand_236,2p4y,3gbb_ligand_236
2p4y_3gbb_ligand_150,2p4y,3gbb_ligand_150
2p4y_3gbb_ligand_289,2p4y,3gbb_ligand_289
2p4y_3gbb_ligand_37,2p4y,3gbb_ligand_37
2p4y_3gbb_ligand_398,2p4y,3gbb_ligand_398
2p4y_3gbb_ligand_197,2p4y,3gbb_ligand_197
2p4y_3gbb_ligand_294,2p4y,3gbb_ligand_294
2p4y_3gbb_ligand_74,2p4y,3gbb_ligand_74
2p4y_3gbb_ligand_341,2p4y,3gbb_ligand_341
2p4y_3gbb_ligand_349,2p4y,3gbb_ligand_349
2p4y_3gbb_ligand_301,2p4y,3gbb_ligand_301
2p4y_3gbb_ligand_30,2p4y,3gbb_ligand_30
2p4y_3gbb_ligand_98,2p4y,3gbb_ligand_98
2p4y_3gbb_ligand_44,2p4y,3gbb_ligand_44
2p4y_3gbb_ligand_223,2p4y,3gbb_ligand_223
2p4y_3gbb_ligand_324,2p4y,3gbb_ligand_324
2p4y_3gbb_ligand_275,2p4y,3gbb_ligand_275
2p4y_3gbb_ligand_488,2p4y,3gbb_ligand_488
2p4y_3gbb_ligand_280,2p4y,3gbb_ligand_280
2p4y_3gbb_ligand_240,2p4y,3gbb_ligand_240
2p4y_3gbb_ligand_184,2p4y,3gbb_ligand_184
2p4y_3gbb_ligand_329,2p4y,3gbb_ligand_329
2p4y_3gbb_ligand_448,2p4y,3gbb_ligand_448
2p4y_3gbb_ligand_276,2p4y,3gbb_ligand_276
2p4y_3gbb_ligand_110,2p4y,3gbb_ligand_110
2p4y_3gbb_ligand_174,2p4y,3gbb_ligand_174
2p4y_3gbb_ligand_32,2p4y,3gbb_ligand_32
2p4y_3gbb_ligand_338,2p4y,3gbb_ligand_338
2p4y_3gbb_ligand_290,2p4y,3gbb_ligand_290
2p4y_3gbb_ligand_104,2p4y,3gbb_ligand_104
2p4y_3gbb_ligand_474,2p4y,3gbb_ligand_474
2p4y_3gbb_ligand_279,2p4y,3gbb_ligand_279
2p4y_3gbb_ligand_157,2p4y,3gbb_ligand_157
2p4y_3gbb_ligand_75,2p4y,3gbb_ligand_75
2p4y_3gbb_ligand_55,2p4y,3gbb_ligand_55
2p4y_3gbb_ligand_333,2p4y,3gbb_ligand_333
2p4y_3gbb_ligand_243,2p4y,3gbb_ligand_243
2p4y_3gbb_ligand_305,2p4y,3gbb_ligand_305
2p4y_3gbb_ligand_213,2p4y,3gbb_ligand_213
2p4y_3gbb_ligand_355,2p4y,3gbb_ligand_355
2p4y_3gbb_ligand_119,2p4y,3gbb_ligand_119
2p4y_3gbb_ligand_304,2p4y,3gbb_ligand_304
2p4y_3gbb_ligand_80,2p4y,3gbb_ligand_80
2p4y_3gbb_ligand_183,2p4y,3gbb_ligand_183
2p4y_3gbb_ligand_384,2p4y,3gbb_ligand_384
2p4y_1ps3_ligand_267,2p4y,1ps3_ligand_267
2p4y_1ps3_ligand_476,2p4y,1ps3_ligand_476
2p4y_1ps3_ligand_495,2p4y,1ps3_ligand_495
2p4y_1ps3_ligand_196,2p4y,1ps3_ligand_196
2p4y_1ps3_ligand_374,2p4y,1ps3_ligand_374
2p4y_1ps3_ligand_248,2p4y,1ps3_ligand_248
2p4y_1ps3_ligand_311,2p4y,1ps3_ligand_311
2p4y_1ps3_ligand_206,2p4y,1ps3_ligand_206
2p4y_1ps3_ligand_91,2p4y,1ps3_ligand_91
2p4y_1ps3_ligand_59,2p4y,1ps3_ligand_59
2p4y_1ps3_ligand_460,2p4y,1ps3_ligand_460
2p4y_1ps3_ligand_299,2p4y,1ps3_ligand_299
2p4y_1ps3_ligand_397,2p4y,1ps3_ligand_397
2p4y_1ps3_ligand_331,2p4y,1ps3_ligand_331
2p4y_1ps3_ligand_92,2p4y,1ps3_ligand_92
2p4y_1ps3_ligand_131,2p4y,1ps3_ligand_131
2p4y_1ps3_ligand_387,2p4y,1ps3_ligand_387
2p4y_1ps3_ligand_319,2p4y,1ps3_ligand_319
2p4y_1ps3_ligand_2,2p4y,1ps3_ligand_2
2p4y_1ps3_ligand_324,2p4y,1ps3_ligand_324
2p4y_1ps3_ligand_104,2p4y,1ps3_ligand_104
2p4y_1ps3_ligand_475,2p4y,1ps3_ligand_475
2p4y_1ps3_ligand_284,2p4y,1ps3_ligand_284
2p4y_1ps3_ligand_151,2p4y,1ps3_ligand_151
2p4y_1ps3_ligand_72,2p4y,1ps3_ligand_72
2p4y_1ps3_ligand_209,2p4y,1ps3_ligand_209
2p4y_1ps3_ligand_48,2p4y,1ps3_ligand_48
2p4y_1ps3_ligand_384,2p4y,1ps3_ligand_384
2p4y_1ps3_ligand_474,2p4y,1ps3_ligand_474
2p4y_1ps3_ligand_388,2p4y,1ps3_ligand_388
