index,protein,decoy_name
2qbp_4jsz_ligand_186,2qbp,4jsz_ligand_186
2qbp_4jsz_ligand_282,2qbp,4jsz_ligand_282
2qbp_4jsz_ligand_277,2qbp,4jsz_ligand_277
2qbp_4jsz_ligand_220,2qbp,4jsz_ligand_220
2qbp_4jsz_ligand_385,2qbp,4jsz_ligand_385
2qbp_4jsz_ligand_368,2qbp,4jsz_ligand_368
2qbp_4jsz_ligand_373,2qbp,4jsz_ligand_373
2qbp_4jsz_ligand_184,2qbp,4jsz_ligand_184
2qbp_4jsz_ligand_394,2qbp,4jsz_ligand_394
2qbp_4jsz_ligand_367,2qbp,4jsz_ligand_367
2qbp_4jsz_ligand_388,2qbp,4jsz_ligand_388
2qbp_4jsz_ligand_343,2qbp,4jsz_ligand_343
2qbp_4jsz_ligand_74,2qbp,4jsz_ligand_74
2qbp_4jsz_ligand_341,2qbp,4jsz_ligand_341
2qbp_4jsz_ligand_267,2qbp,4jsz_ligand_267
2qbp_4jsz_ligand_392,2qbp,4jsz_ligand_392
2qbp_4jsz_ligand_297,2qbp,4jsz_ligand_297
2qbp_4jsz_ligand_378,2qbp,4jsz_ligand_378
2qbp_4jsz_ligand_400,2qbp,4jsz_ligand_400
2qbp_4jsz_ligand_191,2qbp,4jsz_ligand_191
2qbp_4jsz_ligand_325,2qbp,4jsz_ligand_325
2qbp_4jsz_ligand_346,2qbp,4jsz_ligand_346
2qbp_4jsz_ligand_171,2qbp,4jsz_ligand_171
2qbp_4jsz_ligand_172,2qbp,4jsz_ligand_172
2qbp_4jsz_ligand_33,2qbp,4jsz_ligand_33
2qbp_4jsz_ligand_296,2qbp,4jsz_ligand_296
2qbp_4jsz_ligand_4,2qbp,4jsz_ligand_4
2qbp_4jsz_ligand_281,2qbp,4jsz_ligand_281
2qbp_4jsz_ligand_100,2qbp,4jsz_ligand_100
2qbp_4jsz_ligand_167,2qbp,4jsz_ligand_167
2qbp_4jsz_ligand_205,2qbp,4jsz_ligand_205
2qbp_4jsz_ligand_390,2qbp,4jsz_ligand_390
2qbp_4jsz_ligand_193,2qbp,4jsz_ligand_193
2qbp_4jsz_ligand_222,2qbp,4jsz_ligand_222
2qbp_4jsz_ligand_204,2qbp,4jsz_ligand_204
2qbp_4jsz_ligand_179,2qbp,4jsz_ligand_179
2qbp_4jsz_ligand_324,2qbp,4jsz_ligand_324
2qbp_4jsz_ligand_219,2qbp,4jsz_ligand_219
2qbp_4jsz_ligand_254,2qbp,4jsz_ligand_254
2qbp_4jsz_ligand_307,2qbp,4jsz_ligand_307
2qbp_4jsz_ligand_398,2qbp,4jsz_ligand_398
2qbp_4jsz_ligand_321,2qbp,4jsz_ligand_321
2qbp_4jsz_ligand_198,2qbp,4jsz_ligand_198
2qbp_4jsz_ligand_311,2qbp,4jsz_ligand_311
2qbp_4jsz_ligand_379,2qbp,4jsz_ligand_379
2qbp_4jsz_ligand_384,2qbp,4jsz_ligand_384
2qbp_4jsz_ligand_177,2qbp,4jsz_ligand_177
2qbp_4jsz_ligand_218,2qbp,4jsz_ligand_218
2qbp_4jsz_ligand_139,2qbp,4jsz_ligand_139
2qbp_4jsz_ligand_393,2qbp,4jsz_ligand_393
2qbp_4jsz_ligand_208,2qbp,4jsz_ligand_208
2qbp_4jsz_ligand_260,2qbp,4jsz_ligand_260
2qbp_4jsz_ligand_232,2qbp,4jsz_ligand_232
2qbp_4jsz_ligand_263,2qbp,4jsz_ligand_263
