index,protein,decoy_name
2r9w_4jsz_ligand_292,2r9w,4jsz_ligand_292
2r9w_4jsz_ligand_317,2r9w,4jsz_ligand_317
2r9w_4jsz_ligand_418,2r9w,4jsz_ligand_418
2r9w_4jsz_ligand_184,2r9w,4jsz_ligand_184
2r9w_4jsz_ligand_259,2r9w,4jsz_ligand_259
2r9w_4jsz_ligand_388,2r9w,4jsz_ligand_388
2r9w_4jsz_ligand_180,2r9w,4jsz_ligand_180
2r9w_4jsz_ligand_131,2r9w,4jsz_ligand_131
2r9w_4jsz_ligand_280,2r9w,4jsz_ligand_280
2r9w_4jsz_ligand_212,2r9w,4jsz_ligand_212
2r9w_4jsz_ligand_341,2r9w,4jsz_ligand_341
2r9w_4jsz_ligand_111,2r9w,4jsz_ligand_111
2r9w_4jsz_ligand_267,2r9w,4jsz_ligand_267
2r9w_4jsz_ligand_249,2r9w,4jsz_ligand_249
2r9w_4jsz_ligand_164,2r9w,4jsz_ligand_164
2r9w_4jsz_ligand_191,2r9w,4jsz_ligand_191
2r9w_4jsz_ligand_61,2r9w,4jsz_ligand_61
2r9w_4jsz_ligand_325,2r9w,4jsz_ligand_325
2r9w_4jsz_ligand_182,2r9w,4jsz_ligand_182
2r9w_4jsz_ligand_199,2r9w,4jsz_ligand_199
2r9w_4jsz_ligand_255,2r9w,4jsz_ligand_255
2r9w_4jsz_ligand_236,2r9w,4jsz_ligand_236
2r9w_4jsz_ligand_171,2r9w,4jsz_ligand_171
2r9w_4jsz_ligand_329,2r9w,4jsz_ligand_329
2r9w_4jsz_ligand_33,2r9w,4jsz_ligand_33
2r9w_4jsz_ligand_296,2r9w,4jsz_ligand_296
2r9w_4jsz_ligand_308,2r9w,4jsz_ligand_308
2r9w_4jsz_ligand_273,2r9w,4jsz_ligand_273
2r9w_4jsz_ligand_23,2r9w,4jsz_ligand_23
2r9w_4jsz_ligand_337,2r9w,4jsz_ligand_337
2r9w_4jsz_ligand_167,2r9w,4jsz_ligand_167
2r9w_4jsz_ligand_205,2r9w,4jsz_ligand_205
2r9w_4jsz_ligand_193,2r9w,4jsz_ligand_193
2r9w_4jsz_ligand_230,2r9w,4jsz_ligand_230
2r9w_4jsz_ligand_221,2r9w,4jsz_ligand_221
2r9w_4jsz_ligand_484,2r9w,4jsz_ligand_484
2r9w_4jsz_ligand_283,2r9w,4jsz_ligand_283
2r9w_4jsz_ligand_222,2r9w,4jsz_ligand_222
2r9w_4jsz_ligand_163,2r9w,4jsz_ligand_163
2r9w_4jsz_ligand_170,2r9w,4jsz_ligand_170
2r9w_4jsz_ligand_235,2r9w,4jsz_ligand_235
2r9w_4jsz_ligand_372,2r9w,4jsz_ligand_372
2r9w_4jsz_ligand_266,2r9w,4jsz_ligand_266
2r9w_4jsz_ligand_288,2r9w,4jsz_ligand_288
2r9w_4jsz_ligand_269,2r9w,4jsz_ligand_269
2r9w_4jsz_ligand_247,2r9w,4jsz_ligand_247
2r9w_4jsz_ligand_218,2r9w,4jsz_ligand_218
2r9w_4jsz_ligand_291,2r9w,4jsz_ligand_291
2r9w_4jsz_ligand_181,2r9w,4jsz_ligand_181
2r9w_4jsz_ligand_393,2r9w,4jsz_ligand_393
2r9w_4jsz_ligand_386,2r9w,4jsz_ligand_386
2r9w_4jsz_ligand_223,2r9w,4jsz_ligand_223
2r9w_4jsz_ligand_414,2r9w,4jsz_ligand_414
2r9w_4jsz_ligand_258,2r9w,4jsz_ligand_258
2r9w_4jsz_ligand_316,2r9w,4jsz_ligand_316
2r9w_4jsz_ligand_176,2r9w,4jsz_ligand_176
2r9w_4jsz_ligand_263,2r9w,4jsz_ligand_263
2r9w_4jsz_ligand_270,2r9w,4jsz_ligand_270
2r9w_4jsz_ligand_300,2r9w,4jsz_ligand_300
2r9w_4jsz_ligand_314,2r9w,4jsz_ligand_314
2r9w_4jsz_ligand_399,2r9w,4jsz_ligand_399
2r9w_4jsz_ligand_217,2r9w,4jsz_ligand_217
2r9w_4jsz_ligand_285,2r9w,4jsz_ligand_285
2r9w_4jsz_ligand_349,2r9w,4jsz_ligand_349
2r9w_4jsz_ligand_257,2r9w,4jsz_ligand_257
2r9w_4jsz_ligand_87,2r9w,4jsz_ligand_87
2r9w_4jsz_ligand_213,2r9w,4jsz_ligand_213
2r9w_4jsz_ligand_319,2r9w,4jsz_ligand_319
2r9w_4jsz_ligand_478,2r9w,4jsz_ligand_478
2r9w_4jsz_ligand_214,2r9w,4jsz_ligand_214
2r9w_4jsz_ligand_299,2r9w,4jsz_ligand_299
2r9w_4jsz_ligand_227,2r9w,4jsz_ligand_227
2r9w_4jsz_ligand_371,2r9w,4jsz_ligand_371
2r9w_4jsz_ligand_293,2r9w,4jsz_ligand_293
2r9w_4jsz_ligand_21,2r9w,4jsz_ligand_21
2r9w_4jsz_ligand_240,2r9w,4jsz_ligand_240
2r9w_4jsz_ligand_279,2r9w,4jsz_ligand_279
2r9w_4jsz_ligand_410,2r9w,4jsz_ligand_410
2r9w_4jsz_ligand_252,2r9w,4jsz_ligand_252
2r9w_4jsz_ligand_376,2r9w,4jsz_ligand_376
2r9w_4jsz_ligand_322,2r9w,4jsz_ligand_322
2r9w_4jsz_ligand_238,2r9w,4jsz_ligand_238
2r9w_4jsz_ligand_298,2r9w,4jsz_ligand_298
2r9w_4jsz_ligand_102,2r9w,4jsz_ligand_102
2r9w_4jsz_ligand_48,2r9w,4jsz_ligand_48
2r9w_4jsz_ligand_248,2r9w,4jsz_ligand_248
2r9w_4jsz_ligand_211,2r9w,4jsz_ligand_211
2r9w_4jsz_ligand_294,2r9w,4jsz_ligand_294
2r9w_4jsz_ligand_449,2r9w,4jsz_ligand_449
2r9w_4jsz_ligand_431,2r9w,4jsz_ligand_431
2r9w_4jsz_ligand_146,2r9w,4jsz_ligand_146
2r9w_4jsz_ligand_30,2r9w,4jsz_ligand_30
2r9w_4jsz_ligand_265,2r9w,4jsz_ligand_265
2r9w_4jsz_ligand_340,2r9w,4jsz_ligand_340
2r9w_4jsz_ligand_287,2r9w,4jsz_ligand_287
2r9w_4jsz_ligand_305,2r9w,4jsz_ligand_305
2r9w_4jsz_ligand_234,2r9w,4jsz_ligand_234
2r9w_4jsz_ligand_425,2r9w,4jsz_ligand_425
