index,protein,decoy_name
2vvn_4jsz_ligand_477,2vvn,4jsz_ligand_477
2vvn_4jsz_ligand_292,2vvn,4jsz_ligand_292
2vvn_4jsz_ligand_215,2vvn,4jsz_ligand_215
2vvn_4jsz_ligand_202,2vvn,4jsz_ligand_202
2vvn_4jsz_ligand_54,2vvn,4jsz_ligand_54
2vvn_4jsz_ligand_277,2vvn,4jsz_ligand_277
2vvn_4jsz_ligand_184,2vvn,4jsz_ligand_184
2vvn_4jsz_ligand_259,2vvn,4jsz_ligand_259
2vvn_4jsz_ligand_280,2vvn,4jsz_ligand_280
2vvn_4jsz_ligand_343,2vvn,4jsz_ligand_343
2vvn_4jsz_ligand_336,2vvn,4jsz_ligand_336
2vvn_4jsz_ligand_301,2vvn,4jsz_ligand_301
2vvn_4jsz_ligand_85,2vvn,4jsz_ligand_85
2vvn_4jsz_ligand_196,2vvn,4jsz_ligand_196
2vvn_4jsz_ligand_31,2vvn,4jsz_ligand_31
2vvn_4jsz_ligand_67,2vvn,4jsz_ligand_67
2vvn_4jsz_ligand_297,2vvn,4jsz_ligand_297
2vvn_4jsz_ligand_138,2vvn,4jsz_ligand_138
2vvn_4jsz_ligand_244,2vvn,4jsz_ligand_244
2vvn_4jsz_ligand_249,2vvn,4jsz_ligand_249
2vvn_4jsz_ligand_199,2vvn,4jsz_ligand_199
2vvn_4jsz_ligand_304,2vvn,4jsz_ligand_304
2vvn_4jsz_ligand_320,2vvn,4jsz_ligand_320
2vvn_4jsz_ligand_346,2vvn,4jsz_ligand_346
2vvn_4jsz_ligand_236,2vvn,4jsz_ligand_236
2vvn_4jsz_ligand_225,2vvn,4jsz_ligand_225
2vvn_4jsz_ligand_448,2vvn,4jsz_ligand_448
2vvn_4jsz_ligand_332,2vvn,4jsz_ligand_332
2vvn_4jsz_ligand_329,2vvn,4jsz_ligand_329
2vvn_4jsz_ligand_296,2vvn,4jsz_ligand_296
2vvn_4jsz_ligand_308,2vvn,4jsz_ligand_308
2vvn_4jsz_ligand_4,2vvn,4jsz_ligand_4
2vvn_4jsz_ligand_94,2vvn,4jsz_ligand_94
2vvn_4jsz_ligand_273,2vvn,4jsz_ligand_273
2vvn_4jsz_ligand_337,2vvn,4jsz_ligand_337
2vvn_4jsz_ligand_167,2vvn,4jsz_ligand_167
2vvn_4jsz_ligand_454,2vvn,4jsz_ligand_454
2vvn_4jsz_ligand_221,2vvn,4jsz_ligand_221
2vvn_4jsz_ligand_283,2vvn,4jsz_ligand_283
2vvn_4jsz_ligand_179,2vvn,4jsz_ligand_179
2vvn_4jsz_ligand_219,2vvn,4jsz_ligand_219
2vvn_4jsz_ligand_290,2vvn,4jsz_ligand_290
2vvn_4jsz_ligand_398,2vvn,4jsz_ligand_398
2vvn_4jsz_ligand_321,2vvn,4jsz_ligand_321
2vvn_4jsz_ligand_311,2vvn,4jsz_ligand_311
2vvn_4jsz_ligand_160,2vvn,4jsz_ligand_160
2vvn_4jsz_ligand_339,2vvn,4jsz_ligand_339
2vvn_4jsz_ligand_291,2vvn,4jsz_ligand_291
2vvn_4jsz_ligand_318,2vvn,4jsz_ligand_318
2vvn_4jsz_ligand_29,2vvn,4jsz_ligand_29
2vvn_4jsz_ligand_201,2vvn,4jsz_ligand_201
2vvn_4jsz_ligand_430,2vvn,4jsz_ligand_430
2vvn_4jsz_ligand_181,2vvn,4jsz_ligand_181
2vvn_4jsz_ligand_393,2vvn,4jsz_ligand_393
2vvn_4jsz_ligand_310,2vvn,4jsz_ligand_310
2vvn_4jsz_ligand_260,2vvn,4jsz_ligand_260
