index,protein,decoy_name
2vw5_4jsz_ligand_396,2vw5,4jsz_ligand_396
2vw5_4jsz_ligand_215,2vw5,4jsz_ligand_215
2vw5_4jsz_ligand_487,2vw5,4jsz_ligand_487
2vw5_4jsz_ligand_344,2vw5,4jsz_ligand_344
2vw5_4jsz_ligand_418,2vw5,4jsz_ligand_418
2vw5_4jsz_ligand_262,2vw5,4jsz_ligand_262
2vw5_4jsz_ligand_336,2vw5,4jsz_ligand_336
2vw5_4jsz_ligand_162,2vw5,4jsz_ligand_162
2vw5_4jsz_ligand_15,2vw5,4jsz_ligand_15
2vw5_4jsz_ligand_301,2vw5,4jsz_ligand_301
2vw5_4jsz_ligand_267,2vw5,4jsz_ligand_267
2vw5_4jsz_ligand_196,2vw5,4jsz_ligand_196
2vw5_4jsz_ligand_31,2vw5,4jsz_ligand_31
2vw5_4jsz_ligand_67,2vw5,4jsz_ligand_67
2vw5_4jsz_ligand_392,2vw5,4jsz_ligand_392
2vw5_4jsz_ligand_306,2vw5,4jsz_ligand_306
2vw5_4jsz_ligand_295,2vw5,4jsz_ligand_295
2vw5_4jsz_ligand_400,2vw5,4jsz_ligand_400
2vw5_4jsz_ligand_191,2vw5,4jsz_ligand_191
2vw5_4jsz_ligand_467,2vw5,4jsz_ligand_467
2vw5_4jsz_ligand_325,2vw5,4jsz_ligand_325
2vw5_4jsz_ligand_304,2vw5,4jsz_ligand_304
2vw5_4jsz_ligand_330,2vw5,4jsz_ligand_330
2vw5_4jsz_ligand_255,2vw5,4jsz_ligand_255
2vw5_4jsz_ligand_363,2vw5,4jsz_ligand_363
2vw5_4jsz_ligand_346,2vw5,4jsz_ligand_346
2vw5_4jsz_ligand_171,2vw5,4jsz_ligand_171
2vw5_4jsz_ligand_323,2vw5,4jsz_ligand_323
2vw5_4jsz_ligand_332,2vw5,4jsz_ligand_332
2vw5_4jsz_ligand_296,2vw5,4jsz_ligand_296
2vw5_4jsz_ligand_28,2vw5,4jsz_ligand_28
2vw5_4jsz_ligand_229,2vw5,4jsz_ligand_229
2vw5_4jsz_ligand_193,2vw5,4jsz_ligand_193
2vw5_4jsz_ligand_221,2vw5,4jsz_ligand_221
2vw5_4jsz_ligand_479,2vw5,4jsz_ligand_479
2vw5_4jsz_ligand_484,2vw5,4jsz_ligand_484
2vw5_4jsz_ligand_204,2vw5,4jsz_ligand_204
2vw5_4jsz_ligand_179,2vw5,4jsz_ligand_179
2vw5_4jsz_ligand_324,2vw5,4jsz_ligand_324
2vw5_4jsz_ligand_219,2vw5,4jsz_ligand_219
2vw5_4jsz_ligand_423,2vw5,4jsz_ligand_423
2vw5_4jsz_ligand_254,2vw5,4jsz_ligand_254
2vw5_4jsz_ligand_398,2vw5,4jsz_ligand_398
2vw5_4jsz_ligand_372,2vw5,4jsz_ligand_372
2vw5_4jsz_ligand_321,2vw5,4jsz_ligand_321
2vw5_4jsz_ligand_409,2vw5,4jsz_ligand_409
2vw5_4jsz_ligand_473,2vw5,4jsz_ligand_473
2vw5_4jsz_ligand_311,2vw5,4jsz_ligand_311
2vw5_4jsz_ligand_127,2vw5,4jsz_ligand_127
2vw5_4jsz_ligand_379,2vw5,4jsz_ligand_379
2vw5_4jsz_ligand_251,2vw5,4jsz_ligand_251
2vw5_4jsz_ligand_339,2vw5,4jsz_ligand_339
2vw5_4jsz_ligand_269,2vw5,4jsz_ligand_269
2vw5_4jsz_ligand_432,2vw5,4jsz_ligand_432
2vw5_4jsz_ligand_253,2vw5,4jsz_ligand_253
2vw5_4jsz_ligand_291,2vw5,4jsz_ligand_291
2vw5_4jsz_ligand_208,2vw5,4jsz_ligand_208
2vw5_4jsz_ligand_258,2vw5,4jsz_ligand_258
2vw5_4jsz_ligand_316,2vw5,4jsz_ligand_316
2vw5_4jsz_ligand_176,2vw5,4jsz_ligand_176
2vw5_4jsz_ligand_239,2vw5,4jsz_ligand_239
2vw5_4jsz_ligand_270,2vw5,4jsz_ligand_270
2vw5_4jsz_ligand_206,2vw5,4jsz_ligand_206
2vw5_4jsz_ligand_328,2vw5,4jsz_ligand_328
2vw5_4jsz_ligand_140,2vw5,4jsz_ligand_140
2vw5_4jsz_ligand_82,2vw5,4jsz_ligand_82
2vw5_4jsz_ligand_233,2vw5,4jsz_ligand_233
2vw5_4jsz_ligand_351,2vw5,4jsz_ligand_351
2vw5_4jsz_ligand_195,2vw5,4jsz_ligand_195
2vw5_4jsz_ligand_173,2vw5,4jsz_ligand_173
2vw5_4jsz_ligand_241,2vw5,4jsz_ligand_241
2vw5_4jsz_ligand_161,2vw5,4jsz_ligand_161
2vw5_4jsz_ligand_309,2vw5,4jsz_ligand_309
2vw5_4jsz_ligand_190,2vw5,4jsz_ligand_190
2vw5_4jsz_ligand_338,2vw5,4jsz_ligand_338
2vw5_4jsz_ligand_155,2vw5,4jsz_ligand_155
2vw5_4jsz_ligand_475,2vw5,4jsz_ligand_475
2vw5_4jsz_ligand_203,2vw5,4jsz_ligand_203
2vw5_4jsz_ligand_293,2vw5,4jsz_ligand_293
2vw5_4jsz_ligand_49,2vw5,4jsz_ligand_49
2vw5_4jsz_ligand_24,2vw5,4jsz_ligand_24
2vw5_4jsz_ligand_240,2vw5,4jsz_ligand_240
2vw5_4jsz_ligand_279,2vw5,4jsz_ligand_279
2vw5_4jsz_ligand_245,2vw5,4jsz_ligand_245
2vw5_4jsz_ligand_252,2vw5,4jsz_ligand_252
2vw5_4jsz_ligand_450,2vw5,4jsz_ligand_450
2vw5_4jsz_ligand_298,2vw5,4jsz_ligand_298
2vw5_4jsz_ligand_165,2vw5,4jsz_ligand_165
2vw5_4jsz_ligand_342,2vw5,4jsz_ligand_342
2vw5_4jsz_ligand_333,2vw5,4jsz_ligand_333
2vw5_4jsz_ligand_268,2vw5,4jsz_ligand_268
2vw5_4jsz_ligand_42,2vw5,4jsz_ligand_42
