index,protein,decoy_name
2x00_4jsz_ligand_317,2x00,4jsz_ligand_317
2x00_4jsz_ligand_277,2x00,4jsz_ligand_277
2x00_4jsz_ligand_344,2x00,4jsz_ligand_344
2x00_4jsz_ligand_368,2x00,4jsz_ligand_368
2x00_4jsz_ligand_394,2x00,4jsz_ligand_394
2x00_4jsz_ligand_209,2x00,4jsz_ligand_209
2x00_4jsz_ligand_262,2x00,4jsz_ligand_262
2x00_4jsz_ligand_212,2x00,4jsz_ligand_212
2x00_4jsz_ligand_336,2x00,4jsz_ligand_336
2x00_4jsz_ligand_64,2x00,4jsz_ligand_64
2x00_4jsz_ligand_196,2x00,4jsz_ligand_196
2x00_4jsz_ligand_392,2x00,4jsz_ligand_392
2x00_4jsz_ligand_306,2x00,4jsz_ligand_306
2x00_4jsz_ligand_297,2x00,4jsz_ligand_297
2x00_4jsz_ligand_249,2x00,4jsz_ligand_249
2x00_4jsz_ligand_103,2x00,4jsz_ligand_103
2x00_4jsz_ligand_164,2x00,4jsz_ligand_164
2x00_4jsz_ligand_295,2x00,4jsz_ligand_295
2x00_4jsz_ligand_400,2x00,4jsz_ligand_400
2x00_4jsz_ligand_304,2x00,4jsz_ligand_304
2x00_4jsz_ligand_25,2x00,4jsz_ligand_25
2x00_4jsz_ligand_22,2x00,4jsz_ligand_22
2x00_4jsz_ligand_236,2x00,4jsz_ligand_236
2x00_4jsz_ligand_171,2x00,4jsz_ligand_171
2x00_4jsz_ligand_120,2x00,4jsz_ligand_120
2x00_4jsz_ligand_150,2x00,4jsz_ligand_150
2x00_4jsz_ligand_154,2x00,4jsz_ligand_154
2x00_4jsz_ligand_117,2x00,4jsz_ligand_117
2x00_4jsz_ligand_296,2x00,4jsz_ligand_296
2x00_4jsz_ligand_134,2x00,4jsz_ligand_134
2x00_4jsz_ligand_308,2x00,4jsz_ligand_308
2x00_4jsz_ligand_141,2x00,4jsz_ligand_141
2x00_4jsz_ligand_337,2x00,4jsz_ligand_337
2x00_4jsz_ligand_167,2x00,4jsz_ligand_167
2x00_4jsz_ligand_221,2x00,4jsz_ligand_221
2x00_4jsz_ligand_11,2x00,4jsz_ligand_11
2x00_4jsz_ligand_123,2x00,4jsz_ligand_123
2x00_4jsz_ligand_383,2x00,4jsz_ligand_383
2x00_4jsz_ligand_110,2x00,4jsz_ligand_110
2x00_4jsz_ligand_137,2x00,4jsz_ligand_137
2x00_4jsz_ligand_200,2x00,4jsz_ligand_200
2x00_4jsz_ligand_382,2x00,4jsz_ligand_382
