index,protein,decoy_name
2xb8_4jsz_ligand_215,2xb8,4jsz_ligand_215
2xb8_4jsz_ligand_350,2xb8,4jsz_ligand_350
2xb8_4jsz_ligand_317,2xb8,4jsz_ligand_317
2xb8_4jsz_ligand_277,2xb8,4jsz_ligand_277
2xb8_4jsz_ligand_388,2xb8,4jsz_ligand_388
2xb8_4jsz_ligand_212,2xb8,4jsz_ligand_212
2xb8_4jsz_ligand_336,2xb8,4jsz_ligand_336
2xb8_4jsz_ligand_10,2xb8,4jsz_ligand_10
2xb8_4jsz_ligand_297,2xb8,4jsz_ligand_297
2xb8_4jsz_ligand_445,2xb8,4jsz_ligand_445
2xb8_4jsz_ligand_244,2xb8,4jsz_ligand_244
2xb8_4jsz_ligand_295,2xb8,4jsz_ligand_295
2xb8_4jsz_ligand_182,2xb8,4jsz_ligand_182
2xb8_4jsz_ligand_417,2xb8,4jsz_ligand_417
2xb8_4jsz_ligand_348,2xb8,4jsz_ligand_348
2xb8_4jsz_ligand_199,2xb8,4jsz_ligand_199
2xb8_4jsz_ligand_330,2xb8,4jsz_ligand_330
2xb8_4jsz_ligand_225,2xb8,4jsz_ligand_225
2xb8_4jsz_ligand_332,2xb8,4jsz_ligand_332
2xb8_4jsz_ligand_154,2xb8,4jsz_ligand_154
2xb8_4jsz_ligand_229,2xb8,4jsz_ligand_229
2xb8_4jsz_ligand_205,2xb8,4jsz_ligand_205
2xb8_4jsz_ligand_221,2xb8,4jsz_ligand_221
2xb8_4jsz_ligand_133,2xb8,4jsz_ligand_133
2xb8_4jsz_ligand_123,2xb8,4jsz_ligand_123
2xb8_4jsz_ligand_383,2xb8,4jsz_ligand_383
2xb8_4jsz_ligand_179,2xb8,4jsz_ligand_179
2xb8_4jsz_ligand_219,2xb8,4jsz_ligand_219
2xb8_4jsz_ligand_423,2xb8,4jsz_ligand_423
2xb8_4jsz_ligand_434,2xb8,4jsz_ligand_434
2xb8_4jsz_ligand_200,2xb8,4jsz_ligand_200
2xb8_4jsz_ligand_307,2xb8,4jsz_ligand_307
2xb8_4jsz_ligand_398,2xb8,4jsz_ligand_398
2xb8_4jsz_ligand_372,2xb8,4jsz_ligand_372
2xb8_4jsz_ligand_68,2xb8,4jsz_ligand_68
2xb8_4jsz_ligand_321,2xb8,4jsz_ligand_321
2xb8_4jsz_ligand_413,2xb8,4jsz_ligand_413
2xb8_4jsz_ligand_198,2xb8,4jsz_ligand_198
2xb8_4jsz_ligand_311,2xb8,4jsz_ligand_311
2xb8_4jsz_ligand_160,2xb8,4jsz_ligand_160
2xb8_4jsz_ligand_379,2xb8,4jsz_ligand_379
2xb8_4jsz_ligand_384,2xb8,4jsz_ligand_384
2xb8_4jsz_ligand_250,2xb8,4jsz_ligand_250
2xb8_4jsz_ligand_251,2xb8,4jsz_ligand_251
2xb8_4jsz_ligand_339,2xb8,4jsz_ligand_339
2xb8_4jsz_ligand_276,2xb8,4jsz_ligand_276
2xb8_4jsz_ligand_253,2xb8,4jsz_ligand_253
2xb8_4jsz_ligand_228,2xb8,4jsz_ligand_228
2xb8_4jsz_ligand_318,2xb8,4jsz_ligand_318
2xb8_4jsz_ligand_393,2xb8,4jsz_ligand_393
2xb8_4jsz_ligand_158,2xb8,4jsz_ligand_158
2xb8_4jsz_ligand_232,2xb8,4jsz_ligand_232
2xb8_4jsz_ligand_223,2xb8,4jsz_ligand_223
2xb8_4jsz_ligand_231,2xb8,4jsz_ligand_231
2xb8_4jsz_ligand_316,2xb8,4jsz_ligand_316
2xb8_4jsz_ligand_264,2xb8,4jsz_ligand_264
2xb8_4jsz_ligand_239,2xb8,4jsz_ligand_239
2xb8_4jsz_ligand_270,2xb8,4jsz_ligand_270
2xb8_4jsz_ligand_300,2xb8,4jsz_ligand_300
2xb8_4jsz_ligand_189,2xb8,4jsz_ligand_189
2xb8_4jsz_ligand_192,2xb8,4jsz_ligand_192
2xb8_4jsz_ligand_19,2xb8,4jsz_ligand_19
2xb8_4jsz_ligand_246,2xb8,4jsz_ligand_246
2xb8_4jsz_ligand_399,2xb8,4jsz_ligand_399
2xb8_4jsz_ligand_217,2xb8,4jsz_ligand_217
2xb8_4jsz_ligand_233,2xb8,4jsz_ligand_233
2xb8_4jsz_ligand_349,2xb8,4jsz_ligand_349
2xb8_4jsz_ligand_381,2xb8,4jsz_ligand_381
2xb8_4jsz_ligand_195,2xb8,4jsz_ligand_195
2xb8_4jsz_ligand_213,2xb8,4jsz_ligand_213
2xb8_4jsz_ligand_173,2xb8,4jsz_ligand_173
2xb8_4jsz_ligand_46,2xb8,4jsz_ligand_46
2xb8_4jsz_ligand_319,2xb8,4jsz_ligand_319
2xb8_4jsz_ligand_190,2xb8,4jsz_ligand_190
2xb8_4jsz_ligand_132,2xb8,4jsz_ligand_132
2xb8_4jsz_ligand_299,2xb8,4jsz_ligand_299
2xb8_4jsz_ligand_338,2xb8,4jsz_ligand_338
2xb8_4jsz_ligand_293,2xb8,4jsz_ligand_293
2xb8_4jsz_ligand_397,2xb8,4jsz_ligand_397
2xb8_4jsz_ligand_240,2xb8,4jsz_ligand_240
2xb8_4jsz_ligand_279,2xb8,4jsz_ligand_279
2xb8_4jsz_ligand_408,2xb8,4jsz_ligand_408
2xb8_4jsz_ligand_245,2xb8,4jsz_ligand_245
2xb8_4jsz_ligand_322,2xb8,4jsz_ligand_322
2xb8_4jsz_ligand_238,2xb8,4jsz_ligand_238
2xb8_4jsz_ligand_284,2xb8,4jsz_ligand_284
2xb8_4jsz_ligand_48,2xb8,4jsz_ligand_48
2xb8_4jsz_ligand_248,2xb8,4jsz_ligand_248
2xb8_4jsz_ligand_313,2xb8,4jsz_ligand_313
2xb8_4jsz_ligand_268,2xb8,4jsz_ligand_268
2xb8_4jsz_ligand_431,2xb8,4jsz_ligand_431
2xb8_4jsz_ligand_271,2xb8,4jsz_ligand_271
2xb8_4jsz_ligand_30,2xb8,4jsz_ligand_30
2xb8_4jsz_ligand_274,2xb8,4jsz_ligand_274
2xb8_4jsz_ligand_287,2xb8,4jsz_ligand_287
2xb8_4jsz_ligand_98,2xb8,4jsz_ligand_98
2xb8_4jsz_ligand_440,2xb8,4jsz_ligand_440
2xb8_4jsz_ligand_234,2xb8,4jsz_ligand_234
2xb8_4jsz_ligand_395,2xb8,4jsz_ligand_395
2xb8_4jsz_ligand_326,2xb8,4jsz_ligand_326
2xb8_3n86_ligand_196,2xb8,3n86_ligand_196
2xb8_3n86_ligand_199,2xb8,3n86_ligand_199
2xb8_3n86_ligand_315,2xb8,3n86_ligand_315
2xb8_3n86_ligand_254,2xb8,3n86_ligand_254
2xb8_3n86_ligand_216,2xb8,3n86_ligand_216
2xb8_3n86_ligand_13,2xb8,3n86_ligand_13
2xb8_3n86_ligand_192,2xb8,3n86_ligand_192
2xb8_3n86_ligand_302,2xb8,3n86_ligand_302
2xb8_3n86_ligand_275,2xb8,3n86_ligand_275
2xb8_3n86_ligand_205,2xb8,3n86_ligand_205
2xb8_3n86_ligand_334,2xb8,3n86_ligand_334
2xb8_3n86_ligand_210,2xb8,3n86_ligand_210
2xb8_3n86_ligand_129,2xb8,3n86_ligand_129
2xb8_3n86_ligand_338,2xb8,3n86_ligand_338
2xb8_3n86_ligand_332,2xb8,3n86_ligand_332
2xb8_3n86_ligand_176,2xb8,3n86_ligand_176
2xb8_3n86_ligand_191,2xb8,3n86_ligand_191
2xb8_3n86_ligand_180,2xb8,3n86_ligand_180
2xb8_3n86_ligand_333,2xb8,3n86_ligand_333
2xb8_3n86_ligand_434,2xb8,3n86_ligand_434
2xb8_3n86_ligand_124,2xb8,3n86_ligand_124
2xb8_3n86_ligand_311,2xb8,3n86_ligand_311
