index,protein,decoy_name
2yki_4jsz_ligand_186,2yki,4jsz_ligand_186
2yki_4jsz_ligand_282,2yki,4jsz_ligand_282
2yki_4jsz_ligand_34,2yki,4jsz_ligand_34
2yki_4jsz_ligand_215,2yki,4jsz_ligand_215
2yki_4jsz_ligand_461,2yki,4jsz_ligand_461
2yki_4jsz_ligand_500,2yki,4jsz_ligand_500
2yki_4jsz_ligand_259,2yki,4jsz_ligand_259
2yki_4jsz_ligand_209,2yki,4jsz_ligand_209
2yki_4jsz_ligand_262,2yki,4jsz_ligand_262
2yki_4jsz_ligand_341,2yki,4jsz_ligand_341
2yki_4jsz_ligand_64,2yki,4jsz_ligand_64
2yki_4jsz_ligand_438,2yki,4jsz_ligand_438
2yki_4jsz_ligand_67,2yki,4jsz_ligand_67
2yki_4jsz_ligand_244,2yki,4jsz_ligand_244
2yki_4jsz_ligand_95,2yki,4jsz_ligand_95
2yki_4jsz_ligand_400,2yki,4jsz_ligand_400
2yki_4jsz_ligand_348,2yki,4jsz_ligand_348
2yki_4jsz_ligand_255,2yki,4jsz_ligand_255
2yki_4jsz_ligand_320,2yki,4jsz_ligand_320
2yki_4jsz_ligand_236,2yki,4jsz_ligand_236
2yki_4jsz_ligand_323,2yki,4jsz_ligand_323
2yki_4jsz_ligand_419,2yki,4jsz_ligand_419
2yki_4jsz_ligand_448,2yki,4jsz_ligand_448
2yki_4jsz_ligand_329,2yki,4jsz_ligand_329
2yki_4jsz_ligand_296,2yki,4jsz_ligand_296
2yki_4jsz_ligand_229,2yki,4jsz_ligand_229
2yki_4jsz_ligand_308,2yki,4jsz_ligand_308
2yki_4jsz_ligand_273,2yki,4jsz_ligand_273
2yki_4jsz_ligand_141,2yki,4jsz_ligand_141
2yki_4jsz_ligand_337,2yki,4jsz_ligand_337
2yki_4jsz_ligand_390,2yki,4jsz_ligand_390
2yki_4jsz_ligand_60,2yki,4jsz_ligand_60
2yki_4jsz_ligand_283,2yki,4jsz_ligand_283
2yki_4jsz_ligand_163,2yki,4jsz_ligand_163
2yki_4jsz_ligand_170,2yki,4jsz_ligand_170
2yki_4jsz_ligand_235,2yki,4jsz_ligand_235
2yki_4jsz_ligand_290,2yki,4jsz_ligand_290
2yki_4jsz_ligand_398,2yki,4jsz_ligand_398
2yki_4jsz_ligand_321,2yki,4jsz_ligand_321
2yki_4jsz_ligand_272,2yki,4jsz_ligand_272
2yki_4jsz_ligand_89,2yki,4jsz_ligand_89
2yki_4jsz_ligand_250,2yki,4jsz_ligand_250
2yki_4jsz_ligand_218,2yki,4jsz_ligand_218
2yki_4jsz_ligand_276,2yki,4jsz_ligand_276
2yki_4jsz_ligand_99,2yki,4jsz_ligand_99
2yki_4jsz_ligand_75,2yki,4jsz_ligand_75
2yki_4jsz_ligand_228,2yki,4jsz_ligand_228
2yki_4jsz_ligand_29,2yki,4jsz_ligand_29
2yki_4jsz_ligand_430,2yki,4jsz_ligand_430
2yki_4jsz_ligand_181,2yki,4jsz_ligand_181
2yki_4jsz_ligand_310,2yki,4jsz_ligand_310
2yki_4jsz_ligand_260,2yki,4jsz_ligand_260
2yki_4jsz_ligand_223,2yki,4jsz_ligand_223
2yki_4jsz_ligand_231,2yki,4jsz_ligand_231
2yki_4jsz_ligand_316,2yki,4jsz_ligand_316
2yki_4jsz_ligand_264,2yki,4jsz_ligand_264
2yki_4jsz_ligand_270,2yki,4jsz_ligand_270
2yki_4jsz_ligand_113,2yki,4jsz_ligand_113
2yki_4jsz_ligand_189,2yki,4jsz_ligand_189
2yki_4jsz_ligand_466,2yki,4jsz_ligand_466
2yki_4jsz_ligand_233,2yki,4jsz_ligand_233
2yki_4jsz_ligand_349,2yki,4jsz_ligand_349
2yki_4jsz_ligand_104,2yki,4jsz_ligand_104
2yki_4jsz_ligand_161,2yki,4jsz_ligand_161
2yki_4jsz_ligand_286,2yki,4jsz_ligand_286
2yki_4jsz_ligand_334,2yki,4jsz_ligand_334
2yki_4jsz_ligand_214,2yki,4jsz_ligand_214
2yki_4jsz_ligand_299,2yki,4jsz_ligand_299
2yki_4jsz_ligand_338,2yki,4jsz_ligand_338
2yki_4jsz_ligand_293,2yki,4jsz_ligand_293
2yki_4jsz_ligand_397,2yki,4jsz_ligand_397
2yki_4jsz_ligand_245,2yki,4jsz_ligand_245
2yki_4jsz_ligand_147,2yki,4jsz_ligand_147
2yki_4jsz_ligand_238,2yki,4jsz_ligand_238
2yki_4jsz_ligand_377,2yki,4jsz_ligand_377
2yki_4jsz_ligand_183,2yki,4jsz_ligand_183
2yki_4jsz_ligand_48,2yki,4jsz_ligand_48
2yki_4jsz_ligand_342,2yki,4jsz_ligand_342
2yki_4jsz_ligand_224,2yki,4jsz_ligand_224
2yki_4jsz_ligand_387,2yki,4jsz_ligand_387
2yki_4jsz_ligand_211,2yki,4jsz_ligand_211
2yki_4jsz_ligand_333,2yki,4jsz_ligand_333
2yki_4jsz_ligand_268,2yki,4jsz_ligand_268
2yki_4jsz_ligand_42,2yki,4jsz_ligand_42
2yki_4jsz_ligand_327,2yki,4jsz_ligand_327
2yki_4jsz_ligand_30,2yki,4jsz_ligand_30
2yki_4jsz_ligand_302,2yki,4jsz_ligand_302
2yki_4jsz_ligand_340,2yki,4jsz_ligand_340
2yki_4jsz_ligand_188,2yki,4jsz_ligand_188
2yki_4jsz_ligand_287,2yki,4jsz_ligand_287
2yki_4jsz_ligand_207,2yki,4jsz_ligand_207
2yki_4jsz_ligand_345,2yki,4jsz_ligand_345
2yki_4jsz_ligand_275,2yki,4jsz_ligand_275
2yki_4jsz_ligand_234,2yki,4jsz_ligand_234
2yki_4jsz_ligand_78,2yki,4jsz_ligand_78
2yki_4jsz_ligand_395,2yki,4jsz_ligand_395
2yki_4jsz_ligand_326,2yki,4jsz_ligand_326
2yki_4jsz_ligand_156,2yki,4jsz_ligand_156
2yki_4jsz_ligand_242,2yki,4jsz_ligand_242
2yki_4jsz_ligand_369,2yki,4jsz_ligand_369
2yki_3n86_ligand_19,2yki,3n86_ligand_19
2yki_3n86_ligand_308,2yki,3n86_ligand_308
2yki_3n86_ligand_199,2yki,3n86_ligand_199
2yki_3n86_ligand_315,2yki,3n86_ligand_315
2yki_3n86_ligand_203,2yki,3n86_ligand_203
2yki_3n86_ligand_97,2yki,3n86_ligand_97
2yki_3n86_ligand_131,2yki,3n86_ligand_131
2yki_3n86_ligand_192,2yki,3n86_ligand_192
2yki_3n86_ligand_344,2yki,3n86_ligand_344
2yki_3n86_ligand_283,2yki,3n86_ligand_283
2yki_3n86_ligand_334,2yki,3n86_ligand_334
2yki_3n86_ligand_163,2yki,3n86_ligand_163
2yki_3n86_ligand_381,2yki,3n86_ligand_381
2yki_3n86_ligand_210,2yki,3n86_ligand_210
2yki_3n86_ligand_345,2yki,3n86_ligand_345
2yki_3n86_ligand_24,2yki,3n86_ligand_24
2yki_3n86_ligand_303,2yki,3n86_ligand_303
2yki_3n86_ligand_397,2yki,3n86_ligand_397
2yki_3n86_ligand_338,2yki,3n86_ligand_338
2yki_3n86_ligand_62,2yki,3n86_ligand_62
2yki_3n86_ligand_332,2yki,3n86_ligand_332
2yki_3n86_ligand_496,2yki,3n86_ligand_496
2yki_3n86_ligand_191,2yki,3n86_ligand_191
2yki_3n86_ligand_165,2yki,3n86_ligand_165
2yki_3n86_ligand_294,2yki,3n86_ligand_294
2yki_3n86_ligand_68,2yki,3n86_ligand_68
2yki_3n86_ligand_135,2yki,3n86_ligand_135
2yki_3n86_ligand_449,2yki,3n86_ligand_449
2yki_3n86_ligand_219,2yki,3n86_ligand_219
2yki_3n86_ligand_335,2yki,3n86_ligand_335
2yki_3n86_ligand_223,2yki,3n86_ligand_223
2yki_3n86_ligand_29,2yki,3n86_ligand_29
2yki_3n86_ligand_378,2yki,3n86_ligand_378
2yki_3n86_ligand_290,2yki,3n86_ligand_290
2yki_3n86_ligand_160,2yki,3n86_ligand_160
2yki_3n86_ligand_22,2yki,3n86_ligand_22
2yki_3n86_ligand_387,2yki,3n86_ligand_387
