index,protein,decoy_name
2zcq_4jsz_ligand_396,2zcq,4jsz_ligand_396
2zcq_4jsz_ligand_108,2zcq,4jsz_ligand_108
2zcq_4jsz_ligand_277,2zcq,4jsz_ligand_277
2zcq_4jsz_ligand_220,2zcq,4jsz_ligand_220
2zcq_4jsz_ligand_373,2zcq,4jsz_ligand_373
2zcq_4jsz_ligand_394,2zcq,4jsz_ligand_394
2zcq_4jsz_ligand_367,2zcq,4jsz_ligand_367
2zcq_4jsz_ligand_494,2zcq,4jsz_ligand_494
2zcq_4jsz_ligand_343,2zcq,4jsz_ligand_343
2zcq_4jsz_ligand_212,2zcq,4jsz_ligand_212
2zcq_4jsz_ligand_64,2zcq,4jsz_ligand_64
2zcq_4jsz_ligand_83,2zcq,4jsz_ligand_83
2zcq_4jsz_ligand_297,2zcq,4jsz_ligand_297
2zcq_4jsz_ligand_249,2zcq,4jsz_ligand_249
2zcq_4jsz_ligand_433,2zcq,4jsz_ligand_433
2zcq_4jsz_ligand_485,2zcq,4jsz_ligand_485
2zcq_4jsz_ligand_191,2zcq,4jsz_ligand_191
2zcq_4jsz_ligand_199,2zcq,4jsz_ligand_199
2zcq_4jsz_ligand_304,2zcq,4jsz_ligand_304
2zcq_4jsz_ligand_330,2zcq,4jsz_ligand_330
2zcq_4jsz_ligand_320,2zcq,4jsz_ligand_320
2zcq_4jsz_ligand_171,2zcq,4jsz_ligand_171
2zcq_4jsz_ligand_70,2zcq,4jsz_ligand_70
2zcq_4jsz_ligand_358,2zcq,4jsz_ligand_358
2zcq_4jsz_ligand_390,2zcq,4jsz_ligand_390
2zcq_4jsz_ligand_221,2zcq,4jsz_ligand_221
2zcq_4jsz_ligand_451,2zcq,4jsz_ligand_451
2zcq_4jsz_ligand_62,2zcq,4jsz_ligand_62
2zcq_4jsz_ligand_179,2zcq,4jsz_ligand_179
2zcq_4jsz_ligand_235,2zcq,4jsz_ligand_235
2zcq_4jsz_ligand_307,2zcq,4jsz_ligand_307
2zcq_4jsz_ligand_398,2zcq,4jsz_ligand_398
2zcq_4jsz_ligand_372,2zcq,4jsz_ligand_372
2zcq_4jsz_ligand_68,2zcq,4jsz_ligand_68
2zcq_4jsz_ligand_266,2zcq,4jsz_ligand_266
2zcq_4jsz_ligand_198,2zcq,4jsz_ligand_198
2zcq_4jsz_ligand_311,2zcq,4jsz_ligand_311
2zcq_4jsz_ligand_272,2zcq,4jsz_ligand_272
2zcq_4jsz_ligand_339,2zcq,4jsz_ligand_339
2zcq_4jsz_ligand_247,2zcq,4jsz_ligand_247
2zcq_4jsz_ligand_84,2zcq,4jsz_ligand_84
2zcq_4jsz_ligand_276,2zcq,4jsz_ligand_276
2zcq_4jsz_ligand_291,2zcq,4jsz_ligand_291
2zcq_4jsz_ligand_228,2zcq,4jsz_ligand_228
2zcq_4jsz_ligand_486,2zcq,4jsz_ligand_486
2zcq_4jsz_ligand_411,2zcq,4jsz_ligand_411
2zcq_4jsz_ligand_139,2zcq,4jsz_ligand_139
2zcq_4jsz_ligand_256,2zcq,4jsz_ligand_256
2zcq_4jsz_ligand_181,2zcq,4jsz_ligand_181
2zcq_4jsz_ligand_310,2zcq,4jsz_ligand_310
2zcq_4jsz_ligand_258,2zcq,4jsz_ligand_258
2zcq_4jsz_ligand_263,2zcq,4jsz_ligand_263
2zcq_4jsz_ligand_270,2zcq,4jsz_ligand_270
2zcq_4jsz_ligand_300,2zcq,4jsz_ligand_300
2zcq_4jsz_ligand_314,2zcq,4jsz_ligand_314
2zcq_4jsz_ligand_175,2zcq,4jsz_ligand_175
2zcq_4jsz_ligand_246,2zcq,4jsz_ligand_246
2zcq_4jsz_ligand_399,2zcq,4jsz_ligand_399
2zcq_4jsz_ligand_217,2zcq,4jsz_ligand_217
2zcq_4jsz_ligand_82,2zcq,4jsz_ligand_82
2zcq_4jsz_ligand_285,2zcq,4jsz_ligand_285
2zcq_4jsz_ligand_349,2zcq,4jsz_ligand_349
2zcq_4jsz_ligand_381,2zcq,4jsz_ligand_381
2zcq_4jsz_ligand_415,2zcq,4jsz_ligand_415
2zcq_4jsz_ligand_173,2zcq,4jsz_ligand_173
2zcq_4jsz_ligand_81,2zcq,4jsz_ligand_81
2zcq_4jsz_ligand_66,2zcq,4jsz_ligand_66
2zcq_4jsz_ligand_216,2zcq,4jsz_ligand_216
2zcq_4jsz_ligand_203,2zcq,4jsz_ligand_203
2zcq_4jsz_ligand_194,2zcq,4jsz_ligand_194
2zcq_4jsz_ligand_293,2zcq,4jsz_ligand_293
2zcq_4jsz_ligand_24,2zcq,4jsz_ligand_24
2zcq_4jsz_ligand_130,2zcq,4jsz_ligand_130
2zcq_4jsz_ligand_376,2zcq,4jsz_ligand_376
2zcq_4jsz_ligand_224,2zcq,4jsz_ligand_224
2zcq_4jsz_ligand_387,2zcq,4jsz_ligand_387
2zcq_4jsz_ligand_142,2zcq,4jsz_ligand_142
2zcq_4jsz_ligand_391,2zcq,4jsz_ligand_391
2zcq_4jsz_ligand_211,2zcq,4jsz_ligand_211
2zcq_4jsz_ligand_420,2zcq,4jsz_ligand_420
2zcq_4jsz_ligand_268,2zcq,4jsz_ligand_268
2zcq_4jsz_ligand_42,2zcq,4jsz_ligand_42
2zcq_4jsz_ligand_271,2zcq,4jsz_ligand_271
2zcq_4jsz_ligand_302,2zcq,4jsz_ligand_302
2zcq_4jsz_ligand_340,2zcq,4jsz_ligand_340
2zcq_4jsz_ligand_55,2zcq,4jsz_ligand_55
2zcq_4jsz_ligand_188,2zcq,4jsz_ligand_188
2zcq_4jsz_ligand_312,2zcq,4jsz_ligand_312
2zcq_4jsz_ligand_143,2zcq,4jsz_ligand_143
2zcq_4jsz_ligand_370,2zcq,4jsz_ligand_370
2zcq_4jsz_ligand_360,2zcq,4jsz_ligand_360
2zcq_4jsz_ligand_207,2zcq,4jsz_ligand_207
2zcq_4jsz_ligand_275,2zcq,4jsz_ligand_275
2zcq_4jsz_ligand_305,2zcq,4jsz_ligand_305
2zcq_4jsz_ligand_168,2zcq,4jsz_ligand_168
2zcq_4jsz_ligand_362,2zcq,4jsz_ligand_362
2zcq_4jsz_ligand_355,2zcq,4jsz_ligand_355
2zcq_4jsz_ligand_242,2zcq,4jsz_ligand_242
2zcq_4jsz_ligand_9,2zcq,4jsz_ligand_9
2zcq_4jsz_ligand_51,2zcq,4jsz_ligand_51
2zcq_3n86_ligand_285,2zcq,3n86_ligand_285
2zcq_3n86_ligand_308,2zcq,3n86_ligand_308
2zcq_3n86_ligand_49,2zcq,3n86_ligand_49
2zcq_3n86_ligand_297,2zcq,3n86_ligand_297
2zcq_3n86_ligand_199,2zcq,3n86_ligand_199
2zcq_3n86_ligand_203,2zcq,3n86_ligand_203
2zcq_3n86_ligand_216,2zcq,3n86_ligand_216
2zcq_3n86_ligand_312,2zcq,3n86_ligand_312
2zcq_3n86_ligand_253,2zcq,3n86_ligand_253
2zcq_3n86_ligand_260,2zcq,3n86_ligand_260
2zcq_3n86_ligand_334,2zcq,3n86_ligand_334
2zcq_3n86_ligand_163,2zcq,3n86_ligand_163
2zcq_3n86_ligand_71,2zcq,3n86_ligand_71
2zcq_3n86_ligand_372,2zcq,3n86_ligand_372
2zcq_3n86_ligand_50,2zcq,3n86_ligand_50
