index,protein,decoy_name
3ag9_4jsz_ligand_292,3ag9,4jsz_ligand_292
3ag9_4jsz_ligand_202,3ag9,4jsz_ligand_202
3ag9_4jsz_ligand_108,3ag9,4jsz_ligand_108
3ag9_4jsz_ligand_350,3ag9,4jsz_ligand_350
3ag9_4jsz_ligand_317,3ag9,4jsz_ligand_317
3ag9_4jsz_ligand_220,3ag9,4jsz_ligand_220
3ag9_4jsz_ligand_344,3ag9,4jsz_ligand_344
3ag9_4jsz_ligand_385,3ag9,4jsz_ligand_385
3ag9_4jsz_ligand_184,3ag9,4jsz_ligand_184
3ag9_4jsz_ligand_388,3ag9,4jsz_ligand_388
3ag9_4jsz_ligand_343,3ag9,4jsz_ligand_343
3ag9_4jsz_ligand_336,3ag9,4jsz_ligand_336
3ag9_4jsz_ligand_162,3ag9,4jsz_ligand_162
3ag9_4jsz_ligand_301,3ag9,4jsz_ligand_301
3ag9_4jsz_ligand_335,3ag9,4jsz_ligand_335
3ag9_4jsz_ligand_196,3ag9,4jsz_ligand_196
3ag9_4jsz_ligand_306,3ag9,4jsz_ligand_306
3ag9_4jsz_ligand_297,3ag9,4jsz_ligand_297
3ag9_4jsz_ligand_95,3ag9,4jsz_ligand_95
3ag9_4jsz_ligand_261,3ag9,4jsz_ligand_261
3ag9_4jsz_ligand_400,3ag9,4jsz_ligand_400
3ag9_4jsz_ligand_304,3ag9,4jsz_ligand_304
3ag9_4jsz_ligand_255,3ag9,4jsz_ligand_255
3ag9_4jsz_ligand_363,3ag9,4jsz_ligand_363
3ag9_4jsz_ligand_236,3ag9,4jsz_ligand_236
3ag9_4jsz_ligand_498,3ag9,4jsz_ligand_498
3ag9_4jsz_ligand_323,3ag9,4jsz_ligand_323
3ag9_4jsz_ligand_229,3ag9,4jsz_ligand_229
3ag9_4jsz_ligand_141,3ag9,4jsz_ligand_141
3ag9_4jsz_ligand_281,3ag9,4jsz_ligand_281
