index,protein,decoy_name
3arp_4ogj_ligand_202,3arp,4ogj_ligand_202
3arp_4ogj_ligand_187,3arp,4ogj_ligand_187
3arp_4ogj_ligand_397,3arp,4ogj_ligand_397
3arp_4ogj_ligand_210,3arp,4ogj_ligand_210
3arp_4ogj_ligand_237,3arp,4ogj_ligand_237
3arp_4ogj_ligand_167,3arp,4ogj_ligand_167
3arp_4ogj_ligand_303,3arp,4ogj_ligand_303
3arp_4ogj_ligand_158,3arp,4ogj_ligand_158
3arp_4ogj_ligand_94,3arp,4ogj_ligand_94
3arp_4ogj_ligand_132,3arp,4ogj_ligand_132
3arp_4ogj_ligand_359,3arp,4ogj_ligand_359
3arp_4ogj_ligand_78,3arp,4ogj_ligand_78
3arp_4ogj_ligand_145,3arp,4ogj_ligand_145
3arp_4ogj_ligand_28,3arp,4ogj_ligand_28
3arp_4ogj_ligand_307,3arp,4ogj_ligand_307
3arp_4ogj_ligand_10,3arp,4ogj_ligand_10
3arp_4ogj_ligand_65,3arp,4ogj_ligand_65
3arp_4ogj_ligand_304,3arp,4ogj_ligand_304
3arp_4ogj_ligand_199,3arp,4ogj_ligand_199
3arp_4ogj_ligand_6,3arp,4ogj_ligand_6
3arp_4ogj_ligand_71,3arp,4ogj_ligand_71
3arp_4ogj_ligand_483,3arp,4ogj_ligand_483
3arp_4ogj_ligand_137,3arp,4ogj_ligand_137
3arp_4ogj_ligand_235,3arp,4ogj_ligand_235
3arp_4ogj_ligand_259,3arp,4ogj_ligand_259
3arp_4ogj_ligand_338,3arp,4ogj_ligand_338
3arp_4ogj_ligand_230,3arp,4ogj_ligand_230
3arp_4ogj_ligand_241,3arp,4ogj_ligand_241
3arp_4ogj_ligand_239,3arp,4ogj_ligand_239
3arp_4ogj_ligand_113,3arp,4ogj_ligand_113
3arp_4ogj_ligand_445,3arp,4ogj_ligand_445
3arp_4ogj_ligand_229,3arp,4ogj_ligand_229
3arp_4ogj_ligand_232,3arp,4ogj_ligand_232
3arp_4ogj_ligand_280,3arp,4ogj_ligand_280
3arp_4ogj_ligand_13,3arp,4ogj_ligand_13
3arp_4ogj_ligand_233,3arp,4ogj_ligand_233
3arp_4ogj_ligand_238,3arp,4ogj_ligand_238
3arp_4ogj_ligand_346,3arp,4ogj_ligand_346
3arp_4ogj_ligand_102,3arp,4ogj_ligand_102
3arp_4ogj_ligand_68,3arp,4ogj_ligand_68
3arp_4ogj_ligand_343,3arp,4ogj_ligand_343
3arp_4ogj_ligand_118,3arp,4ogj_ligand_118
3arp_4ogj_ligand_148,3arp,4ogj_ligand_148
3arp_4ogj_ligand_127,3arp,4ogj_ligand_127
3arp_4ogj_ligand_82,3arp,4ogj_ligand_82
3arp_4ogj_ligand_245,3arp,4ogj_ligand_245
3arp_4ogj_ligand_184,3arp,4ogj_ligand_184
3arp_4ogj_ligand_124,3arp,4ogj_ligand_124
3arp_4ogj_ligand_5,3arp,4ogj_ligand_5
3arp_4ogj_ligand_246,3arp,4ogj_ligand_246
3arp_4ogj_ligand_342,3arp,4ogj_ligand_342
3arp_4ogj_ligand_59,3arp,4ogj_ligand_59
3arp_4ogj_ligand_117,3arp,4ogj_ligand_117
3arp_4ogj_ligand_263,3arp,4ogj_ligand_263
3arp_4ogj_ligand_119,3arp,4ogj_ligand_119
3arp_4ogj_ligand_224,3arp,4ogj_ligand_224
3arp_4ogj_ligand_228,3arp,4ogj_ligand_228
3arp_4ogj_ligand_231,3arp,4ogj_ligand_231
3arp_4ogj_ligand_151,3arp,4ogj_ligand_151
3arp_4ogj_ligand_268,3arp,4ogj_ligand_268
3arp_4ogj_ligand_392,3arp,4ogj_ligand_392
3arp_4ogj_ligand_180,3arp,4ogj_ligand_180
3arp_4ogj_ligand_262,3arp,4ogj_ligand_262
3arp_4ogj_ligand_98,3arp,4ogj_ligand_98
3arp_4ogj_ligand_134,3arp,4ogj_ligand_134
