index,protein,decoy_name
3coy_4ogj_ligand_210,3coy,4ogj_ligand_210
3coy_4ogj_ligand_237,3coy,4ogj_ligand_237
3coy_4ogj_ligand_167,3coy,4ogj_ligand_167
3coy_4ogj_ligand_303,3coy,4ogj_ligand_303
3coy_4ogj_ligand_158,3coy,4ogj_ligand_158
3coy_4ogj_ligand_266,3coy,4ogj_ligand_266
3coy_4ogj_ligand_271,3coy,4ogj_ligand_271
3coy_4ogj_ligand_400,3coy,4ogj_ligand_400
3coy_4ogj_ligand_369,3coy,4ogj_ligand_369
3coy_4ogj_ligand_380,3coy,4ogj_ligand_380
3coy_4ogj_ligand_10,3coy,4ogj_ligand_10
3coy_4ogj_ligand_122,3coy,4ogj_ligand_122
3coy_4ogj_ligand_199,3coy,4ogj_ligand_199
3coy_4ogj_ligand_136,3coy,4ogj_ligand_136
3coy_4ogj_ligand_112,3coy,4ogj_ligand_112
3coy_4ogj_ligand_29,3coy,4ogj_ligand_29
3coy_4ogj_ligand_285,3coy,4ogj_ligand_285
3coy_4ogj_ligand_49,3coy,4ogj_ligand_49
3coy_4ogj_ligand_138,3coy,4ogj_ligand_138
3coy_4ogj_ligand_6,3coy,4ogj_ligand_6
3coy_4ogj_ligand_235,3coy,4ogj_ligand_235
3coy_4ogj_ligand_212,3coy,4ogj_ligand_212
3coy_4ogj_ligand_331,3coy,4ogj_ligand_331
3coy_4ogj_ligand_141,3coy,4ogj_ligand_141
3coy_4ogj_ligand_338,3coy,4ogj_ligand_338
3coy_4ogj_ligand_241,3coy,4ogj_ligand_241
3coy_4ogj_ligand_239,3coy,4ogj_ligand_239
3coy_4ogj_ligand_220,3coy,4ogj_ligand_220
3coy_4ogj_ligand_216,3coy,4ogj_ligand_216
3coy_4ogj_ligand_350,3coy,4ogj_ligand_350
3coy_4ogj_ligand_329,3coy,4ogj_ligand_329
3coy_4ogj_ligand_232,3coy,4ogj_ligand_232
3coy_4ogj_ligand_233,3coy,4ogj_ligand_233
3coy_4ogj_ligand_238,3coy,4ogj_ligand_238
3coy_4ogj_ligand_264,3coy,4ogj_ligand_264
3coy_4ogj_ligand_190,3coy,4ogj_ligand_190
3coy_4ogj_ligand_249,3coy,4ogj_ligand_249
3coy_4ogj_ligand_353,3coy,4ogj_ligand_353
3coy_4ogj_ligand_399,3coy,4ogj_ligand_399
3coy_4ogj_ligand_179,3coy,4ogj_ligand_179
3coy_4ogj_ligand_221,3coy,4ogj_ligand_221
3coy_4ogj_ligand_322,3coy,4ogj_ligand_322
3coy_4ogj_ligand_173,3coy,4ogj_ligand_173
3coy_4ogj_ligand_127,3coy,4ogj_ligand_127
3coy_4ogj_ligand_175,3coy,4ogj_ligand_175
3coy_4ogj_ligand_21,3coy,4ogj_ligand_21
3coy_4ogj_ligand_48,3coy,4ogj_ligand_48
3coy_4ogj_ligand_339,3coy,4ogj_ligand_339
3coy_4ogj_ligand_184,3coy,4ogj_ligand_184
3coy_4ogj_ligand_292,3coy,4ogj_ligand_292
3coy_4ogj_ligand_5,3coy,4ogj_ligand_5
3coy_4ogj_ligand_191,3coy,4ogj_ligand_191
3coy_4ogj_ligand_80,3coy,4ogj_ligand_80
3coy_4ogj_ligand_293,3coy,4ogj_ligand_293
3coy_4ogj_ligand_217,3coy,4ogj_ligand_217
3coy_4ogj_ligand_296,3coy,4ogj_ligand_296
3coy_4ogj_ligand_119,3coy,4ogj_ligand_119
3coy_4ogj_ligand_347,3coy,4ogj_ligand_347
3coy_4ogj_ligand_151,3coy,4ogj_ligand_151
3coy_4ogj_ligand_123,3coy,4ogj_ligand_123
3coy_4ogj_ligand_106,3coy,4ogj_ligand_106
3coy_4ogj_ligand_275,3coy,4ogj_ligand_275
3coy_4ogj_ligand_180,3coy,4ogj_ligand_180
3coy_4ogj_ligand_446,3coy,4ogj_ligand_446
3coy_4ogj_ligand_32,3coy,4ogj_ligand_32
3coy_4ogj_ligand_234,3coy,4ogj_ligand_234
3coy_4ogj_ligand_166,3coy,4ogj_ligand_166
3coy_4ogj_ligand_157,3coy,4ogj_ligand_157
3coy_4ogj_ligand_300,3coy,4ogj_ligand_300
3coy_4ogj_ligand_225,3coy,4ogj_ligand_225
3coy_4ogj_ligand_247,3coy,4ogj_ligand_247
3coy_4ogj_ligand_291,3coy,4ogj_ligand_291
3coy_4ogj_ligand_153,3coy,4ogj_ligand_153
3coy_4ogj_ligand_321,3coy,4ogj_ligand_321
3coy_4ogj_ligand_327,3coy,4ogj_ligand_327
3coy_4ogj_ligand_69,3coy,4ogj_ligand_69
3coy_4ogj_ligand_205,3coy,4ogj_ligand_205
3coy_4ogj_ligand_297,3coy,4ogj_ligand_297
3coy_4ogj_ligand_242,3coy,4ogj_ligand_242
3coy_4ogj_ligand_31,3coy,4ogj_ligand_31
3coy_4ogj_ligand_193,3coy,4ogj_ligand_193
3coy_4ogj_ligand_383,3coy,4ogj_ligand_383
3coy_4ogj_ligand_159,3coy,4ogj_ligand_159
3coy_4ogj_ligand_295,3coy,4ogj_ligand_295
3coy_4ogj_ligand_146,3coy,4ogj_ligand_146
3coy_4ogj_ligand_345,3coy,4ogj_ligand_345
3coy_4ogj_ligand_213,3coy,4ogj_ligand_213
3coy_4ogj_ligand_116,3coy,4ogj_ligand_116
3coy_4ogj_ligand_363,3coy,4ogj_ligand_363
3coy_4ogj_ligand_195,3coy,4ogj_ligand_195
3coy_4ogj_ligand_79,3coy,4ogj_ligand_79
3coy_4ogj_ligand_41,3coy,4ogj_ligand_41
3coy_4ogj_ligand_107,3coy,4ogj_ligand_107
3coy_4ogj_ligand_282,3coy,4ogj_ligand_282
3coy_4ogj_ligand_227,3coy,4ogj_ligand_227
3coy_4ogj_ligand_298,3coy,4ogj_ligand_298
3coy_4ogj_ligand_352,3coy,4ogj_ligand_352
3coy_4ogj_ligand_19,3coy,4ogj_ligand_19
3coy_4ogj_ligand_30,3coy,4ogj_ligand_30
3coy_4ogj_ligand_368,3coy,4ogj_ligand_368
3coy_3f3e_ligand_319,3coy,3f3e_ligand_319
3coy_3f3e_ligand_336,3coy,3f3e_ligand_336
3coy_3f3e_ligand_49,3coy,3f3e_ligand_49
3coy_3f3e_ligand_151,3coy,3f3e_ligand_151
3coy_3f3e_ligand_326,3coy,3f3e_ligand_326
3coy_3f3e_ligand_65,3coy,3f3e_ligand_65
3coy_3f3e_ligand_218,3coy,3f3e_ligand_218
3coy_3f3e_ligand_92,3coy,3f3e_ligand_92
3coy_3f3e_ligand_267,3coy,3f3e_ligand_267
3coy_3f3e_ligand_373,3coy,3f3e_ligand_373
3coy_3f3e_ligand_297,3coy,3f3e_ligand_297
3coy_3f3e_ligand_293,3coy,3f3e_ligand_293
3coy_3f3e_ligand_263,3coy,3f3e_ligand_263
3coy_3f3e_ligand_33,3coy,3f3e_ligand_33
3coy_3f3e_ligand_240,3coy,3f3e_ligand_240
3coy_3f3e_ligand_341,3coy,3f3e_ligand_341
3coy_3f3e_ligand_250,3coy,3f3e_ligand_250
3coy_3f3e_ligand_195,3coy,3f3e_ligand_195
3coy_3f3e_ligand_292,3coy,3f3e_ligand_292
3coy_3f3e_ligand_449,3coy,3f3e_ligand_449
3coy_3f3e_ligand_324,3coy,3f3e_ligand_324
3coy_3f3e_ligand_331,3coy,3f3e_ligand_331
3coy_3f3e_ligand_168,3coy,3f3e_ligand_168
3coy_3f3e_ligand_41,3coy,3f3e_ligand_41
3coy_3f3e_ligand_308,3coy,3f3e_ligand_308
3coy_3f3e_ligand_255,3coy,3f3e_ligand_255
3coy_3f3e_ligand_481,3coy,3f3e_ligand_481
3coy_3f3e_ligand_196,3coy,3f3e_ligand_196
3coy_3f3e_ligand_287,3coy,3f3e_ligand_287
3coy_3f3e_ligand_134,3coy,3f3e_ligand_134
3coy_3f3e_ligand_276,3coy,3f3e_ligand_276
3coy_3f3e_ligand_201,3coy,3f3e_ligand_201
3coy_3f3e_ligand_55,3coy,3f3e_ligand_55
3coy_3f3e_ligand_171,3coy,3f3e_ligand_171
3coy_3f3e_ligand_380,3coy,3f3e_ligand_380
3coy_3f3e_ligand_80,3coy,3f3e_ligand_80
3coy_3f3e_ligand_261,3coy,3f3e_ligand_261
3coy_3f3e_ligand_150,3coy,3f3e_ligand_150
3coy_3f3e_ligand_68,3coy,3f3e_ligand_68
3coy_3f3e_ligand_347,3coy,3f3e_ligand_347
3coy_3f3e_ligand_161,3coy,3f3e_ligand_161
3coy_3f3e_ligand_286,3coy,3f3e_ligand_286
3coy_3f3e_ligand_220,3coy,3f3e_ligand_220
3coy_3f3e_ligand_209,3coy,3f3e_ligand_209
3coy_3f3e_ligand_368,3coy,3f3e_ligand_368
3coy_3f3e_ligand_226,3coy,3f3e_ligand_226
3coy_3f3e_ligand_249,3coy,3f3e_ligand_249
3coy_3f3e_ligand_212,3coy,3f3e_ligand_212
3coy_3f3e_ligand_329,3coy,3f3e_ligand_329
3coy_3f3e_ligand_337,3coy,3f3e_ligand_337
3coy_3f3e_ligand_211,3coy,3f3e_ligand_211
3coy_3f3e_ligand_234,3coy,3f3e_ligand_234
3coy_3f3e_ligand_229,3coy,3f3e_ligand_229
3coy_3f3e_ligand_398,3coy,3f3e_ligand_398
3coy_3f3e_ligand_384,3coy,3f3e_ligand_384
3coy_3f3e_ligand_350,3coy,3f3e_ligand_350
3coy_3f3e_ligand_330,3coy,3f3e_ligand_330
3coy_3f3e_ligand_172,3coy,3f3e_ligand_172
3coy_3f3e_ligand_74,3coy,3f3e_ligand_74
3coy_3f3e_ligand_177,3coy,3f3e_ligand_177
3coy_3f3e_ligand_298,3coy,3f3e_ligand_298
3coy_3f3e_ligand_379,3coy,3f3e_ligand_379
3coy_3f3e_ligand_191,3coy,3f3e_ligand_191
3coy_3f3e_ligand_258,3coy,3f3e_ligand_258
3coy_3f3e_ligand_233,3coy,3f3e_ligand_233
3coy_3f3e_ligand_204,3coy,3f3e_ligand_204
3coy_3f3e_ligand_266,3coy,3f3e_ligand_266
3coy_3f3e_ligand_282,3coy,3f3e_ligand_282
3coy_3f3e_ligand_2,3coy,3f3e_ligand_2
3coy_3f3e_ligand_273,3coy,3f3e_ligand_273
3coy_3f3e_ligand_243,3coy,3f3e_ligand_243
3coy_3f3e_ligand_400,3coy,3f3e_ligand_400
3coy_3f3e_ligand_222,3coy,3f3e_ligand_222
3coy_3f3e_ligand_365,3coy,3f3e_ligand_365
3coy_3f3e_ligand_314,3coy,3f3e_ligand_314
3coy_3f3e_ligand_395,3coy,3f3e_ligand_395
3coy_3f3e_ligand_269,3coy,3f3e_ligand_269
3coy_3f3e_ligand_304,3coy,3f3e_ligand_304
3coy_3f3e_ligand_271,3coy,3f3e_ligand_271
3coy_3f3e_ligand_328,3coy,3f3e_ligand_328
3coy_3f3e_ligand_346,3coy,3f3e_ligand_346
3coy_3f3e_ligand_182,3coy,3f3e_ligand_182
3coy_3f3e_ligand_194,3coy,3f3e_ligand_194
3coy_3f3e_ligand_188,3coy,3f3e_ligand_188
3coy_3f3e_ligand_386,3coy,3f3e_ligand_386
3coy_3f3e_ligand_230,3coy,3f3e_ligand_230
3coy_3f3e_ligand_180,3coy,3f3e_ligand_180
3coy_3f3e_ligand_176,3coy,3f3e_ligand_176
3coy_3f3e_ligand_288,3coy,3f3e_ligand_288
3coy_3f3e_ligand_214,3coy,3f3e_ligand_214
3coy_3f3e_ligand_192,3coy,3f3e_ligand_192
3coy_3f3e_ligand_392,3coy,3f3e_ligand_392
3coy_3f3e_ligand_156,3coy,3f3e_ligand_156
3coy_3f3e_ligand_242,3coy,3f3e_ligand_242
3coy_3f3e_ligand_208,3coy,3f3e_ligand_208
3coy_3f3e_ligand_207,3coy,3f3e_ligand_207
3coy_3f3e_ligand_340,3coy,3f3e_ligand_340
3coy_3f3e_ligand_221,3coy,3f3e_ligand_221
3coy_3f3e_ligand_15,3coy,3f3e_ligand_15
3coy_3f3e_ligand_79,3coy,3f3e_ligand_79
3coy_3uo4_ligand_286,3coy,3uo4_ligand_286
3coy_3uo4_ligand_438,3coy,3uo4_ligand_438
3coy_3uo4_ligand_337,3coy,3uo4_ligand_337
3coy_3uo4_ligand_130,3coy,3uo4_ligand_130
3coy_3uo4_ligand_188,3coy,3uo4_ligand_188
3coy_3uo4_ligand_340,3coy,3uo4_ligand_340
3coy_3uo4_ligand_359,3coy,3uo4_ligand_359
3coy_3uo4_ligand_108,3coy,3uo4_ligand_108
3coy_3uo4_ligand_155,3coy,3uo4_ligand_155
3coy_3uo4_ligand_10,3coy,3uo4_ligand_10
3coy_3uo4_ligand_370,3coy,3uo4_ligand_370
3coy_3uo4_ligand_224,3coy,3uo4_ligand_224
3coy_3uo4_ligand_247,3coy,3uo4_ligand_247
3coy_3uo4_ligand_114,3coy,3uo4_ligand_114
3coy_3uo4_ligand_145,3coy,3uo4_ligand_145
3coy_3uo4_ligand_201,3coy,3uo4_ligand_201
3coy_3uo4_ligand_394,3coy,3uo4_ligand_394
3coy_3uo4_ligand_237,3coy,3uo4_ligand_237
3coy_3uo4_ligand_311,3coy,3uo4_ligand_311
3coy_3uo4_ligand_399,3coy,3uo4_ligand_399
3coy_3uo4_ligand_252,3coy,3uo4_ligand_252
3coy_3uo4_ligand_148,3coy,3uo4_ligand_148
3coy_3uo4_ligand_110,3coy,3uo4_ligand_110
3coy_3uo4_ligand_248,3coy,3uo4_ligand_248
3coy_3uo4_ligand_309,3coy,3uo4_ligand_309
3coy_3uo4_ligand_147,3coy,3uo4_ligand_147
3coy_3uo4_ligand_178,3coy,3uo4_ligand_178
3coy_3uo4_ligand_184,3coy,3uo4_ligand_184
3coy_3uo4_ligand_72,3coy,3uo4_ligand_72
3coy_3uo4_ligand_216,3coy,3uo4_ligand_216
3coy_3uo4_ligand_500,3coy,3uo4_ligand_500
3coy_3uo4_ligand_124,3coy,3uo4_ligand_124
3coy_3uo4_ligand_239,3coy,3uo4_ligand_239
3coy_3uo4_ligand_208,3coy,3uo4_ligand_208
3coy_3uo4_ligand_382,3coy,3uo4_ligand_382
3coy_3uo4_ligand_327,3coy,3uo4_ligand_327
3coy_3uo4_ligand_343,3coy,3uo4_ligand_343
3coy_3uo4_ligand_169,3coy,3uo4_ligand_169
3coy_3uo4_ligand_291,3coy,3uo4_ligand_291
3coy_3uo4_ligand_177,3coy,3uo4_ligand_177
3coy_3uo4_ligand_329,3coy,3uo4_ligand_329
3coy_3uo4_ligand_75,3coy,3uo4_ligand_75
3coy_3uo4_ligand_312,3coy,3uo4_ligand_312
