index,protein,decoy_name
3dd0_4ogj_ligand_303,3dd0,4ogj_ligand_303
3dd0_4ogj_ligand_97,3dd0,4ogj_ligand_97
3dd0_4ogj_ligand_266,3dd0,4ogj_ligand_266
3dd0_4ogj_ligand_196,3dd0,4ogj_ligand_196
3dd0_4ogj_ligand_186,3dd0,4ogj_ligand_186
3dd0_4ogj_ligand_78,3dd0,4ogj_ligand_78
3dd0_4ogj_ligand_145,3dd0,4ogj_ligand_145
3dd0_4ogj_ligand_122,3dd0,4ogj_ligand_122
3dd0_4ogj_ligand_112,3dd0,4ogj_ligand_112
3dd0_4ogj_ligand_433,3dd0,4ogj_ligand_433
3dd0_4ogj_ligand_90,3dd0,4ogj_ligand_90
3dd0_4ogj_ligand_252,3dd0,4ogj_ligand_252
3dd0_4ogj_ligand_135,3dd0,4ogj_ligand_135
3dd0_4ogj_ligand_285,3dd0,4ogj_ligand_285
3dd0_4ogj_ligand_139,3dd0,4ogj_ligand_139
3dd0_4ogj_ligand_483,3dd0,4ogj_ligand_483
3dd0_4ogj_ligand_137,3dd0,4ogj_ligand_137
3dd0_4ogj_ligand_235,3dd0,4ogj_ligand_235
3dd0_4ogj_ligand_373,3dd0,4ogj_ligand_373
3dd0_4ogj_ligand_212,3dd0,4ogj_ligand_212
3dd0_4ogj_ligand_331,3dd0,4ogj_ligand_331
3dd0_4ogj_ligand_423,3dd0,4ogj_ligand_423
3dd0_4ogj_ligand_17,3dd0,4ogj_ligand_17
3dd0_4ogj_ligand_241,3dd0,4ogj_ligand_241
3dd0_4ogj_ligand_220,3dd0,4ogj_ligand_220
3dd0_4ogj_ligand_216,3dd0,4ogj_ligand_216
3dd0_4ogj_ligand_265,3dd0,4ogj_ligand_265
3dd0_4ogj_ligand_113,3dd0,4ogj_ligand_113
3dd0_4ogj_ligand_394,3dd0,4ogj_ligand_394
3dd0_4ogj_ligand_333,3dd0,4ogj_ligand_333
3dd0_4ogj_ligand_498,3dd0,4ogj_ligand_498
3dd0_4ogj_ligand_329,3dd0,4ogj_ligand_329
3dd0_4ogj_ligand_437,3dd0,4ogj_ligand_437
3dd0_4ogj_ligand_102,3dd0,4ogj_ligand_102
3dd0_4ogj_ligand_272,3dd0,4ogj_ligand_272
3dd0_4ogj_ligand_443,3dd0,4ogj_ligand_443
3dd0_4ogj_ligand_249,3dd0,4ogj_ligand_249
