index,protein,decoy_name
3e93_4ogj_ligand_397,3e93,4ogj_ligand_397
3e93_4ogj_ligand_320,3e93,4ogj_ligand_320
3e93_4ogj_ligand_355,3e93,4ogj_ligand_355
3e93_4ogj_ligand_66,3e93,4ogj_ligand_66
3e93_4ogj_ligand_409,3e93,4ogj_ligand_409
3e93_4ogj_ligand_4,3e93,4ogj_ligand_4
3e93_4ogj_ligand_400,3e93,4ogj_ligand_400
3e93_4ogj_ligand_23,3e93,4ogj_ligand_23
3e93_4ogj_ligand_380,3e93,4ogj_ligand_380
3e93_4ogj_ligand_362,3e93,4ogj_ligand_362
3e93_4ogj_ligand_289,3e93,4ogj_ligand_289
3e93_4ogj_ligand_55,3e93,4ogj_ligand_55
3e93_4ogj_ligand_285,3e93,4ogj_ligand_285
3e93_4ogj_ligand_6,3e93,4ogj_ligand_6
3e93_4ogj_ligand_382,3e93,4ogj_ligand_382
3e93_4ogj_ligand_212,3e93,4ogj_ligand_212
3e93_4ogj_ligand_331,3e93,4ogj_ligand_331
3e93_4ogj_ligand_141,3e93,4ogj_ligand_141
3e93_4ogj_ligand_356,3e93,4ogj_ligand_356
3e93_4ogj_ligand_239,3e93,4ogj_ligand_239
3e93_4ogj_ligand_147,3e93,4ogj_ligand_147
3e93_4ogj_ligand_177,3e93,4ogj_ligand_177
3e93_4ogj_ligand_215,3e93,4ogj_ligand_215
3e93_4ogj_ligand_394,3e93,4ogj_ligand_394
3e93_4ogj_ligand_63,3e93,4ogj_ligand_63
3e93_4ogj_ligand_115,3e93,4ogj_ligand_115
3e93_4ogj_ligand_169,3e93,4ogj_ligand_169
3e93_4ogj_ligand_498,3e93,4ogj_ligand_498
3e93_4ogj_ligand_482,3e93,4ogj_ligand_482
3e93_4ogj_ligand_232,3e93,4ogj_ligand_232
3e93_4ogj_ligand_378,3e93,4ogj_ligand_378
3e93_4ogj_ligand_388,3e93,4ogj_ligand_388
3e93_4ogj_ligand_183,3e93,4ogj_ligand_183
3e93_4ogj_ligand_317,3e93,4ogj_ligand_317
3e93_4ogj_ligand_54,3e93,4ogj_ligand_54
3e93_4ogj_ligand_276,3e93,4ogj_ligand_276
3e93_4ogj_ligand_272,3e93,4ogj_ligand_272
3e93_4ogj_ligand_393,3e93,4ogj_ligand_393
3e93_4ogj_ligand_399,3e93,4ogj_ligand_399
3e93_4ogj_ligand_118,3e93,4ogj_ligand_118
3e93_4ogj_ligand_143,3e93,4ogj_ligand_143
3e93_4ogj_ligand_322,3e93,4ogj_ligand_322
3e93_4ogj_ligand_148,3e93,4ogj_ligand_148
3e93_4ogj_ligand_218,3e93,4ogj_ligand_218
3e93_4ogj_ligand_48,3e93,4ogj_ligand_48
3e93_4ogj_ligand_52,3e93,4ogj_ligand_52
3e93_4ogj_ligand_468,3e93,4ogj_ligand_468
3e93_4ogj_ligand_124,3e93,4ogj_ligand_124
3e93_4ogj_ligand_381,3e93,4ogj_ligand_381
3e93_4ogj_ligand_182,3e93,4ogj_ligand_182
3e93_4ogj_ligand_342,3e93,4ogj_ligand_342
3e93_4ogj_ligand_296,3e93,4ogj_ligand_296
3e93_4ogj_ligand_119,3e93,4ogj_ligand_119
3e93_4ogj_ligand_219,3e93,4ogj_ligand_219
3e93_4ogj_ligand_224,3e93,4ogj_ligand_224
3e93_4ogj_ligand_228,3e93,4ogj_ligand_228
3e93_4ogj_ligand_155,3e93,4ogj_ligand_155
3e93_4ogj_ligand_398,3e93,4ogj_ligand_398
3e93_4ogj_ligand_131,3e93,4ogj_ligand_131
3e93_4ogj_ligand_479,3e93,4ogj_ligand_479
3e93_4ogj_ligand_225,3e93,4ogj_ligand_225
3e93_4ogj_ligand_42,3e93,4ogj_ligand_42
3e93_4ogj_ligand_60,3e93,4ogj_ligand_60
3e93_4ogj_ligand_36,3e93,4ogj_ligand_36
3e93_4ogj_ligand_402,3e93,4ogj_ligand_402
3e93_4ogj_ligand_250,3e93,4ogj_ligand_250
3e93_4ogj_ligand_69,3e93,4ogj_ligand_69
3e93_4ogj_ligand_205,3e93,4ogj_ligand_205
3e93_4ogj_ligand_279,3e93,4ogj_ligand_279
3e93_4ogj_ligand_31,3e93,4ogj_ligand_31
3e93_4ogj_ligand_44,3e93,4ogj_ligand_44
3e93_4ogj_ligand_375,3e93,4ogj_ligand_375
3e93_4ogj_ligand_37,3e93,4ogj_ligand_37
3e93_4ogj_ligand_326,3e93,4ogj_ligand_326
3e93_4ogj_ligand_371,3e93,4ogj_ligand_371
3e93_4ogj_ligand_89,3e93,4ogj_ligand_89
3e93_4ogj_ligand_497,3e93,4ogj_ligand_497
3e93_4ogj_ligand_111,3e93,4ogj_ligand_111
3e93_4ogj_ligand_146,3e93,4ogj_ligand_146
3e93_4ogj_ligand_500,3e93,4ogj_ligand_500
3e93_4ogj_ligand_213,3e93,4ogj_ligand_213
3e93_4ogj_ligand_53,3e93,4ogj_ligand_53
3e93_4ogj_ligand_223,3e93,4ogj_ligand_223
3e93_4ogj_ligand_311,3e93,4ogj_ligand_311
3e93_4ogj_ligand_195,3e93,4ogj_ligand_195
3e93_4ogj_ligand_79,3e93,4ogj_ligand_79
3e93_4ogj_ligand_101,3e93,4ogj_ligand_101
3e93_4ogj_ligand_316,3e93,4ogj_ligand_316
3e93_4ogj_ligand_374,3e93,4ogj_ligand_374
3e93_4ogj_ligand_197,3e93,4ogj_ligand_197
3e93_4ogj_ligand_35,3e93,4ogj_ligand_35
3e93_4ogj_ligand_208,3e93,4ogj_ligand_208
3e93_4ogj_ligand_107,3e93,4ogj_ligand_107
3e93_4ogj_ligand_227,3e93,4ogj_ligand_227
3e93_4ogj_ligand_34,3e93,4ogj_ligand_34
