index,protein,decoy_name
3ebp_4ogj_ligand_187,3ebp,4ogj_ligand_187
3ebp_4ogj_ligand_397,3ebp,4ogj_ligand_397
3ebp_4ogj_ligand_172,3ebp,4ogj_ligand_172
3ebp_4ogj_ligand_409,3ebp,4ogj_ligand_409
3ebp_4ogj_ligand_97,3ebp,4ogj_ligand_97
3ebp_4ogj_ligand_481,3ebp,4ogj_ligand_481
3ebp_4ogj_ligand_199,3ebp,4ogj_ligand_199
3ebp_4ogj_ligand_112,3ebp,4ogj_ligand_112
3ebp_4ogj_ligand_29,3ebp,4ogj_ligand_29
3ebp_4ogj_ligand_289,3ebp,4ogj_ligand_289
3ebp_4ogj_ligand_382,3ebp,4ogj_ligand_382
3ebp_4ogj_ligand_235,3ebp,4ogj_ligand_235
3ebp_4ogj_ligand_387,3ebp,4ogj_ligand_387
3ebp_4ogj_ligand_220,3ebp,4ogj_ligand_220
3ebp_4ogj_ligand_194,3ebp,4ogj_ligand_194
3ebp_4ogj_ligand_215,3ebp,4ogj_ligand_215
3ebp_4ogj_ligand_265,3ebp,4ogj_ligand_265
3ebp_4ogj_ligand_113,3ebp,4ogj_ligand_113
3ebp_4ogj_ligand_394,3ebp,4ogj_ligand_394
3ebp_4ogj_ligand_229,3ebp,4ogj_ligand_229
3ebp_4ogj_ligand_233,3ebp,4ogj_ligand_233
3ebp_4ogj_ligand_238,3ebp,4ogj_ligand_238
3ebp_4ogj_ligand_102,3ebp,4ogj_ligand_102
3ebp_4ogj_ligand_393,3ebp,4ogj_ligand_393
3ebp_4ogj_ligand_443,3ebp,4ogj_ligand_443
3ebp_4ogj_ligand_249,3ebp,4ogj_ligand_249
3ebp_4ogj_ligand_353,3ebp,4ogj_ligand_353
3ebp_4ogj_ligand_178,3ebp,4ogj_ligand_178
3ebp_4ogj_ligand_179,3ebp,4ogj_ligand_179
3ebp_4ogj_ligand_340,3ebp,4ogj_ligand_340
3ebp_4ogj_ligand_221,3ebp,4ogj_ligand_221
3ebp_4ogj_ligand_278,3ebp,4ogj_ligand_278
3ebp_4ogj_ligand_204,3ebp,4ogj_ligand_204
3ebp_4ogj_ligand_76,3ebp,4ogj_ligand_76
3ebp_4ogj_ligand_218,3ebp,4ogj_ligand_218
3ebp_4ogj_ligand_209,3ebp,4ogj_ligand_209
3ebp_4ogj_ligand_142,3ebp,4ogj_ligand_142
3ebp_4ogj_ligand_245,3ebp,4ogj_ligand_245
3ebp_4ogj_ligand_487,3ebp,4ogj_ligand_487
3ebp_4ogj_ligand_281,3ebp,4ogj_ligand_281
3ebp_4ogj_ligand_198,3ebp,4ogj_ligand_198
3ebp_4ogj_ligand_130,3ebp,4ogj_ligand_130
3ebp_4ogj_ligand_351,3ebp,4ogj_ligand_351
3ebp_4ogj_ligand_292,3ebp,4ogj_ligand_292
3ebp_4ogj_ligand_124,3ebp,4ogj_ligand_124
3ebp_4ogj_ligand_428,3ebp,4ogj_ligand_428
3ebp_4ogj_ligand_174,3ebp,4ogj_ligand_174
3ebp_4ogj_ligand_119,3ebp,4ogj_ligand_119
3ebp_4ogj_ligand_219,3ebp,4ogj_ligand_219
3ebp_4ogj_ligand_168,3ebp,4ogj_ligand_168
3ebp_4ogj_ligand_228,3ebp,4ogj_ligand_228
3ebp_4ogj_ligand_231,3ebp,4ogj_ligand_231
3ebp_4ogj_ligand_11,3ebp,4ogj_ligand_11
3ebp_4ogj_ligand_180,3ebp,4ogj_ligand_180
3ebp_4ogj_ligand_332,3ebp,4ogj_ligand_332
3ebp_4ogj_ligand_290,3ebp,4ogj_ligand_290
3ebp_4ogj_ligand_243,3ebp,4ogj_ligand_243
3ebp_4ogj_ligand_32,3ebp,4ogj_ligand_32
3ebp_4ogj_ligand_234,3ebp,4ogj_ligand_234
3ebp_4ogj_ligand_222,3ebp,4ogj_ligand_222
3ebp_4ogj_ligand_157,3ebp,4ogj_ligand_157
3ebp_4ogj_ligand_300,3ebp,4ogj_ligand_300
3ebp_4ogj_ligand_341,3ebp,4ogj_ligand_341
3ebp_4ogj_ligand_181,3ebp,4ogj_ligand_181
3ebp_4ogj_ligand_291,3ebp,4ogj_ligand_291
3ebp_4ogj_ligand_74,3ebp,4ogj_ligand_74
3ebp_4ogj_ligand_36,3ebp,4ogj_ligand_36
3ebp_4ogj_ligand_153,3ebp,4ogj_ligand_153
3ebp_4ogj_ligand_250,3ebp,4ogj_ligand_250
3ebp_4ogj_ligand_327,3ebp,4ogj_ligand_327
3ebp_4ogj_ligand_240,3ebp,4ogj_ligand_240
3ebp_4ogj_ligand_163,3ebp,4ogj_ligand_163
3ebp_4ogj_ligand_1,3ebp,4ogj_ligand_1
3ebp_4ogj_ligand_279,3ebp,4ogj_ligand_279
3ebp_4ogj_ligand_45,3ebp,4ogj_ligand_45
3ebp_4ogj_ligand_242,3ebp,4ogj_ligand_242
3ebp_4ogj_ligand_421,3ebp,4ogj_ligand_421
3ebp_4ogj_ligand_422,3ebp,4ogj_ligand_422
3ebp_4ogj_ligand_214,3ebp,4ogj_ligand_214
3ebp_4ogj_ligand_114,3ebp,4ogj_ligand_114
3ebp_4ogj_ligand_111,3ebp,4ogj_ligand_111
3ebp_4ogj_ligand_176,3ebp,4ogj_ligand_176
3ebp_4ogj_ligand_207,3ebp,4ogj_ligand_207
3ebp_4ogj_ligand_133,3ebp,4ogj_ligand_133
3ebp_4ogj_ligand_160,3ebp,4ogj_ligand_160
3ebp_4ogj_ligand_223,3ebp,4ogj_ligand_223
3ebp_4ogj_ligand_311,3ebp,4ogj_ligand_311
3ebp_4ogj_ligand_316,3ebp,4ogj_ligand_316
3ebp_4ogj_ligand_374,3ebp,4ogj_ligand_374
