index,protein,decoy_name
3ejr_1p1q_ligand_184,3ejr,1p1q_ligand_184
3ejr_1p1q_ligand_218,3ejr,1p1q_ligand_218
3ejr_1p1q_ligand_91,3ejr,1p1q_ligand_91
3ejr_1p1q_ligand_342,3ejr,1p1q_ligand_342
3ejr_1p1q_ligand_306,3ejr,1p1q_ligand_306
3ejr_1p1q_ligand_300,3ejr,1p1q_ligand_300
3ejr_1p1q_ligand_223,3ejr,1p1q_ligand_223
3ejr_1p1q_ligand_111,3ejr,1p1q_ligand_111
3ejr_1p1q_ligand_186,3ejr,1p1q_ligand_186
3ejr_1p1q_ligand_347,3ejr,1p1q_ligand_347
3ejr_1p1q_ligand_315,3ejr,1p1q_ligand_315
3ejr_1p1q_ligand_350,3ejr,1p1q_ligand_350
3ejr_1p1q_ligand_232,3ejr,1p1q_ligand_232
3ejr_1p1q_ligand_243,3ejr,1p1q_ligand_243
3ejr_1p1q_ligand_312,3ejr,1p1q_ligand_312
3ejr_1p1q_ligand_225,3ejr,1p1q_ligand_225
3ejr_1p1q_ligand_101,3ejr,1p1q_ligand_101
3ejr_1p1q_ligand_291,3ejr,1p1q_ligand_291
3ejr_1p1q_ligand_277,3ejr,1p1q_ligand_277
3ejr_1p1q_ligand_298,3ejr,1p1q_ligand_298
3ejr_1p1q_ligand_316,3ejr,1p1q_ligand_316
3ejr_1p1q_ligand_48,3ejr,1p1q_ligand_48
3ejr_1p1q_ligand_226,3ejr,1p1q_ligand_226
3ejr_1p1q_ligand_67,3ejr,1p1q_ligand_67
3ejr_1p1q_ligand_99,3ejr,1p1q_ligand_99
3ejr_1p1q_ligand_242,3ejr,1p1q_ligand_242
3ejr_1p1q_ligand_221,3ejr,1p1q_ligand_221
3ejr_1p1q_ligand_240,3ejr,1p1q_ligand_240
3ejr_1p1q_ligand_122,3ejr,1p1q_ligand_122
3ejr_1p1q_ligand_297,3ejr,1p1q_ligand_297
3ejr_1p1q_ligand_258,3ejr,1p1q_ligand_258
3ejr_1p1q_ligand_129,3ejr,1p1q_ligand_129
3ejr_1p1q_ligand_340,3ejr,1p1q_ligand_340
3ejr_1p1q_ligand_213,3ejr,1p1q_ligand_213
3ejr_1p1q_ligand_78,3ejr,1p1q_ligand_78
3ejr_1p1q_ligand_355,3ejr,1p1q_ligand_355
3ejr_1p1q_ligand_295,3ejr,1p1q_ligand_295
3ejr_1p1q_ligand_398,3ejr,1p1q_ligand_398
3ejr_1p1q_ligand_215,3ejr,1p1q_ligand_215
3ejr_1p1q_ligand_399,3ejr,1p1q_ligand_399
3ejr_1p1q_ligand_233,3ejr,1p1q_ligand_233
3ejr_1p1q_ligand_222,3ejr,1p1q_ligand_222
3ejr_1p1q_ligand_170,3ejr,1p1q_ligand_170
3ejr_1p1q_ligand_169,3ejr,1p1q_ligand_169
3ejr_1p1q_ligand_135,3ejr,1p1q_ligand_135
3ejr_1p1q_ligand_137,3ejr,1p1q_ligand_137
3ejr_1p1q_ligand_380,3ejr,1p1q_ligand_380
3ejr_1p1q_ligand_321,3ejr,1p1q_ligand_321
3ejr_1p1q_ligand_98,3ejr,1p1q_ligand_98
3ejr_1p1q_ligand_217,3ejr,1p1q_ligand_217
3ejr_1p1q_ligand_256,3ejr,1p1q_ligand_256
3ejr_1p1q_ligand_159,3ejr,1p1q_ligand_159
3ejr_1p1q_ligand_273,3ejr,1p1q_ligand_273
3ejr_1p1q_ligand_400,3ejr,1p1q_ligand_400
3ejr_1p1q_ligand_197,3ejr,1p1q_ligand_197
3ejr_1p1q_ligand_206,3ejr,1p1q_ligand_206
3ejr_1p1q_ligand_193,3ejr,1p1q_ligand_193
3ejr_1p1q_ligand_263,3ejr,1p1q_ligand_263
3ejr_1p1q_ligand_241,3ejr,1p1q_ligand_241
3ejr_1p1q_ligand_92,3ejr,1p1q_ligand_92
3ejr_1p1q_ligand_283,3ejr,1p1q_ligand_283
3ejr_1p1q_ligand_394,3ejr,1p1q_ligand_394
3ejr_1p1q_ligand_208,3ejr,1p1q_ligand_208
3ejr_1p1q_ligand_229,3ejr,1p1q_ligand_229
3ejr_1p1q_ligand_290,3ejr,1p1q_ligand_290
3ejr_1p1q_ligand_237,3ejr,1p1q_ligand_237
3ejr_1p1q_ligand_280,3ejr,1p1q_ligand_280
3ejr_1p1q_ligand_279,3ejr,1p1q_ligand_279
3ejr_1p1q_ligand_140,3ejr,1p1q_ligand_140
3ejr_1p1q_ligand_448,3ejr,1p1q_ligand_448
3ejr_1p1q_ligand_35,3ejr,1p1q_ligand_35
3ejr_1p1q_ligand_307,3ejr,1p1q_ligand_307
3ejr_1p1q_ligand_220,3ejr,1p1q_ligand_220
3ejr_1p1q_ligand_8,3ejr,1p1q_ligand_8
3ejr_1p1q_ligand_227,3ejr,1p1q_ligand_227
3ejr_1p1q_ligand_293,3ejr,1p1q_ligand_293
3ejr_1p1q_ligand_250,3ejr,1p1q_ligand_250
3ejr_1p1q_ligand_235,3ejr,1p1q_ligand_235
3ejr_1p1q_ligand_38,3ejr,1p1q_ligand_38
3ejr_1p1q_ligand_338,3ejr,1p1q_ligand_338
3ejr_1p1q_ligand_255,3ejr,1p1q_ligand_255
3ejr_1p1q_ligand_493,3ejr,1p1q_ligand_493
3ejr_1p1q_ligand_192,3ejr,1p1q_ligand_192
3ejr_1p1q_ligand_181,3ejr,1p1q_ligand_181
3ejr_1p1q_ligand_199,3ejr,1p1q_ligand_199
3ejr_1p1q_ligand_46,3ejr,1p1q_ligand_46
3ejr_1p1q_ligand_395,3ejr,1p1q_ligand_395
3ejr_1p1q_ligand_269,3ejr,1p1q_ligand_269
3ejr_1p1q_ligand_55,3ejr,1p1q_ligand_55
3ejr_1p1q_ligand_346,3ejr,1p1q_ligand_346
3ejr_1p1q_ligand_203,3ejr,1p1q_ligand_203
3ejr_1p1q_ligand_252,3ejr,1p1q_ligand_252
3ejr_1p1q_ligand_212,3ejr,1p1q_ligand_212
3ejr_1p1q_ligand_249,3ejr,1p1q_ligand_249
3ejr_1p1q_ligand_500,3ejr,1p1q_ligand_500
3ejr_1p1q_ligand_76,3ejr,1p1q_ligand_76
3ejr_1p1q_ligand_230,3ejr,1p1q_ligand_230
3ejr_1p1q_ligand_139,3ejr,1p1q_ligand_139
3ejr_1p1q_ligand_333,3ejr,1p1q_ligand_333
3ejr_1p1q_ligand_244,3ejr,1p1q_ligand_244
3ejr_1owh_ligand_276,3ejr,1owh_ligand_276
3ejr_1owh_ligand_250,3ejr,1owh_ligand_250
3ejr_1owh_ligand_234,3ejr,1owh_ligand_234
3ejr_1owh_ligand_219,3ejr,1owh_ligand_219
3ejr_1owh_ligand_243,3ejr,1owh_ligand_243
3ejr_1owh_ligand_189,3ejr,1owh_ligand_189
3ejr_1owh_ligand_227,3ejr,1owh_ligand_227
3ejr_1owh_ligand_273,3ejr,1owh_ligand_273
3ejr_1owh_ligand_304,3ejr,1owh_ligand_304
3ejr_1owh_ligand_295,3ejr,1owh_ligand_295
3ejr_1owh_ligand_287,3ejr,1owh_ligand_287
3ejr_1owh_ligand_318,3ejr,1owh_ligand_318
3ejr_1owh_ligand_258,3ejr,1owh_ligand_258
3ejr_1owh_ligand_317,3ejr,1owh_ligand_317
3ejr_1owh_ligand_235,3ejr,1owh_ligand_235
3ejr_1owh_ligand_244,3ejr,1owh_ligand_244
3ejr_1owh_ligand_173,3ejr,1owh_ligand_173
3ejr_1owh_ligand_161,3ejr,1owh_ligand_161
3ejr_1owh_ligand_209,3ejr,1owh_ligand_209
3ejr_1owh_ligand_328,3ejr,1owh_ligand_328
3ejr_1owh_ligand_39,3ejr,1owh_ligand_39
3ejr_1owh_ligand_484,3ejr,1owh_ligand_484
3ejr_1owh_ligand_398,3ejr,1owh_ligand_398
3ejr_1owh_ligand_245,3ejr,1owh_ligand_245
3ejr_1owh_ligand_197,3ejr,1owh_ligand_197
3ejr_1owh_ligand_290,3ejr,1owh_ligand_290
3ejr_1owh_ligand_303,3ejr,1owh_ligand_303
3ejr_1owh_ligand_280,3ejr,1owh_ligand_280
3ejr_1owh_ligand_211,3ejr,1owh_ligand_211
3ejr_1owh_ligand_79,3ejr,1owh_ligand_79
3ejr_1owh_ligand_314,3ejr,1owh_ligand_314
