index,protein,decoy_name
3f3e_1p1q_ligand_378,3f3e,1p1q_ligand_378
3f3e_1p1q_ligand_462,3f3e,1p1q_ligand_462
3f3e_1p1q_ligand_260,3f3e,1p1q_ligand_260
3f3e_1p1q_ligand_342,3f3e,1p1q_ligand_342
3f3e_1p1q_ligand_330,3f3e,1p1q_ligand_330
3f3e_1p1q_ligand_397,3f3e,1p1q_ligand_397
3f3e_1p1q_ligand_300,3f3e,1p1q_ligand_300
3f3e_1p1q_ligand_248,3f3e,1p1q_ligand_248
3f3e_1p1q_ligand_347,3f3e,1p1q_ligand_347
3f3e_1p1q_ligand_305,3f3e,1p1q_ligand_305
3f3e_1p1q_ligand_232,3f3e,1p1q_ligand_232
3f3e_1p1q_ligand_243,3f3e,1p1q_ligand_243
3f3e_1p1q_ligand_324,3f3e,1p1q_ligand_324
3f3e_1p1q_ligand_83,3f3e,1p1q_ligand_83
3f3e_1p1q_ligand_291,3f3e,1p1q_ligand_291
3f3e_1p1q_ligand_277,3f3e,1p1q_ligand_277
3f3e_1p1q_ligand_332,3f3e,1p1q_ligand_332
3f3e_1p1q_ligand_210,3f3e,1p1q_ligand_210
3f3e_1p1q_ligand_337,3f3e,1p1q_ligand_337
3f3e_1p1q_ligand_316,3f3e,1p1q_ligand_316
3f3e_1p1q_ligand_236,3f3e,1p1q_ligand_236
3f3e_1p1q_ligand_191,3f3e,1p1q_ligand_191
3f3e_1p1q_ligand_209,3f3e,1p1q_ligand_209
3f3e_1p1q_ligand_221,3f3e,1p1q_ligand_221
3f3e_1p1q_ligand_245,3f3e,1p1q_ligand_245
3f3e_1p1q_ligand_340,3f3e,1p1q_ligand_340
3f3e_1p1q_ligand_289,3f3e,1p1q_ligand_289
3f3e_1p1q_ligand_355,3f3e,1p1q_ligand_355
3f3e_1p1q_ligand_398,3f3e,1p1q_ligand_398
3f3e_1p1q_ligand_296,3f3e,1p1q_ligand_296
3f3e_1p1q_ligand_215,3f3e,1p1q_ligand_215
3f3e_1p1q_ligand_399,3f3e,1p1q_ligand_399
3f3e_1p1q_ligand_233,3f3e,1p1q_ligand_233
3f3e_1p1q_ligand_27,3f3e,1p1q_ligand_27
3f3e_1p1q_ligand_86,3f3e,1p1q_ligand_86
3f3e_1p1q_ligand_170,3f3e,1p1q_ligand_170
3f3e_1p1q_ligand_169,3f3e,1p1q_ligand_169
3f3e_1p1q_ligand_205,3f3e,1p1q_ligand_205
3f3e_1p1q_ligand_168,3f3e,1p1q_ligand_168
3f3e_1p1q_ligand_214,3f3e,1p1q_ligand_214
3f3e_1p1q_ligand_321,3f3e,1p1q_ligand_321
3f3e_1p1q_ligand_256,3f3e,1p1q_ligand_256
3f3e_1p1q_ligand_53,3f3e,1p1q_ligand_53
3f3e_1p1q_ligand_387,3f3e,1p1q_ligand_387
3f3e_1p1q_ligand_239,3f3e,1p1q_ligand_239
3f3e_1p1q_ligand_159,3f3e,1p1q_ligand_159
3f3e_1p1q_ligand_253,3f3e,1p1q_ligand_253
3f3e_1p1q_ligand_262,3f3e,1p1q_ligand_262
3f3e_1p1q_ligand_309,3f3e,1p1q_ligand_309
3f3e_1p1q_ligand_193,3f3e,1p1q_ligand_193
3f3e_1p1q_ligand_285,3f3e,1p1q_ligand_285
3f3e_1p1q_ligand_241,3f3e,1p1q_ligand_241
3f3e_1p1q_ligand_183,3f3e,1p1q_ligand_183
3f3e_1p1q_ligand_343,3f3e,1p1q_ligand_343
3f3e_1p1q_ligand_229,3f3e,1p1q_ligand_229
3f3e_1p1q_ligand_314,3f3e,1p1q_ligand_314
3f3e_1p1q_ligand_188,3f3e,1p1q_ligand_188
3f3e_1p1q_ligand_174,3f3e,1p1q_ligand_174
3f3e_1p1q_ligand_198,3f3e,1p1q_ligand_198
3f3e_1p1q_ligand_216,3f3e,1p1q_ligand_216
3f3e_1p1q_ligand_311,3f3e,1p1q_ligand_311
3f3e_1p1q_ligand_117,3f3e,1p1q_ligand_117
3f3e_1p1q_ligand_292,3f3e,1p1q_ligand_292
3f3e_1p1q_ligand_345,3f3e,1p1q_ligand_345
3f3e_1p1q_ligand_220,3f3e,1p1q_ligand_220
3f3e_1p1q_ligand_293,3f3e,1p1q_ligand_293
3f3e_1p1q_ligand_162,3f3e,1p1q_ligand_162
3f3e_1p1q_ligand_250,3f3e,1p1q_ligand_250
3f3e_1p1q_ligand_235,3f3e,1p1q_ligand_235
3f3e_1p1q_ligand_163,3f3e,1p1q_ligand_163
3f3e_1p1q_ligand_338,3f3e,1p1q_ligand_338
3f3e_1p1q_ligand_383,3f3e,1p1q_ligand_383
3f3e_1p1q_ligand_192,3f3e,1p1q_ligand_192
3f3e_1p1q_ligand_374,3f3e,1p1q_ligand_374
3f3e_1p1q_ligand_29,3f3e,1p1q_ligand_29
3f3e_1p1q_ligand_199,3f3e,1p1q_ligand_199
3f3e_1p1q_ligand_88,3f3e,1p1q_ligand_88
3f3e_1p1q_ligand_196,3f3e,1p1q_ligand_196
3f3e_1p1q_ligand_334,3f3e,1p1q_ligand_334
3f3e_1p1q_ligand_176,3f3e,1p1q_ligand_176
3f3e_1p1q_ligand_146,3f3e,1p1q_ligand_146
3f3e_1p1q_ligand_346,3f3e,1p1q_ligand_346
3f3e_1p1q_ligand_339,3f3e,1p1q_ligand_339
3f3e_1p1q_ligand_249,3f3e,1p1q_ligand_249
3f3e_1p1q_ligand_33,3f3e,1p1q_ligand_33
3f3e_1p1q_ligand_25,3f3e,1p1q_ligand_25
3f3e_1p1q_ligand_325,3f3e,1p1q_ligand_325
3f3e_1p1q_ligand_202,3f3e,1p1q_ligand_202
3f3e_1p1q_ligand_166,3f3e,1p1q_ligand_166
3f3e_1p1q_ligand_271,3f3e,1p1q_ligand_271
3f3e_1p1q_ligand_270,3f3e,1p1q_ligand_270
3f3e_1p1q_ligand_426,3f3e,1p1q_ligand_426
3f3e_1p1q_ligand_230,3f3e,1p1q_ligand_230
3f3e_1p1q_ligand_333,3f3e,1p1q_ligand_333
3f3e_1p1q_ligand_165,3f3e,1p1q_ligand_165
3f3e_1p1q_ligand_288,3f3e,1p1q_ligand_288
3f3e_1p1q_ligand_396,3f3e,1p1q_ligand_396
3f3e_1p1q_ligand_231,3f3e,1p1q_ligand_231
3f3e_1p1q_ligand_244,3f3e,1p1q_ligand_244
3f3e_1p1q_ligand_63,3f3e,1p1q_ligand_63
3f3e_1owh_ligand_272,3f3e,1owh_ligand_272
3f3e_1owh_ligand_250,3f3e,1owh_ligand_250
3f3e_1owh_ligand_234,3f3e,1owh_ligand_234
3f3e_1owh_ligand_216,3f3e,1owh_ligand_216
3f3e_1owh_ligand_289,3f3e,1owh_ligand_289
3f3e_1owh_ligand_262,3f3e,1owh_ligand_262
3f3e_1owh_ligand_243,3f3e,1owh_ligand_243
3f3e_1owh_ligand_273,3f3e,1owh_ligand_273
3f3e_1owh_ligand_231,3f3e,1owh_ligand_231
3f3e_1owh_ligand_421,3f3e,1owh_ligand_421
3f3e_1owh_ligand_225,3f3e,1owh_ligand_225
3f3e_1owh_ligand_406,3f3e,1owh_ligand_406
3f3e_1owh_ligand_452,3f3e,1owh_ligand_452
3f3e_1owh_ligand_318,3f3e,1owh_ligand_318
3f3e_1owh_ligand_394,3f3e,1owh_ligand_394
3f3e_1owh_ligand_258,3f3e,1owh_ligand_258
3f3e_1owh_ligand_120,3f3e,1owh_ligand_120
3f3e_1owh_ligand_383,3f3e,1owh_ligand_383
3f3e_1owh_ligand_161,3f3e,1owh_ligand_161
3f3e_1owh_ligand_209,3f3e,1owh_ligand_209
3f3e_1owh_ligand_412,3f3e,1owh_ligand_412
3f3e_1owh_ligand_329,3f3e,1owh_ligand_329
3f3e_1owh_ligand_218,3f3e,1owh_ligand_218
3f3e_1owh_ligand_344,3f3e,1owh_ligand_344
3f3e_1owh_ligand_445,3f3e,1owh_ligand_445
3f3e_1owh_ligand_280,3f3e,1owh_ligand_280
3f3e_1owh_ligand_230,3f3e,1owh_ligand_230
3f3e_1owh_ligand_211,3f3e,1owh_ligand_211
3f3e_1owh_ligand_411,3f3e,1owh_ligand_411
3f3e_1owh_ligand_292,3f3e,1owh_ligand_292
3f3e_1owh_ligand_217,3f3e,1owh_ligand_217
3f3e_1owh_ligand_199,3f3e,1owh_ligand_199
3f3e_1owh_ligand_490,3f3e,1owh_ligand_490
3f3e_1owh_ligand_494,3f3e,1owh_ligand_494
3f3e_1owh_ligand_335,3f3e,1owh_ligand_335
3f3e_1owh_ligand_330,3f3e,1owh_ligand_330
3f3e_1owh_ligand_222,3f3e,1owh_ligand_222
3f3e_1owh_ligand_441,3f3e,1owh_ligand_441
3f3e_1owh_ligand_162,3f3e,1owh_ligand_162
3f3e_1owh_ligand_399,3f3e,1owh_ligand_399
3f3e_1owh_ligand_379,3f3e,1owh_ligand_379
3f3e_1owh_ligand_264,3f3e,1owh_ligand_264
3f3e_1owh_ligand_300,3f3e,1owh_ligand_300
3f3e_1owh_ligand_491,3f3e,1owh_ligand_491
3f3e_1owh_ligand_279,3f3e,1owh_ligand_279
3f3e_1owh_ligand_391,3f3e,1owh_ligand_391
3f3e_1owh_ligand_270,3f3e,1owh_ligand_270
3f3e_1owh_ligand_340,3f3e,1owh_ligand_340
3f3e_1owh_ligand_25,3f3e,1owh_ligand_25
3f3e_1owh_ligand_75,3f3e,1owh_ligand_75
3f3e_1owh_ligand_443,3f3e,1owh_ligand_443
3f3e_1owh_ligand_228,3f3e,1owh_ligand_228
3f3e_1owh_ligand_285,3f3e,1owh_ligand_285
3f3e_1owh_ligand_296,3f3e,1owh_ligand_296
3f3e_1owh_ligand_71,3f3e,1owh_ligand_71
3f3e_1owh_ligand_239,3f3e,1owh_ligand_239
3f3e_1owh_ligand_348,3f3e,1owh_ligand_348
3f3e_1owh_ligand_373,3f3e,1owh_ligand_373
3f3e_1owh_ligand_341,3f3e,1owh_ligand_341
3f3e_1owh_ligand_403,3f3e,1owh_ligand_403
