index,protein,decoy_name
3fv1_1p1q_ligand_430,3fv1,1p1q_ligand_430
3fv1_1p1q_ligand_378,3fv1,1p1q_ligand_378
3fv1_1p1q_ligand_184,3fv1,1p1q_ligand_184
3fv1_1p1q_ligand_274,3fv1,1p1q_ligand_274
3fv1_1p1q_ligand_306,3fv1,1p1q_ligand_306
3fv1_1p1q_ligand_12,3fv1,1p1q_ligand_12
3fv1_1p1q_ligand_190,3fv1,1p1q_ligand_190
3fv1_1p1q_ligand_84,3fv1,1p1q_ligand_84
3fv1_1p1q_ligand_232,3fv1,1p1q_ligand_232
3fv1_1p1q_ligand_324,3fv1,1p1q_ligand_324
3fv1_1p1q_ligand_225,3fv1,1p1q_ligand_225
3fv1_1p1q_ligand_276,3fv1,1p1q_ligand_276
3fv1_1p1q_ligand_23,3fv1,1p1q_ligand_23
3fv1_1p1q_ligand_291,3fv1,1p1q_ligand_291
3fv1_1p1q_ligand_210,3fv1,1p1q_ligand_210
3fv1_1p1q_ligand_13,3fv1,1p1q_ligand_13
3fv1_1p1q_ligand_48,3fv1,1p1q_ligand_48
3fv1_1p1q_ligand_157,3fv1,1p1q_ligand_157
3fv1_1p1q_ligand_268,3fv1,1p1q_ligand_268
3fv1_1p1q_ligand_236,3fv1,1p1q_ligand_236
3fv1_1p1q_ligand_354,3fv1,1p1q_ligand_354
3fv1_1p1q_ligand_482,3fv1,1p1q_ligand_482
3fv1_1p1q_ligand_234,3fv1,1p1q_ligand_234
3fv1_1p1q_ligand_194,3fv1,1p1q_ligand_194
3fv1_1p1q_ligand_108,3fv1,1p1q_ligand_108
3fv1_1p1q_ligand_328,3fv1,1p1q_ligand_328
3fv1_1p1q_ligand_245,3fv1,1p1q_ligand_245
3fv1_1p1q_ligand_359,3fv1,1p1q_ligand_359
3fv1_1p1q_ligand_134,3fv1,1p1q_ligand_134
3fv1_1p1q_ligand_114,3fv1,1p1q_ligand_114
3fv1_1p1q_ligand_238,3fv1,1p1q_ligand_238
3fv1_1p1q_ligand_297,3fv1,1p1q_ligand_297
3fv1_1p1q_ligand_258,3fv1,1p1q_ligand_258
3fv1_1p1q_ligand_417,3fv1,1p1q_ligand_417
