index,protein,decoy_name
3g0w_1p1q_ligand_184,3g0w,1p1q_ligand_184
3g0w_1p1q_ligand_260,3g0w,1p1q_ligand_260
3g0w_1p1q_ligand_189,3g0w,1p1q_ligand_189
3g0w_1p1q_ligand_330,3g0w,1p1q_ligand_330
3g0w_1p1q_ligand_397,3g0w,1p1q_ligand_397
3g0w_1p1q_ligand_190,3g0w,1p1q_ligand_190
3g0w_1p1q_ligand_84,3g0w,1p1q_ligand_84
3g0w_1p1q_ligand_223,3g0w,1p1q_ligand_223
3g0w_1p1q_ligand_248,3g0w,1p1q_ligand_248
3g0w_1p1q_ligand_315,3g0w,1p1q_ligand_315
3g0w_1p1q_ligand_243,3g0w,1p1q_ligand_243
3g0w_1p1q_ligand_367,3g0w,1p1q_ligand_367
3g0w_1p1q_ligand_424,3g0w,1p1q_ligand_424
3g0w_1p1q_ligand_158,3g0w,1p1q_ligand_158
3g0w_1p1q_ligand_23,3g0w,1p1q_ligand_23
3g0w_1p1q_ligand_316,3g0w,1p1q_ligand_316
3g0w_1p1q_ligand_167,3g0w,1p1q_ligand_167
3g0w_1p1q_ligand_363,3g0w,1p1q_ligand_363
3g0w_1p1q_ligand_268,3g0w,1p1q_ligand_268
3g0w_1p1q_ligand_1,3g0w,1p1q_ligand_1
3g0w_1p1q_ligand_17,3g0w,1p1q_ligand_17
3g0w_1p1q_ligand_242,3g0w,1p1q_ligand_242
3g0w_1p1q_ligand_45,3g0w,1p1q_ligand_45
3g0w_1p1q_ligand_211,3g0w,1p1q_ligand_211
3g0w_1p1q_ligand_240,3g0w,1p1q_ligand_240
3g0w_1p1q_ligand_328,3g0w,1p1q_ligand_328
3g0w_1p1q_ligand_144,3g0w,1p1q_ligand_144
3g0w_1p1q_ligand_129,3g0w,1p1q_ligand_129
3g0w_1p1q_ligand_436,3g0w,1p1q_ligand_436
3g0w_1p1q_ligand_340,3g0w,1p1q_ligand_340
3g0w_1p1q_ligand_78,3g0w,1p1q_ligand_78
3g0w_1p1q_ligand_398,3g0w,1p1q_ligand_398
3g0w_1p1q_ligand_296,3g0w,1p1q_ligand_296
3g0w_1p1q_ligand_57,3g0w,1p1q_ligand_57
3g0w_1p1q_ligand_362,3g0w,1p1q_ligand_362
3g0w_1p1q_ligand_432,3g0w,1p1q_ligand_432
3g0w_1p1q_ligand_357,3g0w,1p1q_ligand_357
3g0w_1p1q_ligand_349,3g0w,1p1q_ligand_349
3g0w_1p1q_ligand_321,3g0w,1p1q_ligand_321
3g0w_1p1q_ligand_179,3g0w,1p1q_ligand_179
3g0w_1p1q_ligand_387,3g0w,1p1q_ligand_387
3g0w_1p1q_ligand_42,3g0w,1p1q_ligand_42
3g0w_1p1q_ligand_239,3g0w,1p1q_ligand_239
3g0w_1p1q_ligand_309,3g0w,1p1q_ligand_309
3g0w_1p1q_ligand_400,3g0w,1p1q_ligand_400
3g0w_1p1q_ligand_206,3g0w,1p1q_ligand_206
3g0w_1p1q_ligand_32,3g0w,1p1q_ligand_32
3g0w_1p1q_ligand_193,3g0w,1p1q_ligand_193
3g0w_1p1q_ligand_263,3g0w,1p1q_ligand_263
3g0w_1p1q_ligand_37,3g0w,1p1q_ligand_37
