index,protein,decoy_name
3ge7_1p1q_ligand_376,3ge7,1p1q_ligand_376
3ge7_1p1q_ligand_462,3ge7,1p1q_ligand_462
3ge7_1p1q_ligand_274,3ge7,1p1q_ligand_274
3ge7_1p1q_ligand_330,3ge7,1p1q_ligand_330
3ge7_1p1q_ligand_106,3ge7,1p1q_ligand_106
3ge7_1p1q_ligand_257,3ge7,1p1q_ligand_257
3ge7_1p1q_ligand_248,3ge7,1p1q_ligand_248
3ge7_1p1q_ligand_107,3ge7,1p1q_ligand_107
3ge7_1p1q_ligand_347,3ge7,1p1q_ligand_347
3ge7_1p1q_ligand_419,3ge7,1p1q_ligand_419
3ge7_1p1q_ligand_382,3ge7,1p1q_ligand_382
3ge7_1p1q_ligand_232,3ge7,1p1q_ligand_232
3ge7_1p1q_ligand_312,3ge7,1p1q_ligand_312
3ge7_1p1q_ligand_225,3ge7,1p1q_ligand_225
3ge7_1p1q_ligand_276,3ge7,1p1q_ligand_276
3ge7_1p1q_ligand_101,3ge7,1p1q_ligand_101
3ge7_1p1q_ligand_210,3ge7,1p1q_ligand_210
3ge7_1p1q_ligand_298,3ge7,1p1q_ligand_298
3ge7_1p1q_ligand_13,3ge7,1p1q_ligand_13
3ge7_1p1q_ligand_226,3ge7,1p1q_ligand_226
3ge7_1p1q_ligand_93,3ge7,1p1q_ligand_93
3ge7_1p1q_ligand_410,3ge7,1p1q_ligand_410
3ge7_1p1q_ligand_236,3ge7,1p1q_ligand_236
3ge7_1p1q_ligand_354,3ge7,1p1q_ligand_354
3ge7_1p1q_ligand_221,3ge7,1p1q_ligand_221
3ge7_1p1q_ligand_211,3ge7,1p1q_ligand_211
3ge7_1p1q_ligand_113,3ge7,1p1q_ligand_113
3ge7_1p1q_ligand_5,3ge7,1p1q_ligand_5
3ge7_1p1q_ligand_240,3ge7,1p1q_ligand_240
3ge7_1p1q_ligand_388,3ge7,1p1q_ligand_388
3ge7_1p1q_ligand_245,3ge7,1p1q_ligand_245
3ge7_1p1q_ligand_308,3ge7,1p1q_ligand_308
3ge7_1p1q_ligand_238,3ge7,1p1q_ligand_238
3ge7_1p1q_ligand_348,3ge7,1p1q_ligand_348
3ge7_1p1q_ligand_213,3ge7,1p1q_ligand_213
3ge7_1p1q_ligand_289,3ge7,1p1q_ligand_289
3ge7_1p1q_ligand_398,3ge7,1p1q_ligand_398
3ge7_1p1q_ligand_296,3ge7,1p1q_ligand_296
3ge7_1p1q_ligand_215,3ge7,1p1q_ligand_215
3ge7_1p1q_ligand_233,3ge7,1p1q_ligand_233
3ge7_1p1q_ligand_390,3ge7,1p1q_ligand_390
3ge7_1p1q_ligand_278,3ge7,1p1q_ligand_278
3ge7_1p1q_ligand_222,3ge7,1p1q_ligand_222
3ge7_1p1q_ligand_170,3ge7,1p1q_ligand_170
3ge7_1p1q_ligand_205,3ge7,1p1q_ligand_205
3ge7_1p1q_ligand_116,3ge7,1p1q_ligand_116
3ge7_1p1q_ligand_137,3ge7,1p1q_ligand_137
3ge7_1p1q_ligand_217,3ge7,1p1q_ligand_217
3ge7_1p1q_ligand_49,3ge7,1p1q_ligand_49
3ge7_1p1q_ligand_387,3ge7,1p1q_ligand_387
3ge7_1p1q_ligand_239,3ge7,1p1q_ligand_239
3ge7_1p1q_ligand_273,3ge7,1p1q_ligand_273
3ge7_1p1q_ligand_206,3ge7,1p1q_ligand_206
3ge7_1p1q_ligand_4,3ge7,1p1q_ligand_4
3ge7_1p1q_ligand_329,3ge7,1p1q_ligand_329
3ge7_1p1q_ligand_375,3ge7,1p1q_ligand_375
3ge7_1p1q_ligand_373,3ge7,1p1q_ligand_373
3ge7_1p1q_ligand_275,3ge7,1p1q_ligand_275
3ge7_1p1q_ligand_241,3ge7,1p1q_ligand_241
