index,protein,decoy_name
3gnw_4kz6_ligand_300,3gnw,4kz6_ligand_300
3gnw_4kz6_ligand_454,3gnw,4kz6_ligand_454
3gnw_4kz6_ligand_478,3gnw,4kz6_ligand_478
3gnw_4kz6_ligand_375,3gnw,4kz6_ligand_375
3gnw_4kz6_ligand_354,3gnw,4kz6_ligand_354
3gnw_4kz6_ligand_444,3gnw,4kz6_ligand_444
3gnw_4kz6_ligand_424,3gnw,4kz6_ligand_424
3gnw_4kz6_ligand_243,3gnw,4kz6_ligand_243
3gnw_4kz6_ligand_221,3gnw,4kz6_ligand_221
3gnw_4kz6_ligand_228,3gnw,4kz6_ligand_228
3gnw_4kz6_ligand_259,3gnw,4kz6_ligand_259
3gnw_4kz6_ligand_187,3gnw,4kz6_ligand_187
3gnw_4kz6_ligand_372,3gnw,4kz6_ligand_372
3gnw_4kz6_ligand_376,3gnw,4kz6_ligand_376
3gnw_4kz6_ligand_161,3gnw,4kz6_ligand_161
3gnw_4kz6_ligand_369,3gnw,4kz6_ligand_369
3gnw_4kz6_ligand_388,3gnw,4kz6_ligand_388
3gnw_4kz6_ligand_12,3gnw,4kz6_ligand_12
3gnw_4kz6_ligand_492,3gnw,4kz6_ligand_492
3gnw_4kz6_ligand_371,3gnw,4kz6_ligand_371
3gnw_4kz6_ligand_144,3gnw,4kz6_ligand_144
3gnw_4kz6_ligand_449,3gnw,4kz6_ligand_449
3gnw_4kz6_ligand_192,3gnw,4kz6_ligand_192
3gnw_4kz6_ligand_394,3gnw,4kz6_ligand_394
3gnw_4kz6_ligand_198,3gnw,4kz6_ligand_198
3gnw_4kz6_ligand_340,3gnw,4kz6_ligand_340
3gnw_4kz6_ligand_326,3gnw,4kz6_ligand_326
3gnw_4kz6_ligand_377,3gnw,4kz6_ligand_377
3gnw_4kz6_ligand_303,3gnw,4kz6_ligand_303
3gnw_4kz6_ligand_402,3gnw,4kz6_ligand_402
3gnw_4kz6_ligand_62,3gnw,4kz6_ligand_62
3gnw_4kz6_ligand_336,3gnw,4kz6_ligand_336
3gnw_4kz6_ligand_366,3gnw,4kz6_ligand_366
3gnw_4kz6_ligand_325,3gnw,4kz6_ligand_325
