index,protein,decoy_name
3kr8_4kz6_ligand_300,3kr8,4kz6_ligand_300
3kr8_4kz6_ligand_27,3kr8,4kz6_ligand_27
3kr8_4kz6_ligand_156,3kr8,4kz6_ligand_156
3kr8_4kz6_ligand_375,3kr8,4kz6_ligand_375
3kr8_4kz6_ligand_109,3kr8,4kz6_ligand_109
3kr8_4kz6_ligand_452,3kr8,4kz6_ligand_452
3kr8_4kz6_ligand_320,3kr8,4kz6_ligand_320
3kr8_4kz6_ligand_444,3kr8,4kz6_ligand_444
3kr8_4kz6_ligand_188,3kr8,4kz6_ligand_188
3kr8_4kz6_ligand_169,3kr8,4kz6_ligand_169
3kr8_4kz6_ligand_221,3kr8,4kz6_ligand_221
3kr8_4kz6_ligand_343,3kr8,4kz6_ligand_343
3kr8_4kz6_ligand_193,3kr8,4kz6_ligand_193
3kr8_4kz6_ligand_382,3kr8,4kz6_ligand_382
3kr8_4kz6_ligand_228,3kr8,4kz6_ligand_228
3kr8_4kz6_ligand_273,3kr8,4kz6_ligand_273
3kr8_4kz6_ligand_355,3kr8,4kz6_ligand_355
3kr8_4kz6_ligand_291,3kr8,4kz6_ligand_291
3kr8_4kz6_ligand_214,3kr8,4kz6_ligand_214
3kr8_4kz6_ligand_182,3kr8,4kz6_ligand_182
3kr8_4kz6_ligand_371,3kr8,4kz6_ligand_371
3kr8_4kz6_ligand_357,3kr8,4kz6_ligand_357
3kr8_4kz6_ligand_106,3kr8,4kz6_ligand_106
3kr8_4kz6_ligand_423,3kr8,4kz6_ligand_423
3kr8_4kz6_ligand_160,3kr8,4kz6_ligand_160
3kr8_4kz6_ligand_218,3kr8,4kz6_ligand_218
3kr8_4kz6_ligand_250,3kr8,4kz6_ligand_250
3kr8_4kz6_ligand_280,3kr8,4kz6_ligand_280
3kr8_4kz6_ligand_210,3kr8,4kz6_ligand_210
3kr8_4kz6_ligand_206,3kr8,4kz6_ligand_206
3kr8_4kz6_ligand_498,3kr8,4kz6_ligand_498
3kr8_4kz6_ligand_205,3kr8,4kz6_ligand_205
3kr8_4kz6_ligand_391,3kr8,4kz6_ligand_391
3kr8_4kz6_ligand_476,3kr8,4kz6_ligand_476
3kr8_4kz6_ligand_298,3kr8,4kz6_ligand_298
3kr8_4kz6_ligand_227,3kr8,4kz6_ligand_227
3kr8_4kz6_ligand_302,3kr8,4kz6_ligand_302
3kr8_4kz6_ligand_381,3kr8,4kz6_ligand_381
3kr8_4kz6_ligand_408,3kr8,4kz6_ligand_408
3kr8_4kz6_ligand_240,3kr8,4kz6_ligand_240
3kr8_4kz6_ligand_385,3kr8,4kz6_ligand_385
3kr8_4kz6_ligand_247,3kr8,4kz6_ligand_247
3kr8_4kz6_ligand_179,3kr8,4kz6_ligand_179
3kr8_4kz6_ligand_334,3kr8,4kz6_ligand_334
3kr8_4kz6_ligand_387,3kr8,4kz6_ligand_387
3kr8_4kz6_ligand_289,3kr8,4kz6_ligand_289
3kr8_4kz6_ligand_316,3kr8,4kz6_ligand_316
3kr8_4kz6_ligand_398,3kr8,4kz6_ligand_398
3kr8_4kz6_ligand_400,3kr8,4kz6_ligand_400
3kr8_4kz6_ligand_213,3kr8,4kz6_ligand_213
3kr8_4kz6_ligand_229,3kr8,4kz6_ligand_229
3kr8_4kz6_ligand_170,3kr8,4kz6_ligand_170
3kr8_4kz6_ligand_204,3kr8,4kz6_ligand_204
3kr8_4kz6_ligand_499,3kr8,4kz6_ligand_499
3kr8_4kz6_ligand_39,3kr8,4kz6_ligand_39
3kr8_4kz6_ligand_151,3kr8,4kz6_ligand_151
3kr8_4kz6_ligand_242,3kr8,4kz6_ligand_242
3kr8_4kz6_ligand_249,3kr8,4kz6_ligand_249
3kr8_4kz6_ligand_260,3kr8,4kz6_ligand_260
3kr8_4kz6_ligand_233,3kr8,4kz6_ligand_233
3kr8_4kz6_ligand_54,3kr8,4kz6_ligand_54
3kr8_4kz6_ligand_272,3kr8,4kz6_ligand_272
3kr8_4kz6_ligand_126,3kr8,4kz6_ligand_126
3kr8_4kz6_ligand_461,3kr8,4kz6_ligand_461
3kr8_4kz6_ligand_207,3kr8,4kz6_ligand_207
3kr8_4kz6_ligand_157,3kr8,4kz6_ligand_157
3kr8_4kz6_ligand_362,3kr8,4kz6_ligand_362
3kr8_4kz6_ligand_350,3kr8,4kz6_ligand_350
3kr8_4kz6_ligand_386,3kr8,4kz6_ligand_386
3kr8_4kz6_ligand_373,3kr8,4kz6_ligand_373
3kr8_4kz6_ligand_239,3kr8,4kz6_ligand_239
3kr8_4kz6_ligand_443,3kr8,4kz6_ligand_443
3kr8_4kz6_ligand_251,3kr8,4kz6_ligand_251
3kr8_4kz6_ligand_35,3kr8,4kz6_ligand_35
3kr8_4kz6_ligand_432,3kr8,4kz6_ligand_432
3kr8_4kz6_ligand_279,3kr8,4kz6_ligand_279
3kr8_4kz6_ligand_230,3kr8,4kz6_ligand_230
3kr8_4kz6_ligand_258,3kr8,4kz6_ligand_258
3kr8_4kz6_ligand_87,3kr8,4kz6_ligand_87
3kr8_4kz6_ligand_500,3kr8,4kz6_ligand_500
3kr8_4kz6_ligand_322,3kr8,4kz6_ligand_322
3kr8_4kz6_ligand_365,3kr8,4kz6_ligand_365
3kr8_4kz6_ligand_346,3kr8,4kz6_ligand_346
3kr8_4kz6_ligand_232,3kr8,4kz6_ligand_232
3kr8_4kz6_ligand_25,3kr8,4kz6_ligand_25
