index,protein,decoy_name
3myg_4kz6_ligand_300,3myg,4kz6_ligand_300
3myg_4kz6_ligand_32,3myg,4kz6_ligand_32
3myg_4kz6_ligand_360,3myg,4kz6_ligand_360
3myg_4kz6_ligand_359,3myg,4kz6_ligand_359
3myg_4kz6_ligand_195,3myg,4kz6_ligand_195
3myg_4kz6_ligand_364,3myg,4kz6_ligand_364
3myg_4kz6_ligand_66,3myg,4kz6_ligand_66
3myg_4kz6_ligand_424,3myg,4kz6_ligand_424
3myg_4kz6_ligand_48,3myg,4kz6_ligand_48
3myg_4kz6_ligand_276,3myg,4kz6_ligand_276
3myg_4kz6_ligand_343,3myg,4kz6_ligand_343
3myg_4kz6_ligand_191,3myg,4kz6_ligand_191
3myg_4kz6_ligand_92,3myg,4kz6_ligand_92
3myg_4kz6_ligand_42,3myg,4kz6_ligand_42
3myg_4kz6_ligand_351,3myg,4kz6_ligand_351
3myg_4kz6_ligand_120,3myg,4kz6_ligand_120
3myg_4kz6_ligand_124,3myg,4kz6_ligand_124
3myg_4kz6_ligand_418,3myg,4kz6_ligand_418
3myg_4kz6_ligand_71,3myg,4kz6_ligand_71
3myg_4kz6_ligand_372,3myg,4kz6_ligand_372
3myg_4kz6_ligand_376,3myg,4kz6_ligand_376
3myg_4kz6_ligand_369,3myg,4kz6_ligand_369
3myg_4kz6_ligand_479,3myg,4kz6_ligand_479
3myg_4kz6_ligand_12,3myg,4kz6_ligand_12
3myg_4kz6_ligand_371,3myg,4kz6_ligand_371
3myg_4kz6_ligand_17,3myg,4kz6_ligand_17
3myg_4kz6_ligand_423,3myg,4kz6_ligand_423
3myg_4kz6_ligand_160,3myg,4kz6_ligand_160
3myg_4kz6_ligand_477,3myg,4kz6_ligand_477
3myg_4kz6_ligand_465,3myg,4kz6_ligand_465
3myg_4kz6_ligand_340,3myg,4kz6_ligand_340
3myg_4kz6_ligand_250,3myg,4kz6_ligand_250
3myg_4kz6_ligand_152,3myg,4kz6_ligand_152
3myg_4kz6_ligand_38,3myg,4kz6_ligand_38
3myg_4kz6_ligand_336,3myg,4kz6_ligand_336
3myg_4kz6_ligand_366,3myg,4kz6_ligand_366
3myg_4kz6_ligand_325,3myg,4kz6_ligand_325
3myg_4kz6_ligand_223,3myg,4kz6_ligand_223
3myg_4kz6_ligand_143,3myg,4kz6_ligand_143
3myg_4kz6_ligand_185,3myg,4kz6_ligand_185
3myg_4kz6_ligand_361,3myg,4kz6_ligand_361
3myg_4kz6_ligand_290,3myg,4kz6_ligand_290
3myg_4kz6_ligand_205,3myg,4kz6_ligand_205
3myg_4kz6_ligand_447,3myg,4kz6_ligand_447
3myg_4kz6_ligand_483,3myg,4kz6_ligand_483
3myg_4kz6_ligand_446,3myg,4kz6_ligand_446
3myg_4kz6_ligand_69,3myg,4kz6_ligand_69
3myg_4kz6_ligand_171,3myg,4kz6_ligand_171
3myg_4kz6_ligand_399,3myg,4kz6_ligand_399
3myg_4kz6_ligand_428,3myg,4kz6_ligand_428
3myg_4kz6_ligand_480,3myg,4kz6_ligand_480
3myg_4kz6_ligand_225,3myg,4kz6_ligand_225
3myg_4kz6_ligand_154,3myg,4kz6_ligand_154
3myg_4kz6_ligand_172,3myg,4kz6_ligand_172
3myg_4kz6_ligand_440,3myg,4kz6_ligand_440
3myg_4kz6_ligand_368,3myg,4kz6_ligand_368
3myg_4kz6_ligand_385,3myg,4kz6_ligand_385
3myg_4kz6_ligand_247,3myg,4kz6_ligand_247
3myg_4kz6_ligand_175,3myg,4kz6_ligand_175
3myg_4kz6_ligand_400,3myg,4kz6_ligand_400
3myg_4kz6_ligand_246,3myg,4kz6_ligand_246
3myg_4kz6_ligand_238,3myg,4kz6_ligand_238
3myg_4kz6_ligand_286,3myg,4kz6_ligand_286
3myg_4kz6_ligand_384,3myg,4kz6_ligand_384
3myg_4kz6_ligand_39,3myg,4kz6_ligand_39
3myg_4kz6_ligand_18,3myg,4kz6_ligand_18
3myg_4kz6_ligand_329,3myg,4kz6_ligand_329
3myg_4kz6_ligand_233,3myg,4kz6_ligand_233
3myg_4kz6_ligand_181,3myg,4kz6_ligand_181
3myg_4kz6_ligand_19,3myg,4kz6_ligand_19
3myg_4kz6_ligand_133,3myg,4kz6_ligand_133
3myg_4kz6_ligand_263,3myg,4kz6_ligand_263
3myg_4kz6_ligand_26,3myg,4kz6_ligand_26
3myg_4kz6_ligand_296,3myg,4kz6_ligand_296
3myg_4kz6_ligand_277,3myg,4kz6_ligand_277
3myg_4kz6_ligand_157,3myg,4kz6_ligand_157
3myg_4kz6_ligand_495,3myg,4kz6_ligand_495
3myg_4kz6_ligand_305,3myg,4kz6_ligand_305
3myg_4kz6_ligand_417,3myg,4kz6_ligand_417
3myg_4kz6_ligand_105,3myg,4kz6_ligand_105
3myg_4kz6_ligand_59,3myg,4kz6_ligand_59
3myg_4kz6_ligand_439,3myg,4kz6_ligand_439
