index,protein,decoy_name
3nw9_4kz6_ligand_300,3nw9,4kz6_ligand_300
3nw9_4kz6_ligand_27,3nw9,4kz6_ligand_27
3nw9_4kz6_ligand_454,3nw9,4kz6_ligand_454
3nw9_4kz6_ligand_342,3nw9,4kz6_ligand_342
3nw9_4kz6_ligand_186,3nw9,4kz6_ligand_186
3nw9_4kz6_ligand_79,3nw9,4kz6_ligand_79
3nw9_4kz6_ligand_383,3nw9,4kz6_ligand_383
3nw9_4kz6_ligand_195,3nw9,4kz6_ligand_195
3nw9_4kz6_ligand_364,3nw9,4kz6_ligand_364
3nw9_4kz6_ligand_455,3nw9,4kz6_ligand_455
3nw9_4kz6_ligand_314,3nw9,4kz6_ligand_314
3nw9_4kz6_ligand_318,3nw9,4kz6_ligand_318
3nw9_4kz6_ligand_188,3nw9,4kz6_ligand_188
3nw9_4kz6_ligand_169,3nw9,4kz6_ligand_169
3nw9_4kz6_ligand_370,3nw9,4kz6_ligand_370
3nw9_4kz6_ligand_191,3nw9,4kz6_ligand_191
3nw9_4kz6_ligand_92,3nw9,4kz6_ligand_92
3nw9_4kz6_ligand_382,3nw9,4kz6_ligand_382
3nw9_4kz6_ligand_228,3nw9,4kz6_ligand_228
3nw9_4kz6_ligand_273,3nw9,4kz6_ligand_273
3nw9_4kz6_ligand_237,3nw9,4kz6_ligand_237
3nw9_4kz6_ligand_437,3nw9,4kz6_ligand_437
3nw9_4kz6_ligand_267,3nw9,4kz6_ligand_267
3nw9_4kz6_ligand_220,3nw9,4kz6_ligand_220
3nw9_4kz6_ligand_335,3nw9,4kz6_ligand_335
3nw9_4kz6_ligand_192,3nw9,4kz6_ligand_192
3nw9_4kz6_ligand_198,3nw9,4kz6_ligand_198
3nw9_4kz6_ligand_493,3nw9,4kz6_ligand_493
3nw9_4kz6_ligand_103,3nw9,4kz6_ligand_103
3nw9_4kz6_ligand_250,3nw9,4kz6_ligand_250
3nw9_4kz6_ligand_270,3nw9,4kz6_ligand_270
3nw9_4kz6_ligand_152,3nw9,4kz6_ligand_152
3nw9_4kz6_ligand_377,3nw9,4kz6_ligand_377
3nw9_4kz6_ligand_255,3nw9,4kz6_ligand_255
3nw9_4kz6_ligand_223,3nw9,4kz6_ligand_223
3nw9_4kz6_ligand_378,3nw9,4kz6_ligand_378
3nw9_4kz6_ligand_206,3nw9,4kz6_ligand_206
3nw9_4kz6_ligand_185,3nw9,4kz6_ligand_185
3nw9_4kz6_ligand_236,3nw9,4kz6_ligand_236
3nw9_4kz6_ligand_315,3nw9,4kz6_ligand_315
3nw9_4kz6_ligand_434,3nw9,4kz6_ligand_434
3nw9_4kz6_ligand_447,3nw9,4kz6_ligand_447
3nw9_4kz6_ligand_274,3nw9,4kz6_ligand_274
3nw9_4kz6_ligand_225,3nw9,4kz6_ligand_225
3nw9_4kz6_ligand_197,3nw9,4kz6_ligand_197
3nw9_4kz6_ligand_199,3nw9,4kz6_ligand_199
3nw9_4kz6_ligand_475,3nw9,4kz6_ligand_475
3nw9_4kz6_ligand_302,3nw9,4kz6_ligand_302
3nw9_4kz6_ligand_345,3nw9,4kz6_ligand_345
3nw9_4kz6_ligand_440,3nw9,4kz6_ligand_440
3nw9_4kz6_ligand_385,3nw9,4kz6_ligand_385
3nw9_4kz6_ligand_425,3nw9,4kz6_ligand_425
3nw9_4kz6_ligand_211,3nw9,4kz6_ligand_211
3nw9_4kz6_ligand_379,3nw9,4kz6_ligand_379
3nw9_4kz6_ligand_328,3nw9,4kz6_ligand_328
3nw9_4kz6_ligand_334,3nw9,4kz6_ligand_334
3nw9_4kz6_ligand_308,3nw9,4kz6_ligand_308
3nw9_4kz6_ligand_248,3nw9,4kz6_ligand_248
3nw9_4kz6_ligand_234,3nw9,4kz6_ligand_234
3nw9_4kz6_ligand_339,3nw9,4kz6_ligand_339
3nw9_4kz6_ligand_400,3nw9,4kz6_ligand_400
3nw9_4kz6_ligand_213,3nw9,4kz6_ligand_213
3nw9_4kz6_ligand_286,3nw9,4kz6_ligand_286
3nw9_4kz6_ligand_170,3nw9,4kz6_ligand_170
3nw9_4kz6_ligand_204,3nw9,4kz6_ligand_204
3nw9_4kz6_ligand_438,3nw9,4kz6_ligand_438
3nw9_4kz6_ligand_338,3nw9,4kz6_ligand_338
3nw9_4kz6_ligand_406,3nw9,4kz6_ligand_406
3nw9_4kz6_ligand_249,3nw9,4kz6_ligand_249
3nw9_4kz6_ligand_329,3nw9,4kz6_ligand_329
3nw9_4kz6_ligand_463,3nw9,4kz6_ligand_463
3nw9_4kz6_ligand_496,3nw9,4kz6_ligand_496
3nw9_4kz6_ligand_324,3nw9,4kz6_ligand_324
3nw9_4kz6_ligand_309,3nw9,4kz6_ligand_309
3nw9_4kz6_ligand_362,3nw9,4kz6_ligand_362
3nw9_4kz6_ligand_414,3nw9,4kz6_ligand_414
3nw9_4kz6_ligand_443,3nw9,4kz6_ligand_443
3nw9_4kz6_ligand_167,3nw9,4kz6_ligand_167
3nw9_4kz6_ligand_389,3nw9,4kz6_ligand_389
3nw9_4kz6_ligand_396,3nw9,4kz6_ligand_396
3nw9_4kz6_ligand_374,3nw9,4kz6_ligand_374
3nw9_4kz6_ligand_183,3nw9,4kz6_ligand_183
3nw9_4kz6_ligand_258,3nw9,4kz6_ligand_258
3nw9_4kz6_ligand_293,3nw9,4kz6_ligand_293
3nw9_4kz6_ligand_212,3nw9,4kz6_ligand_212
3nw9_4kz6_ligand_332,3nw9,4kz6_ligand_332
3nw9_4kz6_ligand_322,3nw9,4kz6_ligand_322
3nw9_4kz6_ligand_232,3nw9,4kz6_ligand_232
3nw9_4kz6_ligand_317,3nw9,4kz6_ligand_317
