index,protein,decoy_name
3o9i_4kz6_ligand_84,3o9i,4kz6_ligand_84
3o9i_4kz6_ligand_294,3o9i,4kz6_ligand_294
3o9i_4kz6_ligand_27,3o9i,4kz6_ligand_27
3o9i_4kz6_ligand_478,3o9i,4kz6_ligand_478
3o9i_4kz6_ligand_375,3o9i,4kz6_ligand_375
3o9i_4kz6_ligand_195,3o9i,4kz6_ligand_195
3o9i_4kz6_ligand_364,3o9i,4kz6_ligand_364
3o9i_4kz6_ligand_314,3o9i,4kz6_ligand_314
3o9i_4kz6_ligand_436,3o9i,4kz6_ligand_436
3o9i_4kz6_ligand_180,3o9i,4kz6_ligand_180
3o9i_4kz6_ligand_409,3o9i,4kz6_ligand_409
3o9i_4kz6_ligand_411,3o9i,4kz6_ligand_411
3o9i_4kz6_ligand_358,3o9i,4kz6_ligand_358
3o9i_4kz6_ligand_448,3o9i,4kz6_ligand_448
3o9i_4kz6_ligand_351,3o9i,4kz6_ligand_351
3o9i_4kz6_ligand_372,3o9i,4kz6_ligand_372
3o9i_4kz6_ligand_437,3o9i,4kz6_ligand_437
3o9i_4kz6_ligand_388,3o9i,4kz6_ligand_388
3o9i_4kz6_ligand_355,3o9i,4kz6_ligand_355
3o9i_4kz6_ligand_214,3o9i,4kz6_ligand_214
3o9i_4kz6_ligand_371,3o9i,4kz6_ligand_371
3o9i_4kz6_ligand_160,3o9i,4kz6_ligand_160
3o9i_4kz6_ligand_218,3o9i,4kz6_ligand_218
3o9i_4kz6_ligand_477,3o9i,4kz6_ligand_477
3o9i_4kz6_ligand_192,3o9i,4kz6_ligand_192
3o9i_4kz6_ligand_394,3o9i,4kz6_ligand_394
3o9i_4kz6_ligand_198,3o9i,4kz6_ligand_198
3o9i_4kz6_ligand_301,3o9i,4kz6_ligand_301
3o9i_4kz6_ligand_270,3o9i,4kz6_ligand_270
3o9i_4kz6_ligand_421,3o9i,4kz6_ligand_421
3o9i_4kz6_ligand_303,3o9i,4kz6_ligand_303
3o9i_4kz6_ligand_426,3o9i,4kz6_ligand_426
3o9i_4kz6_ligand_490,3o9i,4kz6_ligand_490
3o9i_4kz6_ligand_336,3o9i,4kz6_ligand_336
3o9i_4kz6_ligand_223,3o9i,4kz6_ligand_223
3o9i_4kz6_ligand_2,3o9i,4kz6_ligand_2
3o9i_4kz6_ligand_290,3o9i,4kz6_ligand_290
3o9i_4kz6_ligand_498,3o9i,4kz6_ligand_498
3o9i_4kz6_ligand_205,3o9i,4kz6_ligand_205
3o9i_4kz6_ligand_476,3o9i,4kz6_ligand_476
3o9i_4kz6_ligand_446,3o9i,4kz6_ligand_446
3o9i_4kz6_ligand_484,3o9i,4kz6_ligand_484
3o9i_4kz6_ligand_227,3o9i,4kz6_ligand_227
3o9i_4kz6_ligand_415,3o9i,4kz6_ligand_415
3o9i_4kz6_ligand_399,3o9i,4kz6_ligand_399
3o9i_4kz6_ligand_428,3o9i,4kz6_ligand_428
3o9i_4kz6_ligand_494,3o9i,4kz6_ligand_494
3o9i_4kz6_ligand_197,3o9i,4kz6_ligand_197
3o9i_4kz6_ligand_381,3o9i,4kz6_ligand_381
3o9i_4kz6_ligand_344,3o9i,4kz6_ligand_344
3o9i_4kz6_ligand_245,3o9i,4kz6_ligand_245
3o9i_4kz6_ligand_497,3o9i,4kz6_ligand_497
3o9i_4kz6_ligand_240,3o9i,4kz6_ligand_240
3o9i_4kz6_ligand_425,3o9i,4kz6_ligand_425
3o9i_4kz6_ligand_247,3o9i,4kz6_ligand_247
3o9i_4kz6_ligand_328,3o9i,4kz6_ligand_328
3o9i_4kz6_ligand_179,3o9i,4kz6_ligand_179
3o9i_4kz6_ligand_387,3o9i,4kz6_ligand_387
3o9i_4kz6_ligand_316,3o9i,4kz6_ligand_316
3o9i_4kz6_ligand_397,3o9i,4kz6_ligand_397
3o9i_4kz6_ligand_398,3o9i,4kz6_ligand_398
3o9i_4kz6_ligand_339,3o9i,4kz6_ligand_339
3o9i_4kz6_ligand_229,3o9i,4kz6_ligand_229
3o9i_4kz6_ligand_238,3o9i,4kz6_ligand_238
3o9i_4kz6_ligand_204,3o9i,4kz6_ligand_204
3o9i_4kz6_ligand_288,3o9i,4kz6_ligand_288
3o9i_4kz6_ligand_338,3o9i,4kz6_ligand_338
3o9i_4kz6_ligand_233,3o9i,4kz6_ligand_233
3o9i_4kz6_ligand_433,3o9i,4kz6_ligand_433
3o9i_4kz6_ligand_461,3o9i,4kz6_ligand_461
3o9i_4kz6_ligand_235,3o9i,4kz6_ligand_235
3o9i_4kz6_ligand_495,3o9i,4kz6_ligand_495
3o9i_4kz6_ligand_262,3o9i,4kz6_ligand_262
3o9i_4kz6_ligand_386,3o9i,4kz6_ligand_386
3o9i_4kz6_ligand_11,3o9i,4kz6_ligand_11
3o9i_4kz6_ligand_443,3o9i,4kz6_ligand_443
3o9i_4kz6_ligand_284,3o9i,4kz6_ligand_284
3o9i_4kz6_ligand_413,3o9i,4kz6_ligand_413
3o9i_4kz6_ligand_306,3o9i,4kz6_ligand_306
3o9i_4kz6_ligand_348,3o9i,4kz6_ligand_348
3o9i_4kz6_ligand_8,3o9i,4kz6_ligand_8
3o9i_4kz6_ligand_435,3o9i,4kz6_ligand_435
3o9i_4kz6_ligand_174,3o9i,4kz6_ligand_174
3o9i_4kz6_ligand_332,3o9i,4kz6_ligand_332
3o9i_4kz6_ligand_500,3o9i,4kz6_ligand_500
3o9i_4kz6_ligand_367,3o9i,4kz6_ligand_367
3o9i_4kz6_ligand_297,3o9i,4kz6_ligand_297
3o9i_4kz6_ligand_322,3o9i,4kz6_ligand_322
3o9i_4kz6_ligand_365,3o9i,4kz6_ligand_365
3o9i_4kz6_ligand_232,3o9i,4kz6_ligand_232
3o9i_4kz6_ligand_317,3o9i,4kz6_ligand_317
3o9i_4kz6_ligand_224,3o9i,4kz6_ligand_224
3o9i_4kz6_ligand_450,3o9i,4kz6_ligand_450
3o9i_4kz6_ligand_226,3o9i,4kz6_ligand_226
3o9i_4kz6_ligand_392,3o9i,4kz6_ligand_392
3o9i_4kz6_ligand_118,3o9i,4kz6_ligand_118
3o9i_4kz6_ligand_164,3o9i,4kz6_ligand_164
3o9i_4kz6_ligand_319,3o9i,4kz6_ligand_319
3o9i_4kz6_ligand_219,3o9i,4kz6_ligand_219
3o9i_4kz6_ligand_268,3o9i,4kz6_ligand_268
3o9i_4jsz_ligand_179,3o9i,4jsz_ligand_179
3o9i_4jsz_ligand_305,3o9i,4jsz_ligand_305
3o9i_4jsz_ligand_224,3o9i,4jsz_ligand_224
3o9i_4jsz_ligand_316,3o9i,4jsz_ligand_316
3o9i_4jsz_ligand_443,3o9i,4jsz_ligand_443
3o9i_4jsz_ligand_317,3o9i,4jsz_ligand_317
3o9i_4jsz_ligand_135,3o9i,4jsz_ligand_135
3o9i_4jsz_ligand_237,3o9i,4jsz_ligand_237
3o9i_4jsz_ligand_28,3o9i,4jsz_ligand_28
3o9i_4jsz_ligand_375,3o9i,4jsz_ligand_375
3o9i_4jsz_ligand_318,3o9i,4jsz_ligand_318
3o9i_4jsz_ligand_344,3o9i,4jsz_ligand_344
3o9i_4jsz_ligand_246,3o9i,4jsz_ligand_246
3o9i_4jsz_ligand_248,3o9i,4jsz_ligand_248
3o9i_4jsz_ligand_236,3o9i,4jsz_ligand_236
3o9i_4jsz_ligand_324,3o9i,4jsz_ligand_324
3o9i_4jsz_ligand_199,3o9i,4jsz_ligand_199
3o9i_4jsz_ligand_311,3o9i,4jsz_ligand_311
3o9i_4jsz_ligand_61,3o9i,4jsz_ligand_61
3o9i_4jsz_ligand_325,3o9i,4jsz_ligand_325
3o9i_4jsz_ligand_379,3o9i,4jsz_ligand_379
3o9i_4jsz_ligand_184,3o9i,4jsz_ligand_184
3o9i_4jsz_ligand_217,3o9i,4jsz_ligand_217
3o9i_4jsz_ligand_290,3o9i,4jsz_ligand_290
3o9i_4jsz_ligand_115,3o9i,4jsz_ligand_115
3o9i_4jsz_ligand_79,3o9i,4jsz_ligand_79
3o9i_4jsz_ligand_240,3o9i,4jsz_ligand_240
3o9i_4jsz_ligand_228,3o9i,4jsz_ligand_228
3o9i_4jsz_ligand_340,3o9i,4jsz_ligand_340
3o9i_4jsz_ligand_276,3o9i,4jsz_ligand_276
3o9i_4jsz_ligand_211,3o9i,4jsz_ligand_211
3o9i_4jsz_ligand_71,3o9i,4jsz_ligand_71
3o9i_4jsz_ligand_227,3o9i,4jsz_ligand_227
3o9i_4jsz_ligand_339,3o9i,4jsz_ligand_339
3o9i_4jsz_ligand_226,3o9i,4jsz_ligand_226
3o9i_4jsz_ligand_190,3o9i,4jsz_ligand_190
3o9i_4jsz_ligand_48,3o9i,4jsz_ligand_48
3o9i_4jsz_ligand_149,3o9i,4jsz_ligand_149
3o9i_4jsz_ligand_170,3o9i,4jsz_ligand_170
3o9i_4jsz_ligand_397,3o9i,4jsz_ligand_397
3o9i_4jsz_ligand_30,3o9i,4jsz_ligand_30
3o9i_4jsz_ligand_283,3o9i,4jsz_ligand_283
3o9i_4jsz_ligand_336,3o9i,4jsz_ligand_336
3o9i_4jsz_ligand_141,3o9i,4jsz_ligand_141
3o9i_4jsz_ligand_398,3o9i,4jsz_ligand_398
3o9i_4jsz_ligand_113,3o9i,4jsz_ligand_113
3o9i_4jsz_ligand_291,3o9i,4jsz_ligand_291
3o9i_4jsz_ligand_171,3o9i,4jsz_ligand_171
3o9i_4jsz_ligand_173,3o9i,4jsz_ligand_173
3o9i_4jsz_ligand_53,3o9i,4jsz_ligand_53
3o9i_4jsz_ligand_424,3o9i,4jsz_ligand_424
3o9i_4jsz_ligand_279,3o9i,4jsz_ligand_279
3o9i_4jsz_ligand_383,3o9i,4jsz_ligand_383
3o9i_4jsz_ligand_249,3o9i,4jsz_ligand_249
3o9i_4jsz_ligand_341,3o9i,4jsz_ligand_341
3o9i_4jsz_ligand_384,3o9i,4jsz_ligand_384
3o9i_4jsz_ligand_73,3o9i,4jsz_ligand_73
3o9i_4jsz_ligand_315,3o9i,4jsz_ligand_315
3o9i_4jsz_ligand_447,3o9i,4jsz_ligand_447
3o9i_4jsz_ligand_108,3o9i,4jsz_ligand_108
3o9i_4jsz_ligand_250,3o9i,4jsz_ligand_250
3o9i_4jsz_ligand_58,3o9i,4jsz_ligand_58
3o9i_4jsz_ligand_321,3o9i,4jsz_ligand_321
3o9i_4jsz_ligand_306,3o9i,4jsz_ligand_306
3o9i_4jsz_ligand_94,3o9i,4jsz_ligand_94
3o9i_4jsz_ligand_18,3o9i,4jsz_ligand_18
3o9i_4jsz_ligand_128,3o9i,4jsz_ligand_128
3o9i_4jsz_ligand_116,3o9i,4jsz_ligand_116
3o9i_4jsz_ligand_182,3o9i,4jsz_ligand_182
3o9i_4jsz_ligand_347,3o9i,4jsz_ligand_347
3o9i_4jsz_ligand_186,3o9i,4jsz_ligand_186
3o9i_4jsz_ligand_124,3o9i,4jsz_ligand_124
3o9i_4jsz_ligand_197,3o9i,4jsz_ligand_197
3o9i_4jsz_ligand_327,3o9i,4jsz_ligand_327
3o9i_4jsz_ligand_111,3o9i,4jsz_ligand_111
3o9i_4jsz_ligand_252,3o9i,4jsz_ligand_252
3o9i_4jsz_ligand_307,3o9i,4jsz_ligand_307
3o9i_4jsz_ligand_303,3o9i,4jsz_ligand_303
3o9i_4jsz_ligand_289,3o9i,4jsz_ligand_289
3o9i_4jsz_ligand_165,3o9i,4jsz_ligand_165
3o9i_4jsz_ligand_299,3o9i,4jsz_ligand_299
3o9i_4jsz_ligand_218,3o9i,4jsz_ligand_218
3o9i_4jsz_ligand_121,3o9i,4jsz_ligand_121
3o9i_4jsz_ligand_350,3o9i,4jsz_ligand_350
3o9i_4jsz_ligand_191,3o9i,4jsz_ligand_191
3o9i_4jsz_ligand_194,3o9i,4jsz_ligand_194
3o9i_4jsz_ligand_295,3o9i,4jsz_ligand_295
3o9i_4jsz_ligand_181,3o9i,4jsz_ligand_181
3o9i_4jsz_ligand_399,3o9i,4jsz_ligand_399
3o9i_4jsz_ligand_229,3o9i,4jsz_ligand_229
3o9i_4jsz_ligand_156,3o9i,4jsz_ligand_156
3o9i_4jsz_ligand_38,3o9i,4jsz_ligand_38
3o9i_4jsz_ligand_308,3o9i,4jsz_ligand_308
3o9i_4jsz_ligand_309,3o9i,4jsz_ligand_309
3o9i_4jsz_ligand_131,3o9i,4jsz_ligand_131
3o9i_4jsz_ligand_269,3o9i,4jsz_ligand_269
3o9i_4jsz_ligand_400,3o9i,4jsz_ligand_400
3o9i_4jsz_ligand_251,3o9i,4jsz_ligand_251
3o9i_4jsz_ligand_189,3o9i,4jsz_ligand_189
3o9i_4jsz_ligand_328,3o9i,4jsz_ligand_328
3o9i_5c2h_ligand_202,3o9i,5c2h_ligand_202
3o9i_5c2h_ligand_117,3o9i,5c2h_ligand_117
3o9i_5c2h_ligand_241,3o9i,5c2h_ligand_241
3o9i_5c2h_ligand_161,3o9i,5c2h_ligand_161
3o9i_5c2h_ligand_347,3o9i,5c2h_ligand_347
3o9i_5c2h_ligand_323,3o9i,5c2h_ligand_323
3o9i_5c2h_ligand_345,3o9i,5c2h_ligand_345
3o9i_5c2h_ligand_189,3o9i,5c2h_ligand_189
3o9i_5c2h_ligand_330,3o9i,5c2h_ligand_330
3o9i_5c2h_ligand_239,3o9i,5c2h_ligand_239
3o9i_5c2h_ligand_389,3o9i,5c2h_ligand_389
3o9i_5c2h_ligand_35,3o9i,5c2h_ligand_35
3o9i_5c2h_ligand_476,3o9i,5c2h_ligand_476
3o9i_5c2h_ligand_106,3o9i,5c2h_ligand_106
3o9i_5c2h_ligand_346,3o9i,5c2h_ligand_346
3o9i_5c2h_ligand_287,3o9i,5c2h_ligand_287
3o9i_5c2h_ligand_280,3o9i,5c2h_ligand_280
3o9i_5c2h_ligand_308,3o9i,5c2h_ligand_308
3o9i_5c2h_ligand_307,3o9i,5c2h_ligand_307
3o9i_5c2h_ligand_333,3o9i,5c2h_ligand_333
3o9i_5c2h_ligand_445,3o9i,5c2h_ligand_445
3o9i_5c2h_ligand_214,3o9i,5c2h_ligand_214
3o9i_5c2h_ligand_288,3o9i,5c2h_ligand_288
3o9i_5c2h_ligand_11,3o9i,5c2h_ligand_11
3o9i_5c2h_ligand_151,3o9i,5c2h_ligand_151
3o9i_5c2h_ligand_16,3o9i,5c2h_ligand_16
3o9i_5c2h_ligand_211,3o9i,5c2h_ligand_211
3o9i_5c2h_ligand_40,3o9i,5c2h_ligand_40
3o9i_5c2h_ligand_303,3o9i,5c2h_ligand_303
3o9i_5c2h_ligand_228,3o9i,5c2h_ligand_228
3o9i_5c2h_ligand_436,3o9i,5c2h_ligand_436
3o9i_5c2h_ligand_407,3o9i,5c2h_ligand_407
3o9i_5c2h_ligand_404,3o9i,5c2h_ligand_404
3o9i_5c2h_ligand_163,3o9i,5c2h_ligand_163
3o9i_5c2h_ligand_215,3o9i,5c2h_ligand_215
3o9i_5c2h_ligand_227,3o9i,5c2h_ligand_227
3o9i_5c2h_ligand_457,3o9i,5c2h_ligand_457
3o9i_5c2h_ligand_301,3o9i,5c2h_ligand_301
3o9i_5c2h_ligand_259,3o9i,5c2h_ligand_259
3o9i_5c2h_ligand_344,3o9i,5c2h_ligand_344
3o9i_5c2h_ligand_85,3o9i,5c2h_ligand_85
3o9i_5c2h_ligand_25,3o9i,5c2h_ligand_25
3o9i_5c2h_ligand_310,3o9i,5c2h_ligand_310
3o9i_5c2h_ligand_232,3o9i,5c2h_ligand_232
3o9i_5c2h_ligand_261,3o9i,5c2h_ligand_261
3o9i_5c2h_ligand_306,3o9i,5c2h_ligand_306
3o9i_5c2h_ligand_234,3o9i,5c2h_ligand_234
3o9i_5c2h_ligand_166,3o9i,5c2h_ligand_166
3o9i_5c2h_ligand_224,3o9i,5c2h_ligand_224
3o9i_5c2h_ligand_222,3o9i,5c2h_ligand_222
3o9i_5c2h_ligand_131,3o9i,5c2h_ligand_131
3o9i_5c2h_ligand_226,3o9i,5c2h_ligand_226
3o9i_5c2h_ligand_75,3o9i,5c2h_ligand_75
3o9i_5c2h_ligand_336,3o9i,5c2h_ligand_336
3o9i_5c2h_ligand_229,3o9i,5c2h_ligand_229
3o9i_5c2h_ligand_343,3o9i,5c2h_ligand_343
3o9i_5c2h_ligand_243,3o9i,5c2h_ligand_243
3o9i_5c2h_ligand_240,3o9i,5c2h_ligand_240
3o9i_5c2h_ligand_335,3o9i,5c2h_ligand_335
3o9i_5c2h_ligand_86,3o9i,5c2h_ligand_86
3o9i_5c2h_ligand_218,3o9i,5c2h_ligand_218
3o9i_5c2h_ligand_7,3o9i,5c2h_ligand_7
3o9i_5c2h_ligand_179,3o9i,5c2h_ligand_179
3o9i_5c2h_ligand_319,3o9i,5c2h_ligand_319
3o9i_5c2h_ligand_210,3o9i,5c2h_ligand_210
3o9i_5c2h_ligand_440,3o9i,5c2h_ligand_440
3o9i_5c2h_ligand_182,3o9i,5c2h_ligand_182
3o9i_5c2h_ligand_353,3o9i,5c2h_ligand_353
3o9i_5c2h_ligand_203,3o9i,5c2h_ligand_203
3o9i_5c2h_ligand_458,3o9i,5c2h_ligand_458
3o9i_5c2h_ligand_251,3o9i,5c2h_ligand_251
3o9i_5c2h_ligand_142,3o9i,5c2h_ligand_142
