index,protein,decoy_name
3p5o_4jsz_ligand_292,3p5o,4jsz_ligand_292
3p5o_4jsz_ligand_186,3p5o,4jsz_ligand_186
3p5o_4jsz_ligand_202,3p5o,4jsz_ligand_202
3p5o_4jsz_ligand_366,3p5o,4jsz_ligand_366
3p5o_4jsz_ligand_277,3p5o,4jsz_ligand_277
3p5o_4jsz_ligand_344,3p5o,4jsz_ligand_344
3p5o_4jsz_ligand_385,3p5o,4jsz_ligand_385
3p5o_4jsz_ligand_373,3p5o,4jsz_ligand_373
3p5o_4jsz_ligand_452,3p5o,4jsz_ligand_452
3p5o_4jsz_ligand_388,3p5o,4jsz_ligand_388
3p5o_4jsz_ligand_180,3p5o,4jsz_ligand_180
3p5o_4jsz_ligand_209,3p5o,4jsz_ligand_209
3p5o_4jsz_ligand_262,3p5o,4jsz_ligand_262
3p5o_4jsz_ligand_212,3p5o,4jsz_ligand_212
3p5o_4jsz_ligand_83,3p5o,4jsz_ligand_83
3p5o_4jsz_ligand_196,3p5o,4jsz_ligand_196
3p5o_4jsz_ligand_306,3p5o,4jsz_ligand_306
3p5o_4jsz_ligand_297,3p5o,4jsz_ligand_297
3p5o_4jsz_ligand_244,3p5o,4jsz_ligand_244
3p5o_4jsz_ligand_249,3p5o,4jsz_ligand_249
3p5o_4jsz_ligand_348,3p5o,4jsz_ligand_348
3p5o_4jsz_ligand_199,3p5o,4jsz_ligand_199
3p5o_4jsz_ligand_304,3p5o,4jsz_ligand_304
3p5o_4jsz_ligand_330,3p5o,4jsz_ligand_330
3p5o_4jsz_ligand_157,3p5o,4jsz_ligand_157
3p5o_4jsz_ligand_320,3p5o,4jsz_ligand_320
3p5o_4jsz_ligand_346,3p5o,4jsz_ligand_346
3p5o_4jsz_ligand_323,3p5o,4jsz_ligand_323
3p5o_4jsz_ligand_150,3p5o,4jsz_ligand_150
3p5o_4jsz_ligand_375,3p5o,4jsz_ligand_375
3p5o_4jsz_ligand_125,3p5o,4jsz_ligand_125
3p5o_4jsz_ligand_167,3p5o,4jsz_ligand_167
3p5o_4jsz_ligand_390,3p5o,4jsz_ligand_390
3p5o_4jsz_ligand_230,3p5o,4jsz_ligand_230
3p5o_4jsz_ligand_353,3p5o,4jsz_ligand_353
3p5o_4jsz_ligand_221,3p5o,4jsz_ligand_221
3p5o_4jsz_ligand_374,3p5o,4jsz_ligand_374
3p5o_4jsz_ligand_412,3p5o,4jsz_ligand_412
3p5o_4jsz_ligand_222,3p5o,4jsz_ligand_222
3p5o_4jsz_ligand_204,3p5o,4jsz_ligand_204
3p5o_4jsz_ligand_383,3p5o,4jsz_ligand_383
3p5o_4jsz_ligand_290,3p5o,4jsz_ligand_290
3p5o_4jsz_ligand_382,3p5o,4jsz_ligand_382
3p5o_4jsz_ligand_266,3p5o,4jsz_ligand_266
3p5o_4jsz_ligand_413,3p5o,4jsz_ligand_413
3p5o_4jsz_ligand_250,3p5o,4jsz_ligand_250
3p5o_4jsz_ligand_356,3p5o,4jsz_ligand_356
3p5o_4jsz_ligand_251,3p5o,4jsz_ligand_251
3p5o_4jsz_ligand_247,3p5o,4jsz_ligand_247
3p5o_4jsz_ligand_291,3p5o,4jsz_ligand_291
3p5o_4jsz_ligand_471,3p5o,4jsz_ligand_471
3p5o_4jsz_ligand_393,3p5o,4jsz_ligand_393
3p5o_4jsz_ligand_135,3p5o,4jsz_ligand_135
3p5o_4jsz_ligand_232,3p5o,4jsz_ligand_232
3p5o_4jsz_ligand_231,3p5o,4jsz_ligand_231
3p5o_4jsz_ligand_206,3p5o,4jsz_ligand_206
3p5o_4jsz_ligand_243,3p5o,4jsz_ligand_243
3p5o_4jsz_ligand_246,3p5o,4jsz_ligand_246
3p5o_4jsz_ligand_82,3p5o,4jsz_ligand_82
3p5o_4jsz_ligand_233,3p5o,4jsz_ligand_233
3p5o_4jsz_ligand_351,3p5o,4jsz_ligand_351
3p5o_4jsz_ligand_13,3p5o,4jsz_ligand_13
3p5o_4jsz_ligand_195,3p5o,4jsz_ligand_195
3p5o_4jsz_ligand_426,3p5o,4jsz_ligand_426
3p5o_4jsz_ligand_46,3p5o,4jsz_ligand_46
3p5o_4jsz_ligand_319,3p5o,4jsz_ligand_319
3p5o_4jsz_ligand_389,3p5o,4jsz_ligand_389
3p5o_4jsz_ligand_190,3p5o,4jsz_ligand_190
3p5o_4jsz_ligand_303,3p5o,4jsz_ligand_303
3p5o_4jsz_ligand_214,3p5o,4jsz_ligand_214
3p5o_4jsz_ligand_406,3p5o,4jsz_ligand_406
3p5o_4jsz_ligand_416,3p5o,4jsz_ligand_416
3p5o_4jsz_ligand_227,3p5o,4jsz_ligand_227
3p5o_4jsz_ligand_371,3p5o,4jsz_ligand_371
3p5o_4jsz_ligand_216,3p5o,4jsz_ligand_216
3p5o_4jsz_ligand_21,3p5o,4jsz_ligand_21
3p5o_4jsz_ligand_279,3p5o,4jsz_ligand_279
3p5o_4jsz_ligand_252,3p5o,4jsz_ligand_252
3p5o_4jsz_ligand_450,3p5o,4jsz_ligand_450
3p5o_4jsz_ligand_376,3p5o,4jsz_ligand_376
3p5o_4jsz_ligand_238,3p5o,4jsz_ligand_238
3p5o_4jsz_ligand_284,3p5o,4jsz_ligand_284
3p5o_4jsz_ligand_298,3p5o,4jsz_ligand_298
3p5o_4jsz_ligand_289,3p5o,4jsz_ligand_289
3p5o_4jsz_ligand_183,3p5o,4jsz_ligand_183
3p5o_4jsz_ligand_248,3p5o,4jsz_ligand_248
3p5o_4jsz_ligand_294,3p5o,4jsz_ligand_294
3p5o_4jsz_ligand_449,3p5o,4jsz_ligand_449
3p5o_4jsz_ligand_331,3p5o,4jsz_ligand_331
3p5o_4jsz_ligand_424,3p5o,4jsz_ligand_424
3p5o_4jsz_ligand_327,3p5o,4jsz_ligand_327
3p5o_4jsz_ligand_271,3p5o,4jsz_ligand_271
3p5o_4jsz_ligand_302,3p5o,4jsz_ligand_302
3p5o_4jsz_ligand_274,3p5o,4jsz_ligand_274
3p5o_4jsz_ligand_312,3p5o,4jsz_ligand_312
3p5o_4jsz_ligand_153,3p5o,4jsz_ligand_153
3p5o_4jsz_ligand_159,3p5o,4jsz_ligand_159
3p5o_4jsz_ligand_178,3p5o,4jsz_ligand_178
3p5o_4jsz_ligand_234,3p5o,4jsz_ligand_234
3p5o_4jsz_ligand_237,3p5o,4jsz_ligand_237
3p5o_3n86_ligand_464,3p5o,3n86_ligand_464
3p5o_3n86_ligand_403,3p5o,3n86_ligand_403
3p5o_3n86_ligand_216,3p5o,3n86_ligand_216
3p5o_3n86_ligand_218,3p5o,3n86_ligand_218
3p5o_3n86_ligand_344,3p5o,3n86_ligand_344
3p5o_3n86_ligand_334,3p5o,3n86_ligand_334
3p5o_3n86_ligand_274,3p5o,3n86_ligand_274
3p5o_3n86_ligand_271,3p5o,3n86_ligand_271
3p5o_3n86_ligand_132,3p5o,3n86_ligand_132
3p5o_3n86_ligand_210,3p5o,3n86_ligand_210
3p5o_3n86_ligand_345,3p5o,3n86_ligand_345
3p5o_3n86_ligand_385,3p5o,3n86_ligand_385
3p5o_3n86_ligand_438,3p5o,3n86_ligand_438
3p5o_3n86_ligand_420,3p5o,3n86_ligand_420
3p5o_3n86_ligand_303,3p5o,3n86_ligand_303
3p5o_3n86_ligand_320,3p5o,3n86_ligand_320
3p5o_3n86_ligand_155,3p5o,3n86_ligand_155
3p5o_3n86_ligand_390,3p5o,3n86_ligand_390
3p5o_3n86_ligand_386,3p5o,3n86_ligand_386
3p5o_3n86_ligand_332,3p5o,3n86_ligand_332
3p5o_3n86_ligand_176,3p5o,3n86_ligand_176
3p5o_3n86_ligand_294,3p5o,3n86_ligand_294
3p5o_3n86_ligand_180,3p5o,3n86_ligand_180
3p5o_3n86_ligand_333,3p5o,3n86_ligand_333
3p5o_3n86_ligand_434,3p5o,3n86_ligand_434
3p5o_3n86_ligand_470,3p5o,3n86_ligand_470
3p5o_3n86_ligand_417,3p5o,3n86_ligand_417
3p5o_3n86_ligand_251,3p5o,3n86_ligand_251
3p5o_3n86_ligand_311,3p5o,3n86_ligand_311
3p5o_3n86_ligand_227,3p5o,3n86_ligand_227
3p5o_3n86_ligand_329,3p5o,3n86_ligand_329
3p5o_3n86_ligand_265,3p5o,3n86_ligand_265
3p5o_3n86_ligand_399,3p5o,3n86_ligand_399
3p5o_3n86_ligand_248,3p5o,3n86_ligand_248
3p5o_3n86_ligand_337,3p5o,3n86_ligand_337
3p5o_3n86_ligand_378,3p5o,3n86_ligand_378
3p5o_3n86_ligand_288,3p5o,3n86_ligand_288
3p5o_3n86_ligand_153,3p5o,3n86_ligand_153
3p5o_3n86_ligand_160,3p5o,3n86_ligand_160
3p5o_3n86_ligand_276,3p5o,3n86_ligand_276
3p5o_3n86_ligand_339,3p5o,3n86_ligand_339
3p5o_3n86_ligand_292,3p5o,3n86_ligand_292
3p5o_3n86_ligand_221,3p5o,3n86_ligand_221
3p5o_3n86_ligand_229,3p5o,3n86_ligand_229
3p5o_3n86_ligand_243,3p5o,3n86_ligand_243
3p5o_3n86_ligand_298,3p5o,3n86_ligand_298
3p5o_3n86_ligand_242,3p5o,3n86_ligand_242
3p5o_3n86_ligand_173,3p5o,3n86_ligand_173
3p5o_3n86_ligand_458,3p5o,3n86_ligand_458
3p5o_3n86_ligand_224,3p5o,3n86_ligand_224
3p5o_3n86_ligand_228,3p5o,3n86_ligand_228
3p5o_3n86_ligand_215,3p5o,3n86_ligand_215
3p5o_3n86_ligand_237,3p5o,3n86_ligand_237
3p5o_3n86_ligand_267,3p5o,3n86_ligand_267
3p5o_3n86_ligand_371,3p5o,3n86_ligand_371
3p5o_3n86_ligand_296,3p5o,3n86_ligand_296
3p5o_3n86_ligand_207,3p5o,3n86_ligand_207
3p5o_3n86_ligand_441,3p5o,3n86_ligand_441
3p5o_3n86_ligand_164,3p5o,3n86_ligand_164
3p5o_3n86_ligand_249,3p5o,3n86_ligand_249
3p5o_3n86_ligand_212,3p5o,3n86_ligand_212
3p5o_3n86_ligand_255,3p5o,3n86_ligand_255
3p5o_3n86_ligand_429,3p5o,3n86_ligand_429
3p5o_3n86_ligand_384,3p5o,3n86_ligand_384
3p5o_3n86_ligand_477,3p5o,3n86_ligand_477
3p5o_3n86_ligand_241,3p5o,3n86_ligand_241
3p5o_3n86_ligand_443,3p5o,3n86_ligand_443
3p5o_3n86_ligand_433,3p5o,3n86_ligand_433
3p5o_3n86_ligand_264,3p5o,3n86_ligand_264
3p5o_3n86_ligand_388,3p5o,3n86_ligand_388
3p5o_3n86_ligand_235,3p5o,3n86_ligand_235
3p5o_3n86_ligand_316,3p5o,3n86_ligand_316
3p5o_3n86_ligand_236,3p5o,3n86_ligand_236
3p5o_3n86_ligand_421,3p5o,3n86_ligand_421
3p5o_3n86_ligand_448,3p5o,3n86_ligand_448
3p5o_3n86_ligand_440,3p5o,3n86_ligand_440
3p5o_3n86_ligand_425,3p5o,3n86_ligand_425
3p5o_3n86_ligand_195,3p5o,3n86_ligand_195
3p5o_3n86_ligand_379,3p5o,3n86_ligand_379
3p5o_3n86_ligand_252,3p5o,3n86_ligand_252
3p5o_3n86_ligand_269,3p5o,3n86_ligand_269
3p5o_3n86_ligand_186,3p5o,3n86_ligand_186
