index,protein,decoy_name
3qqs_4jsz_ligand_34,3qqs,4jsz_ligand_34
3qqs_4jsz_ligand_215,3qqs,4jsz_ligand_215
3qqs_4jsz_ligand_350,3qqs,4jsz_ligand_350
3qqs_4jsz_ligand_277,3qqs,4jsz_ligand_277
3qqs_4jsz_ligand_470,3qqs,4jsz_ligand_470
3qqs_4jsz_ligand_184,3qqs,4jsz_ligand_184
3qqs_4jsz_ligand_394,3qqs,4jsz_ligand_394
3qqs_4jsz_ligand_367,3qqs,4jsz_ligand_367
3qqs_4jsz_ligand_209,3qqs,4jsz_ligand_209
3qqs_4jsz_ligand_280,3qqs,4jsz_ligand_280
3qqs_4jsz_ligand_343,3qqs,4jsz_ligand_343
3qqs_4jsz_ligand_74,3qqs,4jsz_ligand_74
3qqs_4jsz_ligand_262,3qqs,4jsz_ligand_262
3qqs_4jsz_ligand_336,3qqs,4jsz_ligand_336
3qqs_4jsz_ligand_10,3qqs,4jsz_ligand_10
3qqs_4jsz_ligand_301,3qqs,4jsz_ligand_301
3qqs_4jsz_ligand_196,3qqs,4jsz_ligand_196
3qqs_4jsz_ligand_306,3qqs,4jsz_ligand_306
3qqs_4jsz_ligand_191,3qqs,4jsz_ligand_191
3qqs_4jsz_ligand_325,3qqs,4jsz_ligand_325
3qqs_4jsz_ligand_348,3qqs,4jsz_ligand_348
3qqs_4jsz_ligand_255,3qqs,4jsz_ligand_255
3qqs_4jsz_ligand_320,3qqs,4jsz_ligand_320
3qqs_4jsz_ligand_225,3qqs,4jsz_ligand_225
3qqs_4jsz_ligand_329,3qqs,4jsz_ligand_329
3qqs_4jsz_ligand_229,3qqs,4jsz_ligand_229
3qqs_4jsz_ligand_94,3qqs,4jsz_ligand_94
3qqs_4jsz_ligand_281,3qqs,4jsz_ligand_281
3qqs_4jsz_ligand_337,3qqs,4jsz_ligand_337
3qqs_4jsz_ligand_167,3qqs,4jsz_ligand_167
3qqs_4jsz_ligand_205,3qqs,4jsz_ligand_205
3qqs_4jsz_ligand_390,3qqs,4jsz_ligand_390
3qqs_4jsz_ligand_230,3qqs,4jsz_ligand_230
3qqs_4jsz_ligand_221,3qqs,4jsz_ligand_221
3qqs_4jsz_ligand_107,3qqs,4jsz_ligand_107
3qqs_4jsz_ligand_124,3qqs,4jsz_ligand_124
3qqs_4jsz_ligand_404,3qqs,4jsz_ligand_404
3qqs_4jsz_ligand_219,3qqs,4jsz_ligand_219
3qqs_4jsz_ligand_307,3qqs,4jsz_ligand_307
3qqs_4jsz_ligand_382,3qqs,4jsz_ligand_382
3qqs_4jsz_ligand_398,3qqs,4jsz_ligand_398
3qqs_4jsz_ligand_321,3qqs,4jsz_ligand_321
3qqs_4jsz_ligand_311,3qqs,4jsz_ligand_311
3qqs_4jsz_ligand_272,3qqs,4jsz_ligand_272
3qqs_4jsz_ligand_7,3qqs,4jsz_ligand_7
3qqs_4jsz_ligand_347,3qqs,4jsz_ligand_347
3qqs_4jsz_ligand_339,3qqs,4jsz_ligand_339
3qqs_4jsz_ligand_269,3qqs,4jsz_ligand_269
3qqs_4jsz_ligand_218,3qqs,4jsz_ligand_218
3qqs_4jsz_ligand_228,3qqs,4jsz_ligand_228
3qqs_4jsz_ligand_393,3qqs,4jsz_ligand_393
3qqs_4jsz_ligand_208,3qqs,4jsz_ligand_208
3qqs_4jsz_ligand_407,3qqs,4jsz_ligand_407
3qqs_4jsz_ligand_158,3qqs,4jsz_ligand_158
3qqs_4jsz_ligand_223,3qqs,4jsz_ligand_223
3qqs_4jsz_ligand_414,3qqs,4jsz_ligand_414
3qqs_4jsz_ligand_176,3qqs,4jsz_ligand_176
3qqs_4jsz_ligand_300,3qqs,4jsz_ligand_300
3qqs_4jsz_ligand_206,3qqs,4jsz_ligand_206
3qqs_4jsz_ligand_243,3qqs,4jsz_ligand_243
3qqs_4jsz_ligand_189,3qqs,4jsz_ligand_189
3qqs_4jsz_ligand_140,3qqs,4jsz_ligand_140
3qqs_4jsz_ligand_381,3qqs,4jsz_ligand_381
3qqs_4jsz_ligand_257,3qqs,4jsz_ligand_257
3qqs_4jsz_ligand_39,3qqs,4jsz_ligand_39
3qqs_4jsz_ligand_286,3qqs,4jsz_ligand_286
3qqs_4jsz_ligand_303,3qqs,4jsz_ligand_303
3qqs_4jsz_ligand_299,3qqs,4jsz_ligand_299
3qqs_4jsz_ligand_227,3qqs,4jsz_ligand_227
3qqs_4jsz_ligand_338,3qqs,4jsz_ligand_338
3qqs_4jsz_ligand_12,3qqs,4jsz_ligand_12
3qqs_4jsz_ligand_144,3qqs,4jsz_ligand_144
3qqs_4jsz_ligand_21,3qqs,4jsz_ligand_21
3qqs_4jsz_ligand_397,3qqs,4jsz_ligand_397
3qqs_4jsz_ligand_450,3qqs,4jsz_ligand_450
3qqs_4jsz_ligand_322,3qqs,4jsz_ligand_322
3qqs_4jsz_ligand_238,3qqs,4jsz_ligand_238
3qqs_4jsz_ligand_284,3qqs,4jsz_ligand_284
3qqs_4jsz_ligand_289,3qqs,4jsz_ligand_289
3qqs_4jsz_ligand_17,3qqs,4jsz_ligand_17
3qqs_4jsz_ligand_183,3qqs,4jsz_ligand_183
3qqs_4jsz_ligand_210,3qqs,4jsz_ligand_210
3qqs_4jsz_ligand_313,3qqs,4jsz_ligand_313
3qqs_4jsz_ligand_294,3qqs,4jsz_ligand_294
3qqs_4jsz_ligand_333,3qqs,4jsz_ligand_333
3qqs_4jsz_ligand_431,3qqs,4jsz_ligand_431
3qqs_4jsz_ligand_331,3qqs,4jsz_ligand_331
3qqs_4jsz_ligand_327,3qqs,4jsz_ligand_327
3qqs_4jsz_ligand_271,3qqs,4jsz_ligand_271
3qqs_4jsz_ligand_302,3qqs,4jsz_ligand_302
3qqs_4jsz_ligand_312,3qqs,4jsz_ligand_312
3qqs_4jsz_ligand_287,3qqs,4jsz_ligand_287
3qqs_4jsz_ligand_360,3qqs,4jsz_ligand_360
3qqs_4jsz_ligand_98,3qqs,4jsz_ligand_98
3qqs_4jsz_ligand_178,3qqs,4jsz_ligand_178
3qqs_4jsz_ligand_275,3qqs,4jsz_ligand_275
3qqs_4jsz_ligand_305,3qqs,4jsz_ligand_305
3qqs_4jsz_ligand_395,3qqs,4jsz_ligand_395
3qqs_4jsz_ligand_491,3qqs,4jsz_ligand_491
3qqs_4jsz_ligand_187,3qqs,4jsz_ligand_187
3qqs_3n86_ligand_308,3qqs,3n86_ligand_308
3qqs_3n86_ligand_305,3qqs,3n86_ligand_305
3qqs_3n86_ligand_196,3qqs,3n86_ligand_196
3qqs_3n86_ligand_297,3qqs,3n86_ligand_297
3qqs_3n86_ligand_199,3qqs,3n86_ligand_199
3qqs_3n86_ligand_315,3qqs,3n86_ligand_315
3qqs_3n86_ligand_216,3qqs,3n86_ligand_216
3qqs_3n86_ligand_131,3qqs,3n86_ligand_131
3qqs_3n86_ligand_192,3qqs,3n86_ligand_192
