index,protein,decoy_name
3u8n_4ogj_ligand_462,3u8n,4ogj_ligand_462
3u8n_4ogj_ligand_397,3u8n,4ogj_ligand_397
3u8n_4ogj_ligand_391,3u8n,4ogj_ligand_391
3u8n_4ogj_ligand_377,3u8n,4ogj_ligand_377
3u8n_4ogj_ligand_484,3u8n,4ogj_ligand_484
3u8n_4ogj_ligand_499,3u8n,4ogj_ligand_499
3u8n_4ogj_ligand_362,3u8n,4ogj_ligand_362
3u8n_4ogj_ligand_122,3u8n,4ogj_ligand_122
3u8n_4ogj_ligand_366,3u8n,4ogj_ligand_366
3u8n_4ogj_ligand_495,3u8n,4ogj_ligand_495
3u8n_4ogj_ligand_385,3u8n,4ogj_ligand_385
3u8n_4ogj_ligand_480,3u8n,4ogj_ligand_480
3u8n_4ogj_ligand_139,3u8n,4ogj_ligand_139
3u8n_4ogj_ligand_49,3u8n,4ogj_ligand_49
3u8n_4ogj_ligand_71,3u8n,4ogj_ligand_71
3u8n_4ogj_ligand_235,3u8n,4ogj_ligand_235
3u8n_4ogj_ligand_212,3u8n,4ogj_ligand_212
3u8n_4ogj_ligand_474,3u8n,4ogj_ligand_474
3u8n_4ogj_ligand_241,3u8n,4ogj_ligand_241
3u8n_4ogj_ligand_147,3u8n,4ogj_ligand_147
3u8n_4ogj_ligand_128,3u8n,4ogj_ligand_128
3u8n_4ogj_ligand_113,3u8n,4ogj_ligand_113
3u8n_4ogj_ligand_445,3u8n,4ogj_ligand_445
3u8n_4ogj_ligand_498,3u8n,4ogj_ligand_498
3u8n_4ogj_ligand_401,3u8n,4ogj_ligand_401
3u8n_4ogj_ligand_482,3u8n,4ogj_ligand_482
3u8n_4ogj_ligand_232,3u8n,4ogj_ligand_232
3u8n_4ogj_ligand_378,3u8n,4ogj_ligand_378
3u8n_4ogj_ligand_437,3u8n,4ogj_ligand_437
3u8n_4ogj_ligand_238,3u8n,4ogj_ligand_238
3u8n_4ogj_ligand_54,3u8n,4ogj_ligand_54
3u8n_4ogj_ligand_443,3u8n,4ogj_ligand_443
3u8n_4ogj_ligand_143,3u8n,4ogj_ligand_143
3u8n_4ogj_ligand_148,3u8n,4ogj_ligand_148
3u8n_4ogj_ligand_175,3u8n,4ogj_ligand_175
3u8n_4ogj_ligand_476,3u8n,4ogj_ligand_476
3u8n_4ogj_ligand_487,3u8n,4ogj_ligand_487
3u8n_4ogj_ligand_188,3u8n,4ogj_ligand_188
3u8n_4ogj_ligand_198,3u8n,4ogj_ligand_198
3u8n_4ogj_ligand_471,3u8n,4ogj_ligand_471
3u8n_4ogj_ligand_5,3u8n,4ogj_ligand_5
3u8n_4ogj_ligand_410,3u8n,4ogj_ligand_410
3u8n_4ogj_ligand_119,3u8n,4ogj_ligand_119
3u8n_4ogj_ligand_168,3u8n,4ogj_ligand_168
3u8n_4ogj_ligand_411,3u8n,4ogj_ligand_411
3u8n_4ogj_ligand_123,3u8n,4ogj_ligand_123
3u8n_4ogj_ligand_106,3u8n,4ogj_ligand_106
3u8n_4ogj_ligand_392,3u8n,4ogj_ligand_392
3u8n_4ogj_ligand_110,3u8n,4ogj_ligand_110
3u8n_4ogj_ligand_412,3u8n,4ogj_ligand_412
3u8n_4ogj_ligand_234,3u8n,4ogj_ligand_234
3u8n_4ogj_ligand_262,3u8n,4ogj_ligand_262
3u8n_4ogj_ligand_134,3u8n,4ogj_ligand_134
3u8n_4ogj_ligand_18,3u8n,4ogj_ligand_18
3u8n_4ogj_ligand_403,3u8n,4ogj_ligand_403
3u8n_4ogj_ligand_105,3u8n,4ogj_ligand_105
3u8n_4ogj_ligand_406,3u8n,4ogj_ligand_406
3u8n_4ogj_ligand_448,3u8n,4ogj_ligand_448
3u8n_4ogj_ligand_370,3u8n,4ogj_ligand_370
3u8n_4ogj_ligand_479,3u8n,4ogj_ligand_479
3u8n_4ogj_ligand_467,3u8n,4ogj_ligand_467
3u8n_4ogj_ligand_493,3u8n,4ogj_ligand_493
3u8n_4ogj_ligand_336,3u8n,4ogj_ligand_336
3u8n_4ogj_ligand_486,3u8n,4ogj_ligand_486
3u8n_4ogj_ligand_426,3u8n,4ogj_ligand_426
3u8n_4ogj_ligand_2,3u8n,4ogj_ligand_2
3u8n_4ogj_ligand_444,3u8n,4ogj_ligand_444
3u8n_4ogj_ligand_440,3u8n,4ogj_ligand_440
3u8n_4ogj_ligand_154,3u8n,4ogj_ligand_154
3u8n_4ogj_ligand_402,3u8n,4ogj_ligand_402
3u8n_4ogj_ligand_407,3u8n,4ogj_ligand_407
3u8n_4ogj_ligand_431,3u8n,4ogj_ligand_431
3u8n_4ogj_ligand_357,3u8n,4ogj_ligand_357
3u8n_4ogj_ligand_383,3u8n,4ogj_ligand_383
3u8n_4ogj_ligand_9,3u8n,4ogj_ligand_9
3u8n_4ogj_ligand_422,3u8n,4ogj_ligand_422
3u8n_4ogj_ligand_37,3u8n,4ogj_ligand_37
3u8n_4ogj_ligand_379,3u8n,4ogj_ligand_379
3u8n_4ogj_ligand_214,3u8n,4ogj_ligand_214
3u8n_4ogj_ligand_485,3u8n,4ogj_ligand_485
3u8n_4ogj_ligand_365,3u8n,4ogj_ligand_365
3u8n_4ogj_ligand_58,3u8n,4ogj_ligand_58
3u8n_4ogj_ligand_319,3u8n,4ogj_ligand_319
3u8n_4ogj_ligand_146,3u8n,4ogj_ligand_146
3u8n_4ogj_ligand_213,3u8n,4ogj_ligand_213
3u8n_4ogj_ligand_223,3u8n,4ogj_ligand_223
3u8n_4ogj_ligand_460,3u8n,4ogj_ligand_460
3u8n_4ogj_ligand_439,3u8n,4ogj_ligand_439
3u8n_4ogj_ligand_108,3u8n,4ogj_ligand_108
3u8n_4ogj_ligand_171,3u8n,4ogj_ligand_171
3u8n_4ogj_ligand_464,3u8n,4ogj_ligand_464
3u8n_4ogj_ligand_459,3u8n,4ogj_ligand_459
3u8n_4ogj_ligand_475,3u8n,4ogj_ligand_475
3u8n_4ogj_ligand_419,3u8n,4ogj_ligand_419
3u8n_4ogj_ligand_298,3u8n,4ogj_ligand_298
3u8n_4ogj_ligand_473,3u8n,4ogj_ligand_473
3u8n_4ogj_ligand_352,3u8n,4ogj_ligand_352
3u8n_4ogj_ligand_494,3u8n,4ogj_ligand_494
3u8n_4ogj_ligand_488,3u8n,4ogj_ligand_488
3u8n_4ogj_ligand_30,3u8n,4ogj_ligand_30
3u8n_3f3e_ligand_167,3u8n,3f3e_ligand_167
3u8n_3f3e_ligand_335,3u8n,3f3e_ligand_335
3u8n_3f3e_ligand_336,3u8n,3f3e_ligand_336
3u8n_3f3e_ligand_272,3u8n,3f3e_ligand_272
3u8n_3f3e_ligand_312,3u8n,3f3e_ligand_312
3u8n_3f3e_ligand_371,3u8n,3f3e_ligand_371
3u8n_3f3e_ligand_267,3u8n,3f3e_ligand_267
3u8n_3f3e_ligand_389,3u8n,3f3e_ligand_389
3u8n_3f3e_ligand_478,3u8n,3f3e_ligand_478
3u8n_3f3e_ligand_373,3u8n,3f3e_ligand_373
3u8n_3f3e_ligand_280,3u8n,3f3e_ligand_280
3u8n_3f3e_ligand_495,3u8n,3f3e_ligand_495
3u8n_3f3e_ligand_169,3u8n,3f3e_ligand_169
3u8n_3f3e_ligand_184,3u8n,3f3e_ligand_184
3u8n_3f3e_ligand_376,3u8n,3f3e_ligand_376
3u8n_3f3e_ligand_341,3u8n,3f3e_ligand_341
3u8n_3f3e_ligand_250,3u8n,3f3e_ligand_250
3u8n_3f3e_ligand_108,3u8n,3f3e_ligand_108
3u8n_3f3e_ligand_278,3u8n,3f3e_ligand_278
3u8n_3f3e_ligand_168,3u8n,3f3e_ligand_168
3u8n_3f3e_ligand_237,3u8n,3f3e_ligand_237
3u8n_3f3e_ligand_308,3u8n,3f3e_ligand_308
3u8n_3f3e_ligand_441,3u8n,3f3e_ligand_441
3u8n_3f3e_ligand_213,3u8n,3f3e_ligand_213
3u8n_3f3e_ligand_393,3u8n,3f3e_ligand_393
3u8n_3f3e_ligand_134,3u8n,3f3e_ligand_134
3u8n_3f3e_ligand_225,3u8n,3f3e_ligand_225
3u8n_3f3e_ligand_276,3u8n,3f3e_ligand_276
3u8n_3f3e_ligand_216,3u8n,3f3e_ligand_216
3u8n_3f3e_ligand_391,3u8n,3f3e_ligand_391
3u8n_3f3e_ligand_380,3u8n,3f3e_ligand_380
3u8n_3f3e_ligand_347,3u8n,3f3e_ligand_347
3u8n_3f3e_ligand_499,3u8n,3f3e_ligand_499
3u8n_3f3e_ligand_385,3u8n,3f3e_ligand_385
3u8n_3f3e_ligand_220,3u8n,3f3e_ligand_220
3u8n_3f3e_ligand_279,3u8n,3f3e_ligand_279
3u8n_3f3e_ligand_259,3u8n,3f3e_ligand_259
3u8n_3f3e_ligand_115,3u8n,3f3e_ligand_115
3u8n_3f3e_ligand_209,3u8n,3f3e_ligand_209
3u8n_3f3e_ligand_236,3u8n,3f3e_ligand_236
3u8n_3f3e_ligand_212,3u8n,3f3e_ligand_212
3u8n_3f3e_ligand_329,3u8n,3f3e_ligand_329
3u8n_3f3e_ligand_303,3u8n,3f3e_ligand_303
3u8n_3f3e_ligand_337,3u8n,3f3e_ligand_337
3u8n_3f3e_ligand_366,3u8n,3f3e_ligand_366
3u8n_3f3e_ligand_234,3u8n,3f3e_ligand_234
3u8n_3f3e_ligand_398,3u8n,3f3e_ligand_398
3u8n_3f3e_ligand_316,3u8n,3f3e_ligand_316
3u8n_3f3e_ligand_34,3u8n,3f3e_ligand_34
3u8n_3f3e_ligand_410,3u8n,3f3e_ligand_410
3u8n_3f3e_ligand_350,3u8n,3f3e_ligand_350
3u8n_3f3e_ligand_440,3u8n,3f3e_ligand_440
3u8n_3f3e_ligand_224,3u8n,3f3e_ligand_224
3u8n_3f3e_ligand_219,3u8n,3f3e_ligand_219
3u8n_3f3e_ligand_452,3u8n,3f3e_ligand_452
3u8n_3f3e_ligand_445,3u8n,3f3e_ligand_445
3u8n_3f3e_ligand_332,3u8n,3f3e_ligand_332
3u8n_3f3e_ligand_38,3u8n,3f3e_ligand_38
3u8n_3f3e_ligand_313,3u8n,3f3e_ligand_313
3u8n_3f3e_ligand_190,3u8n,3f3e_ligand_190
3u8n_3f3e_ligand_318,3u8n,3f3e_ligand_318
3u8n_3f3e_ligand_381,3u8n,3f3e_ligand_381
3u8n_3f3e_ligand_348,3u8n,3f3e_ligand_348
3u8n_3f3e_ligand_338,3u8n,3f3e_ligand_338
3u8n_3f3e_ligand_247,3u8n,3f3e_ligand_247
3u8n_3f3e_ligand_252,3u8n,3f3e_ligand_252
3u8n_3f3e_ligand_343,3u8n,3f3e_ligand_343
3u8n_3f3e_ligand_282,3u8n,3f3e_ligand_282
3u8n_3f3e_ligand_273,3u8n,3f3e_ligand_273
3u8n_3f3e_ligand_243,3u8n,3f3e_ligand_243
3u8n_3f3e_ligand_431,3u8n,3f3e_ligand_431
3u8n_3f3e_ligand_206,3u8n,3f3e_ligand_206
3u8n_3f3e_ligand_203,3u8n,3f3e_ligand_203
3u8n_3f3e_ligand_54,3u8n,3f3e_ligand_54
3u8n_3f3e_ligand_148,3u8n,3f3e_ligand_148
3u8n_3f3e_ligand_400,3u8n,3f3e_ligand_400
3u8n_3f3e_ligand_295,3u8n,3f3e_ligand_295
3u8n_3f3e_ligand_364,3u8n,3f3e_ligand_364
3u8n_3f3e_ligand_66,3u8n,3f3e_ligand_66
3u8n_3f3e_ligand_314,3u8n,3f3e_ligand_314
3u8n_3f3e_ligand_325,3u8n,3f3e_ligand_325
3u8n_3f3e_ligand_396,3u8n,3f3e_ligand_396
3u8n_3f3e_ligand_323,3u8n,3f3e_ligand_323
3u8n_3f3e_ligand_26,3u8n,3f3e_ligand_26
3u8n_3f3e_ligand_328,3u8n,3f3e_ligand_328
3u8n_3f3e_ligand_182,3u8n,3f3e_ligand_182
3u8n_3f3e_ligand_254,3u8n,3f3e_ligand_254
3u8n_3f3e_ligand_251,3u8n,3f3e_ligand_251
3u8n_3f3e_ligand_288,3u8n,3f3e_ligand_288
3u8n_3f3e_ligand_94,3u8n,3f3e_ligand_94
3u8n_3f3e_ligand_135,3u8n,3f3e_ligand_135
3u8n_3f3e_ligand_227,3u8n,3f3e_ligand_227
3u8n_3f3e_ligand_246,3u8n,3f3e_ligand_246
3u8n_3f3e_ligand_473,3u8n,3f3e_ligand_473
3u8n_3f3e_ligand_207,3u8n,3f3e_ligand_207
3u8n_3f3e_ligand_321,3u8n,3f3e_ligand_321
3u8n_3f3e_ligand_340,3u8n,3f3e_ligand_340
3u8n_3f3e_ligand_221,3u8n,3f3e_ligand_221
3u8n_3f3e_ligand_238,3u8n,3f3e_ligand_238
3u8n_3f3e_ligand_427,3u8n,3f3e_ligand_427
3u8n_3uo4_ligand_35,3u8n,3uo4_ligand_35
3u8n_3uo4_ligand_42,3u8n,3uo4_ligand_42
3u8n_3uo4_ligand_235,3u8n,3uo4_ligand_235
3u8n_3uo4_ligand_439,3u8n,3uo4_ligand_439
3u8n_3uo4_ligand_76,3u8n,3uo4_ligand_76
3u8n_3uo4_ligand_102,3u8n,3uo4_ligand_102
3u8n_3uo4_ligand_41,3u8n,3uo4_ligand_41
3u8n_3uo4_ligand_371,3u8n,3uo4_ligand_371
3u8n_3uo4_ligand_11,3u8n,3uo4_ligand_11
3u8n_3uo4_ligand_274,3u8n,3uo4_ligand_274
3u8n_3uo4_ligand_134,3u8n,3uo4_ligand_134
3u8n_3uo4_ligand_243,3u8n,3uo4_ligand_243
3u8n_3uo4_ligand_185,3u8n,3uo4_ligand_185
3u8n_3uo4_ligand_67,3u8n,3uo4_ligand_67
3u8n_3uo4_ligand_145,3u8n,3uo4_ligand_145
3u8n_3uo4_ligand_186,3u8n,3uo4_ligand_186
3u8n_3uo4_ligand_210,3u8n,3uo4_ligand_210
3u8n_3uo4_ligand_13,3u8n,3uo4_ligand_13
3u8n_3uo4_ligand_345,3u8n,3uo4_ligand_345
3u8n_3uo4_ligand_171,3u8n,3uo4_ligand_171
3u8n_3uo4_ligand_295,3u8n,3uo4_ligand_295
3u8n_3uo4_ligand_190,3u8n,3uo4_ligand_190
3u8n_3uo4_ligand_401,3u8n,3uo4_ligand_401
3u8n_3uo4_ligand_150,3u8n,3uo4_ligand_150
3u8n_3uo4_ligand_120,3u8n,3uo4_ligand_120
3u8n_3uo4_ligand_216,3u8n,3uo4_ligand_216
3u8n_3uo4_ligand_124,3u8n,3uo4_ligand_124
3u8n_3uo4_ligand_434,3u8n,3uo4_ligand_434
3u8n_3uo4_ligand_239,3u8n,3uo4_ligand_239
3u8n_3uo4_ligand_272,3u8n,3uo4_ligand_272
3u8n_3uo4_ligand_166,3u8n,3uo4_ligand_166
3u8n_3uo4_ligand_197,3u8n,3uo4_ligand_197
3u8n_3uo4_ligand_348,3u8n,3uo4_ligand_348
3u8n_3uo4_ligand_382,3u8n,3uo4_ligand_382
3u8n_3uo4_ligand_70,3u8n,3uo4_ligand_70
3u8n_3uo4_ligand_389,3u8n,3uo4_ligand_389
3u8n_3uo4_ligand_169,3u8n,3uo4_ligand_169
3u8n_3uo4_ligand_291,3u8n,3uo4_ligand_291
3u8n_3uo4_ligand_75,3u8n,3uo4_ligand_75
3u8n_3uo4_ligand_119,3u8n,3uo4_ligand_119
3u8n_3uo4_ligand_89,3u8n,3uo4_ligand_89
3u8n_3uo4_ligand_277,3u8n,3uo4_ligand_277
3u8n_3uo4_ligand_107,3u8n,3uo4_ligand_107
3u8n_3uo4_ligand_250,3u8n,3uo4_ligand_250
3u8n_3uo4_ligand_25,3u8n,3uo4_ligand_25
3u8n_3uo4_ligand_53,3u8n,3uo4_ligand_53
3u8n_3uo4_ligand_73,3u8n,3uo4_ligand_73
3u8n_3uo4_ligand_353,3u8n,3uo4_ligand_353
3u8n_3uo4_ligand_196,3u8n,3uo4_ligand_196
3u8n_3uo4_ligand_211,3u8n,3uo4_ligand_211
3u8n_3uo4_ligand_372,3u8n,3uo4_ligand_372
3u8n_3uo4_ligand_268,3u8n,3uo4_ligand_268
3u8n_3uo4_ligand_109,3u8n,3uo4_ligand_109
3u8n_3uo4_ligand_103,3u8n,3uo4_ligand_103
3u8n_3uo4_ligand_263,3u8n,3uo4_ligand_263
3u8n_3uo4_ligand_129,3u8n,3uo4_ligand_129
3u8n_3uo4_ligand_49,3u8n,3uo4_ligand_49
3u8n_3uo4_ligand_39,3u8n,3uo4_ligand_39
3u8n_3uo4_ligand_240,3u8n,3uo4_ligand_240
3u8n_3uo4_ligand_336,3u8n,3uo4_ligand_336
3u8n_3uo4_ligand_59,3u8n,3uo4_ligand_59
3u8n_3uo4_ligand_391,3u8n,3uo4_ligand_391
3u8n_3uo4_ligand_125,3u8n,3uo4_ligand_125
3u8n_3uo4_ligand_27,3u8n,3uo4_ligand_27
3u8n_3uo4_ligand_160,3u8n,3uo4_ligand_160
3u8n_3uo4_ligand_165,3u8n,3uo4_ligand_165
3u8n_3uo4_ligand_358,3u8n,3uo4_ligand_358
3u8n_3uo4_ligand_195,3u8n,3uo4_ligand_195
3u8n_3uo4_ligand_310,3u8n,3uo4_ligand_310
