index,protein,decoy_name
3uex_4ogj_ligand_396,3uex,4ogj_ligand_396
3uex_4ogj_ligand_187,3uex,4ogj_ligand_187
3uex_4ogj_ligand_452,3uex,4ogj_ligand_452
3uex_4ogj_ligand_237,3uex,4ogj_ligand_237
3uex_4ogj_ligand_97,3uex,4ogj_ligand_97
3uex_4ogj_ligand_271,3uex,4ogj_ligand_271
3uex_4ogj_ligand_196,3uex,4ogj_ligand_196
3uex_4ogj_ligand_359,3uex,4ogj_ligand_359
3uex_4ogj_ligand_377,3uex,4ogj_ligand_377
3uex_4ogj_ligand_481,3uex,4ogj_ligand_481
3uex_4ogj_ligand_38,3uex,4ogj_ligand_38
3uex_4ogj_ligand_366,3uex,4ogj_ligand_366
3uex_4ogj_ligand_135,3uex,4ogj_ligand_135
3uex_4ogj_ligand_429,3uex,4ogj_ligand_429
3uex_4ogj_ligand_309,3uex,4ogj_ligand_309
3uex_4ogj_ligand_6,3uex,4ogj_ligand_6
3uex_4ogj_ligand_449,3uex,4ogj_ligand_449
3uex_4ogj_ligand_235,3uex,4ogj_ligand_235
3uex_4ogj_ligand_373,3uex,4ogj_ligand_373
3uex_4ogj_ligand_203,3uex,4ogj_ligand_203
3uex_4ogj_ligand_212,3uex,4ogj_ligand_212
3uex_4ogj_ligand_230,3uex,4ogj_ligand_230
3uex_4ogj_ligand_241,3uex,4ogj_ligand_241
3uex_4ogj_ligand_129,3uex,4ogj_ligand_129
3uex_4ogj_ligand_216,3uex,4ogj_ligand_216
3uex_4ogj_ligand_442,3uex,4ogj_ligand_442
3uex_4ogj_ligand_248,3uex,4ogj_ligand_248
3uex_4ogj_ligand_394,3uex,4ogj_ligand_394
3uex_4ogj_ligand_335,3uex,4ogj_ligand_335
3uex_4ogj_ligand_333,3uex,4ogj_ligand_333
3uex_4ogj_ligand_169,3uex,4ogj_ligand_169
3uex_4ogj_ligand_498,3uex,4ogj_ligand_498
3uex_4ogj_ligand_482,3uex,4ogj_ligand_482
3uex_4ogj_ligand_388,3uex,4ogj_ligand_388
3uex_4ogj_ligand_233,3uex,4ogj_ligand_233
3uex_4ogj_ligand_211,3uex,4ogj_ligand_211
3uex_4ogj_ligand_238,3uex,4ogj_ligand_238
3uex_4ogj_ligand_102,3uex,4ogj_ligand_102
3uex_4ogj_ligand_276,3uex,4ogj_ligand_276
3uex_4ogj_ligand_88,3uex,4ogj_ligand_88
3uex_4ogj_ligand_249,3uex,4ogj_ligand_249
3uex_4ogj_ligand_399,3uex,4ogj_ligand_399
3uex_4ogj_ligand_269,3uex,4ogj_ligand_269
3uex_4ogj_ligand_343,3uex,4ogj_ligand_343
3uex_4ogj_ligand_179,3uex,4ogj_ligand_179
3uex_4ogj_ligand_330,3uex,4ogj_ligand_330
3uex_4ogj_ligand_278,3uex,4ogj_ligand_278
3uex_4ogj_ligand_173,3uex,4ogj_ligand_173
3uex_4ogj_ligand_175,3uex,4ogj_ligand_175
3uex_4ogj_ligand_476,3uex,4ogj_ligand_476
3uex_4ogj_ligand_204,3uex,4ogj_ligand_204
3uex_4ogj_ligand_70,3uex,4ogj_ligand_70
3uex_4ogj_ligand_245,3uex,4ogj_ligand_245
3uex_4ogj_ligand_487,3uex,4ogj_ligand_487
3uex_4ogj_ligand_315,3uex,4ogj_ligand_315
3uex_4ogj_ligand_286,3uex,4ogj_ligand_286
3uex_4ogj_ligand_191,3uex,4ogj_ligand_191
3uex_4ogj_ligand_80,3uex,4ogj_ligand_80
3uex_4ogj_ligand_59,3uex,4ogj_ligand_59
3uex_4ogj_ligand_470,3uex,4ogj_ligand_470
3uex_4ogj_ligand_217,3uex,4ogj_ligand_217
3uex_4ogj_ligand_224,3uex,4ogj_ligand_224
3uex_4ogj_ligand_347,3uex,4ogj_ligand_347
3uex_4ogj_ligand_228,3uex,4ogj_ligand_228
3uex_4ogj_ligand_151,3uex,4ogj_ligand_151
3uex_4ogj_ligand_274,3uex,4ogj_ligand_274
3uex_4ogj_ligand_324,3uex,4ogj_ligand_324
3uex_4ogj_ligand_275,3uex,4ogj_ligand_275
3uex_4ogj_ligand_200,3uex,4ogj_ligand_200
3uex_4ogj_ligand_290,3uex,4ogj_ligand_290
3uex_4ogj_ligand_243,3uex,4ogj_ligand_243
3uex_4ogj_ligand_349,3uex,4ogj_ligand_349
3uex_4ogj_ligand_222,3uex,4ogj_ligand_222
3uex_4ogj_ligand_403,3uex,4ogj_ligand_403
3uex_4ogj_ligand_157,3uex,4ogj_ligand_157
3uex_4ogj_ligand_486,3uex,4ogj_ligand_486
3uex_4ogj_ligand_2,3uex,4ogj_ligand_2
3uex_4ogj_ligand_453,3uex,4ogj_ligand_453
3uex_4ogj_ligand_491,3uex,4ogj_ligand_491
3uex_4ogj_ligand_3,3uex,4ogj_ligand_3
3uex_4ogj_ligand_250,3uex,4ogj_ligand_250
3uex_4ogj_ligand_162,3uex,4ogj_ligand_162
3uex_4ogj_ligand_242,3uex,4ogj_ligand_242
3uex_4ogj_ligand_325,3uex,4ogj_ligand_325
3uex_4ogj_ligand_357,3uex,4ogj_ligand_357
3uex_4ogj_ligand_485,3uex,4ogj_ligand_485
3uex_4ogj_ligand_371,3uex,4ogj_ligand_371
3uex_4ogj_ligand_500,3uex,4ogj_ligand_500
3uex_4ogj_ligand_244,3uex,4ogj_ligand_244
3uex_4ogj_ligand_439,3uex,4ogj_ligand_439
3uex_4ogj_ligand_171,3uex,4ogj_ligand_171
3uex_4ogj_ligand_161,3uex,4ogj_ligand_161
3uex_4ogj_ligand_35,3uex,4ogj_ligand_35
3uex_4ogj_ligand_208,3uex,4ogj_ligand_208
3uex_4ogj_ligand_8,3uex,4ogj_ligand_8
3uex_4ogj_ligand_236,3uex,4ogj_ligand_236
3uex_4ogj_ligand_226,3uex,4ogj_ligand_226
3uex_4ogj_ligand_298,3uex,4ogj_ligand_298
