index,protein,decoy_name
3uri_4ogj_ligand_202,3uri,4ogj_ligand_202
3uri_4ogj_ligand_210,3uri,4ogj_ligand_210
3uri_4ogj_ligand_266,3uri,4ogj_ligand_266
3uri_4ogj_ligand_271,3uri,4ogj_ligand_271
3uri_4ogj_ligand_189,3uri,4ogj_ligand_189
3uri_4ogj_ligand_359,3uri,4ogj_ligand_359
3uri_4ogj_ligand_304,3uri,4ogj_ligand_304
3uri_4ogj_ligand_289,3uri,4ogj_ligand_289
3uri_4ogj_ligand_429,3uri,4ogj_ligand_429
3uri_4ogj_ligand_480,3uri,4ogj_ligand_480
3uri_4ogj_ligand_309,3uri,4ogj_ligand_309
3uri_4ogj_ligand_235,3uri,4ogj_ligand_235
3uri_4ogj_ligand_373,3uri,4ogj_ligand_373
3uri_4ogj_ligand_308,3uri,4ogj_ligand_308
3uri_4ogj_ligand_239,3uri,4ogj_ligand_239
3uri_4ogj_ligand_220,3uri,4ogj_ligand_220
3uri_4ogj_ligand_216,3uri,4ogj_ligand_216
3uri_4ogj_ligand_215,3uri,4ogj_ligand_215
3uri_4ogj_ligand_265,3uri,4ogj_ligand_265
3uri_4ogj_ligand_248,3uri,4ogj_ligand_248
3uri_4ogj_ligand_115,3uri,4ogj_ligand_115
3uri_4ogj_ligand_169,3uri,4ogj_ligand_169
3uri_4ogj_ligand_498,3uri,4ogj_ligand_498
3uri_4ogj_ligand_482,3uri,4ogj_ligand_482
3uri_4ogj_ligand_233,3uri,4ogj_ligand_233
3uri_4ogj_ligand_104,3uri,4ogj_ligand_104
3uri_4ogj_ligand_102,3uri,4ogj_ligand_102
3uri_4ogj_ligand_254,3uri,4ogj_ligand_254
3uri_4ogj_ligand_399,3uri,4ogj_ligand_399
3uri_4ogj_ligand_269,3uri,4ogj_ligand_269
3uri_4ogj_ligand_221,3uri,4ogj_ligand_221
3uri_4ogj_ligand_173,3uri,4ogj_ligand_173
3uri_4ogj_ligand_175,3uri,4ogj_ligand_175
3uri_4ogj_ligand_204,3uri,4ogj_ligand_204
3uri_4ogj_ligand_103,3uri,4ogj_ligand_103
3uri_4ogj_ligand_245,3uri,4ogj_ligand_245
3uri_4ogj_ligand_389,3uri,4ogj_ligand_389
3uri_4ogj_ligand_188,3uri,4ogj_ligand_188
3uri_4ogj_ligand_281,3uri,4ogj_ligand_281
3uri_4ogj_ligand_315,3uri,4ogj_ligand_315
3uri_4ogj_ligand_286,3uri,4ogj_ligand_286
3uri_4ogj_ligand_292,3uri,4ogj_ligand_292
3uri_4ogj_ligand_246,3uri,4ogj_ligand_246
3uri_4ogj_ligand_80,3uri,4ogj_ligand_80
3uri_4ogj_ligand_263,3uri,4ogj_ligand_263
3uri_4ogj_ligand_472,3uri,4ogj_ligand_472
3uri_4ogj_ligand_119,3uri,4ogj_ligand_119
3uri_4ogj_ligand_219,3uri,4ogj_ligand_219
3uri_4ogj_ligand_224,3uri,4ogj_ligand_224
3uri_4ogj_ligand_47,3uri,4ogj_ligand_47
3uri_4ogj_ligand_231,3uri,4ogj_ligand_231
3uri_4ogj_ligand_411,3uri,4ogj_ligand_411
3uri_4ogj_ligand_123,3uri,4ogj_ligand_123
3uri_4ogj_ligand_324,3uri,4ogj_ligand_324
3uri_4ogj_ligand_275,3uri,4ogj_ligand_275
3uri_4ogj_ligand_268,3uri,4ogj_ligand_268
3uri_4ogj_ligand_180,3uri,4ogj_ligand_180
3uri_4ogj_ligand_290,3uri,4ogj_ligand_290
3uri_4ogj_ligand_294,3uri,4ogj_ligand_294
