index,protein,decoy_name
3utu_4ogj_ligand_202,3utu,4ogj_ligand_202
3utu_4ogj_ligand_210,3utu,4ogj_ligand_210
3utu_4ogj_ligand_400,3utu,4ogj_ligand_400
3utu_4ogj_ligand_307,3utu,4ogj_ligand_307
3utu_4ogj_ligand_10,3utu,4ogj_ligand_10
3utu_4ogj_ligand_84,3utu,4ogj_ligand_84
3utu_4ogj_ligand_366,3utu,4ogj_ligand_366
3utu_4ogj_ligand_495,3utu,4ogj_ligand_495
3utu_4ogj_ligand_112,3utu,4ogj_ligand_112
3utu_4ogj_ligand_289,3utu,4ogj_ligand_289
3utu_4ogj_ligand_135,3utu,4ogj_ligand_135
3utu_4ogj_ligand_480,3utu,4ogj_ligand_480
3utu_4ogj_ligand_49,3utu,4ogj_ligand_49
3utu_4ogj_ligand_382,3utu,4ogj_ligand_382
3utu_4ogj_ligand_235,3utu,4ogj_ligand_235
3utu_4ogj_ligand_164,3utu,4ogj_ligand_164
3utu_4ogj_ligand_141,3utu,4ogj_ligand_141
3utu_4ogj_ligand_490,3utu,4ogj_ligand_490
3utu_4ogj_ligand_230,3utu,4ogj_ligand_230
3utu_4ogj_ligand_147,3utu,4ogj_ligand_147
3utu_4ogj_ligand_215,3utu,4ogj_ligand_215
3utu_4ogj_ligand_113,3utu,4ogj_ligand_113
3utu_4ogj_ligand_335,3utu,4ogj_ligand_335
3utu_4ogj_ligand_232,3utu,4ogj_ligand_232
3utu_4ogj_ligand_13,3utu,4ogj_ligand_13
3utu_4ogj_ligand_317,3utu,4ogj_ligand_317
3utu_4ogj_ligand_238,3utu,4ogj_ligand_238
3utu_4ogj_ligand_346,3utu,4ogj_ligand_346
3utu_4ogj_ligand_102,3utu,4ogj_ligand_102
3utu_4ogj_ligand_249,3utu,4ogj_ligand_249
3utu_4ogj_ligand_254,3utu,4ogj_ligand_254
3utu_4ogj_ligand_334,3utu,4ogj_ligand_334
3utu_4ogj_ligand_399,3utu,4ogj_ligand_399
3utu_4ogj_ligand_343,3utu,4ogj_ligand_343
3utu_4ogj_ligand_330,3utu,4ogj_ligand_330
3utu_4ogj_ligand_340,3utu,4ogj_ligand_340
3utu_4ogj_ligand_221,3utu,4ogj_ligand_221
3utu_4ogj_ligand_173,3utu,4ogj_ligand_173
3utu_4ogj_ligand_218,3utu,4ogj_ligand_218
3utu_4ogj_ligand_188,3utu,4ogj_ligand_188
3utu_4ogj_ligand_281,3utu,4ogj_ligand_281
3utu_4ogj_ligand_130,3utu,4ogj_ligand_130
3utu_4ogj_ligand_50,3utu,4ogj_ligand_50
3utu_4ogj_ligand_471,3utu,4ogj_ligand_471
3utu_4ogj_ligand_184,3utu,4ogj_ligand_184
3utu_4ogj_ligand_149,3utu,4ogj_ligand_149
3utu_4ogj_ligand_182,3utu,4ogj_ligand_182
3utu_4ogj_ligand_59,3utu,4ogj_ligand_59
3utu_4ogj_ligand_219,3utu,4ogj_ligand_219
3utu_4ogj_ligand_224,3utu,4ogj_ligand_224
3utu_4ogj_ligand_347,3utu,4ogj_ligand_347
3utu_4ogj_ligand_228,3utu,4ogj_ligand_228
3utu_4ogj_ligand_231,3utu,4ogj_ligand_231
3utu_4ogj_ligand_151,3utu,4ogj_ligand_151
3utu_4ogj_ligand_274,3utu,4ogj_ligand_274
3utu_4ogj_ligand_106,3utu,4ogj_ligand_106
3utu_4ogj_ligand_200,3utu,4ogj_ligand_200
3utu_4ogj_ligand_290,3utu,4ogj_ligand_290
3utu_4ogj_ligand_243,3utu,4ogj_ligand_243
3utu_4ogj_ligand_32,3utu,4ogj_ligand_32
3utu_4ogj_ligand_134,3utu,4ogj_ligand_134
3utu_4ogj_ligand_56,3utu,4ogj_ligand_56
3utu_4ogj_ligand_185,3utu,4ogj_ligand_185
3utu_4ogj_ligand_51,3utu,4ogj_ligand_51
3utu_4ogj_ligand_181,3utu,4ogj_ligand_181
3utu_4ogj_ligand_61,3utu,4ogj_ligand_61
3utu_4ogj_ligand_436,3utu,4ogj_ligand_436
3utu_4ogj_ligand_74,3utu,4ogj_ligand_74
3utu_4ogj_ligand_7,3utu,4ogj_ligand_7
3utu_4ogj_ligand_69,3utu,4ogj_ligand_69
3utu_4ogj_ligand_26,3utu,4ogj_ligand_26
3utu_4ogj_ligand_279,3utu,4ogj_ligand_279
3utu_4ogj_ligand_16,3utu,4ogj_ligand_16
3utu_4ogj_ligand_45,3utu,4ogj_ligand_45
3utu_4ogj_ligand_421,3utu,4ogj_ligand_421
3utu_4ogj_ligand_325,3utu,4ogj_ligand_325
3utu_4ogj_ligand_357,3utu,4ogj_ligand_357
3utu_4ogj_ligand_193,3utu,4ogj_ligand_193
3utu_4ogj_ligand_375,3utu,4ogj_ligand_375
3utu_4ogj_ligand_326,3utu,4ogj_ligand_326
3utu_4ogj_ligand_371,3utu,4ogj_ligand_371
3utu_4ogj_ligand_261,3utu,4ogj_ligand_261
3utu_4ogj_ligand_133,3utu,4ogj_ligand_133
3utu_4ogj_ligand_345,3utu,4ogj_ligand_345
3utu_4ogj_ligand_408,3utu,4ogj_ligand_408
3utu_4ogj_ligand_244,3utu,4ogj_ligand_244
3utu_4ogj_ligand_195,3utu,4ogj_ligand_195
3utu_4ogj_ligand_305,3utu,4ogj_ligand_305
3utu_4ogj_ligand_316,3utu,4ogj_ligand_316
3utu_4ogj_ligand_108,3utu,4ogj_ligand_108
3utu_4ogj_ligand_125,3utu,4ogj_ligand_125
3utu_4ogj_ligand_323,3utu,4ogj_ligand_323
3utu_4ogj_ligand_459,3utu,4ogj_ligand_459
3utu_4ogj_ligand_282,3utu,4ogj_ligand_282
3utu_4ogj_ligand_227,3utu,4ogj_ligand_227
3utu_4ogj_ligand_236,3utu,4ogj_ligand_236
3utu_4ogj_ligand_226,3utu,4ogj_ligand_226
3utu_4ogj_ligand_314,3utu,4ogj_ligand_314
3utu_4ogj_ligand_287,3utu,4ogj_ligand_287
3utu_4ogj_ligand_368,3utu,4ogj_ligand_368
3utu_3f3e_ligand_95,3utu,3f3e_ligand_95
3utu_3f3e_ligand_167,3utu,3f3e_ligand_167
3utu_3f3e_ligand_388,3utu,3f3e_ligand_388
3utu_3f3e_ligand_339,3utu,3f3e_ligand_339
3utu_3f3e_ligand_244,3utu,3f3e_ligand_244
3utu_3f3e_ligand_268,3utu,3f3e_ligand_268
3utu_3f3e_ligand_3,3utu,3f3e_ligand_3
3utu_3f3e_ligand_284,3utu,3f3e_ligand_284
3utu_3f3e_ligand_245,3utu,3f3e_ligand_245
3utu_3f3e_ligand_389,3utu,3f3e_ligand_389
3utu_3f3e_ligand_373,3utu,3f3e_ligand_373
3utu_3f3e_ligand_232,3utu,3f3e_ligand_232
3utu_3f3e_ligand_423,3utu,3f3e_ligand_423
3utu_3f3e_ligand_187,3utu,3f3e_ligand_187
3utu_3f3e_ligand_113,3utu,3f3e_ligand_113
3utu_3f3e_ligand_132,3utu,3f3e_ligand_132
3utu_3f3e_ligand_47,3utu,3f3e_ligand_47
3utu_3f3e_ligand_305,3utu,3f3e_ligand_305
3utu_3f3e_ligand_495,3utu,3f3e_ligand_495
3utu_3f3e_ligand_263,3utu,3f3e_ligand_263
3utu_3f3e_ligand_240,3utu,3f3e_ligand_240
3utu_3f3e_ligand_430,3utu,3f3e_ligand_430
3utu_3f3e_ligand_250,3utu,3f3e_ligand_250
3utu_3f3e_ligand_195,3utu,3f3e_ligand_195
3utu_3f3e_ligand_299,3utu,3f3e_ligand_299
3utu_3f3e_ligand_426,3utu,3f3e_ligand_426
3utu_3f3e_ligand_108,3utu,3f3e_ligand_108
3utu_3f3e_ligand_324,3utu,3f3e_ligand_324
3utu_3f3e_ligand_237,3utu,3f3e_ligand_237
3utu_3f3e_ligand_41,3utu,3f3e_ligand_41
3utu_3f3e_ligand_255,3utu,3f3e_ligand_255
3utu_3f3e_ligand_199,3utu,3f3e_ligand_199
3utu_3f3e_ligand_481,3utu,3f3e_ligand_481
3utu_3f3e_ligand_213,3utu,3f3e_ligand_213
3utu_3f3e_ligand_372,3utu,3f3e_ligand_372
3utu_3f3e_ligand_393,3utu,3f3e_ligand_393
3utu_3f3e_ligand_134,3utu,3f3e_ligand_134
3utu_3f3e_ligand_84,3utu,3f3e_ligand_84
3utu_3f3e_ligand_10,3utu,3f3e_ligand_10
3utu_3f3e_ligand_202,3utu,3f3e_ligand_202
3utu_3f3e_ligand_217,3utu,3f3e_ligand_217
3utu_3f3e_ligand_385,3utu,3f3e_ligand_385
3utu_3f3e_ligand_279,3utu,3f3e_ligand_279
3utu_3f3e_ligand_14,3utu,3f3e_ligand_14
3utu_3f3e_ligand_249,3utu,3f3e_ligand_249
3utu_3f3e_ligand_329,3utu,3f3e_ligand_329
3utu_3f3e_ligand_234,3utu,3f3e_ligand_234
3utu_3f3e_ligand_89,3utu,3f3e_ligand_89
3utu_3f3e_ligand_398,3utu,3f3e_ligand_398
3utu_3f3e_ligand_390,3utu,3f3e_ligand_390
3utu_3f3e_ligand_440,3utu,3f3e_ligand_440
3utu_3f3e_ligand_193,3utu,3f3e_ligand_193
3utu_3f3e_ligand_172,3utu,3f3e_ligand_172
3utu_3f3e_ligand_224,3utu,3f3e_ligand_224
3utu_3f3e_ligand_327,3utu,3f3e_ligand_327
3utu_3f3e_ligand_70,3utu,3f3e_ligand_70
3utu_3f3e_ligand_219,3utu,3f3e_ligand_219
3utu_3f3e_ligand_166,3utu,3f3e_ligand_166
3utu_3f3e_ligand_205,3utu,3f3e_ligand_205
3utu_3f3e_ligand_210,3utu,3f3e_ligand_210
3utu_3f3e_ligand_62,3utu,3f3e_ligand_62
3utu_3f3e_ligand_332,3utu,3f3e_ligand_332
3utu_3f3e_ligand_231,3utu,3f3e_ligand_231
3utu_3f3e_ligand_355,3utu,3f3e_ligand_355
3utu_3f3e_ligand_315,3utu,3f3e_ligand_315
3utu_3f3e_ligand_342,3utu,3f3e_ligand_342
3utu_3f3e_ligand_204,3utu,3f3e_ligand_204
3utu_3f3e_ligand_266,3utu,3f3e_ligand_266
3utu_3f3e_ligand_247,3utu,3f3e_ligand_247
3utu_3f3e_ligand_482,3utu,3f3e_ligand_482
3utu_3f3e_ligand_23,3utu,3f3e_ligand_23
3utu_3f3e_ligand_343,3utu,3f3e_ligand_343
3utu_3f3e_ligand_133,3utu,3f3e_ligand_133
3utu_3f3e_ligand_85,3utu,3f3e_ligand_85
3utu_3f3e_ligand_485,3utu,3f3e_ligand_485
3utu_3f3e_ligand_296,3utu,3f3e_ligand_296
3utu_3f3e_ligand_66,3utu,3f3e_ligand_66
3utu_3f3e_ligand_395,3utu,3f3e_ligand_395
3utu_3f3e_ligand_228,3utu,3f3e_ligand_228
3utu_3f3e_ligand_52,3utu,3f3e_ligand_52
3utu_3f3e_ligand_271,3utu,3f3e_ligand_271
3utu_3f3e_ligand_61,3utu,3f3e_ligand_61
3utu_3f3e_ligand_93,3utu,3f3e_ligand_93
3utu_3f3e_ligand_144,3utu,3f3e_ligand_144
3utu_3f3e_ligand_351,3utu,3f3e_ligand_351
3utu_3f3e_ligand_180,3utu,3f3e_ligand_180
3utu_3f3e_ligand_64,3utu,3f3e_ligand_64
3utu_3f3e_ligand_153,3utu,3f3e_ligand_153
3utu_3f3e_ligand_288,3utu,3f3e_ligand_288
3utu_3f3e_ligand_301,3utu,3f3e_ligand_301
3utu_3f3e_ligand_285,3utu,3f3e_ligand_285
3utu_3f3e_ligand_86,3utu,3f3e_ligand_86
3utu_3f3e_ligand_20,3utu,3f3e_ligand_20
3utu_3f3e_ligand_138,3utu,3f3e_ligand_138
3utu_3f3e_ligand_471,3utu,3f3e_ligand_471
3utu_3f3e_ligand_130,3utu,3f3e_ligand_130
3utu_3f3e_ligand_500,3utu,3f3e_ligand_500
3utu_3f3e_ligand_221,3utu,3f3e_ligand_221
3utu_3f3e_ligand_124,3utu,3f3e_ligand_124
3utu_3f3e_ligand_1,3utu,3f3e_ligand_1
3utu_3uo4_ligand_35,3utu,3uo4_ligand_35
3utu_3uo4_ligand_42,3utu,3uo4_ligand_42
3utu_3uo4_ligand_60,3utu,3uo4_ligand_60
3utu_3uo4_ligand_479,3utu,3uo4_ligand_479
3utu_3uo4_ligand_412,3utu,3uo4_ligand_412
3utu_3uo4_ligand_387,3utu,3uo4_ligand_387
3utu_3uo4_ligand_2,3utu,3uo4_ligand_2
3utu_3uo4_ligand_134,3utu,3uo4_ligand_134
3utu_3uo4_ligand_24,3utu,3uo4_ligand_24
3utu_3uo4_ligand_181,3utu,3uo4_ligand_181
3utu_3uo4_ligand_378,3utu,3uo4_ligand_378
3utu_3uo4_ligand_414,3utu,3uo4_ligand_414
3utu_3uo4_ligand_12,3utu,3uo4_ligand_12
3utu_3uo4_ligand_224,3utu,3uo4_ligand_224
3utu_3uo4_ligand_5,3utu,3uo4_ligand_5
3utu_3uo4_ligand_297,3utu,3uo4_ligand_297
3utu_3uo4_ligand_90,3utu,3uo4_ligand_90
3utu_3uo4_ligand_247,3utu,3uo4_ligand_247
3utu_3uo4_ligand_162,3utu,3uo4_ligand_162
3utu_3uo4_ligand_230,3utu,3uo4_ligand_230
3utu_3uo4_ligand_145,3utu,3uo4_ligand_145
3utu_3uo4_ligand_237,3utu,3uo4_ligand_237
3utu_3uo4_ligand_252,3utu,3uo4_ligand_252
3utu_3uo4_ligand_210,3utu,3uo4_ligand_210
3utu_3uo4_ligand_174,3utu,3uo4_ligand_174
3utu_3uo4_ligand_214,3utu,3uo4_ligand_214
3utu_3uo4_ligand_184,3utu,3uo4_ligand_184
3utu_3uo4_ligand_295,3utu,3uo4_ligand_295
3utu_3uo4_ligand_469,3utu,3uo4_ligand_469
3utu_3uo4_ligand_401,3utu,3uo4_ligand_401
3utu_3uo4_ligand_118,3utu,3uo4_ligand_118
3utu_3uo4_ligand_123,3utu,3uo4_ligand_123
3utu_3uo4_ligand_120,3utu,3uo4_ligand_120
3utu_3uo4_ligand_432,3utu,3uo4_ligand_432
3utu_3uo4_ligand_239,3utu,3uo4_ligand_239
3utu_3uo4_ligand_304,3utu,3uo4_ligand_304
3utu_3uo4_ligand_382,3utu,3uo4_ligand_382
3utu_3uo4_ligand_189,3utu,3uo4_ligand_189
