index,protein,decoy_name
3zso_4ogj_ligand_462,3zso,4ogj_ligand_462
3zso_4ogj_ligand_452,3zso,4ogj_ligand_452
3zso_4ogj_ligand_391,3zso,4ogj_ligand_391
3zso_4ogj_ligand_237,3zso,4ogj_ligand_237
3zso_4ogj_ligand_167,3zso,4ogj_ligand_167
3zso_4ogj_ligand_266,3zso,4ogj_ligand_266
3zso_4ogj_ligand_94,3zso,4ogj_ligand_94
3zso_4ogj_ligand_416,3zso,4ogj_ligand_416
3zso_4ogj_ligand_400,3zso,4ogj_ligand_400
3zso_4ogj_ligand_28,3zso,4ogj_ligand_28
3zso_4ogj_ligand_65,3zso,4ogj_ligand_65
3zso_4ogj_ligand_499,3zso,4ogj_ligand_499
3zso_4ogj_ligand_362,3zso,4ogj_ligand_362
3zso_4ogj_ligand_309,3zso,4ogj_ligand_309
3zso_4ogj_ligand_469,3zso,4ogj_ligand_469
3zso_4ogj_ligand_137,3zso,4ogj_ligand_137
3zso_4ogj_ligand_235,3zso,4ogj_ligand_235
3zso_4ogj_ligand_387,3zso,4ogj_ligand_387
3zso_4ogj_ligand_212,3zso,4ogj_ligand_212
3zso_4ogj_ligand_230,3zso,4ogj_ligand_230
3zso_4ogj_ligand_241,3zso,4ogj_ligand_241
3zso_4ogj_ligand_220,3zso,4ogj_ligand_220
3zso_4ogj_ligand_344,3zso,4ogj_ligand_344
3zso_4ogj_ligand_177,3zso,4ogj_ligand_177
3zso_4ogj_ligand_248,3zso,4ogj_ligand_248
3zso_4ogj_ligand_350,3zso,4ogj_ligand_350
3zso_4ogj_ligand_233,3zso,4ogj_ligand_233
3zso_4ogj_ligand_458,3zso,4ogj_ligand_458
3zso_4ogj_ligand_238,3zso,4ogj_ligand_238
3zso_4ogj_ligand_264,3zso,4ogj_ligand_264
3zso_4ogj_ligand_68,3zso,4ogj_ligand_68
3zso_4ogj_ligand_249,3zso,4ogj_ligand_249
3zso_4ogj_ligand_179,3zso,4ogj_ligand_179
3zso_4ogj_ligand_221,3zso,4ogj_ligand_221
3zso_4ogj_ligand_278,3zso,4ogj_ligand_278
3zso_4ogj_ligand_204,3zso,4ogj_ligand_204
3zso_4ogj_ligand_209,3zso,4ogj_ligand_209
3zso_4ogj_ligand_142,3zso,4ogj_ligand_142
3zso_4ogj_ligand_52,3zso,4ogj_ligand_52
3zso_4ogj_ligand_70,3zso,4ogj_ligand_70
3zso_4ogj_ligand_286,3zso,4ogj_ligand_286
3zso_4ogj_ligand_246,3zso,4ogj_ligand_246
3zso_4ogj_ligand_165,3zso,4ogj_ligand_165
3zso_4ogj_ligand_293,3zso,4ogj_ligand_293
3zso_4ogj_ligand_117,3zso,4ogj_ligand_117
3zso_4ogj_ligand_217,3zso,4ogj_ligand_217
3zso_4ogj_ligand_219,3zso,4ogj_ligand_219
3zso_4ogj_ligand_228,3zso,4ogj_ligand_228
3zso_4ogj_ligand_231,3zso,4ogj_ligand_231
3zso_4ogj_ligand_12,3zso,4ogj_ligand_12
3zso_4ogj_ligand_106,3zso,4ogj_ligand_106
3zso_4ogj_ligand_275,3zso,4ogj_ligand_275
3zso_4ogj_ligand_200,3zso,4ogj_ligand_200
3zso_4ogj_ligand_392,3zso,4ogj_ligand_392
3zso_4ogj_ligand_25,3zso,4ogj_ligand_25
3zso_4ogj_ligand_290,3zso,4ogj_ligand_290
3zso_4ogj_ligand_294,3zso,4ogj_ligand_294
3zso_4ogj_ligand_349,3zso,4ogj_ligand_349
3zso_4ogj_ligand_32,3zso,4ogj_ligand_32
3zso_4ogj_ligand_234,3zso,4ogj_ligand_234
3zso_4ogj_ligand_262,3zso,4ogj_ligand_262
3zso_4ogj_ligand_98,3zso,4ogj_ligand_98
3zso_4ogj_ligand_222,3zso,4ogj_ligand_222
3zso_4ogj_ligand_134,3zso,4ogj_ligand_134
3zso_4ogj_ligand_451,3zso,4ogj_ligand_451
3zso_4ogj_ligand_398,3zso,4ogj_ligand_398
3zso_4ogj_ligand_121,3zso,4ogj_ligand_121
3zso_4ogj_ligand_348,3zso,4ogj_ligand_348
3zso_4ogj_ligand_341,3zso,4ogj_ligand_341
3zso_4ogj_ligand_436,3zso,4ogj_ligand_436
3zso_4ogj_ligand_3,3zso,4ogj_ligand_3
3zso_4ogj_ligand_250,3zso,4ogj_ligand_250
3zso_4ogj_ligand_431,3zso,4ogj_ligand_431
3zso_4ogj_ligand_44,3zso,4ogj_ligand_44
3zso_4ogj_ligand_367,3zso,4ogj_ligand_367
3zso_4ogj_ligand_375,3zso,4ogj_ligand_375
3zso_4ogj_ligand_9,3zso,4ogj_ligand_9
3zso_4ogj_ligand_214,3zso,4ogj_ligand_214
3zso_4ogj_ligand_485,3zso,4ogj_ligand_485
3zso_4ogj_ligand_159,3zso,4ogj_ligand_159
3zso_4ogj_ligand_288,3zso,4ogj_ligand_288
3zso_4ogj_ligand_40,3zso,4ogj_ligand_40
3zso_4ogj_ligand_497,3zso,4ogj_ligand_497
3zso_4ogj_ligand_261,3zso,4ogj_ligand_261
3zso_4ogj_ligand_207,3zso,4ogj_ligand_207
3zso_4ogj_ligand_456,3zso,4ogj_ligand_456
3zso_4ogj_ligand_305,3zso,4ogj_ligand_305
3zso_4ogj_ligand_79,3zso,4ogj_ligand_79
3zso_4ogj_ligand_171,3zso,4ogj_ligand_171
3zso_4ogj_ligand_35,3zso,4ogj_ligand_35
3zso_4ogj_ligand_208,3zso,4ogj_ligand_208
3zso_4ogj_ligand_72,3zso,4ogj_ligand_72
3zso_4ogj_ligand_86,3zso,4ogj_ligand_86
3zso_4ogj_ligand_282,3zso,4ogj_ligand_282
3zso_4ogj_ligand_33,3zso,4ogj_ligand_33
3zso_4ogj_ligand_227,3zso,4ogj_ligand_227
3zso_4ogj_ligand_226,3zso,4ogj_ligand_226
3zso_4ogj_ligand_19,3zso,4ogj_ligand_19
3zso_4ogj_ligand_478,3zso,4ogj_ligand_478
3zso_4ogj_ligand_314,3zso,4ogj_ligand_314
3zso_3f3e_ligand_268,3zso,3f3e_ligand_268
3zso_3f3e_ligand_300,3zso,3f3e_ligand_300
3zso_3f3e_ligand_319,3zso,3f3e_ligand_319
3zso_3f3e_ligand_451,3zso,3f3e_ligand_451
3zso_3f3e_ligand_272,3zso,3f3e_ligand_272
3zso_3f3e_ligand_289,3zso,3f3e_ligand_289
3zso_3f3e_ligand_312,3zso,3f3e_ligand_312
3zso_3f3e_ligand_151,3zso,3f3e_ligand_151
3zso_3f3e_ligand_371,3zso,3f3e_ligand_371
3zso_3f3e_ligand_260,3zso,3f3e_ligand_260
3zso_3f3e_ligand_218,3zso,3f3e_ligand_218
3zso_3f3e_ligand_267,3zso,3f3e_ligand_267
3zso_3f3e_ligand_241,3zso,3f3e_ligand_241
3zso_3f3e_ligand_373,3zso,3f3e_ligand_373
3zso_3f3e_ligand_280,3zso,3f3e_ligand_280
3zso_3f3e_ligand_496,3zso,3f3e_ligand_496
3zso_3f3e_ligand_187,3zso,3f3e_ligand_187
3zso_3f3e_ligand_47,3zso,3f3e_ligand_47
3zso_3f3e_ligand_454,3zso,3f3e_ligand_454
3zso_3f3e_ligand_162,3zso,3f3e_ligand_162
