index,protein,decoy_name
4agq_4ogj_ligand_187,4agq,4ogj_ligand_187
4agq_4ogj_ligand_397,4agq,4ogj_ligand_397
4agq_4ogj_ligand_210,4agq,4ogj_ligand_210
4agq_4ogj_ligand_237,4agq,4ogj_ligand_237
4agq_4ogj_ligand_196,4agq,4ogj_ligand_196
4agq_4ogj_ligand_395,4agq,4ogj_ligand_395
4agq_4ogj_ligand_67,4agq,4ogj_ligand_67
4agq_4ogj_ligand_366,4agq,4ogj_ligand_366
4agq_4ogj_ligand_112,4agq,4ogj_ligand_112
4agq_4ogj_ligand_433,4agq,4ogj_ligand_433
4agq_4ogj_ligand_29,4agq,4ogj_ligand_29
4agq_4ogj_ligand_100,4agq,4ogj_ligand_100
4agq_4ogj_ligand_90,4agq,4ogj_ligand_90
4agq_4ogj_ligand_135,4agq,4ogj_ligand_135
4agq_4ogj_ligand_285,4agq,4ogj_ligand_285
4agq_4ogj_ligand_49,4agq,4ogj_ligand_49
4agq_4ogj_ligand_71,4agq,4ogj_ligand_71
4agq_4ogj_ligand_469,4agq,4ogj_ligand_469
4agq_4ogj_ligand_137,4agq,4ogj_ligand_137
4agq_4ogj_ligand_235,4agq,4ogj_ligand_235
4agq_4ogj_ligand_203,4agq,4ogj_ligand_203
4agq_4ogj_ligand_212,4agq,4ogj_ligand_212
4agq_4ogj_ligand_331,4agq,4ogj_ligand_331
4agq_4ogj_ligand_17,4agq,4ogj_ligand_17
4agq_4ogj_ligand_356,4agq,4ogj_ligand_356
4agq_4ogj_ligand_239,4agq,4ogj_ligand_239
4agq_4ogj_ligand_129,4agq,4ogj_ligand_129
4agq_4ogj_ligand_344,4agq,4ogj_ligand_344
4agq_4ogj_ligand_216,4agq,4ogj_ligand_216
4agq_4ogj_ligand_169,4agq,4ogj_ligand_169
4agq_4ogj_ligand_232,4agq,4ogj_ligand_232
4agq_4ogj_ligand_388,4agq,4ogj_ligand_388
4agq_4ogj_ligand_233,4agq,4ogj_ligand_233
4agq_4ogj_ligand_211,4agq,4ogj_ligand_211
4agq_4ogj_ligand_489,4agq,4ogj_ligand_489
4agq_4ogj_ligand_102,4agq,4ogj_ligand_102
4agq_4ogj_ligand_190,4agq,4ogj_ligand_190
4agq_4ogj_ligand_443,4agq,4ogj_ligand_443
4agq_4ogj_ligand_334,4agq,4ogj_ligand_334
4agq_4ogj_ligand_343,4agq,4ogj_ligand_343
4agq_4ogj_ligand_330,4agq,4ogj_ligand_330
4agq_4ogj_ligand_118,4agq,4ogj_ligand_118
4agq_4ogj_ligand_143,4agq,4ogj_ligand_143
4agq_4ogj_ligand_173,4agq,4ogj_ligand_173
4agq_4ogj_ligand_420,4agq,4ogj_ligand_420
4agq_4ogj_ligand_127,4agq,4ogj_ligand_127
4agq_4ogj_ligand_82,4agq,4ogj_ligand_82
4agq_4ogj_ligand_376,4agq,4ogj_ligand_376
4agq_4ogj_ligand_204,4agq,4ogj_ligand_204
4agq_4ogj_ligand_218,4agq,4ogj_ligand_218
4agq_4ogj_ligand_50,4agq,4ogj_ligand_50
4agq_4ogj_ligand_80,4agq,4ogj_ligand_80
4agq_4ogj_ligand_117,4agq,4ogj_ligand_117
4agq_4ogj_ligand_119,4agq,4ogj_ligand_119
4agq_4ogj_ligand_219,4agq,4ogj_ligand_219
4agq_4ogj_ligand_347,4agq,4ogj_ligand_347
