index,protein,decoy_name
4f3c_4jsz_ligand_396,4f3c,4jsz_ligand_396
4f3c_4jsz_ligand_215,4f3c,4jsz_ligand_215
4f3c_4jsz_ligand_108,4f3c,4jsz_ligand_108
4f3c_4jsz_ligand_366,4f3c,4jsz_ligand_366
4f3c_4jsz_ligand_350,4f3c,4jsz_ligand_350
4f3c_4jsz_ligand_385,4f3c,4jsz_ligand_385
4f3c_4jsz_ligand_180,4f3c,4jsz_ligand_180
4f3c_4jsz_ligand_131,4f3c,4jsz_ligand_131
4f3c_4jsz_ligand_341,4f3c,4jsz_ligand_341
4f3c_4jsz_ligand_41,4f3c,4jsz_ligand_41
4f3c_4jsz_ligand_15,4f3c,4jsz_ligand_15
4f3c_4jsz_ligand_44,4f3c,4jsz_ligand_44
4f3c_4jsz_ligand_249,4f3c,4jsz_ligand_249
4f3c_4jsz_ligand_261,4f3c,4jsz_ligand_261
4f3c_4jsz_ligand_191,4f3c,4jsz_ligand_191
4f3c_4jsz_ligand_325,4f3c,4jsz_ligand_325
4f3c_4jsz_ligand_199,4f3c,4jsz_ligand_199
4f3c_4jsz_ligand_304,4f3c,4jsz_ligand_304
4f3c_4jsz_ligand_236,4f3c,4jsz_ligand_236
4f3c_4jsz_ligand_323,4f3c,4jsz_ligand_323
4f3c_4jsz_ligand_329,4f3c,4jsz_ligand_329
4f3c_4jsz_ligand_4,4f3c,4jsz_ligand_4
4f3c_4jsz_ligand_358,4f3c,4jsz_ligand_358
4f3c_4jsz_ligand_281,4f3c,4jsz_ligand_281
4f3c_4jsz_ligand_100,4f3c,4jsz_ligand_100
4f3c_4jsz_ligand_390,4f3c,4jsz_ligand_390
4f3c_4jsz_ligand_496,4f3c,4jsz_ligand_496
4f3c_4jsz_ligand_126,4f3c,4jsz_ligand_126
4f3c_4jsz_ligand_193,4f3c,4jsz_ligand_193
4f3c_4jsz_ligand_221,4f3c,4jsz_ligand_221
4f3c_4jsz_ligand_124,4f3c,4jsz_ligand_124
4f3c_4jsz_ligand_222,4f3c,4jsz_ligand_222
4f3c_4jsz_ligand_163,4f3c,4jsz_ligand_163
4f3c_4jsz_ligand_123,4f3c,4jsz_ligand_123
4f3c_4jsz_ligand_179,4f3c,4jsz_ligand_179
4f3c_4jsz_ligand_219,4f3c,4jsz_ligand_219
4f3c_4jsz_ligand_200,4f3c,4jsz_ligand_200
4f3c_4jsz_ligand_307,4f3c,4jsz_ligand_307
4f3c_4jsz_ligand_290,4f3c,4jsz_ligand_290
4f3c_4jsz_ligand_121,4f3c,4jsz_ligand_121
4f3c_4jsz_ligand_398,4f3c,4jsz_ligand_398
4f3c_4jsz_ligand_321,4f3c,4jsz_ligand_321
4f3c_4jsz_ligand_105,4f3c,4jsz_ligand_105
4f3c_4jsz_ligand_47,4f3c,4jsz_ligand_47
4f3c_4jsz_ligand_311,4f3c,4jsz_ligand_311
4f3c_4jsz_ligand_288,4f3c,4jsz_ligand_288
4f3c_4jsz_ligand_379,4f3c,4jsz_ligand_379
