index,protein,decoy_name
4gid_1p1q_ligand_378,4gid,1p1q_ligand_378
4gid_1p1q_ligand_484,4gid,1p1q_ligand_484
4gid_1p1q_ligand_91,4gid,1p1q_ligand_91
4gid_1p1q_ligand_260,4gid,1p1q_ligand_260
4gid_1p1q_ligand_274,4gid,1p1q_ligand_274
4gid_1p1q_ligand_306,4gid,1p1q_ligand_306
4gid_1p1q_ligand_330,4gid,1p1q_ligand_330
4gid_1p1q_ligand_190,4gid,1p1q_ligand_190
4gid_1p1q_ligand_223,4gid,1p1q_ligand_223
4gid_1p1q_ligand_315,4gid,1p1q_ligand_315
4gid_1p1q_ligand_382,4gid,1p1q_ligand_382
4gid_1p1q_ligand_232,4gid,1p1q_ligand_232
4gid_1p1q_ligand_243,4gid,1p1q_ligand_243
4gid_1p1q_ligand_277,4gid,1p1q_ligand_277
4gid_1p1q_ligand_332,4gid,1p1q_ligand_332
4gid_1p1q_ligand_316,4gid,1p1q_ligand_316
4gid_1p1q_ligand_167,4gid,1p1q_ligand_167
4gid_1p1q_ligand_226,4gid,1p1q_ligand_226
4gid_1p1q_ligand_17,4gid,1p1q_ligand_17
4gid_1p1q_ligand_463,4gid,1p1q_ligand_463
4gid_1p1q_ligand_236,4gid,1p1q_ligand_236
4gid_1p1q_ligand_45,4gid,1p1q_ligand_45
4gid_1p1q_ligand_221,4gid,1p1q_ligand_221
4gid_1p1q_ligand_109,4gid,1p1q_ligand_109
4gid_1p1q_ligand_211,4gid,1p1q_ligand_211
4gid_1p1q_ligand_16,4gid,1p1q_ligand_16
4gid_1p1q_ligand_85,4gid,1p1q_ligand_85
4gid_1p1q_ligand_173,4gid,1p1q_ligand_173
4gid_1p1q_ligand_238,4gid,1p1q_ligand_238
4gid_1p1q_ligand_182,4gid,1p1q_ligand_182
4gid_1p1q_ligand_258,4gid,1p1q_ligand_258
4gid_1p1q_ligand_80,4gid,1p1q_ligand_80
4gid_1p1q_ligand_129,4gid,1p1q_ligand_129
4gid_1p1q_ligand_65,4gid,1p1q_ligand_65
4gid_1p1q_ligand_348,4gid,1p1q_ligand_348
4gid_1p1q_ligand_289,4gid,1p1q_ligand_289
4gid_1p1q_ligand_154,4gid,1p1q_ligand_154
4gid_1p1q_ligand_296,4gid,1p1q_ligand_296
4gid_1p1q_ligand_432,4gid,1p1q_ligand_432
4gid_1p1q_ligand_327,4gid,1p1q_ligand_327
4gid_1p1q_ligand_233,4gid,1p1q_ligand_233
4gid_1p1q_ligand_390,4gid,1p1q_ligand_390
4gid_1p1q_ligand_349,4gid,1p1q_ligand_349
4gid_1p1q_ligand_155,4gid,1p1q_ligand_155
4gid_1p1q_ligand_205,4gid,1p1q_ligand_205
4gid_1p1q_ligand_321,4gid,1p1q_ligand_321
4gid_1p1q_ligand_447,4gid,1p1q_ligand_447
4gid_1p1q_ligand_164,4gid,1p1q_ligand_164
4gid_1p1q_ligand_262,4gid,1p1q_ligand_262
4gid_1p1q_ligand_400,4gid,1p1q_ligand_400
4gid_1p1q_ligand_89,4gid,1p1q_ligand_89
4gid_1p1q_ligand_263,4gid,1p1q_ligand_263
4gid_1p1q_ligand_24,4gid,1p1q_ligand_24
4gid_1p1q_ligand_329,4gid,1p1q_ligand_329
4gid_1p1q_ligand_241,4gid,1p1q_ligand_241
