index,protein,decoy_name
4gr0_1p1q_ligand_184,4gr0,1p1q_ligand_184
4gr0_1p1q_ligand_41,4gr0,1p1q_ligand_41
4gr0_1p1q_ligand_397,4gr0,1p1q_ligand_397
4gr0_1p1q_ligand_422,4gr0,1p1q_ligand_422
4gr0_1p1q_ligand_300,4gr0,1p1q_ligand_300
4gr0_1p1q_ligand_186,4gr0,1p1q_ligand_186
4gr0_1p1q_ligand_382,4gr0,1p1q_ligand_382
4gr0_1p1q_ligand_324,4gr0,1p1q_ligand_324
4gr0_1p1q_ligand_246,4gr0,1p1q_ligand_246
4gr0_1p1q_ligand_158,4gr0,1p1q_ligand_158
4gr0_1p1q_ligand_23,4gr0,1p1q_ligand_23
4gr0_1p1q_ligand_291,4gr0,1p1q_ligand_291
4gr0_1p1q_ligand_416,4gr0,1p1q_ligand_416
4gr0_1p1q_ligand_167,4gr0,1p1q_ligand_167
4gr0_1p1q_ligand_226,4gr0,1p1q_ligand_226
4gr0_1p1q_ligand_461,4gr0,1p1q_ligand_461
4gr0_1p1q_ligand_368,4gr0,1p1q_ligand_368
4gr0_1p1q_ligand_242,4gr0,1p1q_ligand_242
4gr0_1p1q_ligand_28,4gr0,1p1q_ligand_28
4gr0_1p1q_ligand_221,4gr0,1p1q_ligand_221
4gr0_1p1q_ligand_240,4gr0,1p1q_ligand_240
4gr0_1p1q_ligand_328,4gr0,1p1q_ligand_328
4gr0_1p1q_ligand_388,4gr0,1p1q_ligand_388
4gr0_1p1q_ligand_245,4gr0,1p1q_ligand_245
4gr0_1p1q_ligand_172,4gr0,1p1q_ligand_172
4gr0_1p1q_ligand_308,4gr0,1p1q_ligand_308
4gr0_1p1q_ligand_371,4gr0,1p1q_ligand_371
4gr0_1p1q_ligand_417,4gr0,1p1q_ligand_417
4gr0_1p1q_ligand_355,4gr0,1p1q_ligand_355
4gr0_1p1q_ligand_295,4gr0,1p1q_ligand_295
4gr0_1p1q_ligand_154,4gr0,1p1q_ligand_154
4gr0_1p1q_ligand_398,4gr0,1p1q_ligand_398
4gr0_1p1q_ligand_327,4gr0,1p1q_ligand_327
4gr0_1p1q_ligand_399,4gr0,1p1q_ligand_399
4gr0_1p1q_ligand_233,4gr0,1p1q_ligand_233
4gr0_1p1q_ligand_278,4gr0,1p1q_ligand_278
4gr0_1p1q_ligand_222,4gr0,1p1q_ligand_222
4gr0_1p1q_ligand_155,4gr0,1p1q_ligand_155
4gr0_1p1q_ligand_160,4gr0,1p1q_ligand_160
4gr0_1p1q_ligand_137,4gr0,1p1q_ligand_137
