index,protein,decoy_name
4ivc_1p1q_ligand_184,4ivc,1p1q_ligand_184
4ivc_1p1q_ligand_218,4ivc,1p1q_ligand_218
4ivc_1p1q_ligand_189,4ivc,1p1q_ligand_189
4ivc_1p1q_ligand_342,4ivc,1p1q_ligand_342
4ivc_1p1q_ligand_306,4ivc,1p1q_ligand_306
4ivc_1p1q_ligand_302,4ivc,1p1q_ligand_302
4ivc_1p1q_ligand_12,4ivc,1p1q_ligand_12
4ivc_1p1q_ligand_248,4ivc,1p1q_ligand_248
4ivc_1p1q_ligand_347,4ivc,1p1q_ligand_347
4ivc_1p1q_ligand_305,4ivc,1p1q_ligand_305
4ivc_1p1q_ligand_358,4ivc,1p1q_ligand_358
4ivc_1p1q_ligand_382,4ivc,1p1q_ligand_382
4ivc_1p1q_ligand_243,4ivc,1p1q_ligand_243
4ivc_1p1q_ligand_367,4ivc,1p1q_ligand_367
4ivc_1p1q_ligand_324,4ivc,1p1q_ligand_324
4ivc_1p1q_ligand_312,4ivc,1p1q_ligand_312
4ivc_1p1q_ligand_158,4ivc,1p1q_ligand_158
4ivc_1p1q_ligand_332,4ivc,1p1q_ligand_332
4ivc_1p1q_ligand_167,4ivc,1p1q_ligand_167
4ivc_1p1q_ligand_268,4ivc,1p1q_ligand_268
4ivc_1p1q_ligand_242,4ivc,1p1q_ligand_242
4ivc_1p1q_ligand_236,4ivc,1p1q_ligand_236
4ivc_1p1q_ligand_261,4ivc,1p1q_ligand_261
4ivc_1p1q_ligand_221,4ivc,1p1q_ligand_221
4ivc_1p1q_ligand_328,4ivc,1p1q_ligand_328
4ivc_1p1q_ligand_245,4ivc,1p1q_ligand_245
4ivc_1p1q_ligand_303,4ivc,1p1q_ligand_303
4ivc_1p1q_ligand_9,4ivc,1p1q_ligand_9
4ivc_1p1q_ligand_64,4ivc,1p1q_ligand_64
4ivc_1p1q_ligand_326,4ivc,1p1q_ligand_326
4ivc_1p1q_ligand_297,4ivc,1p1q_ligand_297
4ivc_1p1q_ligand_258,4ivc,1p1q_ligand_258
4ivc_1p1q_ligand_129,4ivc,1p1q_ligand_129
4ivc_1p1q_ligand_213,4ivc,1p1q_ligand_213
4ivc_1p1q_ligand_398,4ivc,1p1q_ligand_398
4ivc_1p1q_ligand_296,4ivc,1p1q_ligand_296
4ivc_1p1q_ligand_327,4ivc,1p1q_ligand_327
4ivc_1p1q_ligand_233,4ivc,1p1q_ligand_233
4ivc_1p1q_ligand_36,4ivc,1p1q_ligand_36
4ivc_1p1q_ligand_127,4ivc,1p1q_ligand_127
4ivc_1p1q_ligand_349,4ivc,1p1q_ligand_349
4ivc_1p1q_ligand_217,4ivc,1p1q_ligand_217
4ivc_1p1q_ligand_256,4ivc,1p1q_ligand_256
4ivc_1p1q_ligand_164,4ivc,1p1q_ligand_164
4ivc_1p1q_ligand_264,4ivc,1p1q_ligand_264
4ivc_1p1q_ligand_179,4ivc,1p1q_ligand_179
4ivc_1p1q_ligand_133,4ivc,1p1q_ligand_133
4ivc_1p1q_ligand_97,4ivc,1p1q_ligand_97
4ivc_1p1q_ligand_262,4ivc,1p1q_ligand_262
4ivc_1p1q_ligand_197,4ivc,1p1q_ligand_197
4ivc_1p1q_ligand_285,4ivc,1p1q_ligand_285
4ivc_1p1q_ligand_275,4ivc,1p1q_ligand_275
4ivc_1p1q_ligand_282,4ivc,1p1q_ligand_282
4ivc_1p1q_ligand_207,4ivc,1p1q_ligand_207
4ivc_1p1q_ligand_279,4ivc,1p1q_ligand_279
4ivc_1p1q_ligand_152,4ivc,1p1q_ligand_152
4ivc_1p1q_ligand_314,4ivc,1p1q_ligand_314
4ivc_1p1q_ligand_188,4ivc,1p1q_ligand_188
4ivc_1p1q_ligand_323,4ivc,1p1q_ligand_323
4ivc_1p1q_ligand_393,4ivc,1p1q_ligand_393
4ivc_1p1q_ligand_174,4ivc,1p1q_ligand_174
4ivc_1p1q_ligand_178,4ivc,1p1q_ligand_178
4ivc_1p1q_ligand_450,4ivc,1p1q_ligand_450
4ivc_1p1q_ligand_216,4ivc,1p1q_ligand_216
4ivc_1p1q_ligand_487,4ivc,1p1q_ligand_487
4ivc_1p1q_ligand_345,4ivc,1p1q_ligand_345
4ivc_1p1q_ligand_200,4ivc,1p1q_ligand_200
4ivc_1p1q_ligand_266,4ivc,1p1q_ligand_266
4ivc_1p1q_ligand_227,4ivc,1p1q_ligand_227
4ivc_1p1q_ligand_52,4ivc,1p1q_ligand_52
4ivc_1p1q_ligand_372,4ivc,1p1q_ligand_372
4ivc_1p1q_ligand_162,4ivc,1p1q_ligand_162
4ivc_1p1q_ligand_156,4ivc,1p1q_ligand_156
4ivc_1p1q_ligand_250,4ivc,1p1q_ligand_250
4ivc_1p1q_ligand_20,4ivc,1p1q_ligand_20
4ivc_1p1q_ligand_219,4ivc,1p1q_ligand_219
4ivc_1p1q_ligand_383,4ivc,1p1q_ligand_383
4ivc_1p1q_ligand_301,4ivc,1p1q_ligand_301
4ivc_1p1q_ligand_128,4ivc,1p1q_ligand_128
4ivc_1p1q_ligand_374,4ivc,1p1q_ligand_374
4ivc_1p1q_ligand_251,4ivc,1p1q_ligand_251
4ivc_1p1q_ligand_265,4ivc,1p1q_ligand_265
4ivc_1p1q_ligand_395,4ivc,1p1q_ligand_395
4ivc_1p1q_ligand_310,4ivc,1p1q_ligand_310
4ivc_1p1q_ligand_269,4ivc,1p1q_ligand_269
4ivc_1p1q_ligand_204,4ivc,1p1q_ligand_204
4ivc_1p1q_ligand_146,4ivc,1p1q_ligand_146
4ivc_1p1q_ligand_339,4ivc,1p1q_ligand_339
4ivc_1p1q_ligand_304,4ivc,1p1q_ligand_304
4ivc_1p1q_ligand_141,4ivc,1p1q_ligand_141
4ivc_1p1q_ligand_252,4ivc,1p1q_ligand_252
4ivc_1p1q_ligand_44,4ivc,1p1q_ligand_44
4ivc_1p1q_ligand_259,4ivc,1p1q_ligand_259
4ivc_1p1q_ligand_325,4ivc,1p1q_ligand_325
4ivc_1p1q_ligand_271,4ivc,1p1q_ligand_271
4ivc_1p1q_ligand_87,4ivc,1p1q_ligand_87
4ivc_1p1q_ligand_247,4ivc,1p1q_ligand_247
4ivc_1p1q_ligand_231,4ivc,1p1q_ligand_231
4ivc_1p1q_ligand_244,4ivc,1p1q_ligand_244
4ivc_1p1q_ligand_63,4ivc,1p1q_ligand_63
4ivc_1owh_ligand_470,4ivc,1owh_ligand_470
4ivc_1owh_ligand_272,4ivc,1owh_ligand_272
4ivc_1owh_ligand_336,4ivc,1owh_ligand_336
4ivc_1owh_ligand_257,4ivc,1owh_ligand_257
4ivc_1owh_ligand_250,4ivc,1owh_ligand_250
4ivc_1owh_ligand_289,4ivc,1owh_ligand_289
4ivc_1owh_ligand_219,4ivc,1owh_ligand_219
4ivc_1owh_ligand_145,4ivc,1owh_ligand_145
4ivc_1owh_ligand_427,4ivc,1owh_ligand_427
4ivc_1owh_ligand_184,4ivc,1owh_ligand_184
4ivc_1owh_ligand_87,4ivc,1owh_ligand_87
4ivc_1owh_ligand_220,4ivc,1owh_ligand_220
4ivc_1owh_ligand_286,4ivc,1owh_ligand_286
4ivc_1owh_ligand_232,4ivc,1owh_ligand_232
4ivc_1owh_ligand_227,4ivc,1owh_ligand_227
4ivc_1owh_ligand_231,4ivc,1owh_ligand_231
4ivc_1owh_ligand_316,4ivc,1owh_ligand_316
4ivc_1owh_ligand_225,4ivc,1owh_ligand_225
4ivc_1owh_ligand_295,4ivc,1owh_ligand_295
4ivc_1owh_ligand_354,4ivc,1owh_ligand_354
4ivc_1owh_ligand_359,4ivc,1owh_ligand_359
4ivc_1owh_ligand_319,4ivc,1owh_ligand_319
4ivc_1owh_ligand_155,4ivc,1owh_ligand_155
4ivc_1owh_ligand_244,4ivc,1owh_ligand_244
4ivc_1owh_ligand_268,4ivc,1owh_ligand_268
4ivc_1owh_ligand_328,4ivc,1owh_ligand_328
4ivc_1owh_ligand_283,4ivc,1owh_ligand_283
4ivc_1owh_ligand_313,4ivc,1owh_ligand_313
4ivc_1owh_ligand_218,4ivc,1owh_ligand_218
4ivc_1owh_ligand_245,4ivc,1owh_ligand_245
4ivc_1owh_ligand_344,4ivc,1owh_ligand_344
4ivc_1owh_ligand_290,4ivc,1owh_ligand_290
4ivc_1owh_ligand_303,4ivc,1owh_ligand_303
4ivc_1owh_ligand_176,4ivc,1owh_ligand_176
4ivc_1owh_ligand_211,4ivc,1owh_ligand_211
4ivc_1owh_ligand_79,4ivc,1owh_ligand_79
4ivc_1owh_ligand_7,4ivc,1owh_ligand_7
4ivc_1owh_ligand_335,4ivc,1owh_ligand_335
4ivc_1owh_ligand_358,4ivc,1owh_ligand_358
4ivc_1owh_ligand_349,4ivc,1owh_ligand_349
4ivc_1owh_ligand_324,4ivc,1owh_ligand_324
4ivc_1owh_ligand_441,4ivc,1owh_ligand_441
4ivc_1owh_ligand_99,4ivc,1owh_ligand_99
4ivc_1owh_ligand_266,4ivc,1owh_ligand_266
4ivc_1owh_ligand_399,4ivc,1owh_ligand_399
4ivc_1owh_ligand_327,4ivc,1owh_ligand_327
4ivc_1owh_ligand_116,4ivc,1owh_ligand_116
4ivc_1owh_ligand_476,4ivc,1owh_ligand_476
4ivc_1owh_ligand_246,4ivc,1owh_ligand_246
4ivc_1owh_ligand_175,4ivc,1owh_ligand_175
4ivc_1owh_ligand_174,4ivc,1owh_ligand_174
4ivc_1owh_ligand_307,4ivc,1owh_ligand_307
4ivc_1owh_ligand_212,4ivc,1owh_ligand_212
4ivc_1owh_ligand_42,4ivc,1owh_ligand_42
4ivc_1owh_ligand_279,4ivc,1owh_ligand_279
4ivc_1owh_ligand_345,4ivc,1owh_ligand_345
4ivc_1owh_ligand_339,4ivc,1owh_ligand_339
4ivc_1owh_ligand_353,4ivc,1owh_ligand_353
4ivc_1owh_ligand_59,4ivc,1owh_ligand_59
4ivc_1owh_ligand_228,4ivc,1owh_ligand_228
4ivc_1owh_ligand_370,4ivc,1owh_ligand_370
4ivc_1owh_ligand_229,4ivc,1owh_ligand_229
4ivc_1owh_ligand_239,4ivc,1owh_ligand_239
4ivc_1owh_ligand_348,4ivc,1owh_ligand_348
4ivc_1owh_ligand_373,4ivc,1owh_ligand_373
4ivc_1owh_ligand_309,4ivc,1owh_ligand_309
4ivc_1owh_ligand_341,4ivc,1owh_ligand_341
4ivc_1owh_ligand_386,4ivc,1owh_ligand_386
4ivc_1owh_ligand_311,4ivc,1owh_ligand_311
4ivc_1owh_ligand_403,4ivc,1owh_ligand_403
4ivc_1owh_ligand_136,4ivc,1owh_ligand_136
4ivc_1owh_ligand_320,4ivc,1owh_ligand_320
4ivc_1owh_ligand_191,4ivc,1owh_ligand_191
4ivc_1owh_ligand_338,4ivc,1owh_ligand_338
4ivc_1owh_ligand_205,4ivc,1owh_ligand_205
4ivc_1owh_ligand_249,4ivc,1owh_ligand_249
4ivc_1owh_ligand_182,4ivc,1owh_ligand_182
4ivc_1owh_ligand_237,4ivc,1owh_ligand_237
4ivc_1owh_ligand_439,4ivc,1owh_ligand_439
4ivc_1owh_ligand_368,4ivc,1owh_ligand_368
4ivc_1owh_ligand_408,4ivc,1owh_ligand_408
4ivc_1owh_ligand_236,4ivc,1owh_ligand_236
4ivc_1owh_ligand_337,4ivc,1owh_ligand_337
4ivc_1owh_ligand_458,4ivc,1owh_ligand_458
4ivc_1owh_ligand_224,4ivc,1owh_ligand_224
4ivc_1owh_ligand_226,4ivc,1owh_ligand_226
4ivc_1owh_ligand_210,4ivc,1owh_ligand_210
4ivc_1owh_ligand_332,4ivc,1owh_ligand_332
4ivc_1owh_ligand_355,4ivc,1owh_ligand_355
4ivc_1owh_ligand_144,4ivc,1owh_ligand_144
4ivc_1owh_ligand_367,4ivc,1owh_ligand_367
4ivc_1owh_ligand_278,4ivc,1owh_ligand_278
4ivc_1owh_ligand_167,4ivc,1owh_ligand_167
4ivc_1owh_ligand_298,4ivc,1owh_ligand_298
4ivc_1owh_ligand_238,4ivc,1owh_ligand_238
4ivc_1owh_ligand_498,4ivc,1owh_ligand_498
4ivc_1owh_ligand_390,4ivc,1owh_ligand_390
4ivc_1owh_ligand_48,4ivc,1owh_ligand_48
4ivc_1owh_ligand_477,4ivc,1owh_ligand_477
4ivc_1owh_ligand_214,4ivc,1owh_ligand_214
4ivc_3u9q_ligand_347,4ivc,3u9q_ligand_347
4ivc_3u9q_ligand_8,4ivc,3u9q_ligand_8
4ivc_3u9q_ligand_303,4ivc,3u9q_ligand_303
4ivc_3u9q_ligand_276,4ivc,3u9q_ligand_276
4ivc_3u9q_ligand_275,4ivc,3u9q_ligand_275
4ivc_3u9q_ligand_152,4ivc,3u9q_ligand_152
4ivc_3u9q_ligand_389,4ivc,3u9q_ligand_389
4ivc_3u9q_ligand_168,4ivc,3u9q_ligand_168
4ivc_3u9q_ligand_176,4ivc,3u9q_ligand_176
4ivc_3u9q_ligand_198,4ivc,3u9q_ligand_198
4ivc_3u9q_ligand_127,4ivc,3u9q_ligand_127
4ivc_3u9q_ligand_212,4ivc,3u9q_ligand_212
4ivc_3u9q_ligand_164,4ivc,3u9q_ligand_164
4ivc_3u9q_ligand_345,4ivc,3u9q_ligand_345
4ivc_3u9q_ligand_160,4ivc,3u9q_ligand_160
4ivc_3u9q_ligand_93,4ivc,3u9q_ligand_93
4ivc_3u9q_ligand_189,4ivc,3u9q_ligand_189
4ivc_3u9q_ligand_277,4ivc,3u9q_ligand_277
4ivc_3u9q_ligand_58,4ivc,3u9q_ligand_58
4ivc_3u9q_ligand_155,4ivc,3u9q_ligand_155
4ivc_3u9q_ligand_106,4ivc,3u9q_ligand_106
4ivc_3u9q_ligand_49,4ivc,3u9q_ligand_49
4ivc_3u9q_ligand_398,4ivc,3u9q_ligand_398
4ivc_3u9q_ligand_403,4ivc,3u9q_ligand_403
4ivc_3u9q_ligand_210,4ivc,3u9q_ligand_210
4ivc_3u9q_ligand_37,4ivc,3u9q_ligand_37
4ivc_3u9q_ligand_368,4ivc,3u9q_ligand_368
4ivc_3u9q_ligand_317,4ivc,3u9q_ligand_317
4ivc_3u9q_ligand_346,4ivc,3u9q_ligand_346
4ivc_3u9q_ligand_388,4ivc,3u9q_ligand_388
4ivc_3u9q_ligand_226,4ivc,3u9q_ligand_226
4ivc_3u9q_ligand_237,4ivc,3u9q_ligand_237
4ivc_3u9q_ligand_85,4ivc,3u9q_ligand_85
4ivc_3u9q_ligand_243,4ivc,3u9q_ligand_243
4ivc_3u9q_ligand_327,4ivc,3u9q_ligand_327
4ivc_3u9q_ligand_266,4ivc,3u9q_ligand_266
4ivc_3u9q_ligand_222,4ivc,3u9q_ligand_222
4ivc_3u9q_ligand_287,4ivc,3u9q_ligand_287
4ivc_3u9q_ligand_285,4ivc,3u9q_ligand_285
4ivc_3u9q_ligand_188,4ivc,3u9q_ligand_188
4ivc_3u9q_ligand_120,4ivc,3u9q_ligand_120
4ivc_3u9q_ligand_16,4ivc,3u9q_ligand_16
4ivc_3u9q_ligand_225,4ivc,3u9q_ligand_225
4ivc_3u9q_ligand_244,4ivc,3u9q_ligand_244
4ivc_3u9q_ligand_146,4ivc,3u9q_ligand_146
4ivc_3u9q_ligand_323,4ivc,3u9q_ligand_323
4ivc_3u9q_ligand_178,4ivc,3u9q_ligand_178
4ivc_3u9q_ligand_282,4ivc,3u9q_ligand_282
4ivc_3u9q_ligand_196,4ivc,3u9q_ligand_196
4ivc_3u9q_ligand_374,4ivc,3u9q_ligand_374
4ivc_3u9q_ligand_313,4ivc,3u9q_ligand_313
4ivc_3u9q_ligand_195,4ivc,3u9q_ligand_195
4ivc_3u9q_ligand_339,4ivc,3u9q_ligand_339
4ivc_3u9q_ligand_147,4ivc,3u9q_ligand_147
4ivc_3u9q_ligand_45,4ivc,3u9q_ligand_45
4ivc_3u9q_ligand_172,4ivc,3u9q_ligand_172
4ivc_3u9q_ligand_6,4ivc,3u9q_ligand_6
4ivc_3u9q_ligand_128,4ivc,3u9q_ligand_128
4ivc_3u9q_ligand_302,4ivc,3u9q_ligand_302
4ivc_3u9q_ligand_181,4ivc,3u9q_ligand_181
4ivc_3u9q_ligand_242,4ivc,3u9q_ligand_242
4ivc_3u9q_ligand_65,4ivc,3u9q_ligand_65
4ivc_3u9q_ligand_473,4ivc,3u9q_ligand_473
4ivc_3u9q_ligand_118,4ivc,3u9q_ligand_118
4ivc_3u9q_ligand_70,4ivc,3u9q_ligand_70
4ivc_3u9q_ligand_48,4ivc,3u9q_ligand_48
4ivc_3u9q_ligand_306,4ivc,3u9q_ligand_306
4ivc_3u9q_ligand_437,4ivc,3u9q_ligand_437
4ivc_3u9q_ligand_62,4ivc,3u9q_ligand_62
4ivc_3u9q_ligand_15,4ivc,3u9q_ligand_15
4ivc_3u9q_ligand_217,4ivc,3u9q_ligand_217
4ivc_3u9q_ligand_358,4ivc,3u9q_ligand_358
4ivc_3u9q_ligand_239,4ivc,3u9q_ligand_239
4ivc_3u9q_ligand_201,4ivc,3u9q_ligand_201
4ivc_3u9q_ligand_158,4ivc,3u9q_ligand_158
4ivc_3u9q_ligand_377,4ivc,3u9q_ligand_377
4ivc_3u9q_ligand_318,4ivc,3u9q_ligand_318
4ivc_3u9q_ligand_400,4ivc,3u9q_ligand_400
4ivc_3u9q_ligand_350,4ivc,3u9q_ligand_350
4ivc_3u9q_ligand_289,4ivc,3u9q_ligand_289
4ivc_3u9q_ligand_341,4ivc,3u9q_ligand_341
4ivc_3u9q_ligand_316,4ivc,3u9q_ligand_316
4ivc_3u9q_ligand_11,4ivc,3u9q_ligand_11
4ivc_3u9q_ligand_26,4ivc,3u9q_ligand_26
4ivc_3u9q_ligand_340,4ivc,3u9q_ligand_340
4ivc_3u9q_ligand_200,4ivc,3u9q_ligand_200
4ivc_3u9q_ligand_187,4ivc,3u9q_ligand_187
4ivc_3u9q_ligand_321,4ivc,3u9q_ligand_321
4ivc_3u9q_ligand_245,4ivc,3u9q_ligand_245
4ivc_3u9q_ligand_192,4ivc,3u9q_ligand_192
4ivc_3u9q_ligand_190,4ivc,3u9q_ligand_190
