index,protein,decoy_name
4jia_4kz6_ligand_478,4jia,4kz6_ligand_478
4jia_4kz6_ligand_156,4jia,4kz6_ligand_156
4jia_4kz6_ligand_109,4jia,4kz6_ligand_109
4jia_4kz6_ligand_320,4jia,4kz6_ligand_320
4jia_4kz6_ligand_436,4jia,4kz6_ligand_436
4jia_4kz6_ligand_424,4jia,4kz6_ligand_424
4jia_4kz6_ligand_48,4jia,4kz6_ligand_48
4jia_4kz6_ligand_411,4jia,4kz6_ligand_411
4jia_4kz6_ligand_458,4jia,4kz6_ligand_458
4jia_4kz6_ligand_221,4jia,4kz6_ligand_221
4jia_4kz6_ligand_358,4jia,4kz6_ligand_358
4jia_4kz6_ligand_370,4jia,4kz6_ligand_370
4jia_4kz6_ligand_343,4jia,4kz6_ligand_343
4jia_4kz6_ligand_382,4jia,4kz6_ligand_382
4jia_4kz6_ligand_42,4jia,4kz6_ligand_42
4jia_4kz6_ligand_351,4jia,4kz6_ligand_351
4jia_4kz6_ligand_228,4jia,4kz6_ligand_228
4jia_4kz6_ligand_376,4jia,4kz6_ligand_376
4jia_4kz6_ligand_267,4jia,4kz6_ligand_267
4jia_4kz6_ligand_479,4jia,4kz6_ligand_479
4jia_4kz6_ligand_214,4jia,4kz6_ligand_214
4jia_4kz6_ligand_176,4jia,4kz6_ligand_176
4jia_4kz6_ligand_371,4jia,4kz6_ligand_371
4jia_4kz6_ligand_335,4jia,4kz6_ligand_335
4jia_4kz6_ligand_423,4jia,4kz6_ligand_423
4jia_4kz6_ligand_192,4jia,4kz6_ligand_192
4jia_4kz6_ligand_394,4jia,4kz6_ligand_394
4jia_4kz6_ligand_4,4jia,4kz6_ligand_4
4jia_4kz6_ligand_250,4jia,4kz6_ligand_250
4jia_4kz6_ligand_152,4jia,4kz6_ligand_152
4jia_4kz6_ligand_377,4jia,4kz6_ligand_377
4jia_4kz6_ligand_254,4jia,4kz6_ligand_254
4jia_4kz6_ligand_194,4jia,4kz6_ligand_194
4jia_4kz6_ligand_426,4jia,4kz6_ligand_426
4jia_4kz6_ligand_325,4jia,4kz6_ligand_325
4jia_4kz6_ligand_51,4jia,4kz6_ligand_51
4jia_4kz6_ligand_185,4jia,4kz6_ligand_185
4jia_4kz6_ligand_453,4jia,4kz6_ligand_453
4jia_4kz6_ligand_434,4jia,4kz6_ligand_434
4jia_4kz6_ligand_447,4jia,4kz6_ligand_447
4jia_4kz6_ligand_441,4jia,4kz6_ligand_441
4jia_4kz6_ligand_298,4jia,4kz6_ligand_298
4jia_4kz6_ligand_356,4jia,4kz6_ligand_356
4jia_4kz6_ligand_399,4jia,4kz6_ligand_399
4jia_4kz6_ligand_217,4jia,4kz6_ligand_217
4jia_4kz6_ligand_401,4jia,4kz6_ligand_401
4jia_4kz6_ligand_491,4jia,4kz6_ligand_491
4jia_4kz6_ligand_497,4jia,4kz6_ligand_497
4jia_4kz6_ligand_313,4jia,4kz6_ligand_313
4jia_4kz6_ligand_385,4jia,4kz6_ligand_385
4jia_4kz6_ligand_425,4jia,4kz6_ligand_425
4jia_4kz6_ligand_247,4jia,4kz6_ligand_247
4jia_4kz6_ligand_289,4jia,4kz6_ligand_289
4jia_4kz6_ligand_352,4jia,4kz6_ligand_352
4jia_4kz6_ligand_248,4jia,4kz6_ligand_248
4jia_4kz6_ligand_339,4jia,4kz6_ligand_339
4jia_4kz6_ligand_400,4jia,4kz6_ligand_400
4jia_4kz6_ligand_165,4jia,4kz6_ligand_165
4jia_4kz6_ligand_286,4jia,4kz6_ligand_286
4jia_4kz6_ligand_384,4jia,4kz6_ligand_384
4jia_4kz6_ligand_288,4jia,4kz6_ligand_288
4jia_4kz6_ligand_438,4jia,4kz6_ligand_438
4jia_4kz6_ligand_406,4jia,4kz6_ligand_406
4jia_4kz6_ligand_249,4jia,4kz6_ligand_249
4jia_4kz6_ligand_19,4jia,4kz6_ligand_19
4jia_4kz6_ligand_263,4jia,4kz6_ligand_263
4jia_4kz6_ligand_430,4jia,4kz6_ligand_430
4jia_4kz6_ligand_496,4jia,4kz6_ligand_496
4jia_4kz6_ligand_431,4jia,4kz6_ligand_431
4jia_4kz6_ligand_461,4jia,4kz6_ligand_461
4jia_4kz6_ligand_262,4jia,4kz6_ligand_262
4jia_4kz6_ligand_305,4jia,4kz6_ligand_305
4jia_4kz6_ligand_373,4jia,4kz6_ligand_373
4jia_4kz6_ligand_239,4jia,4kz6_ligand_239
4jia_4kz6_ligand_407,4jia,4kz6_ligand_407
4jia_4kz6_ligand_310,4jia,4kz6_ligand_310
4jia_4kz6_ligand_389,4jia,4kz6_ligand_389
4jia_4kz6_ligand_439,4jia,4kz6_ligand_439
4jia_4kz6_ligand_306,4jia,4kz6_ligand_306
4jia_4kz6_ligand_347,4jia,4kz6_ligand_347
4jia_4kz6_ligand_396,4jia,4kz6_ligand_396
4jia_4kz6_ligand_348,4jia,4kz6_ligand_348
4jia_4kz6_ligand_432,4jia,4kz6_ligand_432
4jia_4kz6_ligand_293,4jia,4kz6_ligand_293
4jia_4kz6_ligand_201,4jia,4kz6_ligand_201
4jia_4kz6_ligand_174,4jia,4kz6_ligand_174
4jia_4kz6_ligand_332,4jia,4kz6_ligand_332
4jia_4kz6_ligand_168,4jia,4kz6_ligand_168
4jia_4kz6_ligand_307,4jia,4kz6_ligand_307
4jia_4kz6_ligand_429,4jia,4kz6_ligand_429
4jia_4kz6_ligand_224,4jia,4kz6_ligand_224
4jia_4kz6_ligand_395,4jia,4kz6_ligand_395
4jia_4kz6_ligand_70,4jia,4kz6_ligand_70
4jia_4kz6_ligand_5,4jia,4kz6_ligand_5
4jia_4kz6_ligand_295,4jia,4kz6_ligand_295
4jia_4kz6_ligand_222,4jia,4kz6_ligand_222
4jia_4kz6_ligand_275,4jia,4kz6_ligand_275
4jia_4kz6_ligand_49,4jia,4kz6_ligand_49
4jia_4kz6_ligand_489,4jia,4kz6_ligand_489
4jia_4kz6_ligand_16,4jia,4kz6_ligand_16
4jia_4jsz_ligand_273,4jia,4jsz_ligand_273
4jia_4jsz_ligand_174,4jia,4jsz_ligand_174
4jia_4jsz_ligand_232,4jia,4jsz_ligand_232
4jia_4jsz_ligand_286,4jia,4jsz_ligand_286
4jia_4jsz_ligand_212,4jia,4jsz_ligand_212
4jia_4jsz_ligand_431,4jia,4jsz_ligand_431
4jia_4jsz_ligand_316,4jia,4jsz_ligand_316
4jia_4jsz_ligand_152,4jia,4jsz_ligand_152
4jia_4jsz_ligand_28,4jia,4jsz_ligand_28
4jia_4jsz_ligand_192,4jia,4jsz_ligand_192
4jia_4jsz_ligand_318,4jia,4jsz_ligand_318
4jia_4jsz_ligand_256,4jia,4jsz_ligand_256
