index,protein,decoy_name
4pcs_4jsz_ligand_18,4pcs,4jsz_ligand_18
4pcs_4jsz_ligand_186,4pcs,4jsz_ligand_186
4pcs_4jsz_ligand_282,4pcs,4jsz_ligand_282
4pcs_4jsz_ligand_470,4pcs,4jsz_ligand_470
4pcs_4jsz_ligand_385,4pcs,4jsz_ligand_385
4pcs_4jsz_ligand_373,4pcs,4jsz_ligand_373
4pcs_4jsz_ligand_367,4pcs,4jsz_ligand_367
4pcs_4jsz_ligand_280,4pcs,4jsz_ligand_280
4pcs_4jsz_ligand_343,4pcs,4jsz_ligand_343
4pcs_4jsz_ligand_212,4pcs,4jsz_ligand_212
4pcs_4jsz_ligand_341,4pcs,4jsz_ligand_341
4pcs_4jsz_ligand_438,4pcs,4jsz_ligand_438
4pcs_4jsz_ligand_335,4pcs,4jsz_ligand_335
4pcs_4jsz_ligand_196,4pcs,4jsz_ligand_196
4pcs_4jsz_ligand_31,4pcs,4jsz_ligand_31
4pcs_4jsz_ligand_392,4pcs,4jsz_ligand_392
4pcs_4jsz_ligand_297,4pcs,4jsz_ligand_297
4pcs_4jsz_ligand_138,4pcs,4jsz_ligand_138
4pcs_4jsz_ligand_244,4pcs,4jsz_ligand_244
4pcs_4jsz_ligand_249,4pcs,4jsz_ligand_249
4pcs_4jsz_ligand_433,4pcs,4jsz_ligand_433
4pcs_4jsz_ligand_378,4pcs,4jsz_ligand_378
4pcs_4jsz_ligand_164,4pcs,4jsz_ligand_164
4pcs_4jsz_ligand_26,4pcs,4jsz_ligand_26
4pcs_4jsz_ligand_199,4pcs,4jsz_ligand_199
4pcs_4jsz_ligand_330,4pcs,4jsz_ligand_330
4pcs_4jsz_ligand_498,4pcs,4jsz_ligand_498
4pcs_4jsz_ligand_120,4pcs,4jsz_ligand_120
4pcs_4jsz_ligand_117,4pcs,4jsz_ligand_117
4pcs_4jsz_ligand_375,4pcs,4jsz_ligand_375
4pcs_4jsz_ligand_229,4pcs,4jsz_ligand_229
4pcs_4jsz_ligand_273,4pcs,4jsz_ligand_273
4pcs_4jsz_ligand_96,4pcs,4jsz_ligand_96
4pcs_4jsz_ligand_193,4pcs,4jsz_ligand_193
4pcs_4jsz_ligand_230,4pcs,4jsz_ligand_230
4pcs_4jsz_ligand_221,4pcs,4jsz_ligand_221
4pcs_4jsz_ligand_222,4pcs,4jsz_ligand_222
4pcs_4jsz_ligand_204,4pcs,4jsz_ligand_204
4pcs_4jsz_ligand_324,4pcs,4jsz_ligand_324
4pcs_4jsz_ligand_219,4pcs,4jsz_ligand_219
4pcs_4jsz_ligand_200,4pcs,4jsz_ligand_200
4pcs_4jsz_ligand_382,4pcs,4jsz_ligand_382
4pcs_4jsz_ligand_398,4pcs,4jsz_ligand_398
4pcs_4jsz_ligand_321,4pcs,4jsz_ligand_321
4pcs_4jsz_ligand_6,4pcs,4jsz_ligand_6
4pcs_4jsz_ligand_198,4pcs,4jsz_ligand_198
4pcs_4jsz_ligand_127,4pcs,4jsz_ligand_127
4pcs_4jsz_ligand_116,4pcs,4jsz_ligand_116
4pcs_4jsz_ligand_160,4pcs,4jsz_ligand_160
4pcs_4jsz_ligand_7,4pcs,4jsz_ligand_7
4pcs_4jsz_ligand_347,4pcs,4jsz_ligand_347
4pcs_4jsz_ligand_291,4pcs,4jsz_ligand_291
4pcs_4jsz_ligand_228,4pcs,4jsz_ligand_228
4pcs_4jsz_ligand_393,4pcs,4jsz_ligand_393
4pcs_4jsz_ligand_310,4pcs,4jsz_ligand_310
4pcs_4jsz_ligand_232,4pcs,4jsz_ligand_232
4pcs_4jsz_ligand_258,4pcs,4jsz_ligand_258
4pcs_4jsz_ligand_92,4pcs,4jsz_ligand_92
4pcs_4jsz_ligand_176,4pcs,4jsz_ligand_176
4pcs_4jsz_ligand_263,4pcs,4jsz_ligand_263
4pcs_4jsz_ligand_206,4pcs,4jsz_ligand_206
4pcs_4jsz_ligand_243,4pcs,4jsz_ligand_243
4pcs_4jsz_ligand_19,4pcs,4jsz_ligand_19
4pcs_4jsz_ligand_175,4pcs,4jsz_ligand_175
4pcs_4jsz_ligand_246,4pcs,4jsz_ligand_246
4pcs_4jsz_ligand_16,4pcs,4jsz_ligand_16
4pcs_4jsz_ligand_365,4pcs,4jsz_ligand_365
4pcs_4jsz_ligand_217,4pcs,4jsz_ligand_217
4pcs_4jsz_ligand_82,4pcs,4jsz_ligand_82
4pcs_4jsz_ligand_233,4pcs,4jsz_ligand_233
4pcs_4jsz_ligand_381,4pcs,4jsz_ligand_381
4pcs_4jsz_ligand_46,4pcs,4jsz_ligand_46
4pcs_4jsz_ligand_81,4pcs,4jsz_ligand_81
4pcs_4jsz_ligand_241,4pcs,4jsz_ligand_241
4pcs_4jsz_ligand_319,4pcs,4jsz_ligand_319
4pcs_4jsz_ligand_334,4pcs,4jsz_ligand_334
4pcs_4jsz_ligand_299,4pcs,4jsz_ligand_299
4pcs_4jsz_ligand_227,4pcs,4jsz_ligand_227
4pcs_4jsz_ligand_203,4pcs,4jsz_ligand_203
4pcs_4jsz_ligand_194,4pcs,4jsz_ligand_194
4pcs_4jsz_ligand_397,4pcs,4jsz_ligand_397
4pcs_4jsz_ligand_238,4pcs,4jsz_ligand_238
4pcs_4jsz_ligand_298,4pcs,4jsz_ligand_298
4pcs_4jsz_ligand_342,4pcs,4jsz_ligand_342
4pcs_4jsz_ligand_224,4pcs,4jsz_ligand_224
4pcs_4jsz_ligand_122,4pcs,4jsz_ligand_122
4pcs_4jsz_ligand_313,4pcs,4jsz_ligand_313
