index,protein,decoy_name
4rfm_4kz6_ligand_156,4rfm,4kz6_ligand_156
4rfm_4kz6_ligand_68,4rfm,4kz6_ligand_68
4rfm_4kz6_ligand_186,4rfm,4kz6_ligand_186
4rfm_4kz6_ligand_383,4rfm,4kz6_ligand_383
4rfm_4kz6_ligand_436,4rfm,4kz6_ligand_436
4rfm_4kz6_ligand_180,4rfm,4kz6_ligand_180
4rfm_4kz6_ligand_66,4rfm,4kz6_ligand_66
4rfm_4kz6_ligand_323,4rfm,4kz6_ligand_323
4rfm_4kz6_ligand_169,4rfm,4kz6_ligand_169
4rfm_4kz6_ligand_243,4rfm,4kz6_ligand_243
4rfm_4kz6_ligand_276,4rfm,4kz6_ligand_276
4rfm_4kz6_ligand_120,4rfm,4kz6_ligand_120
4rfm_4kz6_ligand_228,4rfm,4kz6_ligand_228
4rfm_4kz6_ligand_273,4rfm,4kz6_ligand_273
4rfm_4kz6_ligand_187,4rfm,4kz6_ligand_187
4rfm_4kz6_ligand_161,4rfm,4kz6_ligand_161
4rfm_4kz6_ligand_237,4rfm,4kz6_ligand_237
4rfm_4kz6_ligand_266,4rfm,4kz6_ligand_266
4rfm_4kz6_ligand_216,4rfm,4kz6_ligand_216
4rfm_4kz6_ligand_214,4rfm,4kz6_ligand_214
4rfm_4kz6_ligand_176,4rfm,4kz6_ligand_176
4rfm_4kz6_ligand_281,4rfm,4kz6_ligand_281
4rfm_4kz6_ligand_218,4rfm,4kz6_ligand_218
4rfm_4kz6_ligand_340,4rfm,4kz6_ligand_340
4rfm_4kz6_ligand_159,4rfm,4kz6_ligand_159
4rfm_4kz6_ligand_250,4rfm,4kz6_ligand_250
4rfm_4kz6_ligand_301,4rfm,4kz6_ligand_301
4rfm_4kz6_ligand_152,4rfm,4kz6_ligand_152
4rfm_4kz6_ligand_64,4rfm,4kz6_ligand_64
4rfm_4kz6_ligand_194,4rfm,4kz6_ligand_194
4rfm_4kz6_ligand_185,4rfm,4kz6_ligand_185
4rfm_4kz6_ligand_341,4rfm,4kz6_ligand_341
4rfm_4kz6_ligand_231,4rfm,4kz6_ligand_231
4rfm_4kz6_ligand_236,4rfm,4kz6_ligand_236
4rfm_4kz6_ligand_498,4rfm,4kz6_ligand_498
4rfm_4kz6_ligand_171,4rfm,4kz6_ligand_171
4rfm_4kz6_ligand_177,4rfm,4kz6_ligand_177
4rfm_4kz6_ligand_257,4rfm,4kz6_ligand_257
4rfm_4kz6_ligand_225,4rfm,4kz6_ligand_225
4rfm_4kz6_ligand_217,4rfm,4kz6_ligand_217
4rfm_4kz6_ligand_197,4rfm,4kz6_ligand_197
4rfm_4kz6_ligand_345,4rfm,4kz6_ligand_345
4rfm_4kz6_ligand_240,4rfm,4kz6_ligand_240
4rfm_4kz6_ligand_328,4rfm,4kz6_ligand_328
4rfm_4kz6_ligand_179,4rfm,4kz6_ligand_179
4rfm_4kz6_ligand_330,4rfm,4kz6_ligand_330
4rfm_4kz6_ligand_387,4rfm,4kz6_ligand_387
4rfm_4kz6_ligand_308,4rfm,4kz6_ligand_308
4rfm_4kz6_ligand_285,4rfm,4kz6_ligand_285
4rfm_4kz6_ligand_248,4rfm,4kz6_ligand_248
4rfm_4kz6_ligand_234,4rfm,4kz6_ligand_234
4rfm_4kz6_ligand_269,4rfm,4kz6_ligand_269
4rfm_4kz6_ligand_213,4rfm,4kz6_ligand_213
4rfm_4kz6_ligand_229,4rfm,4kz6_ligand_229
4rfm_4kz6_ligand_246,4rfm,4kz6_ligand_246
4rfm_4kz6_ligand_77,4rfm,4kz6_ligand_77
4rfm_4kz6_ligand_238,4rfm,4kz6_ligand_238
4rfm_4kz6_ligand_166,4rfm,4kz6_ligand_166
4rfm_4kz6_ligand_286,4rfm,4kz6_ligand_286
4rfm_4kz6_ligand_204,4rfm,4kz6_ligand_204
4rfm_4kz6_ligand_338,4rfm,4kz6_ligand_338
4rfm_4kz6_ligand_242,4rfm,4kz6_ligand_242
4rfm_4kz6_ligand_329,4rfm,4kz6_ligand_329
4rfm_4kz6_ligand_233,4rfm,4kz6_ligand_233
4rfm_4kz6_ligand_278,4rfm,4kz6_ligand_278
4rfm_4kz6_ligand_430,4rfm,4kz6_ligand_430
4rfm_4kz6_ligand_272,4rfm,4kz6_ligand_272
4rfm_4kz6_ligand_277,4rfm,4kz6_ligand_277
4rfm_4kz6_ligand_324,4rfm,4kz6_ligand_324
