index,protein,decoy_name
4tmn_4kz6_ligand_470,4tmn,4kz6_ligand_470
4tmn_4kz6_ligand_68,4tmn,4kz6_ligand_68
4tmn_4kz6_ligand_186,4tmn,4kz6_ligand_186
4tmn_4kz6_ligand_359,4tmn,4kz6_ligand_359
4tmn_4kz6_ligand_73,4tmn,4kz6_ligand_73
4tmn_4kz6_ligand_79,4tmn,4kz6_ligand_79
4tmn_4kz6_ligand_43,4tmn,4kz6_ligand_43
4tmn_4kz6_ligand_195,4tmn,4kz6_ligand_195
4tmn_4kz6_ligand_323,4tmn,4kz6_ligand_323
4tmn_4kz6_ligand_409,4tmn,4kz6_ligand_409
4tmn_4kz6_ligand_276,4tmn,4kz6_ligand_276
4tmn_4kz6_ligand_411,4tmn,4kz6_ligand_411
4tmn_4kz6_ligand_458,4tmn,4kz6_ligand_458
4tmn_4kz6_ligand_382,4tmn,4kz6_ligand_382
4tmn_4kz6_ligand_351,4tmn,4kz6_ligand_351
4tmn_4kz6_ligand_120,4tmn,4kz6_ligand_120
4tmn_4kz6_ligand_130,4tmn,4kz6_ligand_130
4tmn_4kz6_ligand_124,4tmn,4kz6_ligand_124
4tmn_4kz6_ligand_83,4tmn,4kz6_ligand_83
4tmn_4kz6_ligand_445,4tmn,4kz6_ligand_445
4tmn_4kz6_ligand_216,4tmn,4kz6_ligand_216
4tmn_4kz6_ligand_220,4tmn,4kz6_ligand_220
4tmn_4kz6_ligand_477,4tmn,4kz6_ligand_477
4tmn_4kz6_ligand_192,4tmn,4kz6_ligand_192
4tmn_4kz6_ligand_394,4tmn,4kz6_ligand_394
4tmn_4kz6_ligand_103,4tmn,4kz6_ligand_103
4tmn_4kz6_ligand_326,4tmn,4kz6_ligand_326
4tmn_4kz6_ligand_270,4tmn,4kz6_ligand_270
4tmn_4kz6_ligand_421,4tmn,4kz6_ligand_421
4tmn_4kz6_ligand_101,4tmn,4kz6_ligand_101
4tmn_4kz6_ligand_377,4tmn,4kz6_ligand_377
4tmn_4kz6_ligand_64,4tmn,4kz6_ligand_64
4tmn_4kz6_ligand_490,4tmn,4kz6_ligand_490
4tmn_4kz6_ligand_76,4tmn,4kz6_ligand_76
4tmn_4kz6_ligand_255,4tmn,4kz6_ligand_255
4tmn_4kz6_ligand_336,4tmn,4kz6_ligand_336
4tmn_4kz6_ligand_378,4tmn,4kz6_ligand_378
4tmn_4kz6_ligand_236,4tmn,4kz6_ligand_236
4tmn_4kz6_ligand_498,4tmn,4kz6_ligand_498
4tmn_4kz6_ligand_205,4tmn,4kz6_ligand_205
4tmn_4kz6_ligand_142,4tmn,4kz6_ligand_142
4tmn_4kz6_ligand_486,4tmn,4kz6_ligand_486
4tmn_4kz6_ligand_282,4tmn,4kz6_ligand_282
4tmn_4kz6_ligand_356,4tmn,4kz6_ligand_356
4tmn_4kz6_ligand_227,4tmn,4kz6_ligand_227
4tmn_4kz6_ligand_399,4tmn,4kz6_ligand_399
4tmn_4kz6_ligand_428,4tmn,4kz6_ligand_428
4tmn_4kz6_ligand_146,4tmn,4kz6_ligand_146
4tmn_4kz6_ligand_199,4tmn,4kz6_ligand_199
4tmn_4kz6_ligand_128,4tmn,4kz6_ligand_128
4tmn_4kz6_ligand_381,4tmn,4kz6_ligand_381
4tmn_4kz6_ligand_491,4tmn,4kz6_ligand_491
4tmn_4kz6_ligand_408,4tmn,4kz6_ligand_408
4tmn_4kz6_ligand_313,4tmn,4kz6_ligand_313
4tmn_4kz6_ligand_425,4tmn,4kz6_ligand_425
4tmn_4kz6_ligand_247,4tmn,4kz6_ligand_247
4tmn_4kz6_ligand_387,4tmn,4kz6_ligand_387
4tmn_4kz6_ligand_175,4tmn,4kz6_ligand_175
4tmn_4kz6_ligand_397,4tmn,4kz6_ligand_397
4tmn_4kz6_ligand_200,4tmn,4kz6_ligand_200
4tmn_4kz6_ligand_398,4tmn,4kz6_ligand_398
4tmn_4kz6_ligand_129,4tmn,4kz6_ligand_129
4tmn_4kz6_ligand_438,4tmn,4kz6_ligand_438
4tmn_4kz6_ligand_55,4tmn,4kz6_ligand_55
4tmn_4kz6_ligand_242,4tmn,4kz6_ligand_242
4tmn_4kz6_ligand_260,4tmn,4kz6_ligand_260
4tmn_4kz6_ligand_263,4tmn,4kz6_ligand_263
4tmn_4kz6_ligand_54,4tmn,4kz6_ligand_54
4tmn_4kz6_ligand_126,4tmn,4kz6_ligand_126
4tmn_4kz6_ligand_496,4tmn,4kz6_ligand_496
4tmn_4kz6_ligand_324,4tmn,4kz6_ligand_324
4tmn_4kz6_ligand_305,4tmn,4kz6_ligand_305
4tmn_4kz6_ligand_386,4tmn,4kz6_ligand_386
4tmn_4kz6_ligand_373,4tmn,4kz6_ligand_373
4tmn_4kz6_ligand_239,4tmn,4kz6_ligand_239
4tmn_4kz6_ligand_417,4tmn,4kz6_ligand_417
4tmn_4kz6_ligand_311,4tmn,4kz6_ligand_311
4tmn_4kz6_ligand_413,4tmn,4kz6_ligand_413
4tmn_4kz6_ligand_396,4tmn,4kz6_ligand_396
