index,protein,decoy_name
4twp_4kz6_ligand_470,4twp,4kz6_ligand_470
4twp_4kz6_ligand_342,4twp,4kz6_ligand_342
4twp_4kz6_ligand_186,4twp,4kz6_ligand_186
4twp_4kz6_ligand_383,4twp,4kz6_ligand_383
4twp_4kz6_ligand_195,4twp,4kz6_ligand_195
4twp_4kz6_ligand_481,4twp,4kz6_ligand_481
4twp_4kz6_ligand_178,4twp,4kz6_ligand_178
4twp_4kz6_ligand_323,4twp,4kz6_ligand_323
4twp_4kz6_ligand_169,4twp,4kz6_ligand_169
4twp_4kz6_ligand_382,4twp,4kz6_ligand_382
4twp_4kz6_ligand_187,4twp,4kz6_ligand_187
4twp_4kz6_ligand_376,4twp,4kz6_ligand_376
4twp_4kz6_ligand_237,4twp,4kz6_ligand_237
4twp_4kz6_ligand_291,4twp,4kz6_ligand_291
4twp_4kz6_ligand_266,4twp,4kz6_ligand_266
4twp_4kz6_ligand_214,4twp,4kz6_ligand_214
4twp_4kz6_ligand_176,4twp,4kz6_ligand_176
4twp_4kz6_ligand_203,4twp,4kz6_ligand_203
4twp_4kz6_ligand_281,4twp,4kz6_ligand_281
4twp_4kz6_ligand_423,4twp,4kz6_ligand_423
4twp_4kz6_ligand_218,4twp,4kz6_ligand_218
4twp_4kz6_ligand_198,4twp,4kz6_ligand_198
4twp_4kz6_ligand_159,4twp,4kz6_ligand_159
4twp_4kz6_ligand_152,4twp,4kz6_ligand_152
4twp_4kz6_ligand_303,4twp,4kz6_ligand_303
4twp_4kz6_ligand_254,4twp,4kz6_ligand_254
4twp_4kz6_ligand_426,4twp,4kz6_ligand_426
4twp_4kz6_ligand_336,4twp,4kz6_ligand_336
4twp_4kz6_ligand_325,4twp,4kz6_ligand_325
4twp_4kz6_ligand_223,4twp,4kz6_ligand_223
4twp_4kz6_ligand_252,4twp,4kz6_ligand_252
4twp_4kz6_ligand_341,4twp,4kz6_ligand_341
4twp_4kz6_ligand_231,4twp,4kz6_ligand_231
4twp_4kz6_ligand_236,4twp,4kz6_ligand_236
