index,protein,decoy_name
4ty7_4jsz_ligand_292,4ty7,4jsz_ligand_292
4ty7_4jsz_ligand_282,4ty7,4jsz_ligand_282
4ty7_4jsz_ligand_317,4ty7,4jsz_ligand_317
4ty7_4jsz_ligand_277,4ty7,4jsz_ligand_277
4ty7_4jsz_ligand_220,4ty7,4jsz_ligand_220
4ty7_4jsz_ligand_209,4ty7,4jsz_ligand_209
4ty7_4jsz_ligand_343,4ty7,4jsz_ligand_343
4ty7_4jsz_ligand_262,4ty7,4jsz_ligand_262
4ty7_4jsz_ligand_162,4ty7,4jsz_ligand_162
4ty7_4jsz_ligand_315,4ty7,4jsz_ligand_315
4ty7_4jsz_ligand_301,4ty7,4jsz_ligand_301
4ty7_4jsz_ligand_297,4ty7,4jsz_ligand_297
4ty7_4jsz_ligand_244,4ty7,4jsz_ligand_244
4ty7_4jsz_ligand_164,4ty7,4jsz_ligand_164
4ty7_4jsz_ligand_191,4ty7,4jsz_ligand_191
4ty7_4jsz_ligand_26,4ty7,4jsz_ligand_26
4ty7_4jsz_ligand_325,4ty7,4jsz_ligand_325
4ty7_4jsz_ligand_182,4ty7,4jsz_ligand_182
4ty7_4jsz_ligand_348,4ty7,4jsz_ligand_348
4ty7_4jsz_ligand_330,4ty7,4jsz_ligand_330
4ty7_4jsz_ligand_320,4ty7,4jsz_ligand_320
4ty7_4jsz_ligand_346,4ty7,4jsz_ligand_346
4ty7_4jsz_ligand_236,4ty7,4jsz_ligand_236
4ty7_4jsz_ligand_296,4ty7,4jsz_ligand_296
4ty7_4jsz_ligand_229,4ty7,4jsz_ligand_229
4ty7_4jsz_ligand_308,4ty7,4jsz_ligand_308
4ty7_4jsz_ligand_167,4ty7,4jsz_ligand_167
4ty7_4jsz_ligand_205,4ty7,4jsz_ligand_205
4ty7_4jsz_ligand_221,4ty7,4jsz_ligand_221
4ty7_4jsz_ligand_374,4ty7,4jsz_ligand_374
4ty7_4jsz_ligand_179,4ty7,4jsz_ligand_179
4ty7_4jsz_ligand_324,4ty7,4jsz_ligand_324
4ty7_4jsz_ligand_219,4ty7,4jsz_ligand_219
4ty7_4jsz_ligand_290,4ty7,4jsz_ligand_290
4ty7_4jsz_ligand_38,4ty7,4jsz_ligand_38
4ty7_4jsz_ligand_372,4ty7,4jsz_ligand_372
4ty7_4jsz_ligand_321,4ty7,4jsz_ligand_321
4ty7_4jsz_ligand_160,4ty7,4jsz_ligand_160
4ty7_4jsz_ligand_379,4ty7,4jsz_ligand_379
4ty7_4jsz_ligand_347,4ty7,4jsz_ligand_347
4ty7_4jsz_ligand_177,4ty7,4jsz_ligand_177
4ty7_4jsz_ligand_250,4ty7,4jsz_ligand_250
4ty7_4jsz_ligand_339,4ty7,4jsz_ligand_339
4ty7_4jsz_ligand_247,4ty7,4jsz_ligand_247
4ty7_4jsz_ligand_218,4ty7,4jsz_ligand_218
4ty7_4jsz_ligand_253,4ty7,4jsz_ligand_253
4ty7_4jsz_ligand_228,4ty7,4jsz_ligand_228
4ty7_4jsz_ligand_97,4ty7,4jsz_ligand_97
4ty7_4jsz_ligand_232,4ty7,4jsz_ligand_232
4ty7_4jsz_ligand_316,4ty7,4jsz_ligand_316
4ty7_4jsz_ligand_264,4ty7,4jsz_ligand_264
4ty7_4jsz_ligand_300,4ty7,4jsz_ligand_300
4ty7_4jsz_ligand_206,4ty7,4jsz_ligand_206
4ty7_4jsz_ligand_243,4ty7,4jsz_ligand_243
4ty7_4jsz_ligand_314,4ty7,4jsz_ligand_314
4ty7_4jsz_ligand_189,4ty7,4jsz_ligand_189
4ty7_4jsz_ligand_233,4ty7,4jsz_ligand_233
4ty7_4jsz_ligand_349,4ty7,4jsz_ligand_349
4ty7_4jsz_ligand_173,4ty7,4jsz_ligand_173
4ty7_4jsz_ligand_161,4ty7,4jsz_ligand_161
4ty7_4jsz_ligand_93,4ty7,4jsz_ligand_93
4ty7_4jsz_ligand_190,4ty7,4jsz_ligand_190
4ty7_4jsz_ligand_286,4ty7,4jsz_ligand_286
4ty7_4jsz_ligand_334,4ty7,4jsz_ligand_334
4ty7_4jsz_ligand_303,4ty7,4jsz_ligand_303
4ty7_4jsz_ligand_299,4ty7,4jsz_ligand_299
4ty7_4jsz_ligand_174,4ty7,4jsz_ligand_174
4ty7_4jsz_ligand_338,4ty7,4jsz_ligand_338
4ty7_4jsz_ligand_203,4ty7,4jsz_ligand_203
4ty7_4jsz_ligand_14,4ty7,4jsz_ligand_14
4ty7_4jsz_ligand_293,4ty7,4jsz_ligand_293
4ty7_4jsz_ligand_279,4ty7,4jsz_ligand_279
4ty7_4jsz_ligand_252,4ty7,4jsz_ligand_252
4ty7_4jsz_ligand_376,4ty7,4jsz_ligand_376
4ty7_4jsz_ligand_322,4ty7,4jsz_ligand_322
4ty7_4jsz_ligand_238,4ty7,4jsz_ligand_238
4ty7_4jsz_ligand_284,4ty7,4jsz_ligand_284
4ty7_4jsz_ligand_289,4ty7,4jsz_ligand_289
4ty7_4jsz_ligand_183,4ty7,4jsz_ligand_183
4ty7_4jsz_ligand_342,4ty7,4jsz_ligand_342
4ty7_4jsz_ligand_224,4ty7,4jsz_ligand_224
4ty7_4jsz_ligand_210,4ty7,4jsz_ligand_210
4ty7_4jsz_ligand_391,4ty7,4jsz_ligand_391
4ty7_4jsz_ligand_248,4ty7,4jsz_ligand_248
4ty7_4jsz_ligand_313,4ty7,4jsz_ligand_313
4ty7_4jsz_ligand_211,4ty7,4jsz_ligand_211
4ty7_4jsz_ligand_444,4ty7,4jsz_ligand_444
4ty7_4jsz_ligand_185,4ty7,4jsz_ligand_185
4ty7_4jsz_ligand_302,4ty7,4jsz_ligand_302
4ty7_4jsz_ligand_340,4ty7,4jsz_ligand_340
4ty7_4jsz_ligand_312,4ty7,4jsz_ligand_312
4ty7_4jsz_ligand_159,4ty7,4jsz_ligand_159
4ty7_4jsz_ligand_440,4ty7,4jsz_ligand_440
4ty7_4jsz_ligand_178,4ty7,4jsz_ligand_178
4ty7_4jsz_ligand_78,4ty7,4jsz_ligand_78
4ty7_4jsz_ligand_326,4ty7,4jsz_ligand_326
4ty7_4jsz_ligand_362,4ty7,4jsz_ligand_362
4ty7_4jsz_ligand_355,4ty7,4jsz_ligand_355
4ty7_4jsz_ligand_242,4ty7,4jsz_ligand_242
