index,protein,decoy_name
4w9h_4jsz_ligand_350,4w9h,4jsz_ligand_350
4w9h_4jsz_ligand_385,4w9h,4jsz_ligand_385
4w9h_4jsz_ligand_145,4w9h,4jsz_ligand_145
4w9h_4jsz_ligand_394,4w9h,4jsz_ligand_394
4w9h_4jsz_ligand_343,4w9h,4jsz_ligand_343
4w9h_4jsz_ligand_262,4w9h,4jsz_ligand_262
4w9h_4jsz_ligand_359,4w9h,4jsz_ligand_359
4w9h_4jsz_ligand_162,4w9h,4jsz_ligand_162
4w9h_4jsz_ligand_41,4w9h,4jsz_ligand_41
4w9h_4jsz_ligand_111,4w9h,4jsz_ligand_111
4w9h_4jsz_ligand_267,4w9h,4jsz_ligand_267
4w9h_4jsz_ligand_196,4w9h,4jsz_ligand_196
4w9h_4jsz_ligand_433,4w9h,4jsz_ligand_433
4w9h_4jsz_ligand_261,4w9h,4jsz_ligand_261
4w9h_4jsz_ligand_295,4w9h,4jsz_ligand_295
4w9h_4jsz_ligand_400,4w9h,4jsz_ligand_400
4w9h_4jsz_ligand_191,4w9h,4jsz_ligand_191
4w9h_4jsz_ligand_199,4w9h,4jsz_ligand_199
4w9h_4jsz_ligand_320,4w9h,4jsz_ligand_320
4w9h_4jsz_ligand_346,4w9h,4jsz_ligand_346
4w9h_4jsz_ligand_236,4w9h,4jsz_ligand_236
4w9h_4jsz_ligand_332,4w9h,4jsz_ligand_332
4w9h_4jsz_ligand_296,4w9h,4jsz_ligand_296
4w9h_4jsz_ligand_281,4w9h,4jsz_ligand_281
4w9h_4jsz_ligand_337,4w9h,4jsz_ligand_337
4w9h_4jsz_ligand_230,4w9h,4jsz_ligand_230
4w9h_4jsz_ligand_151,4w9h,4jsz_ligand_151
4w9h_4jsz_ligand_221,4w9h,4jsz_ligand_221
4w9h_4jsz_ligand_204,4w9h,4jsz_ligand_204
4w9h_4jsz_ligand_163,4w9h,4jsz_ligand_163
4w9h_4jsz_ligand_324,4w9h,4jsz_ligand_324
4w9h_4jsz_ligand_219,4w9h,4jsz_ligand_219
4w9h_4jsz_ligand_307,4w9h,4jsz_ligand_307
4w9h_4jsz_ligand_290,4w9h,4jsz_ligand_290
4w9h_4jsz_ligand_398,4w9h,4jsz_ligand_398
4w9h_4jsz_ligand_266,4w9h,4jsz_ligand_266
4w9h_4jsz_ligand_347,4w9h,4jsz_ligand_347
4w9h_4jsz_ligand_177,4w9h,4jsz_ligand_177
4w9h_4jsz_ligand_247,4w9h,4jsz_ligand_247
4w9h_4jsz_ligand_5,4w9h,4jsz_ligand_5
4w9h_4jsz_ligand_276,4w9h,4jsz_ligand_276
4w9h_4jsz_ligand_228,4w9h,4jsz_ligand_228
4w9h_4jsz_ligand_499,4w9h,4jsz_ligand_499
4w9h_4jsz_ligand_139,4w9h,4jsz_ligand_139
4w9h_4jsz_ligand_208,4w9h,4jsz_ligand_208
4w9h_4jsz_ligand_158,4w9h,4jsz_ligand_158
4w9h_4jsz_ligand_260,4w9h,4jsz_ligand_260
4w9h_4jsz_ligand_232,4w9h,4jsz_ligand_232
4w9h_4jsz_ligand_223,4w9h,4jsz_ligand_223
4w9h_4jsz_ligand_231,4w9h,4jsz_ligand_231
4w9h_4jsz_ligand_239,4w9h,4jsz_ligand_239
4w9h_4jsz_ligand_270,4w9h,4jsz_ligand_270
4w9h_4jsz_ligand_300,4w9h,4jsz_ligand_300
4w9h_4jsz_ligand_365,4w9h,4jsz_ligand_365
4w9h_4jsz_ligand_466,4w9h,4jsz_ligand_466
4w9h_4jsz_ligand_447,4w9h,4jsz_ligand_447
4w9h_4jsz_ligand_233,4w9h,4jsz_ligand_233
4w9h_4jsz_ligand_13,4w9h,4jsz_ligand_13
4w9h_4jsz_ligand_285,4w9h,4jsz_ligand_285
4w9h_4jsz_ligand_349,4w9h,4jsz_ligand_349
4w9h_4jsz_ligand_257,4w9h,4jsz_ligand_257
4w9h_4jsz_ligand_104,4w9h,4jsz_ligand_104
4w9h_4jsz_ligand_114,4w9h,4jsz_ligand_114
4w9h_4jsz_ligand_389,4w9h,4jsz_ligand_389
4w9h_4jsz_ligand_309,4w9h,4jsz_ligand_309
4w9h_4jsz_ligand_286,4w9h,4jsz_ligand_286
