index,protein,decoy_name
5c2h_4jsz_ligand_396,5c2h,4jsz_ligand_396
5c2h_4jsz_ligand_215,5c2h,4jsz_ligand_215
5c2h_4jsz_ligand_277,5c2h,4jsz_ligand_277
5c2h_4jsz_ligand_220,5c2h,4jsz_ligand_220
5c2h_4jsz_ligand_385,5c2h,4jsz_ligand_385
5c2h_4jsz_ligand_373,5c2h,4jsz_ligand_373
5c2h_4jsz_ligand_388,5c2h,4jsz_ligand_388
5c2h_4jsz_ligand_359,5c2h,4jsz_ligand_359
5c2h_4jsz_ligand_315,5c2h,4jsz_ligand_315
5c2h_4jsz_ligand_267,5c2h,4jsz_ligand_267
5c2h_4jsz_ligand_67,5c2h,4jsz_ligand_67
5c2h_4jsz_ligand_297,5c2h,4jsz_ligand_297
5c2h_4jsz_ligand_244,5c2h,4jsz_ligand_244
5c2h_4jsz_ligand_164,5c2h,4jsz_ligand_164
5c2h_4jsz_ligand_95,5c2h,4jsz_ligand_95
5c2h_4jsz_ligand_261,5c2h,4jsz_ligand_261
5c2h_4jsz_ligand_295,5c2h,4jsz_ligand_295
5c2h_4jsz_ligand_191,5c2h,4jsz_ligand_191
5c2h_4jsz_ligand_325,5c2h,4jsz_ligand_325
5c2h_4jsz_ligand_182,5c2h,4jsz_ligand_182
5c2h_4jsz_ligand_348,5c2h,4jsz_ligand_348
5c2h_4jsz_ligand_199,5c2h,4jsz_ligand_199
5c2h_4jsz_ligand_346,5c2h,4jsz_ligand_346
5c2h_4jsz_ligand_419,5c2h,4jsz_ligand_419
5c2h_4jsz_ligand_332,5c2h,4jsz_ligand_332
5c2h_4jsz_ligand_172,5c2h,4jsz_ligand_172
5c2h_4jsz_ligand_337,5c2h,4jsz_ligand_337
5c2h_4jsz_ligand_167,5c2h,4jsz_ligand_167
5c2h_4jsz_ligand_193,5c2h,4jsz_ligand_193
5c2h_4jsz_ligand_151,5c2h,4jsz_ligand_151
5c2h_4jsz_ligand_222,5c2h,4jsz_ligand_222
5c2h_4jsz_ligand_163,5c2h,4jsz_ligand_163
5c2h_4jsz_ligand_8,5c2h,4jsz_ligand_8
5c2h_4jsz_ligand_179,5c2h,4jsz_ligand_179
5c2h_4jsz_ligand_219,5c2h,4jsz_ligand_219
5c2h_4jsz_ligand_254,5c2h,4jsz_ligand_254
5c2h_4jsz_ligand_200,5c2h,4jsz_ligand_200
5c2h_4jsz_ligand_307,5c2h,4jsz_ligand_307
5c2h_4jsz_ligand_290,5c2h,4jsz_ligand_290
5c2h_4jsz_ligand_372,5c2h,4jsz_ligand_372
5c2h_4jsz_ligand_321,5c2h,4jsz_ligand_321
5c2h_4jsz_ligand_311,5c2h,4jsz_ligand_311
5c2h_4jsz_ligand_288,5c2h,4jsz_ligand_288
5c2h_4jsz_ligand_160,5c2h,4jsz_ligand_160
5c2h_4jsz_ligand_250,5c2h,4jsz_ligand_250
5c2h_4jsz_ligand_356,5c2h,4jsz_ligand_356
5c2h_4jsz_ligand_247,5c2h,4jsz_ligand_247
5c2h_4jsz_ligand_291,5c2h,4jsz_ligand_291
5c2h_4jsz_ligand_318,5c2h,4jsz_ligand_318
5c2h_4jsz_ligand_471,5c2h,4jsz_ligand_471
5c2h_4jsz_ligand_181,5c2h,4jsz_ligand_181
5c2h_4jsz_ligand_208,5c2h,4jsz_ligand_208
5c2h_4jsz_ligand_310,5c2h,4jsz_ligand_310
5c2h_4jsz_ligand_239,5c2h,4jsz_ligand_239
5c2h_4jsz_ligand_192,5c2h,4jsz_ligand_192
5c2h_4jsz_ligand_19,5c2h,4jsz_ligand_19
5c2h_4jsz_ligand_73,5c2h,4jsz_ligand_73
5c2h_4jsz_ligand_285,5c2h,4jsz_ligand_285
5c2h_4jsz_ligand_349,5c2h,4jsz_ligand_349
