index,protein,decoy_name
5dwr_4jsz_ligand_396,5dwr,4jsz_ligand_396
5dwr_4jsz_ligand_292,5dwr,4jsz_ligand_292
5dwr_4jsz_ligand_215,5dwr,4jsz_ligand_215
5dwr_4jsz_ligand_461,5dwr,4jsz_ligand_461
5dwr_4jsz_ligand_350,5dwr,4jsz_ligand_350
5dwr_4jsz_ligand_277,5dwr,4jsz_ligand_277
5dwr_4jsz_ligand_220,5dwr,4jsz_ligand_220
5dwr_4jsz_ligand_385,5dwr,4jsz_ligand_385
5dwr_4jsz_ligand_368,5dwr,4jsz_ligand_368
5dwr_4jsz_ligand_184,5dwr,4jsz_ligand_184
5dwr_4jsz_ligand_259,5dwr,4jsz_ligand_259
5dwr_4jsz_ligand_388,5dwr,4jsz_ligand_388
5dwr_4jsz_ligand_209,5dwr,4jsz_ligand_209
5dwr_4jsz_ligand_262,5dwr,4jsz_ligand_262
5dwr_4jsz_ligand_315,5dwr,4jsz_ligand_315
5dwr_4jsz_ligand_335,5dwr,4jsz_ligand_335
5dwr_4jsz_ligand_306,5dwr,4jsz_ligand_306
5dwr_4jsz_ligand_249,5dwr,4jsz_ligand_249
5dwr_4jsz_ligand_378,5dwr,4jsz_ligand_378
5dwr_4jsz_ligand_348,5dwr,4jsz_ligand_348
5dwr_4jsz_ligand_199,5dwr,4jsz_ligand_199
5dwr_4jsz_ligand_330,5dwr,4jsz_ligand_330
5dwr_4jsz_ligand_363,5dwr,4jsz_ligand_363
5dwr_4jsz_ligand_346,5dwr,4jsz_ligand_346
5dwr_4jsz_ligand_236,5dwr,4jsz_ligand_236
5dwr_4jsz_ligand_323,5dwr,4jsz_ligand_323
5dwr_4jsz_ligand_172,5dwr,4jsz_ligand_172
5dwr_4jsz_ligand_458,5dwr,4jsz_ligand_458
5dwr_4jsz_ligand_429,5dwr,4jsz_ligand_429
5dwr_4jsz_ligand_375,5dwr,4jsz_ligand_375
5dwr_4jsz_ligand_229,5dwr,4jsz_ligand_229
5dwr_4jsz_ligand_308,5dwr,4jsz_ligand_308
5dwr_4jsz_ligand_205,5dwr,4jsz_ligand_205
5dwr_4jsz_ligand_151,5dwr,4jsz_ligand_151
5dwr_4jsz_ligand_283,5dwr,4jsz_ligand_283
5dwr_4jsz_ligand_222,5dwr,4jsz_ligand_222
5dwr_4jsz_ligand_163,5dwr,4jsz_ligand_163
5dwr_4jsz_ligand_383,5dwr,4jsz_ligand_383
5dwr_4jsz_ligand_200,5dwr,4jsz_ligand_200
5dwr_4jsz_ligand_290,5dwr,4jsz_ligand_290
5dwr_4jsz_ligand_382,5dwr,4jsz_ligand_382
5dwr_4jsz_ligand_398,5dwr,4jsz_ligand_398
5dwr_4jsz_ligand_6,5dwr,4jsz_ligand_6
5dwr_4jsz_ligand_473,5dwr,4jsz_ligand_473
5dwr_4jsz_ligand_198,5dwr,4jsz_ligand_198
5dwr_4jsz_ligand_384,5dwr,4jsz_ligand_384
5dwr_4jsz_ligand_177,5dwr,4jsz_ligand_177
5dwr_4jsz_ligand_250,5dwr,4jsz_ligand_250
5dwr_4jsz_ligand_251,5dwr,4jsz_ligand_251
5dwr_4jsz_ligand_432,5dwr,4jsz_ligand_432
5dwr_4jsz_ligand_253,5dwr,4jsz_ligand_253
5dwr_4jsz_ligand_499,5dwr,4jsz_ligand_499
5dwr_4jsz_ligand_201,5dwr,4jsz_ligand_201
5dwr_4jsz_ligand_256,5dwr,4jsz_ligand_256
5dwr_4jsz_ligand_223,5dwr,4jsz_ligand_223
5dwr_4jsz_ligand_239,5dwr,4jsz_ligand_239
5dwr_4jsz_ligand_270,5dwr,4jsz_ligand_270
5dwr_4jsz_ligand_3,5dwr,4jsz_ligand_3
5dwr_4jsz_ligand_300,5dwr,4jsz_ligand_300
5dwr_4jsz_ligand_464,5dwr,4jsz_ligand_464
5dwr_4jsz_ligand_314,5dwr,4jsz_ligand_314
5dwr_4jsz_ligand_189,5dwr,4jsz_ligand_189
5dwr_4jsz_ligand_192,5dwr,4jsz_ligand_192
5dwr_4jsz_ligand_447,5dwr,4jsz_ligand_447
5dwr_4jsz_ligand_285,5dwr,4jsz_ligand_285
5dwr_4jsz_ligand_349,5dwr,4jsz_ligand_349
5dwr_4jsz_ligand_195,5dwr,4jsz_ligand_195
5dwr_4jsz_ligand_213,5dwr,4jsz_ligand_213
5dwr_4jsz_ligand_241,5dwr,4jsz_ligand_241
5dwr_4jsz_ligand_389,5dwr,4jsz_ligand_389
5dwr_4jsz_ligand_286,5dwr,4jsz_ligand_286
5dwr_4jsz_ligand_303,5dwr,4jsz_ligand_303
5dwr_4jsz_ligand_299,5dwr,4jsz_ligand_299
5dwr_4jsz_ligand_155,5dwr,4jsz_ligand_155
5dwr_4jsz_ligand_216,5dwr,4jsz_ligand_216
5dwr_4jsz_ligand_203,5dwr,4jsz_ligand_203
5dwr_4jsz_ligand_293,5dwr,4jsz_ligand_293
5dwr_4jsz_ligand_197,5dwr,4jsz_ligand_197
5dwr_4jsz_ligand_397,5dwr,4jsz_ligand_397
5dwr_4jsz_ligand_322,5dwr,4jsz_ligand_322
5dwr_4jsz_ligand_238,5dwr,4jsz_ligand_238
5dwr_4jsz_ligand_298,5dwr,4jsz_ligand_298
5dwr_4jsz_ligand_165,5dwr,4jsz_ligand_165
5dwr_4jsz_ligand_183,5dwr,4jsz_ligand_183
5dwr_4jsz_ligand_342,5dwr,4jsz_ligand_342
5dwr_4jsz_ligand_387,5dwr,4jsz_ligand_387
5dwr_4jsz_ligand_391,5dwr,4jsz_ligand_391
5dwr_4jsz_ligand_248,5dwr,4jsz_ligand_248
5dwr_4jsz_ligand_211,5dwr,4jsz_ligand_211
5dwr_4jsz_ligand_476,5dwr,4jsz_ligand_476
5dwr_4jsz_ligand_331,5dwr,4jsz_ligand_331
5dwr_4jsz_ligand_226,5dwr,4jsz_ligand_226
5dwr_4jsz_ligand_302,5dwr,4jsz_ligand_302
5dwr_4jsz_ligand_370,5dwr,4jsz_ligand_370
5dwr_4jsz_ligand_169,5dwr,4jsz_ligand_169
5dwr_4jsz_ligand_207,5dwr,4jsz_ligand_207
5dwr_4jsz_ligand_345,5dwr,4jsz_ligand_345
5dwr_4jsz_ligand_178,5dwr,4jsz_ligand_178
5dwr_4jsz_ligand_362,5dwr,4jsz_ligand_362
5dwr_4jsz_ligand_237,5dwr,4jsz_ligand_237
5dwr_3n86_ligand_297,5dwr,3n86_ligand_297
5dwr_3n86_ligand_6,5dwr,3n86_ligand_6
5dwr_3n86_ligand_199,5dwr,3n86_ligand_199
5dwr_3n86_ligand_254,5dwr,3n86_ligand_254
5dwr_3n86_ligand_216,5dwr,3n86_ligand_216
5dwr_3n86_ligand_192,5dwr,3n86_ligand_192
5dwr_3n86_ligand_218,5dwr,3n86_ligand_218
5dwr_3n86_ligand_326,5dwr,3n86_ligand_326
5dwr_3n86_ligand_302,5dwr,3n86_ligand_302
5dwr_3n86_ligand_283,5dwr,3n86_ligand_283
5dwr_3n86_ligand_260,5dwr,3n86_ligand_260
5dwr_3n86_ligand_334,5dwr,3n86_ligand_334
5dwr_3n86_ligand_287,5dwr,3n86_ligand_287
5dwr_3n86_ligand_274,5dwr,3n86_ligand_274
5dwr_3n86_ligand_420,5dwr,3n86_ligand_420
5dwr_3n86_ligand_303,5dwr,3n86_ligand_303
5dwr_3n86_ligand_313,5dwr,3n86_ligand_313
5dwr_3n86_ligand_294,5dwr,3n86_ligand_294
5dwr_3n86_ligand_68,5dwr,3n86_ligand_68
5dwr_3n86_ligand_209,5dwr,3n86_ligand_209
5dwr_3n86_ligand_331,5dwr,3n86_ligand_331
5dwr_3n86_ligand_418,5dwr,3n86_ligand_418
5dwr_3n86_ligand_311,5dwr,3n86_ligand_311
5dwr_3n86_ligand_227,5dwr,3n86_ligand_227
5dwr_3n86_ligand_172,5dwr,3n86_ligand_172
