index,protein,decoy_name
2zlz_ligand_decoy_400,2zlz,ligand_decoy_400
2zlz_ligand_decoy_430,2zlz,ligand_decoy_430
2zlz_ligand_decoy_162,2zlz,ligand_decoy_162
2zlz_ligand_decoy_45,2zlz,ligand_decoy_45
2zlz_ligand_decoy_13,2zlz,ligand_decoy_13
2zlz_ligand_decoy_408,2zlz,ligand_decoy_408
2zlz_ligand_decoy_238,2zlz,ligand_decoy_238
2zlz_ligand_decoy_67,2zlz,ligand_decoy_67
2zlz_ligand_decoy_257,2zlz,ligand_decoy_257
2zlz_ligand_decoy_406,2zlz,ligand_decoy_406
2zlz_ligand_decoy_128,2zlz,ligand_decoy_128
2j4i_ligand_decoy_0,2j4i,ligand_decoy_0
2j4i_ligand_decoy_494,2j4i,ligand_decoy_494
2j4i_ligand_decoy_13,2j4i,ligand_decoy_13
2j4i_ligand_decoy_353,2j4i,ligand_decoy_353
2j4i_ligand_decoy_71,2j4i,ligand_decoy_71
2j4i_ligand_decoy_330,2j4i,ligand_decoy_330
2j4i_ligand_decoy_318,2j4i,ligand_decoy_318
2j4i_ligand_decoy_300,2j4i,ligand_decoy_300
2j4i_ligand_decoy_499,2j4i,ligand_decoy_499
2j4i_ligand_decoy_45,2j4i,ligand_decoy_45
2j4i_ligand_decoy_389,2j4i,ligand_decoy_389
1xw6_ligand_decoy_4,1xw6,ligand_decoy_4
1xw6_ligand_decoy_35,1xw6,ligand_decoy_35
1xw6_ligand_decoy_364,1xw6,ligand_decoy_364
1xw6_ligand_decoy_225,1xw6,ligand_decoy_225
1xw6_ligand_decoy_370,1xw6,ligand_decoy_370
1xw6_ligand_decoy_2,1xw6,ligand_decoy_2
1xw6_ligand_decoy_184,1xw6,ligand_decoy_184
1xw6_ligand_decoy_298,1xw6,ligand_decoy_298
1xw6_ligand_decoy_221,1xw6,ligand_decoy_221
1xw6_ligand_decoy_47,1xw6,ligand_decoy_47
1xw6_ligand_decoy_138,1xw6,ligand_decoy_138
1yc1_ligand_decoy_1,1yc1,ligand_decoy_1
1yc1_ligand_decoy_338,1yc1,ligand_decoy_338
1yc1_ligand_decoy_256,1yc1,ligand_decoy_256
1yc1_ligand_decoy_479,1yc1,ligand_decoy_479
1yc1_ligand_decoy_433,1yc1,ligand_decoy_433
1yc1_ligand_decoy_451,1yc1,ligand_decoy_451
1yc1_ligand_decoy_188,1yc1,ligand_decoy_188
1yc1_ligand_decoy_17,1yc1,ligand_decoy_17
1yc1_ligand_decoy_54,1yc1,ligand_decoy_54
1yc1_ligand_decoy_303,1yc1,ligand_decoy_303
