,feature,group
0,vina_gauss1,nn350
1,vina_gauss2,nn350
2,vina_repulsion,nn350
3,vina_hydrophobic,nn350
4,vina_hydrogen,nn350
5,cc_A.A_4,nn350
6,cc_A.C_4,nn350
7,cc_A.CL_4,nn350
8,cc_A.F_4,nn350
9,cc_A.FE_4,nn350
10,cc_A.HD_4,nn350
11,cc_A.MG_4,nn350
12,cc_A.MN_4,nn350
13,cc_A.N_4,nn350
14,cc_A.NA_4,nn350
15,cc_A.OA_4,nn350
16,cc_A.SA_4,nn350
17,cc_A.ZN_4,nn350
18,cc_BR.C_4,nn350
19,cc_BR.HD_4,nn350
20,cc_BR.OA_4,nn350
21,cc_C.C_4,nn350
22,cc_C.CL_4,nn350
23,cc_C.F_4,nn350
24,cc_C.HD_4,nn350
25,cc_C.MG_4,nn350
26,cc_C.MN_4,nn350
27,cc_C.N_4,nn350
28,cc_C.NA_4,nn350
29,cc_C.OA_4,nn350
30,cc_C.SA_4,nn350
31,cc_C.ZN_4,nn350
32,cc_CL.FE_4,nn350
33,cc_CL.HD_4,nn350
34,cc_CL.MG_4,nn350
35,cc_CL.N_4,nn350
36,cc_CL.OA_4,nn350
37,cc_CL.ZN_4,nn350
38,cc_F.HD_4,nn350
39,cc_F.N_4,nn350
40,cc_F.OA_4,nn350
41,cc_F.SA_4,nn350
42,cc_FE.HD_4,nn350
43,cc_FE.N_4,nn350
44,cc_FE.OA_4,nn350
45,cc_HD.HD_4,nn350
46,cc_HD.I_4,nn350
47,cc_HD.MG_4,nn350
48,cc_HD.MN_4,nn350
49,cc_HD.N_4,nn350
50,cc_HD.NA_4,nn350
51,cc_HD.OA_4,nn350
52,cc_HD.P_4,nn350
53,cc_HD.S_4,nn350
54,cc_HD.SA_4,nn350
55,cc_HD.ZN_4,nn350
56,cc_MG.NA_4,nn350
57,cc_MG.OA_4,nn350
58,cc_MN.N_4,nn350
59,cc_MN.OA_4,nn350
60,cc_N.N_4,nn350
61,cc_N.NA_4,nn350
62,cc_N.OA_4,nn350
63,cc_N.SA_4,nn350
64,cc_N.ZN_4,nn350
65,cc_NA.OA_4,nn350
66,cc_NA.SA_4,nn350
67,cc_NA.ZN_4,nn350
68,cc_OA.OA_4,nn350
69,cc_OA.SA_4,nn350
70,cc_OA.ZN_4,nn350
71,cc_S.ZN_4,nn350
72,cc_SA.ZN_4,nn350
73,cc_A.BR_4,nn350
74,cc_A.I_4,nn350
75,cc_A.P_4,nn350
76,cc_A.S_4,nn350
77,cc_BR.N_4,nn350
78,cc_BR.SA_4,nn350
79,cc_C.FE_4,nn350
80,cc_C.I_4,nn350
81,cc_C.P_4,nn350
82,cc_C.S_4,nn350
83,cc_CL.MN_4,nn350
84,cc_CL.NA_4,nn350
85,cc_CL.P_4,nn350
86,cc_CL.S_4,nn350
87,cc_CL.SA_4,nn350
88,cc_CU.HD_4,nn350
89,cc_CU.N_4,nn350
90,cc_FE.NA_4,nn350
91,cc_FE.SA_4,nn350
92,cc_I.N_4,nn350
93,cc_I.OA_4,nn350
94,cc_MG.N_4,nn350
95,cc_MG.P_4,nn350
96,cc_MG.S_4,nn350
